gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
BE_11001,4.38533699307831,51.13317095391492,BE,BE21,BE211,11001,Aartselaar,14441,11.00006787,2020,BE_11001,TRUE
BE_11002,4.422048189704846,51.21254446573093,BE,BE21,BE211,11002,Antwerpen / Anvers,530944,204.1372801,2020,BE_11002,TRUE
BE_11004,4.5019218257012605,51.16505229863881,BE,BE21,BE211,11004,Boechout,13389,20.72341665,2020,BE_11004,TRUE
BE_11005,4.372160563722045,51.09330722428272,BE,BE21,BE211,11005,Boom,18593,7.31016917,2020,BE_11005,TRUE
BE_11007,4.481297137644531,51.19820666113395,BE,BE21,BE211,11007,Borsbeek,10960,3.88991035,2020,BE_11007,TRUE
BE_11008,4.490309235385201,51.29972871159461,BE,BE21,BE211,11008,Brasschaat,38255,38.62568809,2020,BE_11008,TRUE
BE_11009,4.599908304523096,51.31766848776953,BE,BE21,BE211,11009,Brecht,29484,91.37736526,2020,BE_11009,TRUE
BE_11013,4.4380598610785436,51.15857552131297,BE,BE21,BE211,11013,Edegem,22271,8.69904532,2020,BE_11013,TRUE
BE_11016,4.458129263150151,51.45354194818461,BE,BE21,BE211,11016,Essen,19170,47.57059565,2020,BE_11016,TRUE
BE_11018,4.3418310553539134,51.14319960724831,BE,BE21,BE211,11018,Hemiksem,11655,5.51489403,2020,BE_11018,TRUE
BE_11021,4.472337313294722,51.15303118864568,BE,BE21,BE211,11021,Hove (Antwerpen) / Hove (Anvers),8285,6.00490015,2020,BE_11021,TRUE
BE_11022,4.472651332017927,51.38400190854549,BE,BE21,BE211,11022,Kalmthout,18899,59.57155324,2020,BE_11022,TRUE
BE_11023,4.427284307920189,51.317361828896836,BE,BE21,BE211,11023,Kapellen (Antwerpen) / Kapellen (Anvers),27525,37.23061519,2020,BE_11023,TRUE
BE_11024,4.452095331760181,51.132982926662145,BE,BE21,BE211,11024,Kontich,21204,23.87285039,2020,BE_11024,TRUE
BE_11025,4.490325899576571,51.1277460345994,BE,BE21,BE211,11025,Lint,8827,5.60879596,2020,BE_11025,TRUE
BE_11029,4.4538849826104245,51.17202412696793,BE,BE21,BE211,11029,Mortsel,26201,7.79559258,2020,BE_11029,TRUE
BE_11030,4.33282024298777,51.11026061599179,BE,BE21,BE211,11030,Niel,10557,5.31730944,2020,BE_11030,TRUE
BE_11035,4.582489912713864,51.19476667368492,BE,BE21,BE211,11035,Ranst,19729,43.82324464,2020,BE_11035,TRUE
BE_11037,4.41054010914546,51.09147340628306,BE,BE21,BE211,11037,Rumst,15055,20.18019798,2020,BE_11037,TRUE
BE_11038,4.33536746160881,51.122046559028945,BE,BE21,BE211,11038,Schelle,8538,7.74604877,2020,BE_11038,TRUE
BE_11039,4.578018645094904,51.24573888268426,BE,BE21,BE211,11039,Schilde,19914,36.05027019,2020,BE_11039,TRUE
BE_11040,4.4949046649613855,51.252570714490474,BE,BE21,BE211,11040,Schoten,34335,29.52843308,2020,BE_11040,TRUE
BE_11044,4.386616173240341,51.32461400673431,BE,BE21,BE211,11044,Stabroek,18804,21.57230018,2020,BE_11044,TRUE
BE_11050,4.516945487653546,51.22822099983848,BE,BE21,BE211,11050,Wijnegem,9994,7.87517976,2020,BE_11050,TRUE
BE_11052,4.51406753967784,51.20234254647742,BE,BE21,BE211,11052,Wommelgem,12950,12.98387747,2020,BE_11052,TRUE
BE_11053,4.576692762151365,51.37671918484565,BE,BE21,BE211,11053,Wuustwezel,21229,89.4221809,2020,BE_11053,TRUE
BE_11054,4.672005268905461,51.21109334635968,BE,BE21,BE211,11054,Zandhoven,13078,39.94751669,2020,BE_11054,TRUE
BE_11055,4.655959690269552,51.262901962248996,BE,BE21,BE211,11055,Zoersel,22091,38.64285348,2020,BE_11055,TRUE
BE_11056,4.332549165670881,51.2135250980563,BE,BE21,BE211,11056,Zwijndrecht,19183,20.1365865,2020,BE_11056,TRUE
BE_11057,4.710071740181339,51.3000110040112,BE,BE21,BE211,11057,Malle,15614,51.90562555,2020,BE_11057,TRUE
BE_12002,4.651881367325226,51.11258163158569,BE,BE21,BE212,12002,Berlaar,11674,24.52437861,2020,BE_12002,TRUE
BE_12005,4.554146942232683,51.0227243991444,BE,BE21,BE212,12005,Bonheiden,15090,29.18841621,2020,BE_12005,TRUE
