gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
CH_CH0001,8.487911248382684,47.26831008261678,CH,CH04,CH040,CH0001,Aeugst am Albis,1982,7.88800848,2020,CH_CH0001,TRUE
CH_CH0002,8.449682166199953,47.279288127216745,CH,CH04,CH040,CH0002,Affoltern am Albis,12229,10.59189007,2020,CH_CH0002,TRUE
CH_CH0003,8.471969789943811,47.31946900595008,CH,CH04,CH040,CH0003,Bonstetten,5548,7.44205782,2020,CH_CH0003,TRUE
CH_CH0004,8.531195531608018,47.24420068196312,CH,CH04,CH040,CH0004,Hausen am Albis,3701,13.66417447,2020,CH_CH0004,TRUE
CH_CH0005,8.447449581096237,47.29867521828188,CH,CH04,CH040,CH0005,Hedingen,3734,6.53856423,2020,CH_CH0005,TRUE
CH_CH0006,8.51897272739919,47.2254887326038,CH,CH04,CH040,CH0006,Kappel am Albis,1157,7.84597375,2020,CH_CH0006,TRUE
CH_CH0007,8.46282851645734,47.22373159167046,CH,CH04,CH040,CH0007,Knonau,2373,6.55546369,2020,CH_CH0007,TRUE
CH_CH0008,8.424543855331773,47.23564838151707,CH,CH04,CH040,CH0008,Maschwanden,656,4.57798314,2020,CH_CH0008,TRUE
CH_CH0009,8.462154712897814,47.24537018315463,CH,CH04,CH040,CH0009,Mettmenstetten,5094,12.92005064,2020,CH_CH0009,TRUE
CH_CH0010,8.421366497927787,47.26303545442347,CH,CH04,CH040,CH0010,Obfelden,5599,7.53779892,2020,CH_CH0010,TRUE
CH_CH0011,8.40836372289203,47.28032599004343,CH,CH04,CH040,CH0011,Ottenbach,2555,4.98643505,2020,CH_CH0011,TRUE
CH_CH0012,8.491326936253982,47.245082065811644,CH,CH04,CH040,CH0012,Rifferswil,1123,6.53826064,2020,CH_CH0012,TRUE
CH_CH0013,8.483992290535102,47.340598573926975,CH,CH04,CH040,CH0013,Stallikon,3680,12.01397642,2020,CH_CH0013,TRUE
