gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
CY_1000,33.37201723379971,35.17203468455585,CY,CY00,CY000,1000,Λευκωσία,55014,50.25372758,2020,CY_1000,TRUE
CY_1010,33.33154449671958,35.17403091961405,CY,CY00,CY000,1010,Άγιος Δομέτιος,12456,12.08109332,2020,CY_1010,TRUE
CY_1011,33.317479366364694,35.15591465795265,CY,CY00,CY000,1011,Έγκωμη Λευκωσίας,18010,9.49047011,2020,CY_1011,TRUE
CY_1012,33.34693843112344,35.13832713497223,CY,CY00,CY000,1012,Στρόβολος,67904,25.2986013,2020,CY_1012,TRUE
CY_1013,33.393293617082925,35.15264385367254,CY,CY00,CY000,1013,Αγλαντζιά ή Αγλαγγιά,20783,31.61156723,2020,CY_1013,TRUE
CY_1014,33.33322481699305,35.20742265986491,CY,CY00,CY000,1014,Ορτάκιοϊ (Μιντζέλι),0,7.56384279,2020,CY_1014,FALSE
CY_1015,33.350936169577245,35.209294768046675,CY,CY00,CY000,1015,Τράχωνας,0,6.21237577,2020,CY_1015,FALSE
CY_1021,33.304868118190015,35.11733914122763,CY,CY00,CY000,1021,Λακατάμεια,38345,27.43791748,2020,CY_1021,TRUE
CY_1022,33.290417112395566,35.105580432313204,CY,CY00,CY000,1022,Συνοικισμός Ανθούπολης,1756,0.44192721,2020,CY_1022,TRUE
CY_1023,33.381110346845524,35.1059475280771,CY,CY00,CY000,1023,Λατσιά ή Λακκιά,16774,16.55660914,2020,CY_1023,TRUE
CY_1024,33.412113240016936,35.106059056641655,CY,CY00,CY000,1024,Γέρι,8235,32.97320582,2020,CY_1024,TRUE
CY_1100,33.39237024090786,34.951919319101336,CY,CY00,CY000,1100,Σιά,754,17.34662756,2020,CY_1100,TRUE
CY_1101,33.33299039733869,34.96413435371726,CY,CY00,CY000,1101,Μαθιάτης,646,21.34473145,2020,CY_1101,TRUE
CY_1102,33.39969693612093,34.99252903170454,CY,CY00,CY000,1102,Αλάμπρα,1585,16.52483687,2020,CY_1102,TRUE
CY_1103,33.36924834887,34.995002112426164,CY,CY00,CY000,1103,Αγία Βαρβάρα Λευκωσίας,2204,24.19422155,2020,CY_1103,TRUE
CY_1104,33.34827459128528,35.01091888876201,CY,CY00,CY000,1104,Κοτσιάτης,160,5.05320411,2020,CY_1104,TRUE
CY_1105,33.39698400788578,35.01714749822888,CY,CY00,CY000,1105,Νήσου,2179,9.57346288,2020,CY_1105,TRUE
CY_1106,33.39407217623499,35.01377177043033,CY,CY00,CY000,1106,Πέρα Χωριό,2637,8.67937979,2020,CY_1106,TRUE
CY_1107,33.40774542882195,35.04440387999472,CY,CY00,CY000,1107,Δάλι,10466,31.02362685,2020,CY_1107,TRUE
CY_1108,33.46148330286771,34.99836568760266,CY,CY00,CY000,1108,Λύμπια,2694,23.93532329,2020,CY_1108,TRUE
CY_1109,33.294734074500425,34.9498958889441,CY,CY00,CY000,1109,Λυθροδόντας,3043,42.00999832,2020,CY_1109,TRUE
CY_1110,33.4602344057069,35.003327716065655,CY,CY00,CY000,1110,Λουρουκίνα,11,28.63046305,2020,CY_1110,TRUE
CY_1120,33.44525586608388,35.04038280897568,CY,CY00,CY000,1120,Ποταμιά,505,10.91366889,2020,CY_1120,TRUE
CY_1121,33.42785593810471,35.07649665087722,CY,CY00,CY000,1121,'Αγιος Σωζόμενος,11,10.69612976,2020,CY_1121,TRUE
CY_1122,33.48123063144669,35.0810253625397,CY,CY00,CY000,1122,Πυρόγι,0,9.08016958,2020,CY_1122,FALSE
CY_1123,33.46144843061321,35.111150923888864,CY,CY00,CY000,1123,Μαργό,0,17.211978,2020,CY_1123,TRUE
CY_1124,33.56547792874188,35.111401222702355,CY,CY00,CY000,1124,Αγιά (Aγιά Κεπίρ),0,16.15267386,2020,CY_1124,FALSE
CY_1125,33.509038902833964,35.13610280216545,CY,CY00,CY000,1125,Τύμβου,0,27.66239024,2020,CY_1125,FALSE
CY_1130,33.53828835471521,35.171183081169794,CY,CY00,CY000,1130,Μόρα,0,20.622371,2020,CY_1130,FALSE
CY_1131,33.4126711161562,35.203185997463045,CY,CY00,CY000,1131,Μια Μηλιά,0,17.3356935,2020,CY_1131,TRUE
CY_1132,33.36966941221744,35.226861184220304,CY,CY00,CY000,1132,Μάνδρες Λευκωσίας,0,17.692184,2020,CY_1132,FALSE
CY_1133,33.491062154210724,35.18623716034518,CY,CY00,CY000,1133,Παλαίκυθρο,0,20.36599246,2020,CY_1133,FALSE
CY_1134,33.536552249144236,35.20541623090889,CY,CY00,CY000,1134,'Εξω Μετόχι,0,12.67239684,2020,CY_1134,FALSE
CY_1135,33.521326995817326,35.233152171862685,CY,CY00,CY000,1135,Επιχό,0,12.47781245,2020,CY_1135,FALSE
CY_1136,33.50362296973026,35.217700723739675,CY,CY00,CY000,1136,Βώνη,0,4.66781836,2020,CY_1136,FALSE
CY_1137,33.479080108197124,35.21557469498543,CY,CY00,CY000,1137,Τραχώνι Λευκωσίας,0,2.79527627,2020,CY_1137,FALSE
CY_1138,33.457590800001256,35.2201279251454,CY,CY00,CY000,1138,Νέο Χωριό Λευκωσίας,0,17.47544097,2020,CY_1138,FALSE
CY_1139,33.480213552493375,35.26008317871027,CY,CY00,CY000,1139,Κυθρέα,0,31.81257288,2020,CY_1139,FALSE
CY_1141,33.507133068764176,35.246034526700555,CY,CY00,CY000,1141,Μπέϊκιοϊ,0,2.24780314,2020,CY_1141,FALSE
CY_1142,33.55119248394459,35.23856447984896,CY,CY00,CY000,1142,Πέτρα του Διγενή,0,3.9399091,2020,CY_1142,FALSE
CY_1143,33.54168864431461,35.26327176675087,CY,CY00,CY000,1143,Καλυβάκια,0,9.11331399,2020,CY_1143,FALSE
CY_1144,33.55692601608861,35.22469751545247,CY,CY00,CY000,1144,Κουρού Μοναστήρι,0,3.62991004,2020,CY_1144,FALSE
CY_1200,33.133860709350444,34.91344143035127,CY,CY00,CY000,1200,Καμπί,97,5.23393398,2020,CY_1200,TRUE
CY_1201,33.134156711107885,34.91429149932252,CY,CY00,CY000,1201,Φαρμακάς,480,15.35834692,2020,CY_1201,TRUE
CY_1202,33.11592327130233,34.92837943209665,CY,CY00,CY000,1202,Απλίκι,87,3.71996085,2020,CY_1202,TRUE
CY_1203,33.18748899707688,34.938115193424714,CY,CY00,CY000,1203,Λαζανιάς,39,40.90617343,2020,CY_1203,TRUE
CY_1204,33.158748784515076,34.95489779657413,CY,CY00,CY000,1204,Γούρρη,196,16.70556377,2020,CY_1204,TRUE
CY_1205,33.19108490884939,34.9840909320948,CY,CY00,CY000,1205,Φικάρδου,15,6.61215269,2020,CY_1205,TRUE
CY_1206,33.11566618569185,34.99437701032046,CY,CY00,CY000,1206,Άγιος Επιφάνιος Ορεινής,412,17.20034138,2020,CY_1206,TRUE
