gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
MK_MK00101,21.775342050347348,41.71366785991106,MK,MK00,MK001,MK00101,Велес,54201,427.84642843,2019,MK_MK00101,TRUE
MK_MK00102,21.94069843083096,41.57722744088659,MK,MK00,MK001,MK00102,Градско,3551,236.26048714,2019,MK_MK00102,TRUE
MK_MK00103,22.239271712724104,41.41191365014601,MK,MK00,MK001,MK00103,Демир Капија,3982,310.75240014,2019,MK_MK00103,TRUE
MK_MK00104,22.011776597550508,41.43380933949806,MK,MK00,MK001,MK00104,Кавадарци,38755,1004.70222645,2019,MK_MK00104,TRUE
MK_MK00105,21.897699951575603,41.77671665739677,MK,MK00,MK001,MK00105,Лозово,2524,166.13640634,2019,MK_MK00105,TRUE
MK_MK00106,22.092556928748536,41.48409146902875,MK,MK00,MK001,MK00106,Неготино,19244,480.42278174,2019,MK_MK00106,TRUE
MK_MK00107,21.943546957357434,41.517756905621894,MK,MK00,MK001,MK00107,Росоман,4063,133.0079126,2019,MK_MK00107,TRUE
MK_MK00108,21.942631315046953,41.86466022983827,MK,MK00,MK001,MK00108,Свети Николе,17519,482.77412629,2019,MK_MK00108,TRUE
MK_MK00109,21.66611203495266,41.64430764905917,MK,MK00,MK001,MK00109,Чашка,8183,819.56635251,2019,MK_MK00109,TRUE
MK_MK00201,22.84281045703506,41.70630452581259,MK,MK00,MK002,MK00201,Берово,12646,597.78854888,2019,MK_MK00201,TRUE
MK_MK00202,22.50882882926739,41.88332674266174,MK,MK00,MK002,MK00202,Виница,19299,432.53477418,2019,MK_MK00202,TRUE
MK_MK00203,22.77483859618678,41.96592212917946,MK,MK00,MK002,MK00203,Делчево,15918,422.25893694,2019,MK_MK00203,TRUE
MK_MK00204,22.437836727812577,41.853211603111234,MK,MK00,MK002,MK00204,Зрновци,2968,55.81104186,2019,MK_MK00204,TRUE
MK_MK00205,22.226592426362217,41.80364288863574,MK,MK00,MK002,MK00205,Карбинци,3918,229.66114556,2019,MK_MK00205,TRUE
MK_MK00206,22.41222718204386,41.9158421692537,MK,MK00,MK002,MK00206,Кочани,37566,360.33028164,2019,MK_MK00206,TRUE
MK_MK00207,22.585844122047035,42.02436793753279,MK,MK00,MK002,MK00207,Македонска Каменица,7398,190.3214755,2019,MK_MK00207,TRUE
