gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
NO_0301,10.772450094847564,59.923506401425044,NO,NO08,NO081,0301,Oslo kommune,693494,453.97681928,2020,NO_0301,TRUE
NO_1101,5.999598337722449,58.451722112921,NO,NO0A,NO0A1,1101,Eigersund,14811,431.53898234,2020,NO_1101,TRUE
NO_1103,5.715770976713695,58.95484274158434,NO,NO0A,NO0A1,1103,Stavanger,143574,259.86412844,2020,NO_1103,TRUE
NO_1106,5.285853460112684,59.41513762604639,NO,NO0A,NO0A1,1106,Haugesund,37357,71.80391797,2020,NO_1106,TRUE
NO_1108,5.743804639197027,58.853625764222315,NO,NO0A,NO0A1,1108,Sandnes,79537,1040.55183762,2020,NO_1108,TRUE
NO_1111,6.291043008555478,58.34306716310286,NO,NO0A,NO0A1,1111,Sokndal,3280,294.68866427,2020,NO_1111,TRUE
NO_1112,6.5419713472295005,58.45986613425918,NO,NO0A,NO0A1,1112,Lund,3202,408.40070457,2020,NO_1112,TRUE
NO_1114,6.087704145777469,58.62708471091348,NO,NO0A,NO0A1,1114,Bjerkreim,2787,650.56815234,2020,NO_1114,TRUE
NO_1119,5.6586571288015435,58.64048299904352,NO,NO0A,NO0A1,1119,Hå,18991,258.02083227,2020,NO_1119,TRUE
NO_1120,5.638101339505329,58.77550731624187,NO,NO0A,NO0A1,1120,Klepp,19588,113.87592204,2020,NO_1120,TRUE
NO_1121,5.6700152563125465,58.73701566733957,NO,NO0A,NO0A1,1121,Time,18916,183.19096699,2020,NO_1121,TRUE
NO_1122,5.857887054185443,58.77108133596842,NO,NO0A,NO0A1,1122,Gjesdal,12002,617.99140642,2020,NO_1122,TRUE
NO_1124,5.645383811641782,58.900242994935574,NO,NO0A,NO0A1,1124,Sola,27153,68.97269182,2020,NO_1124,TRUE
NO_1127,5.622834570282285,58.99702705184839,NO,NO0A,NO0A1,1127,Randaberg,11221,24.58777088,2020,NO_1127,TRUE
NO_1130,6.022447882556029,59.03249735711202,NO,NO0A,NO0A1,1130,Strand,12968,261.38390325,2020,NO_1130,TRUE
NO_1133,6.176430547222174,59.21330154941687,NO,NO0A,NO0A1,1133,Hjelmeland,2574,1067.57324277,2020,NO_1133,TRUE
NO_1134,6.293325076782954,59.483284397149454,NO,NO0A,NO0A1,1134,Suldal,3804,1736.87679849,2020,NO_1134,TRUE
NO_1135,6.36263193795996,59.653495665451196,NO,NO0A,NO0A1,1135,Sauda,4595,546.35444204,2020,NO_1135,TRUE
NO_1144,5.407543323577448,59.064641720586835,NO,NO0A,NO0A1,1144,Kvitsøy,517,4.79960014,2020,NO_1144,TRUE
NO_1145,5.445834677955043,59.22501791084161,NO,NO0A,NO0A1,1145,Bokn,852,46.29193435,2020,NO_1145,TRUE
NO_1146,5.41390971652435,59.417787770971515,NO,NO0A,NO0A1,1146,Tysvær,11065,424.00404901,2020,NO_1146,TRUE
NO_1149,5.2546694615081915,59.26698829725395,NO,NO0A,NO0A1,1149,Karmøy,42186,225.42656137,2020,NO_1149,TRUE
NO_1151,4.889574362261735,59.3002284212118,NO,NO0A,NO0A1,1151,Utsira,198,6.11129163,2020,NO_1151,TRUE
NO_1160,5.757359145826683,59.56047154700054,NO,NO0A,NO0A1,1160,Vindafjord,8714,620.00327191,2020,NO_1160,TRUE
NO_1505,7.745069794380214,63.11459518593796,NO,NO0A,NO0A3,1505,Kristiansund,24179,86.42141176,2020,NO_1505,TRUE
NO_1506,7.2055680905657455,62.74618263423671,NO,NO0A,NO0A3,1506,Molde,31967,1503.42275415,2020,NO_1506,TRUE
NO_1507,6.333390146311019,62.46774053454512,NO,NO0A,NO0A3,1507,Ålesund,66258,628.11077237,2020,NO_1507,TRUE
NO_1511,5.601417080600592,62.0858035903677,NO,NO0A,NO0A3,1511,Vanylven,3117,385.07268577,2020,NO_1511,TRUE
NO_1514,5.596917433070683,62.215537948300025,NO,NO0A,NO0A3,1514,Sande (M. og R.),2461,92.62595573,2020,NO_1514,TRUE
NO_1515,5.644909213852012,62.33242805718712,NO,NO0A,NO0A3,1515,Herøy (M. og R.),8900,118.74943496,2020,NO_1515,TRUE
NO_1516,5.857484499298903,62.341080939451786,NO,NO0A,NO0A3,1516,Ulstein,8571,96.72463239,2020,NO_1516,TRUE
NO_1517,6.020815164755105,62.369913901612954,NO,NO0A,NO0A3,1517,Hareid,5175,82.47748203,2020,NO_1517,TRUE
NO_1520,6.132284516869451,62.20252566329335,NO,NO0A,NO0A3,1520,Ørsta,10825,661.84364005,2020,NO_1520,TRUE
NO_1525,6.923025284834483,62.291899519335885,NO,NO0A,NO0A3,1525,Stranda,4523,866.10857071,2020,NO_1525,TRUE
NO_1528,6.5797414279475515,62.38624829467513,NO,NO0A,NO0A3,1528,Sykkylven,7625,337.70566574,2020,NO_1528,TRUE
NO_1531,6.233355254911199,62.43591724300641,NO,NO0A,NO0A3,1531,Sula,9310,58.48079519,2020,NO_1531,TRUE
NO_1532,6.11955291666767,62.50806699883927,NO,NO0A,NO0A3,1532,Giske,8462,39.7844408,2020,NO_1532,TRUE
NO_1535,7.047775489969197,62.614230740946766,NO,NO0A,NO0A3,1535,Vestnes,6532,351.70183426,2020,NO_1535,TRUE
NO_1539,7.704087388666773,62.565635363335545,NO,NO0A,NO0A3,1539,Rauma,7468,1502.12402116,2020,NO_1539,TRUE
NO_1547,6.882369615383121,62.80798975254934,NO,NO0A,NO0A3,1547,Aukra,3509,58.20913791,2020,NO_1547,TRUE
NO_1554,7.575896442216875,63.04833596879676,NO,NO0A,NO0A3,1554,Averøy,5788,174.12330787,2020,NO_1554,TRUE
NO_1557,7.794061728858914,62.90922936818734,NO,NO0A,NO0A3,1557,Gjemnes,2629,381.76850524,2020,NO_1557,TRUE
NO_1560,8.175084970262066,62.93130082564738,NO,NO0A,NO0A3,1560,Tingvoll,3025,336.44301716,2020,NO_1560,TRUE
NO_1563,8.574923618567123,62.671734588588805,NO,NO0A,NO0A3,1563,Sunndal,7036,1713.44128706,2020,NO_1563,TRUE
NO_1566,8.699512150164802,62.96521847629884,NO,NO0A,NO0A3,1566,Surnadal,5920,1366.13473843,2020,NO_1566,TRUE
NO_1573,8.015042705466906,63.42134047329642,NO,NO0A,NO0A3,1573,Smøla,2150,263.89328563,2020,NO_1573,TRUE
NO_1576,8.552073928527841,63.27504090589758,NO,NO0A,NO0A3,1576,Aure,3507,641.33020934,2020,NO_1576,TRUE
NO_1577,6.089519400507171,62.14798636384587,NO,NO0A,NO0A3,1577,Volda,10473,876.85418999,2020,NO_1577,TRUE
NO_1578,7.103727867229556,62.35167242406982,NO,NO0A,NO0A3,1578,Fjord,2549,1190.57622679,2020,NO_1578,TRUE
NO_1579,7.204239440079175,62.87051925168342,NO,NO0A,NO0A3,1579,Hustadvika,13279,518.47051969,2020,NO_1579,TRUE
NO_1804,14.454760028579738,67.28512213311933,NO,NO07,NO071,1804,Bodø,52357,1381.61801679,2020,NO_1804,TRUE
NO_1806,17.41384523046552,68.43622296160358,NO,NO07,NO071,1806,Narvik,21845,3430.28657073,2020,NO_1806,TRUE
NO_1811,12.365275283838114,65.08262707503243,NO,NO07,NO071,1811,Bindal,1426,1263.25750966,2020,NO_1811,TRUE
NO_1812,12.176905593978608,65.32860408145353,NO,NO07,NO071,1812,Sømna,1975,191.78240335,2020,NO_1812,TRUE
NO_1813,12.23259649654657,65.4808429337546,NO,NO07,NO071,1813,Brønnøy,7917,1039.70754307,2020,NO_1813,TRUE
NO_1815,11.94687755070539,65.67987948983081,NO,NO07,NO071,1815,Vega,1200,145.83073216,2020,NO_1815,TRUE
NO_1816,12.444602876442232,65.69724334964279,NO,NO07,NO071,1816,Vevelstad,462,538.19889714,2020,NO_1816,TRUE
NO_1818,12.283670806562746,65.98519471996497,NO,NO07,NO071,1818,Herøy (Nordl.),1777,50.36207104,2020,NO_1818,TRUE
NO_1820,12.617047354989198,66.01374070320277,NO,NO07,NO071,1820,Alstahaug,7447,180.65104786,2020,NO_1820,TRUE
NO_1822,12.933090329253764,66.06639348388391,NO,NO07,NO071,1822,Leirfjord,2294,465.21368577,2020,NO_1822,TRUE
NO_1824,13.209544077471538,65.84074991494697,NO,NO07,NO071,1824,Vefsn,13278,1928.35269799,2020,NO_1824,TRUE
NO_1825,13.406060792036193,65.53282434894959,NO,NO07,NO071,1825,Grane,1482,2004.15287886,2020,NO_1825,TRUE
NO_1826,14.002770113221148,65.59237774829631,NO,NO07,NO071,1826,Hattfjelldal,1297,2684.36701575,2020,NO_1826,TRUE
NO_1827,12.52431301244916,66.1217049923655,NO,NO07,NO071,1827,Dønna,1371,187.06503626,2020,NO_1827,TRUE
NO_1828,13.02945326899598,66.1988188847587,NO,NO07,NO071,1828,Nesna,1761,182.20276926,2020,NO_1828,TRUE
NO_1832,13.768813673431472,66.14077710329495,NO,NO07,NO071,1832,Hemnes,4454,1588.70150739,2020,NO_1832,TRUE
NO_1833,14.158647103227151,66.32065831998212,NO,NO07,NO071,1833,Rana,26184,4460.57460811,2020,NO_1833,TRUE
NO_1834,13.102881938071283,66.4564453803679,NO,NO07,NO071,1834,Lurøy,1890,251.68509148,2020,NO_1834,TRUE
NO_1835,12.097182314545574,66.50006769581748,NO,NO07,NO071,1835,Træna,435,12.29596541,2020,NO_1835,TRUE
NO_1836,13.35341634733269,66.66411467342085,NO,NO07,NO071,1836,Rødøy,1213,701.39863745,2020,NO_1836,TRUE
NO_1837,13.769720080489794,66.84053357554947,NO,NO07,NO071,1837,Meløy,6288,867.71773518,2020,NO_1837,TRUE
NO_1838,14.032014510163396,67.034986470562,NO,NO07,NO071,1838,Gildeskål,1950,656.99583593,2020,NO_1838,TRUE
NO_1839,14.689632181992987,66.97773302296882,NO,NO07,NO071,1839,Beiarn,1017,1222.15466011,2020,NO_1839,TRUE
NO_1840,15.38705742297626,67.08747221884052,NO,NO07,NO071,1840,Saltdal,4671,2216.07992169,2020,NO_1840,TRUE
NO_1841,15.396106645833887,67.26232948483494,NO,NO07,NO071,1841,Fauske,9739,1209.82500361,2020,NO_1841,TRUE
NO_1845,15.593823352216509,67.35380743488102,NO,NO07,NO071,1845,Sørfold,1926,1636.44002945,2020,NO_1845,TRUE
NO_1848,15.03517539302044,67.7834829268683,NO,NO07,NO071,1848,Steigen,2608,998.33952401,2020,NO_1848,TRUE
NO_1851,15.979676574986271,68.41049709881298,NO,NO07,NO071,1851,Lødingen,2034,519.48258959,2020,NO_1851,TRUE
NO_1853,16.91595133086788,68.50210136665709,NO,NO07,NO071,1853,Evenes,1348,252.22879992,2020,NO_1853,TRUE
NO_1856,12.109183056262665,67.51817156290507,NO,NO07,NO071,1856,Røst,498,8.05926816,2020,NO_1856,TRUE
NO_1857,12.69731524654383,67.66314120596947,NO,NO07,NO071,1857,Værøy,728,17.96162541,2020,NO_1857,TRUE
NO_1859,13.311712715317435,68.10398334787936,NO,NO07,NO071,1859,Flakstad,1272,177.58099904,2020,NO_1859,TRUE
NO_1860,13.634071424921482,68.13554851220992,NO,NO07,NO071,1860,Vestvågøy,11433,418.93529283,2020,NO_1860,TRUE
NO_1865,14.532160943866499,68.233944350789,NO,NO07,NO071,1865,Vågan,9608,473.2684752,2020,NO_1865,TRUE
NO_1866,14.850444216366185,68.53228789703779,NO,NO07,NO071,1866,Hadsel,8061,564.8249787,2020,NO_1866,TRUE
NO_1867,14.4821538980641,68.64742357860001,NO,NO07,NO071,1867,Bø (Nordl.),2569,244.8043822,2020,NO_1867,TRUE
NO_1868,15.101240371517783,68.91546054056619,NO,NO07,NO071,1868,Øksnes,4410,317.01042341,2020,NO_1868,TRUE
NO_1870,15.390956928837701,68.69149528742946,NO,NO07,NO071,1870,Sortland,10566,721.68066653,2020,NO_1870,TRUE
NO_1871,16.08356493818425,69.29955488966613,NO,NO07,NO071,1871,Andøy,4663,654.45436477,2020,NO_1871,TRUE
NO_1874,13.044210458446013,67.90544398564728,NO,NO07,NO071,1874,Moskenes,1015,118.15177069,2020,NO_1874,TRUE
NO_1875,15.774283571012214,68.0601109433826,NO,NO07,NO071,1875,Hamarøy,2766,2013.9371351,2020,NO_1875,TRUE
NO_3001,11.387949154293969,59.129813843976706,NO,NO08,NO082,3001,Halden,31373,642.17716559,2020,NO_3001,TRUE
NO_3002,10.670445716120362,59.43178198946261,NO,NO08,NO082,3002,Moss,49273,137.56878268,2020,NO_3002,TRUE
