gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
UK_E06000001,-1.228383247760887,54.68192697832553,UK,UKC1,UKC11,E06000001,Hartlepool,93242,93.91347565,2020,UK_E06000001,TRUE
UK_E06000002,-1.2305962606967387,54.555543754044194,UK,UKC1,UKC12,E06000002,Middlesbrough,140545,54.59449838,2020,UK_E06000002,TRUE
UK_E06000003,-1.075630185064375,54.57396411044671,UK,UKC1,UKC12,E06000003,Redcar and Cleveland,136718,246.39713566,2020,UK_E06000003,TRUE
UK_E06000004,-1.319683301381912,54.56706545212115,UK,UKC1,UKC11,E06000004,Stockton-on-Tees,197213,207.23128285,2020,UK_E06000004,TRUE
UK_E06000005,-1.5519303553833002,54.53111521896139,UK,UKC1,UKC13,E06000005,Darlington,106566,197.6103177,2020,UK_E06000005,TRUE
UK_E06000006,-2.7218286360880732,53.35150568761544,UK,UKD7,UKD71,E06000006,Halton,128432,82.180164,2020,UK_E06000006,TRUE
UK_E06000007,-2.584783559326961,53.39728956415456,UK,UKD6,UKD61,E06000007,Warrington,209547,182.50827777,2020,UK_E06000007,TRUE
UK_E06000008,-2.4809319050842387,53.73823719543612,UK,UKD4,UKD41,E06000008,Blackburn with Darwen,148942,137.12426333,2020,UK_E06000008,TRUE
UK_E06000009,-3.0356944078902752,53.815483399692766,UK,UKD4,UKD42,E06000009,Blackpool,139305,34.89214667,2020,UK_E06000009,TRUE
UK_E06000010,-0.3434857360730969,53.763729847379835,UK,UKE1,UKE11,E06000010,"Kingston upon Hull, City of",260645,71.89417273,2020,UK_E06000010,TRUE
UK_E06000011,-0.45858090795449435,53.843766979872854,UK,UKE1,UKE12,E06000011,East Riding of Yorkshire,339614,2417.25629342,2020,UK_E06000011,TRUE
UK_E06000012,-0.0819169020677611,53.55904311121981,UK,UKE1,UKE13,E06000012,North East Lincolnshire,159821,192.71253963,2020,UK_E06000012,TRUE
UK_E06000013,-0.6286896047531563,53.58405447090302,UK,UKE1,UKE13,E06000013,North Lincolnshire,172005,854.65211139,2020,UK_E06000013,TRUE
UK_E06000014,-1.0843032676210165,53.96230195049296,UK,UKE2,UKE21,E06000014,York,209893,272.17365049,2020,UK_E06000014,TRUE
UK_E06000015,-1.4743246382237667,52.91107504189358,UK,UKF1,UKF11,E06000015,Derby,257174,78.08656495,2020,UK_E06000015,TRUE
UK_E06000016,-1.1224683991936844,52.635294206237894,UK,UKF2,UKF21,E06000016,Leicester,355218,73.39136784,2020,UK_E06000016,TRUE
UK_E06000017,-0.698890857491011,52.65923200229907,UK,UKF2,UKF22,E06000017,Rutland,39697,393.96708067,2020,UK_E06000017,TRUE
UK_E06000018,-1.1684664048912892,52.96370459155106,UK,UKF1,UKF14,E06000018,Nottingham,331069,74.65998703,2020,UK_E06000018,TRUE
UK_E06000019,-2.6944074330212686,52.06270336790865,UK,UKG1,UKG11,E06000019,"Herefordshire, County of",192107,2181.24110764,2020,UK_E06000019,TRUE
UK_E06000020,-2.459338588468381,52.68851053100063,UK,UKG2,UKG21,E06000020,Telford and Wrekin,177799,290.53483889,2020,UK_E06000020,TRUE
UK_E06000021,-2.1621875150673096,53.01871094283231,UK,UKG2,UKG23,E06000021,Stoke-on-Trent,255833,93.52116488,2020,UK_E06000021,TRUE
UK_E06000022,-2.402588518065369,51.37132238821643,UK,UKK1,UKK12,E06000022,Bath and North East Somerset,192106,351.38256433,2020,UK_E06000022,TRUE
UK_E06000023,-2.585460348179151,51.45972023379338,UK,UKK1,UKK11,E06000023,"Bristol, City of",463405,111.21698888,2020,UK_E06000023,TRUE
UK_E06000024,-2.878021221967253,51.38757723606193,UK,UKK1,UKK12,E06000024,North Somerset,213919,375.03963533,2020,UK_E06000024,TRUE
UK_E06000025,-2.5026057658995122,51.50112467369611,UK,UKK1,UKK12,E06000025,South Gloucestershire,282644,497.44614654,2020,UK_E06000025,TRUE
UK_E06000026,-4.134623742913605,50.38769340432153,UK,UKK4,UKK41,E06000026,Plymouth,263100,80.22673816,2020,UK_E06000026,TRUE
UK_E06000027,-3.547369321690784,50.4547702833781,UK,UKK4,UKK42,E06000027,Torbay,135780,63.00080673,2020,UK_E06000027,TRUE
UK_E06000030,-1.7845772524137637,51.57082788818871,UK,UKK1,UKK14,E06000030,Swindon,221996,230.26201488,2020,UK_E06000030,TRUE
UK_E06000031,-0.2546882850328775,52.58097966795199,UK,UKH1,UKH11,E06000031,Peterborough,201041,343.60906801,2020,UK_E06000031,TRUE
UK_E06000032,-0.4311568784006841,51.891920238930936,UK,UKH2,UKH21,E06000032,Luton,214109,43.37639785,2020,UK_E06000032,TRUE
UK_E06000033,0.7039806389599811,51.54578234516864,UK,UKH3,UKH31,E06000033,Southend-on-Sea,182463,41.71712141,2020,UK_E06000033,TRUE
UK_E06000034,0.3437867266273926,51.49433479937604,UK,UKH3,UKH32,E06000034,Thurrock,172525,170.26754214,2020,UK_E06000034,TRUE
UK_E06000035,0.5384403435245352,51.377063500211825,UK,UKJ4,UKJ41,E06000035,Medway,277855,197.04505622,2020,UK_E06000035,TRUE
