gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
AL_AL111,20.256533155451596,41.501057380691364,AL,AL1,AL11,AL111,Bulqizë,31210,678.96568334,2019,AL_AL111,official,TRUE
AL_AL112,20.42774030498726,41.68077312115291,AL,AL1,AL11,AL112,Dibër,61619,938.72629946,2019,AL_AL112,official,TRUE
AL_AL113,20.07067096443536,41.516583693958815,AL,AL1,AL11,AL113,Klos,16618,357.72307074,2019,AL_AL113,official,TRUE
AL_AL114,20.008786570959106,41.60886604203292,AL,AL1,AL11,AL114,Mat,27600,493.81308099,2019,AL_AL114,official,TRUE
AL_AL121,19.458083266428755,41.326165362188185,AL,AL1,AL12,AL121,Durrës,175110,338.46683403,2019,AL_AL121,official,TRUE
AL_AL122,19.74666265228202,41.496238575983746,AL,AL1,AL12,AL122,Krujë,59814,339.20365764,2019,AL_AL122,official,TRUE
AL_AL123,19.563538374797826,41.345427947439724,AL,AL1,AL12,AL123,Shijak,27861,92.21624318,2019,AL_AL123,official,TRUE
AL_AL131,20.408517114394684,42.19674534465101,AL,AL1,AL13,AL131,Has,16790,399.79961121,2019,AL_AL131,official,TRUE
AL_AL132,20.425469243230022,42.06999526243974,AL,AL1,AL13,AL132,Kukës,47985,934.4276099,2019,AL_AL132,official,TRUE
AL_AL133,20.077499167268975,42.3586557359788,AL,AL1,AL13,AL133,Tropojë,20517,1057.78154779,2019,AL_AL133,official,TRUE
AL_AL141,19.708716437803957,41.62534574940339,AL,AL1,AL14,AL141,Kurbin,46291,269.17877907,2019,AL_AL141,official,TRUE
AL_AL142,19.644572564538514,41.778539807003895,AL,AL1,AL14,AL142,Lezhë,65633,509.34284857,2019,AL_AL142,official,TRUE
AL_AL143,19.876452201153175,41.7712210633723,AL,AL1,AL14,AL143,Mirditë,22103,870.24955277,2019,AL_AL143,official,TRUE
AL_AL151,20.033454387163374,42.07543008548144,AL,AL1,AL15,AL151,Fushë Arrës,7405,540.79777777,2019,AL_AL151,official,TRUE
AL_AL152,19.459007688391683,42.21660425031511,AL,AL1,AL15,AL152,Malësi e Madhe,30823,951.44162807,2019,AL_AL152,official,TRUE
AL_AL153,19.903967802946898,42.039229033170294,AL,AL1,AL15,AL153,Pukë,11069,505.83441979,2019,AL_AL153,official,TRUE
AL_AL154,19.512468872874614,42.06717334036932,AL,AL1,AL15,AL154,Shkodër,135612,872.99551701,2019,AL_AL154,official,TRUE
AL_AL155,19.58629903129338,41.97564517423981,AL,AL1,AL15,AL155,Vau i Dejës,30438,499.31148459,2019,AL_AL155,official,TRUE
AL_AL211,19.889745398519096,40.951025232829885,AL,AL2,AL21,AL211,Belsh,19503,196.56019507,2019,AL_AL211,official,TRUE
AL_AL212,20.003607394840348,40.994833684703835,AL,AL2,AL21,AL212,Cërrik,27445,189.76448506,2019,AL_AL212,official,TRUE
AL_AL213,20.08146109265793,41.11389773211818,AL,AL2,AL21,AL213,Elbasan,141714,872.60553476,2019,AL_AL213,official,TRUE
AL_AL214,20.18439448239883,40.870026535336066,AL,AL2,AL21,AL214,Gramsh,24231,739.7302601,2019,AL_AL214,official,TRUE
AL_AL215,20.31901892768014,41.18303780507219,AL,AL2,AL21,AL215,Librazhd,31892,793.94010314,2019,AL_AL215,official,TRUE
AL_AL216,19.772063878491476,41.047010269352874,AL,AL2,AL21,AL216,Peqin,26136,197.88599689,2019,AL_AL216,official,TRUE
AL_AL217,20.539635606644325,41.06911721594503,AL,AL2,AL21,AL217,Prrenjas,24906,323.18965751,2019,AL_AL217,official,TRUE
AL_AL221,19.78330162774837,41.36961036311243,AL,AL2,AL22,AL221,Kamëz,104190,37.18983639,2019,AL_AL221,official,TRUE
AL_AL222,19.55676224868816,41.18404860239841,AL,AL2,AL22,AL222,Kavajë,40094,198.89126266,2019,AL_AL222,official,TRUE
AL_AL223,19.648580543126727,41.082208562451946,AL,AL2,AL22,AL223,Rrogozhinë,22148,223.62647075,2019,AL_AL223,official,TRUE
AL_AL224,19.81472283074862,41.330010660887076,AL,AL2,AL22,AL224,Tiranë,557422,1110.69657813,2019,AL_AL224,official,TRUE
AL_AL225,19.67810186420131,41.38926728852633,AL,AL2,AL22,AL225,Vorë,25511,82.76832986,2019,AL_AL225,official,TRUE
AL_AL311,19.95860033014445,40.70440363136096,AL,AL3,AL31,AL311,Berat,60031,380.21221989,2019,AL_AL311,official,TRUE
AL_AL312,19.913544286596615,40.80348697161787,AL,AL3,AL31,AL312,Kuçovë,31262,160.31345147,2019,AL_AL312,official,TRUE
AL_AL313,20.09166707931745,40.616811883906266,AL,AL3,AL31,AL313,Poliçan,10953,272.20607057,2019,AL_AL313,official,TRUE
AL_AL314,20.228626122278445,40.50448978810486,AL,AL3,AL31,AL314,Skrapar,12403,831.97541835,2019,AL_AL314,official,TRUE
AL_AL315,19.820975402771552,40.784621178639924,AL,AL3,AL31,AL315,Ura Vajgurore,27295,156.64055401,2019,AL_AL315,official,TRUE
AL_AL321,19.578534061213976,40.99127389870588,AL,AL3,AL32,AL321,Divjakë,34254,309.69324992,2019,AL_AL321,official,TRUE
AL_AL322,19.55854210551336,40.72740836654017,AL,AL3,AL32,AL322,Fier,120655,620.16622952,2019,AL_AL322,official,TRUE
AL_AL323,19.704786029389627,40.934458483580606,AL,AL3,AL32,AL323,Lushnje,83659,372.90562232,2019,AL_AL323,official,TRUE
AL_AL324,19.738179408119148,40.59518124950849,AL,AL3,AL32,AL324,Mallakastër,27062,329.38802501,2019,AL_AL324,official,TRUE
AL_AL325,19.71075210343258,40.74131574135708,AL,AL3,AL32,AL325,Roskovec,21742,118.07210477,2019,AL_AL325,official,TRUE
AL_AL326,19.623462448881522,40.683793704302644,AL,AL3,AL32,AL326,Patos,22959,82.61203047,2019,AL_AL326,official,TRUE
AL_AL331,20.224603337654287,39.999368658365356,AL,AL3,AL33,AL331,Dropull,3503,450.16856948,2019,AL_AL331,official,TRUE
AL_AL332,20.140652129162863,40.07963587404248,AL,AL3,AL33,AL332,Gjirokastër,28673,469.53612682,2019,AL_AL332,official,TRUE
AL_AL333,20.18791527146222,40.31728485707919,AL,AL3,AL33,AL333,Këlcyrë,6113,304.87349623,2019,AL_AL333,official,TRUE
AL_AL334,20.261818650002578,40.03270092198361,AL,AL3,AL33,AL334,Libohovë,3667,248.41423582,2019,AL_AL334,official,TRUE
AL_AL335,20.354176509617133,40.233510446684654,AL,AL3,AL33,AL335,Përmet,10614,602.58387068,2019,AL_AL335,official,TRUE
AL_AL336,20.018790626465922,40.29505531855926,AL,AL3,AL33,AL336,Tepelenë,8949,431.49810314,2019,AL_AL336,official,TRUE
AL_AL337,19.97271814650681,40.36090095362659,AL,AL3,AL33,AL337,Memaliaj,10657,372.29747871,2019,AL_AL337,official,TRUE
AL_AL341,20.97245807734497,40.621851310245845,AL,AL3,AL34,AL341,Devoll,26716,458.98889851,2019,AL_AL341,official,TRUE
AL_AL342,20.659199658082755,40.29514027316254,AL,AL3,AL34,AL342,Kolonjë,11070,865.8618997,2019,AL_AL342,official,TRUE
AL_AL343,20.777982329798306,40.61514613865936,AL,AL3,AL34,AL343,Korçë,75994,806.63561392,2019,AL_AL343,official,TRUE
AL_AL344,20.76298439928062,40.73779626227227,AL,AL3,AL34,AL344,Maliq,41757,656.84170545,2019,AL_AL344,official,TRUE
AL_AL345,20.65993187620067,40.8974344108509,AL,AL3,AL34,AL345,Pogradec,61530,595.00633368,2019,AL_AL345,official,TRUE
AL_AL346,20.913842824036188,40.8323728820853,AL,AL3,AL34,AL346,Pustec,3290,199.65717137,2019,AL_AL346,official,TRUE
AL_AL351,20.08986559972641,39.950579409210846,AL,AL3,AL35,AL351,Delvinë,7887,183.03192011,2019,AL_AL351,official,TRUE
AL_AL352,19.786818356309617,40.0903937233201,AL,AL3,AL35,AL352,Himarë,7818,572.23857785,2019,AL_AL352,official,TRUE
AL_AL353,20.109011717235546,39.69805897314461,AL,AL3,AL35,AL353,Konispol,8245,221.74505278,2019,AL_AL353,official,TRUE
AL_AL354,20.103894783067194,39.87398114935394,AL,AL3,AL35,AL354,Finiq,7284,441.39440568,2019,AL_AL354,official,TRUE
AL_AL355,20.00555796882999,39.87285176034292,AL,AL3,AL35,AL355,Sarandë,23183,58.88570906,2019,AL_AL355,official,TRUE
AL_AL356,19.626418656384825,40.459392448353015,AL,AL3,AL35,AL356,Selenicë,16396,561.50918704,2019,AL_AL356,official,TRUE
