gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
BE_11001,4.385337213623049,51.13317076289441,BE,BE21,BE211,11001,Aartselaar,14307,11.00006789,2018,BE_11001,official,TRUE
BE_11002,4.422017869230598,51.21258786706091,BE,BE21,BE211,11002,Antwerpen,524667,204.0080418,2018,BE_11002,official,TRUE
BE_11004,4.501921282821548,51.16505227097261,BE,BE21,BE211,11004,Boechout,13137,20.72341666,2018,BE_11004,official,TRUE
BE_11005,4.372160726762074,51.09330412242497,BE,BE21,BE211,11005,Boom,18015,7.31016913,2018,BE_11005,official,TRUE
BE_11007,4.481278157685269,51.198216109215664,BE,BE21,BE211,11007,Borsbeek,10691,3.88991037,2018,BE_11007,official,TRUE
BE_11008,4.490318380633789,51.29972998378653,BE,BE21,BE211,11008,Brasschaat,37902,38.62568794,2018,BE_11008,official,TRUE
BE_11009,4.599916185001191,51.317672131822626,BE,BE21,BE211,11009,Brecht,29032,91.37736517,2018,BE_11009,official,TRUE
BE_11013,4.438082449891661,51.15856097445181,BE,BE21,BE211,11013,Edegem,21979,8.69904531,2018,BE_11013,official,TRUE
BE_11016,4.458129196363217,51.45354201131027,BE,BE21,BE211,11016,Essen,19072,47.57059568,2018,BE_11016,official,TRUE
BE_11018,4.341831036663022,51.14319959614171,BE,BE21,BE211,11018,Hemiksem,11395,5.51489401,2018,BE_11018,official,TRUE
BE_11021,4.472338427120363,51.15303453675515,BE,BE21,BE211,11021,Hove,8120,6.0049001,2018,BE_11021,official,TRUE
BE_11022,4.472656248973782,51.38400274303846,BE,BE21,BE211,11022,Kalmthout,18629,59.57155319,2018,BE_11022,official,TRUE
BE_11023,4.427289644460664,51.3173576466653,BE,BE21,BE211,11023,Kapellen,27083,37.23061532,2018,BE_11023,official,TRUE
BE_11024,4.452094791567664,51.13298180938787,BE,BE21,BE211,11024,Kontich,21098,23.87285045,2018,BE_11024,official,TRUE
BE_11025,4.490319124075187,51.127746315450445,BE,BE21,BE211,11025,Lint,8972,5.60879585,2018,BE_11025,official,TRUE
BE_11029,4.453028443880681,51.17241955207744,BE,BE21,BE211,11029,Mortsel,25883,7.79559264,2018,BE_11029,official,TRUE
BE_11030,4.33282024298777,51.1102606159918,BE,BE21,BE211,11030,Niel,10443,5.31730949,2018,BE_11030,official,TRUE
BE_11035,4.582493858830907,51.194774582040516,BE,BE21,BE211,11035,Ranst,19337,43.68644962,2018,BE_11035,official,TRUE
BE_11037,4.41049848103387,51.09149345670068,BE,BE21,BE211,11037,Rumst,15123,20.18019794,2018,BE_11037,official,TRUE
BE_11038,4.335367461608811,51.122046559028945,BE,BE21,BE211,11038,Schelle,8441,7.74604874,2018,BE_11038,official,TRUE
BE_11039,4.578017902379146,51.24573863388179,BE,BE21,BE211,11039,Schilde,19610,36.05027022,2018,BE_11039,official,TRUE
BE_11040,4.494835145106875,51.252552733852035,BE,BE21,BE211,11040,Schoten,34502,29.5284331,2018,BE_11040,official,TRUE
BE_11044,4.386904928588754,51.32435380442843,BE,BE21,BE211,11044,Stabroek,18526,21.16758533,2018,BE_11044,official,TRUE
BE_11050,4.516945225901036,51.22822113482319,BE,BE21,BE211,11050,Wijnegem,9717,7.87517979,2018,BE_11050,official,TRUE
BE_11052,4.514074209319668,51.20234283788519,BE,BE21,BE211,11052,Wommelgem,12903,12.98387751,2018,BE_11052,official,TRUE
BE_11053,4.576699564489544,51.37671859832831,BE,BE21,BE211,11053,Wuustwezel,20685,89.42218095,2018,BE_11053,official,TRUE
BE_11054,4.671999632179726,51.21109475353675,BE,BE21,BE211,11054,Zandhoven,12997,40.08431177,2018,BE_11054,official,TRUE
BE_11055,4.6559523105573755,51.26289821974873,BE,BE21,BE211,11055,Zoersel,21772,38.64285326,2018,BE_11055,official,TRUE
BE_11056,4.332542620132159,51.21353159187363,BE,BE21,BE211,11056,Zwijndrecht,19035,20.10635678,2018,BE_11056,official,TRUE
BE_11057,4.710061106263611,51.30000420829113,BE,BE21,BE211,11057,Malle,15321,51.90562565,2018,BE_11057,official,TRUE
BE_12002,4.651871674371638,51.11259555856381,BE,BE21,BE212,12002,Berlaar,11519,24.52437866,2018,BE_12002,official,TRUE
BE_12005,4.554113599742363,51.02273671264638,BE,BE21,BE212,12005,Bonheiden,14962,29.18841607,2018,BE_12005,official,TRUE
BE_12007,4.23673259973791,51.09411218387383,BE,BE21,BE212,12007,Bornem,21198,46.20155187,2018,BE_12007,official,TRUE
BE_12009,4.506753062457391,51.09579600952899,BE,BE21,BE212,12009,Duffel,17406,22.60636033,2018,BE_12009,official,TRUE
BE_12014,4.730169622886168,51.07212480994517,BE,BE21,BE212,12014,Heist-op-den-Berg,42517,86.70446579,2018,BE_12014,official,TRUE
BE_12021,4.568654241834978,51.1337125127467,BE,BE21,BE212,12021,Lier,35769,49.830893,2018,BE_12021,official,TRUE
BE_12025,4.477087616325727,51.02679181660346,BE,BE21,BE212,12025,Mechelen,86368,65.74320179,2018,BE_12025,official,TRUE
BE_12026,4.658867501917246,51.15553854859087,BE,BE21,BE212,12026,Nijlen,22829,39.16500447,2018,BE_12026,official,TRUE
BE_12029,4.642204566645865,51.05478286313755,BE,BE21,BE212,12029,Putte,17601,35.16699411,2018,BE_12029,official,TRUE
BE_12030,4.298078917404906,51.07257006046427,BE,BE21,BE212,12030,Puurs,17462,33.39548405,2018,BE_12030,official,TRUE
BE_12034,4.2161216551146845,51.05207553937673,BE,BE21,BE212,12034,Sint-Amands,8486,15.71913548,2018,BE_12034,official,TRUE
BE_12035,4.527948876878496,51.056529113685464,BE,BE21,BE212,12035,Sint-Katelijne-Waver,20867,36.13675472,2018,BE_12035,official,TRUE
BE_12040,4.359889376924898,51.05770170144072,BE,BE21,BE212,12040,Willebroek,26267,27.47570669,2018,BE_12040,official,TRUE
BE_13001,5.086706092683053,51.32263618749838,BE,BE21,BE213,13001,Arendonk,13549,55.23744699,2018,BE_13001,official,TRUE
BE_13002,4.925658696697215,51.44330144517805,BE,BE21,BE213,13002,Baarle-Hertog,2716,7.5312522,2018,BE_13002,official,TRUE
BE_13003,5.175915531332385,51.16961546703955,BE,BE21,BE213,13003,Balen,22445,72.98532829,2018,BE_13003,official,TRUE
BE_13004,4.845543914446356,51.31762091541585,BE,BE21,BE213,13004,Beerse,17933,37.28024504,2018,BE_13004,official,TRUE
BE_13006,5.122701218496172,51.240312893712556,BE,BE21,BE213,13006,Dessel,9537,27.39645555,2018,BE_13006,official,TRUE
BE_13008,4.987998008533136,51.164231473620184,BE,BE21,BE213,13008,Geel,39936,110.23267167,2018,BE_13008,official,TRUE
BE_13010,4.732852110720799,51.186418609925774,BE,BE21,BE213,13010,Grobbendonk,11128,28.42657295,2018,BE_13010,official,TRUE
BE_13011,4.833139359083918,51.1723931457846,BE,BE21,BE213,13011,Herentals,28158,47.99958443,2018,BE_13011,official,TRUE
BE_13012,4.757401050953148,51.13999166038034,BE,BE21,BE213,13012,Herenthout,8955,23.61734014,2018,BE_13012,official,TRUE
BE_13013,4.870869674984843,51.04698928624148,BE,BE21,BE213,13013,Herselt,14547,52.39747909,2018,BE_13013,official,TRUE
BE_13014,4.762151481781394,51.41320201813257,BE,BE21,BE213,13014,Hoogstraten,21336,105.46039013,2018,BE_13014,official,TRUE
BE_13016,4.806814527388849,51.06799545464372,BE,BE21,BE213,13016,Hulshout,10394,17.38327028,2018,BE_13016,official,TRUE
BE_13017,4.937246788363866,51.23786330638218,BE,BE21,BE213,13017,Kasterlee,18612,72.26501378,2018,BE_13017,official,TRUE
BE_13019,4.829690578361431,51.25076690376987,BE,BE21,BE213,13019,Lille,16514,59.57576159,2018,BE_13019,official,TRUE
BE_13021,5.080859858207939,51.12858400105974,BE,BE21,BE213,13021,Meerhout,10329,36.55316241,2018,BE_13021,official,TRUE
BE_13023,4.857932849681924,51.358325029514866,BE,BE21,BE213,13023,Merksplas,8656,44.65027635,2018,BE_13023,official,TRUE
BE_13025,5.116833436395769,51.19216062683457,BE,BE21,BE213,13025,Mol,36586,114.50601444,2018,BE_13025,official,TRUE
BE_13029,4.882651956776947,51.16025510360762,BE,BE21,BE213,13029,Olen,12501,23.1525473,2018,BE_13029,official,TRUE
BE_13031,4.984407134043777,51.32190730306652,BE,BE21,BE213,13031,Oud-Turnhout,13518,39.20234652,2018,BE_13031,official,TRUE
BE_13035,5.001744798878697,51.39132124435054,BE,BE21,BE213,13035,Ravels,14858,95.08636245,2018,BE_13035,official,TRUE
BE_13036,5.084188249569739,51.269208961279915,BE,BE21,BE213,13036,Retie,11248,48.48027133,2018,BE_13036,official,TRUE
BE_13037,4.764863072100241,51.34505891147323,BE,BE21,BE213,13037,Rijkevorsel,11946,46.86452485,2018,BE_13037,official,TRUE
BE_13040,4.943246116065391,51.32090016752197,BE,BE21,BE213,13040,Turnhout,44229,56.66125662,2018,BE_13040,official,TRUE
BE_13044,4.769885972376319,51.205439966899704,BE,BE21,BE213,13044,Vorselaar,7852,27.59549066,2018,BE_13044,official,TRUE
BE_13046,4.885590809765386,51.31006335858418,BE,BE21,BE213,13046,Vosselaar,11160,11.86302721,2018,BE_13046,official,TRUE
BE_13049,4.89037460846205,51.10965640081541,BE,BE21,BE213,13049,Westerlo,24875,55.43092747,2018,BE_13049,official,TRUE
BE_13053,5.011028996378319,51.08107857605234,BE,BE21,BE213,13053,Laakdal,16024,42.37073879,2018,BE_13053,official,TRUE
BE_21001,4.309104349114515,50.83683532783737,BE,BE10,BE100,21001,Anderlecht,119314,17.91143111,2018,BE_21001,official,TRUE
BE_21002,4.4176992295095285,50.817394278019435,BE,BE10,BE100,21002,Auderghem,33810,9.0060718,2018,BE_21002,official,TRUE
BE_21003,4.298372913970852,50.865856958709465,BE,BE10,BE100,21003,Berchem-Sainte-Agathe,24907,2.9642604,2018,BE_21003,official,TRUE
BE_21004,4.354349305741573,50.86397959568039,BE,BE10,BE100,21004,Bruxelles,185906,33.08524224,2018,BE_21004,official,TRUE
BE_21005,4.3925139381542,50.83381386479077,BE,BE10,BE100,21005,Etterbeek,48000,3.18016801,2018,BE_21005,official,TRUE
BE_21006,4.405683395644701,50.87042774935188,BE,BE10,BE100,21006,Evere,41218,5.12280209,2018,BE_21006,official,TRUE
BE_21007,4.331416629251366,50.817915179781785,BE,BE10,BE100,21007,Forest,56255,6.31589328,2018,BE_21007,official,TRUE
BE_21008,4.312090638546541,50.87396313925415,BE,BE10,BE100,21008,Ganshoren,24926,2.43199294,2018,BE_21008,official,TRUE
BE_21009,4.375139618347944,50.82709450300727,BE,BE10,BE100,21009,Ixelles,87534,6.41151255,2018,BE_21009,official,TRUE
BE_21010,4.33030197939035,50.875454776048194,BE,BE10,BE100,21010,Jette,52466,5.20639745,2018,BE_21010,official,TRUE
BE_21011,4.329230094433917,50.862198767195544,BE,BE10,BE100,21011,Koekelberg,21872,1.17892899,2018,BE_21011,official,TRUE
BE_21012,4.324262604118249,50.85604538983824,BE,BE10,BE100,21012,Molenbeek-Saint-Jean,97481,6.03231409,2018,BE_21012,official,TRUE
BE_21013,4.342051802147056,50.8304042724462,BE,BE10,BE100,21013,Saint-Gilles,50265,2.53064363,2018,BE_21013,official,TRUE
BE_21014,4.375796099297028,50.852967297988144,BE,BE10,BE100,21014,Saint-Josse-ten-Noode,27254,1.15617228,2018,BE_21014,official,TRUE
BE_21015,4.381469371570512,50.86219239860224,BE,BE10,BE100,21015,Schaerbeek,133709,7.91449291,2018,BE_21015,official,TRUE
BE_21016,4.344070486539025,50.801050840668495,BE,BE10,BE100,21016,Uccle,82574,22.82804227,2018,BE_21016,official,TRUE
BE_21017,4.40968020332277,50.80481490937398,BE,BE10,BE100,21017,Watermael-Boitsfort,25042,12.98803165,2018,BE_21017,official,TRUE
BE_21018,4.423141792635686,50.847363707264314,BE,BE10,BE100,21018,Woluwe-Saint-Lambert,56532,7.3099527,2018,BE_21018,official,TRUE
BE_21019,4.432188532036547,50.83295737148481,BE,BE10,BE100,21019,Woluwe-Saint-Pierre,41684,8.93851974,2018,BE_21019,official,TRUE
BE_23002,4.236120854262656,50.89788941058368,BE,BE24,BE241,23002,Asse,32999,50.23832876,2018,BE_23002,official,TRUE
BE_23003,4.303342044240607,50.753750394102795,BE,BE24,BE241,23003,Beersel,25294,30.45660362,2018,BE_23003,official,TRUE
BE_23009,3.9336809826986867,50.71365820860019,BE,BE24,BE241,23009,Bever,2204,19.25312413,2018,BE_23009,official,TRUE
BE_23016,4.256119358029058,50.85203516434778,BE,BE24,BE241,23016,Dilbeek,42492,41.4268041,2018,BE_23016,official,TRUE
BE_23023,3.9879092300040946,50.750727421456766,BE,BE24,BE241,23023,Galmaarden,8734,35.25971072,2018,BE_23023,official,TRUE
BE_23024,4.099328174606948,50.78238747175274,BE,BE24,BE241,23024,Gooik,9243,40.20358993,2018,BE_23024,official,TRUE
BE_23025,4.363126069208673,50.91491221588292,BE,BE24,BE241,23025,Grimbergen,37417,38.66552801,2018,BE_23025,official,TRUE
BE_23027,4.237730279507829,50.73174061599896,BE,BE24,BE241,23027,Halle,39117,44.97266294,2018,BE_23027,official,TRUE
BE_23032,4.036102748822844,50.71098190971778,BE,BE24,BE241,23032,Herne,6647,44.68723992,2018,BE_23032,official,TRUE
BE_23033,4.473722071617087,50.76621073984306,BE,BE24,BE241,23033,Hoeilaart,11192,20.57879061,2018,BE_23033,official,TRUE
