gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
CZ_500011,17.744042633993313,49.2173607315932,CZ,CZ07,CZ072,500011,Želechovice nad Dřevnicí,1869,16.19939834,2020,CZ_500011,official,TRUE
CZ_500020,17.03891038776623,50.0111645520084,CZ,CZ07,CZ071,500020,Petrov nad Desnou,1220,12.0899791,2020,CZ_500020,official,TRUE
CZ_500046,18.07657092961336,49.62815284391881,CZ,CZ08,CZ080,500046,Libhošť,1710,8.1916492,2020,CZ_500046,official,TRUE
CZ_500062,18.00080188494631,49.488968643549775,CZ,CZ07,CZ072,500062,Krhová,2019,8.08358252,2020,CZ_500062,official,TRUE
CZ_500071,17.94572688193178,49.466913369442544,CZ,CZ07,CZ072,500071,Poličná,1753,11.07146223,2020,CZ_500071,official,TRUE
CZ_500101,13.045458483845612,50.175090065324234,CZ,CZ04,CZ041,500101,Bražec,221,12.63559603,2020,CZ_500101,official,TRUE
CZ_500127,13.007046553921818,50.24563656518705,CZ,CZ04,CZ041,500127,Doupovské Hradiště,162,20.81308393,2020,CZ_500127,official,TRUE
CZ_500135,17.555328322808993,49.568524422473985,CZ,CZ07,CZ071,500135,Kozlov,219,45.54962739,2020,CZ_500135,official,TRUE
CZ_500151,17.657855580813845,49.687136070627496,CZ,CZ07,CZ071,500151,Luboměř pod Strážnou,127,9.55715408,2020,CZ_500151,official,TRUE
CZ_500160,17.520270983560305,49.72422726184976,CZ,CZ07,CZ071,500160,Město Libavá,603,29.35714197,2020,CZ_500160,official,TRUE
CZ_500194,14.131588331400241,48.78225166954675,CZ,CZ03,CZ031,500194,Polná na Šumavě,217,18.99905391,2020,CZ_500194,official,TRUE
CZ_500259,18.121083829284647,49.53723259158632,CZ,CZ08,CZ080,500259,Veřovice,1986,16.61747696,2020,CZ_500259,official,TRUE
CZ_500291,18.123388579486818,49.82486250626786,CZ,CZ08,CZ080,500291,Vřesina,2918,8.6508152,2020,CZ_500291,official,TRUE
CZ_500496,17.247787017302688,49.58631329773419,CZ,CZ07,CZ071,500496,Olomouc,100663,103.21802423,2020,CZ_500496,official,TRUE
CZ_500526,17.32101480360935,49.6726953148595,CZ,CZ07,CZ071,500526,Bělkovice-Lašťany,2309,15.23032186,2020,CZ_500526,official,TRUE
CZ_500623,16.972015985849424,49.713674062051844,CZ,CZ07,CZ071,500623,Bílá Lhota,1153,18.11228821,2020,CZ_500623,official,TRUE
CZ_500801,17.244770278116388,49.52560771177908,CZ,CZ07,CZ071,500801,Blatec,642,6.6118482,2020,CZ_500801,official,TRUE
CZ_500852,17.28426571775247,49.659392309860365,CZ,CZ07,CZ071,500852,Bohuňovice,2549,12.51280847,2020,CZ_500852,official,TRUE
CZ_500861,16.902122058221067,49.70139642175633,CZ,CZ07,CZ071,500861,Bouzov,1502,42.28087523,2020,CZ_500861,official,TRUE
CZ_500879,17.188811000651363,49.53738155527718,CZ,CZ07,CZ071,500879,Bystročice,819,7.96779414,2020,CZ_500879,official,TRUE
CZ_501476,17.186660611553837,49.81815994789863,CZ,CZ07,CZ071,501476,Dlouhá Loučka,2004,26.65890452,2020,CZ_501476,official,TRUE
CZ_501646,17.32594975391753,49.648589032943065,CZ,CZ07,CZ071,501646,Dolany,2782,23.80828804,2020,CZ_501646,official,TRUE
CZ_501751,17.065859485474352,49.58045241625133,CZ,CZ07,CZ071,501751,Drahanovice,1743,13.48114476,2020,CZ_501751,official,TRUE
CZ_501794,17.2758798283378,49.488382858421545,CZ,CZ07,CZ071,501794,Dub nad Moravou,1645,15.21942281,2020,CZ_501794,official,TRUE
CZ_501841,17.313985090901898,49.53823623358124,CZ,CZ07,CZ071,501841,Grygov,1539,12.69480539,2020,CZ_501841,official,TRUE
CZ_502146,17.401395376767606,49.62908043691251,CZ,CZ07,CZ071,502146,Hlubočky,4246,23.80062114,2020,CZ_502146,official,TRUE
CZ_502235,17.16733796868963,49.56647483812947,CZ,CZ07,CZ071,502235,Hněvotín,1851,11.72047176,2020,CZ_502235,official,TRUE
CZ_502405,17.22718786710945,49.7155204252505,CZ,CZ07,CZ071,502405,Hnojice,634,9.62826605,2020,CZ_502405,official,TRUE
CZ_502545,17.20629645682848,49.63699511241107,CZ,CZ07,CZ071,502545,Horka nad Moravou,2499,12.00547776,2020,CZ_502545,official,TRUE
CZ_502839,17.053452168271807,49.654420971504194,CZ,CZ07,CZ071,502839,Cholina,744,8.97880111,2020,CZ_502839,official,TRUE
CZ_503142,17.39427415136629,49.706796953533775,CZ,CZ07,CZ071,503142,Jívová,592,15.18371265,2020,CZ_503142,official,TRUE
CZ_503304,17.257884384614353,49.53847952848483,CZ,CZ07,CZ071,503304,Kožušany-Tážaly,872,6.31370678,2020,CZ_503304,official,TRUE
CZ_503410,15.133384709383526,50.2904306222821,CZ,CZ02,CZ020,503410,Žitovlice,183,6.55105618,2020,CZ_503410,official,TRUE
CZ_503444,17.075205035775365,49.70570591587465,CZ,CZ07,CZ071,503444,Litovel,9738,46.35626872,2020,CZ_503444,official,TRUE
CZ_503622,16.946760290837968,49.654856141002256,CZ,CZ07,CZ071,503622,Luká,871,14.86069679,2020,CZ_503622,official,TRUE
CZ_503657,17.139223119326164,49.55703823886228,CZ,CZ07,CZ071,503657,Lutín,3246,8.18885433,2020,CZ_503657,official,TRUE
CZ_503738,17.336341604024845,49.50054280761357,CZ,CZ07,CZ071,503738,Majetín,1198,9.35259635,2020,CZ_503738,official,TRUE
CZ_503916,13.029356434983402,49.69486669563051,CZ,CZ03,CZ032,503916,Kostelec,602,30.89905122,2020,CZ_503916,official,TRUE
CZ_503941,17.41849025643032,49.64585675853983,CZ,CZ07,CZ071,503941,Libavá,0,235.26789262,2020,CZ_503941,official,TRUE
CZ_504246,17.025342242349236,49.703697554241465,CZ,CZ07,CZ071,504246,Mladeč,751,12.22139301,2020,CZ_504246,official,TRUE
CZ_504301,15.743759132483149,49.98117217198683,CZ,CZ05,CZ053,504301,Dřenice,402,2.55620482,2020,CZ_504301,official,TRUE
CZ_504441,17.12698283064013,49.65611516321242,CZ,CZ07,CZ071,504441,Náklo,1514,11.37928217,2020,CZ_504441,official,TRUE
CZ_504505,17.06945316851661,49.601220164812894,CZ,CZ07,CZ071,504505,Náměšť na Hané,2107,18.615188,2020,CZ_504505,official,TRUE
CZ_504785,17.222455600623007,49.799164527892835,CZ,CZ07,CZ071,504785,Paseka,1297,22.84487817,2020,CZ_504785,official,TRUE
CZ_504807,15.726350216874351,49.946105726979745,CZ,CZ05,CZ053,504807,Lány,274,4.67413891,2020,CZ_504807,official,TRUE
CZ_504921,15.742877986906988,49.96363214441,CZ,CZ05,CZ053,504921,Třibřichy,299,4.21042168,2020,CZ_504921,official,TRUE
CZ_504955,15.897659333679767,49.981737465779695,CZ,CZ05,CZ053,504955,Dvakačovice,173,3.65561402,2020,CZ_504955,official,TRUE
CZ_505005,15.861264095997631,49.894624371194894,CZ,CZ05,CZ053,505005,Bítovany,431,3.49355753,2020,CZ_505005,official,TRUE
CZ_505013,17.14895160021757,49.64252448866527,CZ,CZ07,CZ071,505013,Příkazy,1310,13.97512299,2020,CZ_505013,official,TRUE
CZ_505030,15.880691741699536,49.96013978863151,CZ,CZ05,CZ053,505030,Dolní Bezděkov,231,1.75266306,2020,CZ_505030,official,TRUE
CZ_505081,17.08938430724876,49.62566755795435,CZ,CZ07,CZ071,505081,Senice na Hané,1796,19.29304524,2020,CZ_505081,official,TRUE
CZ_505099,16.05775079240872,50.45128830443736,CZ,CZ05,CZ052,505099,Červená Hora,202,2.08330127,2020,CZ_505099,official,TRUE
CZ_505111,17.097829246817216,49.56089831743476,CZ,CZ07,CZ071,505111,Slatinice,1622,7.84023711,2020,CZ_505111,official,TRUE
CZ_505145,16.522300676282946,49.64800092732654,CZ,CZ05,CZ053,505145,Březová nad Svitavou,1644,12.80205859,2020,CZ_505145,official,TRUE
