gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
DK_101,12.571016822924335,55.68386516534252,DK,DK01,DK011,101,København,632340,91.12222905,2020,DK_101,official,TRUE
DK_147,12.527462930546518,55.68131356340003,DK,DK01,DK011,147,Frederiksberg,104305,8.68730628,2020,DK_147,official,TRUE
DK_151,12.366215776713561,55.72659107560238,DK,DK01,DK012,151,Ballerup,48602,34.01120771,2020,DK_151,official,TRUE
DK_153,12.41980038973202,55.64115194206626,DK,DK01,DK012,153,Brøndby,35090,21.05794208,2020,DK_153,official,TRUE
DK_155,12.652309119072184,55.5896856472173,DK,DK01,DK011,155,Dragør,14494,18.709394,2020,DK_155,official,TRUE
DK_157,12.558130209918797,55.74876497466596,DK,DK01,DK012,157,Gentofte,74830,25.81049326,2020,DK_157,official,TRUE
DK_159,12.487199544133013,55.73921026354345,DK,DK01,DK012,159,Gladsaxe,69262,24.9337317,2020,DK_159,official,TRUE
DK_161,12.404459073408127,55.67104554980488,DK,DK01,DK012,161,Glostrup,23128,13.34880859,2020,DK_161,official,TRUE
DK_163,12.431724229707207,55.730405107627256,DK,DK01,DK012,163,Herlev,28953,12.06767006,2020,DK_163,official,TRUE
DK_165,12.350203197294451,55.67039734448168,DK,DK01,DK012,165,Albertslund,27731,23.46557945,2020,DK_165,official,TRUE
DK_167,12.471792810991833,55.63773561556034,DK,DK01,DK012,167,Hvidovre,53527,23.18904635,2020,DK_167,official,TRUE
DK_169,12.271295830277426,55.65066802044389,DK,DK01,DK012,169,Høje-Taastrup,50759,78.16905355,2020,DK_169,official,TRUE
DK_173,12.495764740717128,55.78218859746247,DK,DK01,DK012,173,Lyngby-Taarbæk,56214,38.94247133,2020,DK_173,official,TRUE
DK_175,12.453509838001121,55.68340175772898,DK,DK01,DK012,175,Rødovre,40652,12.1459998,2020,DK_175,official,TRUE
DK_183,12.354153596193102,55.61527804501963,DK,DK01,DK012,183,Ishøj,22989,26.10696319,2020,DK_183,official,TRUE
DK_185,12.617187783913216,55.627961841604765,DK,DK01,DK011,185,Tårnby,42989,66.7242956,2020,DK_185,official,TRUE
DK_187,12.376110745401146,55.63114208852942,DK,DK01,DK012,187,Vallensbæk,16633,9.15730482,2020,DK_187,official,TRUE
DK_190,12.373183260725442,55.804732550492446,DK,DK01,DK013,190,Furesø,40965,56.73781638,2020,DK_190,official,TRUE
DK_201,12.336937436032457,55.86476478697,DK,DK01,DK013,201,Allerød,25633,67.48778484,2020,DK_201,official,TRUE
DK_210,12.486798292990867,55.94168893691443,DK,DK01,DK013,210,Fredensborg,40865,112.6965596,2020,DK_210,official,TRUE
DK_217,12.57750990040094,56.027935810341695,DK,DK01,DK013,217,Helsingør,62695,123.57478843,2020,DK_217,official,TRUE
DK_219,12.293830082797951,55.93435293905502,DK,DK01,DK013,219,Hillerød,51183,213.30230176,2020,DK_219,official,TRUE
DK_223,12.50371922444765,55.887966475180015,DK,DK01,DK013,223,Hørsholm,24864,31.57087133,2020,DK_223,official,TRUE
DK_230,12.47074993048518,55.8325438226658,DK,DK01,DK013,230,Rudersdal,56728,73.75258722,2020,DK_230,official,TRUE
DK_240,12.214334361177535,55.76750524753229,DK,DK01,DK013,240,Egedal,43354,125.66742356,2020,DK_240,official,TRUE
DK_250,12.098865032805737,55.84058201754222,DK,DK01,DK013,250,Frederikssund,45223,250.90488736,2020,DK_250,official,TRUE
DK_253,12.289200318346854,55.58800593242482,DK,DK02,DK021,253,Greve,50558,60.60164324,2020,DK_253,official,TRUE
DK_259,12.143553188690207,55.45951613926976,DK,DK02,DK021,259,Køge,60979,257.24242144,2020,DK_259,official,TRUE
DK_260,11.986049178279103,55.96688089493125,DK,DK01,DK013,260,Halsnæs,31384,123.56607203,2020,DK_260,official,TRUE
DK_265,12.084691125642061,55.64776591887325,DK,DK02,DK021,265,Roskilde,87914,212.68591564,2020,DK_265,official,TRUE
DK_269,12.199337401109375,55.53207872518351,DK,DK02,DK021,269,Solrød,23255,40.34237017,2020,DK_269,official,TRUE
DK_270,12.23797888086548,56.058583261633004,DK,DK01,DK013,270,Gribskov,41048,280.49916788,2020,DK_270,official,TRUE
DK_306,11.5808395523612,55.86449144171617,DK,DK02,DK022,306,Odsherred,32957,358.52467962,2020,DK_306,official,TRUE
DK_316,11.683900789908781,55.695746755424835,DK,DK02,DK022,316,Holbæk,71541,579.79064015,2020,DK_316,official,TRUE
DK_320,12.021655598592831,55.30422718491159,DK,DK02,DK022,320,Faxe,36576,405.37298556,2020,DK_320,official,TRUE
DK_326,11.153263662532,55.638727708867854,DK,DK02,DK022,326,Kalundborg,48436,607.15719453,2020,DK_326,official,TRUE
DK_329,11.795944306531593,55.44667030455148,DK,DK02,DK022,329,Ringsted,34852,295.2702117,2020,DK_329,official,TRUE
DK_330,11.309673007906815,55.37977610884242,DK,DK02,DK022,330,Slagelse,79073,575.39207158,2020,DK_330,official,TRUE
DK_336,12.309875198945686,55.34325435986355,DK,DK02,DK022,336,Stevns,22805,252.03902561,2020,DK_336,official,TRUE
DK_340,11.542826645189969,55.466757749360845,DK,DK02,DK022,340,Sorø,29881,309.12050658,2020,DK_340,official,TRUE
DK_350,11.904879532724475,55.63377254164435,DK,DK02,DK021,350,Lejre,27996,240.72403918,2020,DK_350,official,TRUE
DK_360,11.264688293114963,54.80516060422871,DK,DK02,DK022,360,Lolland,41105,902.2449571,2020,DK_360,official,TRUE
DK_370,11.762816985144344,55.231559534056025,DK,DK02,DK022,370,Næstved,83143,685.45782871,2020,DK_370,official,TRUE
DK_376,11.884948941824536,54.776909212257294,DK,DK02,DK022,376,Guldborgsund,60722,909.26301482,2020,DK_376,official,TRUE
DK_390,11.942595388135047,55.02801861785183,DK,DK02,DK022,390,Vordingborg,45566,628.86378663,2020,DK_390,official,TRUE
DK_400,14.818017908577163,55.10052204198238,DK,DK01,DK014,400,Bornholm,39499,590.42587879,2020,DK_400,official,TRUE
DK_410,9.784006227885355,55.49118370609352,DK,DK03,DK031,410,Middelfart,38853,300.87256905,2020,DK_410,official,TRUE
DK_411,15.192403043421015,55.32158906305897,DK,DK01,DK014,411,Christiansø,84,0.36676024,2020,DK_411,official,TRUE
DK_420,10.03120203369322,55.303199072093115,DK,DK03,DK031,420,Assens,40965,513.65395892,2020,DK_420,official,TRUE
DK_430,10.39685085556477,55.207546233792314,DK,DK03,DK031,430,Faaborg-Midtfyn,51556,639.14266581,2020,DK_430,official,TRUE
DK_440,10.606463380241467,55.427954925935715,DK,DK03,DK031,440,Kerteminde,23812,208.08148299,2020,DK_440,official,TRUE
DK_450,10.77086685988233,55.31330457290283,DK,DK03,DK031,450,Nyborg,32009,278.16312225,2020,DK_450,official,TRUE
DK_461,10.389133088414615,55.39377001919447,DK,DK03,DK031,461,Odense,204895,304.82020133,2020,DK_461,official,TRUE
DK_479,10.608226617222526,55.069507205525774,DK,DK03,DK031,479,Svendborg,58296,417.71841587,2020,DK_479,official,TRUE
DK_480,10.252246623674333,55.51741290682963,DK,DK03,DK031,480,Nordfyns,29665,452.47650594,2020,DK_480,official,TRUE
DK_482,10.730880640135377,54.93169212110832,DK,DK03,DK031,482,Langeland,12491,292.26907061000003,2020,DK_482,official,TRUE
DK_492,10.474892213566239,54.86406647692124,DK,DK03,DK031,492,Ærø,5964,90.81881607,2020,DK_492,official,TRUE
DK_510,9.444364002209833,55.251037498744815,DK,DK03,DK032,510,Haderslev,55670,815.18800878,2020,DK_510,official,TRUE
DK_530,8.990219713030335,55.74612900721285,DK,DK03,DK032,530,Billund,26608,540.51315498,2020,DK_530,official,TRUE
DK_540,9.81417915003756,54.93039208309434,DK,DK03,DK032,540,Sønderborg,74220,498.82883871,2020,DK_540,official,TRUE
DK_550,8.89517158997002,55.031075548551335,DK,DK03,DK032,550,Tønder,37366,1185.79426562,2020,DK_550,official,TRUE
DK_561,8.481090776653389,55.476465163850904,DK,DK03,DK032,561,Esbjerg,115483,759.35881643,2020,DK_561,official,TRUE
DK_563,8.397867181600333,55.44317524196019,DK,DK03,DK032,563,Fanø,3488,65.02032785,2020,DK_563,official,TRUE
DK_573,8.500748949712472,55.65855428918229,DK,DK03,DK032,573,Varde,49961,1238.30074684,2020,DK_573,official,TRUE
DK_575,9.094560058456997,55.46626249644823,DK,DK03,DK032,575,Vejen,42742,814.44578886,2020,DK_575,official,TRUE
DK_580,9.382499122409449,55.020033940032604,DK,DK03,DK032,580,Aabenraa,58761,942.51423594,2020,DK_580,official,TRUE
DK_607,9.734420981522982,55.5655139866943,DK,DK03,DK032,607,Fredericia,51377,135.27389751,2020,DK_607,official,TRUE
DK_615,9.843371769206344,55.866809418444085,DK,DK04,DK042,615,Horsens,90966,524.92928326,2020,DK_615,official,TRUE
DK_621,9.465552612275188,55.48609276595265,DK,DK03,DK032,621,Kolding,93175,605.88145708,2020,DK_621,official,TRUE
DK_630,9.529402331905859,55.71134785100855,DK,DK03,DK032,630,Vejle,115748,1063.49269839,2020,DK_630,official,TRUE
DK_657,8.957984562523139,56.14301766207782,DK,DK04,DK041,657,Herning,89127,1323.83230329,2020,DK_657,official,TRUE
DK_661,8.611306083848971,56.36710286555276,DK,DK04,DK041,661,Holstebro,58591,804.11460377,2020,DK_661,official,TRUE
DK_665,8.284970514948832,56.5686811006051,DK,DK04,DK041,665,Lemvig,19722,518.32949049,2020,DK_665,official,TRUE
DK_671,8.586971558132822,56.487969333480144,DK,DK04,DK041,671,Struer,21036,250.72159117,2020,DK_671,official,TRUE
DK_706,10.456123072892995,56.29910550101273,DK,DK04,DK042,706,Syddjurs,42962,698.46528143,2020,DK_706,official,TRUE
DK_707,10.782576681744233,56.422630640835486,DK,DK04,DK042,707,Norddjurs,37089,725.24042611,2020,DK_707,official,TRUE
