gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
HR_00019,18.739756022402805,45.22888624403365,HR,HR04,HR04C,00019,ANDRIJAŠEVCI,4075,39.61994361,2018,HR_00019,official,TRUE
HR_00027,18.664728066776018,45.4853814763144,HR,HR04,HR04B,00027,ANTUNOVAC,3703,56.73944139,2018,HR_00027,official,TRUE
HR_00035,18.538005853618824,45.11713774901141,HR,HR04,HR04C,00035,BABINA GREDA,3572,79.46410239,2018,HR_00035,official,TRUE
HR_00043,14.558001861223216,45.30687576698285,HR,HR03,HR031,00043,BAKAR,8279,125.43823482,2018,HR_00043,official,TRUE
HR_00051,13.783884241631677,45.044412498266766,HR,HR03,HR036,00051,BALE - VALLE,1127,82.01719498,2018,HR_00051,official,TRUE
HR_00060,13.993665762271503,45.063712456797184,HR,HR03,HR036,00060,BARBAN,2721,90.40928281,2018,HR_00060,official,TRUE
HR_00078,15.543660914167889,45.41631949820391,HR,HR04,HR04D,00078,BARILOVIĆ,2990,175.62305218,2018,HR_00078,official,TRUE
HR_00086,14.744700321538783,44.97263922231352,HR,HR03,HR031,00086,BAŠKA,1674,98.91160972,2018,HR_00086,official,TRUE
HR_00094,16.955610646148937,43.35503189293699,HR,HR03,HR035,00094,BAŠKA VODA,2775,25.66424259,2018,HR_00094,official,TRUE
HR_00108,17.865086587974883,45.09436277804909,HR,HR04,HR04A,00108,BEBRINA,3252,101.16175142,2018,HR_00108,official,TRUE
HR_00116,15.992501882761234,46.049160616837106,HR,HR04,HR043,00116,BEDEKOVČINA,8041,51.43401847,2018,HR_00116,official,TRUE
HR_00124,15.968753104498038,46.24653053883991,HR,HR04,HR044,00124,BEDNJA,3992,76.15746513,2018,HR_00124,official,TRUE
HR_00132,18.605642108120904,45.77088774874052,HR,HR04,HR04B,00132,BELI MANASTIR,10068,62.31365202,2018,HR_00132,official,TRUE
HR_00159,16.525252934940163,46.40998006535674,HR,HR04,HR046,00159,BELICA,3176,27.70930261,2018,HR_00159,official,TRUE
HR_00167,18.398149619919742,45.685085948290244,HR,HR04,HR04B,00167,BELIŠĆE,10825,70.14615351,2018,HR_00167,official,TRUE
HR_00175,15.611795126093444,44.03163131600101,HR,HR03,HR033,00175,BENKOVAC,11026,514.48504945,2018,HR_00175,official,TRUE
HR_00183,16.83421022072183,45.71979709927226,HR,HR04,HR047,00183,BEREK,1443,110.97697,2018,HR_00183,official,TRUE
HR_00191,16.285170731587662,46.25097631747413,HR,HR04,HR044,00191,BERETINEC,2176,12.34316771,2018,HR_00191,official,TRUE
HR_00205,15.286751193402115,44.070401813815856,HR,HR03,HR033,00205,BIBINJE,3985,13.03493488,2018,HR_00205,official,TRUE
HR_00213,18.748777636566725,45.60797833760307,HR,HR04,HR04B,00213,BILJE,5642,242.08872204,2018,HR_00213,official,TRUE
HR_00221,15.453828654629573,43.94146877057435,HR,HR03,HR033,00221,BIOGRAD NA MORU,5569,37.14984956,2018,HR_00221,official,TRUE
HR_00230,18.452247898155225,45.58024024337903,HR,HR04,HR04B,00230,BIZOVAC,4507,100.55404585,2018,HR_00230,official,TRUE
HR_00248,16.844662077658548,45.90122345178896,HR,HR04,HR047,00248,BJELOVAR,40276,187.88187519,2018,HR_00248,official,TRUE
HR_00256,16.792028775542153,42.937743255704035,HR,HR03,HR037,00256,BLATO,3593,66.36271389,2018,HR_00256,official,TRUE
HR_00264,18.942465362696478,45.31001371189619,HR,HR04,HR04C,00264,BOGDANOVCI,1960,51.58544174,2018,HR_00264,official,TRUE
HR_00272,16.654895125727283,43.26358181125175,HR,HR03,HR035,00272,BOL,1630,23.33087446,2018,HR_00272,official,TRUE
HR_00299,18.974391689343065,45.40432708124555,HR,HR04,HR04C,00299,BOROVO,5056,28.18432699,2018,HR_00299,official,TRUE
HR_00302,15.270396643663517,45.43013131085653,HR,HR04,HR04D,00302,BOSILJEVO,1284,111.41132217,2018,HR_00302,official,TRUE
HR_00329,18.75587867668093,45.04899795617282,HR,HR04,HR04C,00329,BOŠNJACI,3901,94.94854141,2018,HR_00329,official,TRUE
HR_00337,16.304256883768453,45.82724524482178,HR,HR04,HR042,00337,BRCKOVLJANI,6837,69.84659772,2018,HR_00337,official,TRUE
HR_00345,15.741371381107028,45.87401059252764,HR,HR04,HR042,00345,BRDOVEC,11134,36.89951699,2018,HR_00345,official,TRUE
HR_00353,17.574759644700332,45.34125718897843,HR,HR04,HR049,00353,BRESTOVAC,3726,279.50294196,2018,HR_00353,official,TRUE
HR_00361,16.29061244632657,46.05061686766835,HR,HR04,HR044,00361,BREZNICA,2200,33.52226794,2018,HR_00361,official,TRUE
HR_00370,15.144947719326696,45.00682509680953,HR,HR03,HR032,00370,BRINJE,3256,328.63230791,2018,HR_00370,official,TRUE
