gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
MK_MK00101,21.775337074815518,41.71366794149643,MK,MK00,MK001,MK00101,Велес,54266,427.84642821,2018,MK_MK00101,official,TRUE
MK_MK00102,21.940703410992768,41.57722373008661,MK,MK00,MK001,MK00102,Градско,3553,236.26048717,2018,MK_MK00102,official,TRUE
MK_MK00103,22.239286397064895,41.4119086708165,MK,MK00,MK001,MK00103,Демир Капија,4026,310.75239994,2018,MK_MK00103,official,TRUE
MK_MK00104,22.01177661133198,41.43380933891085,MK,MK00,MK001,MK00104,Кавадарци,38838,1004.70222636,2018,MK_MK00104,official,TRUE
MK_MK00105,21.897700252444952,41.77671692548666,MK,MK00,MK001,MK00105,Лозово,2559,166.13640621,2018,MK_MK00105,official,TRUE
MK_MK00106,22.092558554792927,41.48409037111448,MK,MK00,MK001,MK00106,Неготино,19257,480.42278204,2018,MK_MK00106,official,TRUE
MK_MK00107,21.94354417452892,41.51775313971514,MK,MK00,MK001,MK00107,Росоман,4054,133.00791269,2018,MK_MK00107,official,TRUE
MK_MK00108,21.942631305422797,41.864660262694244,MK,MK00,MK001,MK00108,Свети Николе,17583,482.77412631,2018,MK_MK00108,official,TRUE
MK_MK00109,21.666110193919792,41.64427016970908,MK,MK00,MK001,MK00109,Чашка,8113,819.56635238,2018,MK_MK00109,official,TRUE
MK_MK00201,22.842810457850643,41.706304526314206,MK,MK00,MK002,MK00201,Берово,12728,597.78854876,2018,MK_MK00201,official,TRUE
MK_MK00202,22.50882714391771,41.883325544939865,MK,MK00,MK002,MK00202,Виница,19346,432.53477439,2018,MK_MK00202,official,TRUE
MK_MK00203,22.77483881719236,41.965922178749004,MK,MK00,MK002,MK00203,Делчево,16057,422.25893674,2018,MK_MK00203,official,TRUE
MK_MK00204,22.43783423643739,41.85321084777232,MK,MK00,MK002,MK00204,Зрновци,3009,55.81104175,2018,MK_MK00204,official,TRUE
MK_MK00205,22.22659327294568,41.80364360242265,MK,MK00,MK002,MK00205,Карбинци,3960,229.66114557,2018,MK_MK00205,official,TRUE
MK_MK00206,22.412227261259595,41.9158421404638,MK,MK00,MK002,MK00206,Кочани,37663,360.33028159,2018,MK_MK00206,official,TRUE
MK_MK00207,22.585844210695285,42.02436853208733,MK,MK00,MK002,MK00207,Македонска Каменица,7461,190.32147562,2018,MK_MK00207,official,TRUE
MK_MK00208,22.882505149482462,41.76349150938807,MK,MK00,MK002,MK00208,Пехчево,4822,208.0614854,2018,MK_MK00208,official,TRUE
MK_MK00209,22.185725554802282,41.99632238353763,MK,MK00,MK002,MK00209,Пробиштип,14973,325.9049485,2018,MK_MK00209,official,TRUE
MK_MK00210,22.314294161814175,41.882889560562006,MK,MK00,MK002,MK00210,Чешиново - Облешево,6834,131.94174379,2018,MK_MK00210,official,TRUE
MK_MK00211,22.198652580357326,41.74413342070686,MK,MK00,MK002,MK00211,Штип,48763,583.53753833,2018,MK_MK00211,official,TRUE
MK_MK00301,20.594920991718418,41.237222776790745,MK,MK00,MK003,MK00301,Вевчани,2432,22.79121832,2018,MK_MK00301,official,TRUE
MK_MK00303,20.524664712906983,41.52405696095332,MK,MK00,MK003,MK00303,Дебар,20939,150.18064084,2018,MK_MK00303,official,TRUE
MK_MK00304,20.79557794613856,41.23586231634933,MK,MK00,MK003,MK00304,Дебарца,3795,422.02684673,2018,MK_MK00304,official,TRUE
MK_MK00307,20.959436380003837,41.5196954497848,MK,MK00,MK003,MK00307,Кичево,56814,823.85827046,2018,MK_MK00307,official,TRUE
MK_MK00308,21.21520917819954,41.515410587220984,MK,MK00,MK003,MK00308,Македонски Брод,6107,889.11540902,2018,MK_MK00308,official,TRUE
MK_MK00310,20.80747136343603,41.119038441247554,MK,MK00,MK003,MK00310,Охрид,51560,393.44970568,2018,MK_MK00310,official,TRUE
MK_MK00311,21.10911748650839,41.4676042120538,MK,MK00,MK003,MK00311,Пласница,4961,54.45630779,2018,MK_MK00311,official,TRUE
MK_MK00312,20.660344128441988,41.20924967128265,MK,MK00,MK003,MK00312,Струга,65929,485.73091702,2018,MK_MK00312,official,TRUE
MK_MK00313,20.567432206103227,41.47225490899067,MK,MK00,MK003,MK00313,Центар Жупа,7126,103.16948942,2018,MK_MK00313,official,TRUE
MK_MK00401,22.575437322311917,41.193393590982076,MK,MK00,MK004,MK00401,Богданци,8120,114.21243414,2018,MK_MK00401,official,TRUE
MK_MK00402,22.75702916920156,41.43992694653721,MK,MK00,MK004,MK00402,Босилово,13966,161.93228908,2018,MK_MK00402,official,TRUE
MK_MK00403,22.541725883811207,41.31634124791633,MK,MK00,MK004,MK00403,Валандово,11750,328.36676798,2018,MK_MK00403,official,TRUE
MK_MK00404,22.647235201288794,41.49003864880369,MK,MK00,MK004,MK00404,Василево,12989,230.35427501,2018,MK_MK00404,official,TRUE
MK_MK00405,22.49786481367649,41.15196749719343,MK,MK00,MK004,MK00405,Гевгелија,22671,486.83998497,2018,MK_MK00405,official,TRUE
MK_MK00406,22.713020329863664,41.24214666641447,MK,MK00,MK004,MK00406,Дојран,3300,129.1131032,2018,MK_MK00406,official,TRUE
MK_MK00407,22.40771283732954,41.50968598503119,MK,MK00,MK004,MK00407,Конче,3564,233.02074727,2018,MK_MK00407,official,TRUE
MK_MK00408,22.86209577364478,41.406194715746985,MK,MK00,MK004,MK00408,Ново Село,10673,237.68374417,2018,MK_MK00408,official,TRUE
MK_MK00409,22.47237049959992,41.632639063221475,MK,MK00,MK004,MK00409,Радовиш,29132,497.38641099,2018,MK_MK00409,official,TRUE
MK_MK00410,22.657357397978718,41.43141483201005,MK,MK00,MK004,MK00410,Струмица,57240,321.43015125,2018,MK_MK00410,official,TRUE
MK_MK00501,21.33056980899455,41.0312572317176,MK,MK00,MK005,MK00501,Битола,91628,787.27736642,2018,MK_MK00501,official,TRUE
MK_MK00502,21.20057756500687,41.22957068553843,MK,MK00,MK005,MK00502,Демир Хисар,8070,480.26847367,2018,MK_MK00502,official,TRUE
MK_MK00503,21.36585758181706,41.479902454628174,MK,MK00,MK005,MK00503,Долнени,14132,412.45757326,2018,MK_MK00503,official,TRUE
MK_MK00504,21.344423087821838,41.31902146420177,MK,MK00,MK005,MK00504,Кривогаштани,5527,89.07385264,2018,MK_MK00504,official,TRUE
MK_MK00505,21.26464868472046,41.3590376781046,MK,MK00,MK005,MK00505,Крушево,9357,190.72267389,2018,MK_MK00505,official,TRUE
MK_MK00506,21.39485315257891,41.153186957745604,MK,MK00,MK005,MK00506,Могила,6105,255.71877085,2018,MK_MK00506,official,TRUE
MK_MK00507,21.475645418106797,41.027604021503265,MK,MK00,MK005,MK00507,Новаци,3090,754.41657946,2018,MK_MK00507,official,TRUE
MK_MK00508,21.552247805435314,41.34430145696487,MK,MK00,MK005,MK00508,Прилеп,74794,1198.69295469,2018,MK_MK00508,official,TRUE
MK_MK00509,21.01475324318984,41.081098765420656,MK,MK00,MK005,MK00509,Ресен,16274,550.89889982,2018,MK_MK00509,official,TRUE
MK_MK00601,20.92230986291497,41.93146567255967,MK,MK00,MK006,MK00601,Боговиње,31000,141.67819723,2018,MK_MK00601,official,TRUE
MK_MK00602,21.00490543655156,41.93087051206454,MK,MK00,MK006,MK00602,Брвеница,16610,164.33291497,2018,MK_MK00602,official,TRUE
MK_MK00603,20.891878285792263,41.874482594449155,MK,MK00,MK006,MK00603,Врапчиште,27574,158.05207227,2018,MK_MK00603,official,TRUE
MK_MK00604,20.918095400663503,41.800867207103884,MK,MK00,MK006,MK00604,Гостивар,83752,514.42188584,2018,MK_MK00604,official,TRUE
MK_MK00605,21.06699232179901,41.98066922014114,MK,MK00,MK006,MK00605,Желино,28183,201.11176572,2018,MK_MK00605,official,TRUE
MK_MK00606,21.104897740666253,42.05850835163226,MK,MK00,MK006,MK00606,Јегуновце,10384,176.83341152,2018,MK_MK00606,official,TRUE
MK_MK00607,20.61128482050867,41.61471480264081,MK,MK00,MK006,MK00607,Маврово и Ростуша,8891,675.73093288,2018,MK_MK00607,official,TRUE
MK_MK00608,21.065996391308094,42.088346112115005,MK,MK00,MK006,MK00608,Теарце,22963,136.60109954,2018,MK_MK00608,official,TRUE
MK_MK00609,20.967142756409565,42.007019929685804,MK,MK00,MK006,MK00609,Тетово,92216,262.00800429,2018,MK_MK00609,official,TRUE
MK_MK00701,22.173774164629304,42.0789446915999,MK,MK00,MK007,MK00701,Кратово,9253,375.34134944,2018,MK_MK00701,official,TRUE
MK_MK00702,22.329011281245304,42.20038292985614,MK,MK00,MK007,MK00702,Крива Паланка,19832,479.80419402,2018,MK_MK00702,official,TRUE
MK_MK00703,21.72007229084488,42.132441887515014,MK,MK00,MK007,MK00703,Куманово,109468,509.47532916,2018,MK_MK00703,official,TRUE
MK_MK00704,21.615324173693484,42.15488167735406,MK,MK00,MK007,MK00704,Липково,30114,271.30258377,2018,MK_MK00704,official,TRUE
MK_MK00705,22.148030372299566,42.17340006904232,MK,MK00,MK007,MK00705,Ранковце,3686,240.68749728,2018,MK_MK00705,official,TRUE
