gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
NL_GM0003,6.8614619833171915,53.318711125495994,NL,NL11,NL112,GM0003,Appingedam,11801,24.58520076,2018,NL_GM0003,official,TRUE
NL_GM0005,6.602211362424307,53.29468673426613,NL,NL11,NL113,GM0005,Bedum,10475,44.98900171,2018,NL_GM0005,official,TRUE
NL_GM0009,6.6938170162647115,53.27775637328233,NL,NL11,NL113,GM0009,Ten Boer,7292,45.73290501,2018,NL_GM0009,official,TRUE
NL_GM0010,6.90863928397016,53.32808297693081,NL,NL11,NL112,GM0010,Delfzijl,24863,136.44923463,2018,NL_GM0010,official,TRUE
NL_GM0014,6.564394155658804,53.221172238044005,NL,NL11,NL113,GM0014,Groningen,202810,101.42979813,2018,NL_GM0014,official,TRUE
NL_GM0015,6.287630844234238,53.21394119512531,NL,NL11,NL113,GM0015,Grootegast,12143,87.76991294,2018,NL_GM0015,official,TRUE
NL_GM0017,6.6155733026517165,53.17075609577278,NL,NL11,NL113,GM0017,Haren,19860,50.69931618,2018,NL_GM0017,official,TRUE
NL_GM0022,6.372896942969588,53.160169516406015,NL,NL11,NL113,GM0022,Leek,19669,64.2609863,2018,NL_GM0022,official,TRUE
NL_GM0024,6.702292116315653,53.338517530340184,NL,NL11,NL112,GM0024,Loppersum,9732,112.0113883,2018,NL_GM0024,official,TRUE
NL_GM0025,6.267880951158039,53.142304425253,NL,NL11,NL113,GM0025,Marum,10488,64.88592047,2018,NL_GM0025,official,TRUE
NL_GM0034,5.2371407147922024,52.37558486741476,NL,NL23,NL230,GM0034,Almere,203990,248.85918848,2018,NL_GM0034,official,TRUE
NL_GM0037,6.973318154731945,52.98357380263977,NL,NL11,NL111,GM0037,Stadskanaal,32258,119.9682423,2018,NL_GM0037,official,TRUE
NL_GM0047,6.868010769491823,53.10151448669063,NL,NL11,NL111,GM0047,Veendam,27508,78.7090614,2018,NL_GM0047,official,TRUE
NL_GM0050,5.52832385320735,52.33425892456456,NL,NL23,NL230,GM0050,Zeewolde,22407,269.06740635,2018,NL_GM0050,official,TRUE
