gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
NO_0101,11.387744402956919,59.12977120465088,NO,NO03,NO031,0101,NA,30790,642.17716567,2017,NO_0101,geo,TRUE
NO_0104,10.664576458080228,59.438589200594585,NO,NO03,NO031,0104,NA,32407,63.47835944,2017,NO_0104,geo,TRUE
NO_0105,11.109660136036,59.28017688115714,NO,NO03,NO031,0105,NA,55127,405.36509237,2017,NO_0105,geo,TRUE
NO_0106,10.950650363973338,59.22260220146562,NO,NO03,NO031,0106,NA,80121,285.62809189,2017,NO_0106,geo,TRUE
NO_0111,10.892824409161053,59.09754623921099,NO,NO03,NO031,0111,NA,4517,86.46750497,2017,NO_0111,geo,TRUE
NO_0118,11.700315897851107,59.21816137727847,NO,NO03,NO031,0118,NA,1398,319.26919498,2017,NO_0118,geo,TRUE
NO_0119,11.662642702822994,59.47791639993418,NO,NO03,NO031,0119,NA,3597,412.8950995,2017,NO_0119,geo,TRUE
NO_0121,11.810930734267126,59.74491989976885,NO,NO03,NO031,0121,NA,685,183.14338117,2017,NO_0121,geo,TRUE
NO_0122,11.317756138165946,59.649462649236824,NO,NO03,NO031,0122,NA,5367,204.45999962,2017,NO_0122,geo,TRUE
NO_0123,11.077265932408569,59.61355880785408,NO,NO03,NO031,0123,NA,5765,142.0320822,2017,NO_0123,geo,TRUE
NO_0124,11.170349786651508,59.58655612229588,NO,NO03,NO031,0124,NA,15720,69.1500579,2017,NO_0124,geo,TRUE
NO_0125,11.330071045785607,59.55677628125721,NO,NO03,NO031,0125,NA,11406,235.91022897,2017,NO_0125,geo,TRUE
NO_0127,11.163389329494171,59.47213746669702,NO,NO03,NO031,0127,NA,3783,101.20516294,2017,NO_0127,geo,TRUE
NO_0128,11.346810842439782,59.426997372713636,NO,NO03,NO031,0128,NA,8173,434.71714897,2017,NO_0128,geo,TRUE
NO_0135,10.838498548728731,59.33300646179488,NO,NO03,NO031,0135,NA,7398,118.51097335,2017,NO_0135,geo,TRUE
NO_0136,10.697006987456309,59.403269587469566,NO,NO03,NO031,0136,NA,15747,74.09042298,2017,NO_0136,geo,TRUE
NO_0137,10.829013278030757,59.471442538637106,NO,NO03,NO031,0137,NA,5335,256.96666672,2017,NO_0137,geo,TRUE
NO_0138,11.001342638531264,59.64644058884374,NO,NO03,NO031,0138,NA,5557,140.39300042,2017,NO_0138,geo,TRUE
NO_0211,10.718293073823077,59.56601868592799,NO,NO01,NO012,0211,NA,17188,133.86225265,2017,NO_0211,geo,TRUE
NO_0213,10.83562710430586,59.73556552040795,NO,NO01,NO012,0213,NA,30698,165.53197883,2017,NO_0213,geo,TRUE
NO_0214,10.788352134544116,59.68322610788777,NO,NO01,NO012,0214,NA,19288,103.11173835,2017,NO_0214,geo,TRUE
NO_0215,10.647245359336747,59.66469472423532,NO,NO01,NO012,0215,NA,15743,85.5568933,2017,NO_0215,geo,TRUE
NO_0216,10.662188916935074,59.835770349795816,NO,NO01,NO012,0216,NA,18869,61.28999896,2017,NO_0216,geo,TRUE
NO_0217,10.804579352617612,59.799722385595445,NO,NO01,NO012,0217,NA,26988,37.03879512,2017,NO_0217,geo,TRUE
NO_0219,10.558328729966586,59.918226797862545,NO,NO01,NO012,0219,NA,124008,192.08752244,2017,NO_0219,geo,TRUE
NO_0220,10.452594680793913,59.83497085292025,NO,NO01,NO012,0220,NA,60781,100.46143094,2017,NO_0220,geo,TRUE
NO_0221,11.495558433662335,59.88601703102621,NO,NO01,NO012,0221,NA,16162,961.66295919,2017,NO_0221,geo,TRUE
NO_0226,11.1888183525397,60.00215031828109,NO,NO01,NO012,0226,NA,17665,206.61141249,2017,NO_0226,geo,TRUE
NO_0227,11.157067964255335,59.9295898523772,NO,NO01,NO012,0227,NA,11555,176.35055074,2017,NO_0227,geo,TRUE
NO_0228,11.0470935545862,59.93343488902573,NO,NO01,NO012,0228,NA,17730,71.68284936,2017,NO_0228,geo,TRUE
NO_0229,11.10025613179381,59.78972036448681,NO,NO01,NO012,0229,NA,10927,232.58281635,2017,NO_0229,geo,TRUE
NO_0230,10.958882736723202,59.926252147444444,NO,NO01,NO012,0230,NA,37406,70.54792545,2017,NO_0230,geo,TRUE
NO_0231,11.026680590429443,59.965775676214875,NO,NO01,NO012,0231,NA,53276,77.03255622,2017,NO_0231,geo,TRUE
NO_0233,10.89414528240263,60.028890657442126,NO,NO01,NO012,0233,NA,23213,186.22836696,2017,NO_0233,geo,TRUE
NO_0234,11.012308119311891,60.074421463033204,NO,NO01,NO012,0234,NA,6546,83.19267245,2017,NO_0234,geo,TRUE
NO_0235,11.171473586541566,60.13123762978787,NO,NO01,NO012,0235,NA,35102,252.46298286,2017,NO_0235,geo,TRUE
NO_0236,11.416741534127668,60.109457218583366,NO,NO01,NO012,0236,NA,21241,637.3657674,2017,NO_0236,geo,TRUE
NO_0237,11.194140999128397,60.28484245296928,NO,NO01,NO012,0237,NA,24415,456.50087837,2017,NO_0237,geo,TRUE
NO_0238,11.025794557673375,60.219953270261946,NO,NO01,NO012,0238,NA,12657,340.98191919,2017,NO_0238,geo,TRUE
NO_0239,11.05007603883986,60.430120332527885,NO,NO01,NO012,0239,NA,2910,284.96600053,2017,NO_0239,geo,TRUE
NO_0301,10.772405343277217,59.923484976119695,NO,NO01,NO011,0301,NA,666759,453.97681931,2017,NO_0301,geo,TRUE
NO_0402,12.005705651471752,60.190750022530814,NO,NO02,NO021,0402,NA,17857,1036.45148247,2017,NO_0402,geo,TRUE
NO_0403,11.067861212802745,60.80366935897914,NO,NO02,NO021,0403,NA,30598,350.96387215,2017,NO_0403,geo,TRUE
NO_0412,10.89524195344748,60.896685245451,NO,NO02,NO021,0412,NA,33842,1280.08279449,2017,NO_0412,geo,TRUE
NO_0415,11.34226184625704,60.81803284974855,NO,NO02,NO021,0415,NA,7633,369.43819824,2017,NO_0415,geo,TRUE
NO_0417,11.152754420078914,60.75639882075704,NO,NO02,NO021,0417,NA,20317,724.2680648,2017,NO_0417,geo,TRUE
NO_0418,11.576134355876208,60.41310264615426,NO,NO02,NO021,0418,NA,5100,508.13723796,2017,NO_0418,geo,TRUE
NO_0419,11.69132951046272,60.244888340917655,NO,NO02,NO021,0419,NA,7866,516.73743255,2017,NO_0419,geo,TRUE
NO_0420,12.142770877694767,59.975037890849826,NO,NO02,NO021,0420,NA,6127,640.38217082,2017,NO_0420,geo,TRUE
NO_0423,12.077501052956514,60.45351323486572,NO,NO02,NO021,0423,NA,4777,837.17618811,2017,NO_0423,geo,TRUE
NO_0425,12.02191490809597,60.61666508292819,NO,NO02,NO021,0425,NA,7329,1040.93117079,2017,NO_0425,geo,TRUE
NO_0426,11.833275511972712,60.68331316235227,NO,NO02,NO021,0426,NA,3743,705.28504105,2017,NO_0426,geo,TRUE
NO_0427,11.568791836791473,60.88192643481735,NO,NO02,NO021,0427,NA,21086,1229.2796799,2017,NO_0427,geo,TRUE
NO_0428,12.266268141953672,61.31216160852909,NO,NO02,NO021,0428,NA,6550,3014.40259139,2017,NO_0428,geo,TRUE
NO_0429,11.369531986497888,61.13561975088708,NO,NO02,NO021,0429,NA,4518,1339.90093807,2017,NO_0429,geo,TRUE
NO_0430,11.041247966388827,61.57147759753575,NO,NO02,NO021,0430,NA,2530,2165.78463388,2017,NO_0430,geo,TRUE
NO_0432,11.147067348025686,61.800469217184556,NO,NO02,NO021,0432,NA,1858,3179.51000485,2017,NO_0432,geo,TRUE
NO_0434,11.993272594150412,61.82140006933343,NO,NO02,NO021,0434,NA,1274,2196.54766696,2017,NO_0434,geo,TRUE
NO_0436,10.988261421489621,62.41073886835563,NO,NO02,NO021,0436,NA,1620,1122.57917351,2017,NO_0436,geo,TRUE
NO_0437,10.773856038698765,62.26931692373506,NO,NO02,NO021,0437,NA,5584,1880.52205218,2017,NO_0437,geo,TRUE
NO_0438,10.625043315096262,62.11405776721236,NO,NO02,NO021,0438,NA,2441,942.15864034,2017,NO_0438,geo,TRUE
NO_0439,9.996027220997345,62.13744692240575,NO,NO02,NO021,0439,NA,1577,1276.86851318,2017,NO_0439,geo,TRUE
NO_0441,11.217208940848552,62.49682987820061,NO,NO02,NO021,0441,NA,1963,1040.41022739,2017,NO_0441,geo,TRUE
NO_0501,10.466045853394633,61.11627260149489,NO,NO02,NO022,0501,NA,27781,478.18133681,2017,NO_0501,geo,TRUE
NO_0502,10.675030931928063,60.7928844600657,NO,NO02,NO022,0502,NA,30319,672.24103637,2017,NO_0502,geo,TRUE
NO_0511,9.144746042250654,62.0698398978848,NO,NO02,NO022,0511,NA,2675,1364.38200962,2017,NO_0511,geo,TRUE
NO_0512,8.782313124793312,62.135322847939214,NO,NO02,NO022,0512,NA,2048,2259.4887672,2017,NO_0512,geo,TRUE
NO_0513,8.272248737872314,61.88359142981503,NO,NO02,NO022,0513,NA,2202,2075.52052963,2017,NO_0513,geo,TRUE
NO_0514,8.581572651954987,61.83709837517749,NO,NO02,NO022,0514,NA,2360,1968.57738231,2017,NO_0514,geo,TRUE
NO_0515,9.113140122529892,61.87016698996933,NO,NO02,NO022,0515,NA,3640,1329.99137488,2017,NO_0515,geo,TRUE
NO_0516,9.732971548387363,61.606969437987694,NO,NO02,NO022,0516,NA,5723,1141.5175905,2017,NO_0516,geo,TRUE
NO_0517,9.507043270402825,61.77249539197233,NO,NO02,NO022,0517,NA,5916,904.92443926,2017,NO_0517,geo,TRUE
NO_0519,9.923447461071897,61.55864879837108,NO,NO02,NO022,0519,NA,3163,742.14470219,2017,NO_0519,geo,TRUE
NO_0520,10.15849678280119,61.50541406100726,NO,NO02,NO022,0520,NA,4502,1247.56246468,2017,NO_0520,geo,TRUE
NO_0521,10.403582534170443,61.26449627283822,NO,NO02,NO022,0521,NA,5082,639.91232717,2017,NO_0521,geo,TRUE
NO_0522,10.22640081358041,61.21925467141883,NO,NO02,NO022,0522,NA,6204,1191.15533239,2017,NO_0522,geo,TRUE
NO_0528,10.8407008774689,60.67975774758535,NO,NO02,NO022,0528,NA,14887,562.56945501,2017,NO_0528,geo,TRUE
NO_0529,10.61985779982589,60.71464945998177,NO,NO02,NO022,0529,NA,13179,249.51430218,2017,NO_0529,geo,TRUE
NO_0532,10.389108103678478,60.238657728689276,NO,NO02,NO022,0532,NA,6696,225.71467575,2017,NO_0532,geo,TRUE
NO_0533,10.662212190513833,60.25044811436059,NO,NO02,NO022,0533,NA,9080,291.83983261,2017,NO_0533,geo,TRUE
NO_0534,10.542055837433049,60.39396897659445,NO,NO02,NO022,0534,NA,13707,756.65230139,2017,NO_0534,geo,TRUE
NO_0536,10.33767417451294,60.70764058712331,NO,NO02,NO022,0536,NA,5717,728.35476583,2017,NO_0536,geo,TRUE
NO_0538,10.077798660717097,60.83939631658751,NO,NO02,NO022,0538,NA,6773,955.32195927,2017,NO_0538,geo,TRUE
NO_0540,9.578541637526286,60.797520510729406,NO,NO02,NO022,0540,NA,3026,1109.02021593,2017,NO_0540,geo,TRUE
NO_0541,9.646749731392312,60.89875124270177,NO,NO02,NO022,0541,NA,1351,459.15185372,2017,NO_0541,geo,TRUE
NO_0542,9.270359065096411,60.97637721982345,NO,NO02,NO022,0542,NA,6490,906.52709982,2017,NO_0542,geo,TRUE
NO_0543,8.997549275810362,61.07899728933359,NO,NO02,NO022,0543,NA,2114,463.26005464,2017,NO_0543,geo,TRUE
NO_0544,9.05697811401091,61.14549233868662,NO,NO02,NO022,0544,NA,3248,963.11762283,2017,NO_0544,geo,TRUE
NO_0545,8.610910957618369,61.138763045501165,NO,NO02,NO022,0545,NA,1596,1505.44599202,2017,NO_0545,geo,TRUE
NO_0602,10.190071728879477,59.73627673673843,NO,NO03,NO032,0602,NA,68363,137.49903536,2017,NO_0602,geo,TRUE
NO_0604,9.659495776705942,59.66242404461992,NO,NO03,NO032,0604,NA,27216,793.11341718,2017,NO_0604,geo,TRUE
NO_0605,10.250134554327131,60.172853636809286,NO,NO03,NO032,0605,NA,30034,1555.07832294,2017,NO_0605,geo,TRUE
NO_0612,10.280571862477386,60.07404469717606,NO,NO03,NO032,0612,NA,6772,192.70021289,2017,NO_0612,geo,TRUE
