gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
RO_100004,27.594475636313376,47.29675752716995,RO,RO21,RO213,100004,Victoria,4432,61.34902309,2020,RO_100004,official,TRUE
RO_10006,22.185329574067175,45.968952917243946,RO,RO42,RO421,10006,Birchis,1791,103.91075282,2020,RO_10006,official,TRUE
RO_100086,26.75671489011308,47.328015652314065,RO,RO21,RO213,100086,Vânători,4643,51.71832697,2020,RO_100086,official,TRUE
RO_100148,27.328089297010756,47.42237387610923,RO,RO21,RO213,100148,Vlădeni,4242,79.31825287,2020,RO_100148,official,TRUE
RO_100219,27.419223952571947,47.068296014221715,RO,RO21,RO213,100219,Voineşti,8372,62.88322494,2020,RO_100219,official,TRUE
RO_100273,26.97677672777984,47.281829641712775,RO,RO21,RO213,100273,Balş,3653,31.64873799,2020,RO_100273,official,TRUE
RO_100282,26.926173823555455,47.23634098172891,RO,RO21,RO213,100282,Costeşti,1803,26.2549183,2020,RO_100282,official,TRUE
RO_100308,27.49357935457792,46.89615530988514,RO,RO21,RO213,100308,Draguşeni,1468,22.47785747,2020,RO_100308,official,TRUE
RO_100317,27.181347812869173,47.41137176992659,RO,RO21,RO213,100317,Fântânele,2077,33.1822386,2020,RO_100317,official,TRUE
RO_100326,26.803906520930756,47.2681299554354,RO,RO21,RO213,100326,Hărmăneşti,2569,27.81855614,2020,RO_100326,official,TRUE
RO_100335,26.911613864517683,47.05247964452877,RO,RO21,RO213,100335,Rachiţeni,3296,16.50434356,2020,RO_100335,official,TRUE
RO_100344,27.42244819417444,47.43618154664207,RO,RO21,RO213,100344,Roşcani,1568,37.89901182,2020,RO_100344,official,TRUE
RO_100353,27.510594388026927,47.182691312622005,RO,RO21,RO213,100353,Valea Lupului,10086,10.62663797,2020,RO_100353,official,TRUE
RO_100362,26.688066608450445,47.13681905248957,RO,RO21,RO213,100362,Ciohorani,1954,16.47048056,2020,RO_100362,official,TRUE
RO_10051,22.05502120178297,46.38512832130391,RO,RO42,RO421,10051,Bârsa,1807,50.76834934,2020,RO_10051,official,TRUE
RO_100521,25.969298308805474,43.90266647750655,RO,RO31,RO314,100521,Municipiul Giurgiu,66303,53.41120544,2020,RO_100521,official,TRUE
RO_100549,25.94028132836811,43.855667167356984,RO,RO31,RO314,100549,Slobozia,2288,58.34428253,2020,RO_100549,official,TRUE
RO_100576,25.943962717583428,44.564713673488946,RO,RO32,RO322,100576,Oraş Buftea,22718,54.81294431,2020,RO_100576,official,TRUE
RO_100610,26.640213560294438,44.088713487063494,RO,RO31,RO312,100610,Municipiul Olteniţa,26922,100.64663252,2020,RO_100610,official,TRUE
RO_100638,26.623680539763498,44.17465106412205,RO,RO31,RO312,100638,Mitreni,3992,52.18508512,2020,RO_100638,official,TRUE
RO_100683,26.64237359557891,44.71490727838266,RO,RO31,RO315,100683,Municipiul Urziceni,16656,54.04614395,2020,RO_100683,official,TRUE
RO_100709,26.671979412590773,44.79238866150416,RO,RO31,RO315,100709,Ciocârlia,742,15.50729418,2020,RO_100709,official,TRUE
RO_100736,26.668930074156854,44.706766778279146,RO,RO31,RO315,100736,Manasia,4572,33.59405288,2020,RO_100736,official,TRUE
RO_100754,26.44286024690573,44.76264107971205,RO,RO31,RO315,100754,Adâncata,2325,46.95461896,2020,RO_100754,official,TRUE
RO_100781,26.04491510007257,44.263392880333356,RO,RO31,RO314,100781,Adunaţii-Copăceni,6183,77.93179734,2020,RO_100781,official,TRUE
RO_100834,26.249998481012675,44.52489565399078,RO,RO32,RO322,100834,Afumaţi,8187,60.40683531,2020,RO_100834,official,TRUE
RO_100852,26.712082328005394,44.6794297773138,RO,RO31,RO315,100852,Alexeni,2343,43.61031547,2020,RO_100852,official,TRUE
RO_100870,26.581393914054026,44.77147948050342,RO,RO31,RO315,100870,Armăşeşti,2127,47.4213069,2020,RO_100870,official,TRUE
RO_100923,26.77154434035253,44.590732602379134,RO,RO31,RO315,100923,Axintele,2269,121.87631465,2020,RO_100923,official,TRUE
