gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
RS_70017,21.079152187233497,43.464754680900974,RS,RS21,RS216,70017,Aleksandrovac,24564,386.54378947,2019,RS_70017,official,TRUE
RS_70025,21.700409529061474,43.53340582855991,RS,RS22,RS225,70025,Aleksinac,48087,706.81881809,2019,RS_70025,official,TRUE
RS_70033,20.56458521667856,44.308074706464744,RS,RS21,RS218,70033,Arandjelovac,44197,376.0157917,2019,RS_70033,official,TRUE
RS_70041,20.099917750094978,43.75114449768316,RS,RS21,RS211,70041,Arilje,18109,349.31997146,2019,RS_70041,official,TRUE
RS_70050,22.40917248556153,43.06324825874959,RS,RS22,RS226,70050,Babušnica,10659,528.43326483,2019,RS_70050,official,TRUE
RS_70068,19.563633906511463,43.971768668467455,RS,RS21,RS211,70068,Bajina Bašta,24539,673.34259272,2019,RS_70068,official,TRUE
RS_70076,21.075413595877954,44.14688020841083,RS,RS21,RS218,70076,Batočina,11085,135.6857936,2019,RS_70076,official,TRUE
RS_70084,22.314417517484625,43.22072764062477,RS,RS22,RS226,70084,Bela Palanka,11065,516.95936475,2019,RS_70084,official,TRUE
RS_70092,20.383685093013032,44.60120259135895,RS,RS11,RS110,70092,Belgrade - Barajevo,26964,213.16764677,2019,RS_70092,official,TRUE
RS_70106,20.48758847803262,44.76463909434812,RS,RS11,RS110,70106,Belgrade - Voždovac,168242,148.55361338,2019,RS_70106,official,TRUE
RS_70114,20.477431717719753,44.79761227655104,RS,RS11,RS110,70114,Belgrade - Vračar,57483,2.89301593,2019,RS_70114,official,TRUE
RS_70122,20.6043901878976,44.7232654094896,RS,RS11,RS110,70122,Belgrade - Grocka,86391,299.18625903,2019,RS_70122,official,TRUE
RS_70149,20.513630169468943,44.788468012922245,RS,RS11,RS110,70149,Belgrade - Zvezdara,163542,31.19698732,2019,RS_70149,official,TRUE
RS_70157,20.335679346373514,44.866480126865625,RS,RS11,RS110,70157,Belgrade - Zemun,173460,149.86605255,2019,RS_70157,official,TRUE
RS_70165,20.27135025477966,44.392994450718575,RS,RS11,RS110,70165,Belgrade - Lazarevac,57136,383.3735697,2019,RS_70165,official,TRUE
RS_70173,20.701738148448612,44.4383014074041,RS,RS11,RS110,70173,Belgrade - Mladenovac,52159,338.99195426,2019,RS_70173,official,TRUE
RS_70181,20.3814905118447,44.809944676691856,RS,RS11,RS110,70181,Belgrade - Novi Beograd,213985,40.71570122,2019,RS_70181,official,TRUE
RS_70190,20.19781703536465,44.65342525412555,RS,RS11,RS110,70190,Belgrade - Obrenovac,72209,409.96690202,2019,RS_70190,official,TRUE
RS_70203,20.48128567661353,44.85851991202577,RS,RS11,RS110,70203,Belgrade - Palilula,181414,451.13795713,2019,RS_70203,official,TRUE
RS_70211,20.443216645826435,44.72904833429856,RS,RS11,RS110,70211,Belgrade - Rakovica,108477,29.97587889,2019,RS_70211,official,TRUE
RS_70220,20.45675579718339,44.79502815381869,RS,RS11,RS110,70220,Belgrade - Savski venac,36222,14.15152118,2019,RS_70220,official,TRUE
RS_70238,20.58180609003844,44.536001278554245,RS,RS11,RS110,70238,Belgrade - Sopot,19870,270.64348341,2019,RS_70238,official,TRUE
RS_70246,20.46137561018751,44.81819794886309,RS,RS11,RS110,70246,Belgrade - Stari grad,45877,5.44585581,2019,RS_70246,official,TRUE
RS_70254,20.397262910220185,44.73365265109433,RS,RS11,RS110,70254,Belgrade - Čukarica,177586,157.00986432,2019,RS_70254,official,TRUE
RS_70262,21.289450422592637,43.298276727310764,RS,RS22,RS229,70262,Blace,10651,306.33581383,2019,RS_70262,official,TRUE
RS_70289,19.459069392644718,44.83056868465937,RS,RS21,RS213,70289,Bogatić,26941,384.46947644,2019,RS_70289,official,TRUE
RS_70297,21.739013546590865,43.02675254462756,RS,RS22,RS224,70297,Bojnik,10310,263.89985515,2019,RS_70297,official,TRUE
RS_70319,21.95322516692651,43.839973704772824,RS,RS22,RS223,70319,Boljevac,11560,827.76135966,2019,RS_70319,official,TRUE
RS_70327,22.099263377450427,44.06544685976049,RS,RS22,RS221,70327,Bor,45834,856.79756289,2019,RS_70327,official,TRUE
RS_70335,22.47473471715056,42.49515189221164,RS,RS22,RS228,70335,Bosilegrad,7304,571.05108316,2019,RS_70335,official,TRUE
RS_70343,21.03572913620061,43.38145045620788,RS,RS21,RS216,70343,Brus,15025,605.69921059,2019,RS_70343,official,TRUE
RS_70351,21.754834678675532,42.45821687924619,RS,RS22,RS228,70351,Bujanovac,37769,460.91329009,2019,RS_70351,official,TRUE
RS_70360,19.88997755668873,44.275172289025946,RS,RS21,RS212,70360,Valjevo,86677,905.65840185,2019,RS_70360,official,TRUE
RS_70378,21.334874504018046,43.737881306129616,RS,RS21,RS216,70378,Varvarin,16561,249.20212234,2019,RS_70378,official,TRUE
RS_70386,21.082633720759347,44.354120231990635,RS,RS22,RS227,70386,Velika Plana,38423,346.08667876,2019,RS_70386,official,TRUE
RS_70394,21.467089943276786,44.7155742939451,RS,RS22,RS222,70394,Veliko Gradište,16235,343.21455735,2019,RS_70394,official,TRUE
RS_70408,19.82079906014126,44.62896608451847,RS,RS21,RS213,70408,Vladimirci,16057,337.94972402,2019,RS_70408,official,TRUE
RS_70416,22.066288747262575,42.70651746957237,RS,RS22,RS228,70416,Vladičin Han,19201,365.91021731,2019,RS_70416,official,TRUE
RS_70424,22.12230387068221,42.967073915073684,RS,RS22,RS224,70424,Vlasotince,28029,307.93371049,2019,RS_70424,official,TRUE
RS_70432,21.897596946315364,42.54614622961566,RS,RS22,RS228,70432,Vranje,72020,599.93935438,2019,RS_70432,official,TRUE
RS_70459,20.89507756108229,43.62626469243495,RS,RS21,RS217,70459,Vrnjačka Banja,26322,239.29735633,2019,RS_70459,official,TRUE
RS_70467,21.99345840497846,43.19247598462612,RS,RS22,RS225,70467,Gadžin Han,7098,324.74933824,2019,RS_70467,official,TRUE
RS_70475,21.58874161522657,44.654533045600914,RS,RS22,RS222,70475,Golubac,7541,367.970724,2019,RS_70475,official,TRUE
RS_70483,20.45986156693964,44.02816472015741,RS,RS21,RS214,70483,Gornji Milanovac,41872,836.46418172,2019,RS_70483,official,TRUE
RS_70491,21.41068876668482,44.1172872795573,RS,RS21,RS215,70491,Despotovac,21013,623.26034151,2019,RS_70491,official,TRUE
RS_70505,22.77407148465778,43.016660756741466,RS,RS22,RS226,70505,Dimitrovgrad,9367,483.24190619,2019,RS_70505,official,TRUE
RS_70513,21.838182406552527,43.19907478987574,RS,RS22,RS225,70513,Doljevac,18030,121.1166072,2019,RS_70513,official,TRUE
RS_70521,21.220988022925933,44.40139820127302,RS,RS22,RS222,70521,Žabari,9832,263.76600236,2019,RS_70521,official,TRUE
RS_70530,21.763757173966802,44.217347131195325,RS,RS22,RS222,70530,Žagubica,11528,760.02789389,2019,RS_70530,official,TRUE
RS_70548,21.731287684677667,43.20112812220645,RS,RS22,RS229,70548,Žitorađa,15197,214.17789076,2019,RS_70548,official,TRUE
RS_70556,22.281070788538074,43.91683955002426,RS,RS22,RS223,70556,Zaječar,55205,1068.51636708,2019,RS_70556,official,TRUE
RS_70564,20.226600870231017,43.58527172169846,RS,RS21,RS214,70564,Ivanjica,30161,1089.74876979,2019,RS_70564,official,TRUE
RS_70572,22.59967761262583,44.57460229668206,RS,RS22,RS221,70572,Kladovo,18926,627.07443788,2019,RS_70572,official,TRUE
RS_70599,20.71151574634645,43.938324072886694,RS,RS21,RS218,70599,Knić,13080,413.11025659,2019,RS_70599,official,TRUE
RS_70602,22.25790939145085,43.57134225007735,RS,RS22,RS223,70602,Knjaževac,28402,1202.62916109,2019,RS_70602,official,TRUE
RS_70629,19.904356087670283,43.99981094414258,RS,RS21,RS211,70629,Kosjerić,10996,358.3692689,2019,RS_70629,official,TRUE
RS_70637,19.813330400317117,44.47358294854306,RS,RS21,RS213,70637,Koceljeva,12025,257.40820679,2019,RS_70637,official,TRUE
RS_70645,20.904776819586566,44.010257046043556,RS,RS21,RS218,70645,Kragujevac,177977,834.55089705,2019,RS_70645,official,TRUE
RS_70653,20.675970714419652,43.71874619592192,RS,RS21,RS217,70653,Kraljevo,119585,1529.93467631,2019,RS_70653,official,TRUE
RS_70661,19.370617273356114,44.36943669985137,RS,RS21,RS213,70661,Krupanj,15825,341.72371179,2019,RS_70661,official,TRUE
RS_70670,21.329118436667564,43.5763216366204,RS,RS21,RS216,70670,Kruševac,122437,854.05219939,2019,RS_70670,official,TRUE
RS_70688,21.269008959314355,43.13988011275525,RS,RS22,RS229,70688,Kuršumlija,17787,952.00598208,2019,RS_70688,official,TRUE
RS_70696,21.625345078012437,44.50713593871671,RS,RS22,RS222,70696,Kučevo,13551,721.13997202,2019,RS_70696,official,TRUE
RS_70700,20.163315576859183,44.3684705486873,RS,RS21,RS212,70700,Lajkovac,14851,185.61551307,2019,RS_70700,official,TRUE
RS_70718,21.78490485390764,42.93423993710686,RS,RS22,RS224,70718,Lebane,20043,336.69919401,2019,RS_70718,official,TRUE
RS_70726,21.94330451549322,43.00044993720395,RS,RS22,RS224,70726,Leskovac,136888,1025.07891353,2019,RS_70726,official,TRUE
RS_70734,19.238177436613565,44.5511781437754,RS,RS21,RS213,70734,Loznica,75846,612.23986333,2019,RS_70734,official,TRUE
RS_70742,20.195160041165664,43.80589780164977,RS,RS21,RS214,70742,Lučani,18918,454.26665081,2019,RS_70742,official,TRUE
RS_70769,20.245532463731788,44.2286568515891,RS,RS21,RS212,70769,Ljig,11549,278.82642144,2019,RS_70769,official,TRUE
RS_70777,19.378888129469583,44.18812684411178,RS,RS21,RS213,70777,Ljubovija,13045,356.10332686,2019,RS_70777,official,TRUE
RS_70785,22.078356623708373,44.42890554781602,RS,RS22,RS221,70785,Majdanpek,16752,931.33082503,2019,RS_70785,official,TRUE
RS_70793,19.12749081337586,44.40178477626825,RS,RS21,RS213,70793,Mali Zvornik,11559,184.0867222,2019,RS_70793,official,TRUE
RS_70807,21.35688068832459,44.5670911989744,RS,RS22,RS222,70807,Malo Crniće,10150,269.57257012,2019,RS_70807,official,TRUE
