gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
SE_0114,17.91646735045904,59.51787268142314,SE,SE11,SE110,0114,Upplands Väsby,44605,83.96948148,2018,SE_0114,official,TRUE
SE_0115,18.078200403613383,59.53198682413062,SE,SE11,SE110,0115,Vallentuna,33175,370.81626009,2018,SE_0115,official,TRUE
SE_0117,18.31153144653056,59.48041206687708,SE,SE11,SE110,0117,Österåker,44130,318.60541391,2018,SE_0117,official,TRUE
SE_0120,18.41754770722721,59.31941465678918,SE,SE11,SE110,0120,Värmdö,43444,427.40934579,2018,SE_0120,official,TRUE
SE_0123,17.829553543632837,59.42225170544832,SE,SE11,SE110,0123,Järfälla,76453,63.38871306,2018,SE_0123,official,TRUE
SE_0125,17.783955466202702,59.29290533048792,SE,SE11,SE110,0125,Ekerö,27753,385.29319663,2018,SE_0125,official,TRUE
SE_0126,18.005784235537448,59.23698576617873,SE,SE11,SE110,0126,Huddinge,110003,140.41155876,2018,SE_0126,official,TRUE
SE_0127,17.842708620867903,59.22775008312121,SE,SE11,SE110,0127,Botkyrka,91925,210.32031223,2018,SE_0127,official,TRUE
SE_0128,17.76428195790048,59.19948630620237,SE,SE11,SE110,0128,Salem,16665,72.03588202,2018,SE_0128,official,TRUE
SE_0136,18.145976373501746,59.16000704681313,SE,SE11,SE110,0136,Haninge,88037,449.17218429,2018,SE_0136,official,TRUE
SE_0138,18.229059151504913,59.2352267454204,SE,SE11,SE110,0138,Tyresö,47304,72.62276258,2018,SE_0138,official,TRUE
SE_0139,17.699217419663725,59.501370680386465,SE,SE11,SE110,0139,Upplands-Bro,27614,326.45649667,2018,SE_0139,official,TRUE
SE_0140,17.429857462781385,59.175992604868924,SE,SE11,SE110,0140,Nykvarn,10660,177.48384787,2018,SE_0140,official,TRUE
SE_0160,18.074007804130176,59.452532044998726,SE,SE11,SE110,0160,Täby,70405,66.68733981,2018,SE_0160,official,TRUE
SE_0162,18.045455950068895,59.40409274013412,SE,SE11,SE110,0162,Danderyd,32888,26.70320616,2018,SE_0162,official,TRUE
SE_0163,17.94740426796917,59.43690448627155,SE,SE11,SE110,0163,Sollentuna,71848,57.94700441,2018,SE_0163,official,TRUE
SE_0180,18.02865451966869,59.32355219080319,SE,SE11,SE110,0180,Stockholm,949761,209.97542233,2018,SE_0180,official,TRUE
SE_0181,17.612542498884842,59.190368868571845,SE,SE11,SE110,0181,Södertälje,96032,609.47622101,2018,SE_0181,official,TRUE
SE_0182,18.208914185703133,59.30283430493926,SE,SE11,SE110,0182,Nacka,101231,100.30529172,2018,SE_0182,official,TRUE
SE_0183,17.964404467204265,59.3685289547355,SE,SE11,SE110,0183,Sundbyberg,49424,7.64294359,2018,SE_0183,official,TRUE
SE_0184,17.99865632224267,59.360170495436165,SE,SE11,SE110,0184,Solna,79707,20.97233164,2018,SE_0184,official,TRUE
SE_0186,18.160121482408627,59.358260072527955,SE,SE11,SE110,0186,Lidingö,47185,31.79891321,2018,SE_0186,official,TRUE
SE_0187,18.3238944855093,59.41428461035675,SE,SE11,SE110,0187,Vaxholm,11831,58.39530328,2018,SE_0187,official,TRUE
SE_0188,18.655757962718624,59.77873705407243,SE,SE11,SE110,0188,Norrtälje,60808,2093.44835162,2018,SE_0188,official,TRUE
SE_0191,17.82610733024268,59.62091208930439,SE,SE11,SE110,0191,Sigtuna,47146,350.40436687,2018,SE_0191,official,TRUE
SE_0192,17.930778106470274,58.923482723349885,SE,SE11,SE110,0192,Nynäshamn,28109,359.79926638,2018,SE_0192,official,TRUE
SE_0305,17.521337379412905,59.57544950595033,SE,SE12,SE121,0305,Håbo,21083,190.09494601,2018,SE_0305,official,TRUE
SE_0319,17.42025234452357,60.61705562081864,SE,SE12,SE121,0319,Älvkarleby,9402,231.8324487,2018,SE_0319,official,TRUE
SE_0330,17.786334102907865,59.73684090856607,SE,SE12,SE121,0330,Knivsta,18064,297.68231717,2018,SE_0330,official,TRUE
SE_0331,17.00449696463685,60.04102416584118,SE,SE12,SE121,0331,Heby,13854,1231.38455367,2018,SE_0331,official,TRUE
SE_0360,17.5172619242572,60.342459839424485,SE,SE12,SE121,0360,Tierp,20930,1605.30899163,2018,SE_0360,official,TRUE
SE_0380,17.63841323779172,59.86006078230883,SE,SE12,SE121,0380,Uppsala,219914,2248.04811372,2018,SE_0380,official,TRUE
SE_0381,17.082932926539993,59.64025261553339,SE,SE12,SE121,0381,Enköping,43797,1329.47695291,2018,SE_0381,official,TRUE
SE_0382,18.207544571093894,60.20227670408235,SE,SE12,SE121,0382,Östhammar,21927,1488.49864175,2018,SE_0382,official,TRUE
SE_0428,15.877044777130335,59.04034920929511,SE,SE12,SE122,0428,Vingåker,9180,443.22564351,2018,SE_0428,official,TRUE
SE_0461,17.294011470797304,59.04815614233007,SE,SE12,SE122,0461,Gnesta,11019,539.83297581,2018,SE_0461,official,TRUE
SE_0480,17.009694748404538,58.75642536568248,SE,SE12,SE122,0480,Nyköping,55467,1553.08623172,2018,SE_0480,official,TRUE
SE_0481,17.090720108518312,58.67438144162755,SE,SE12,SE122,0481,Oxelösund,12008,32.85342394,2018,SE_0481,official,TRUE
SE_0482,16.610115271240588,59.07273008661785,SE,SE12,SE122,0482,Flen,16864,830.67086969,2018,SE_0482,official,TRUE
SE_0483,16.210352831695868,58.99357854018335,SE,SE12,SE122,0483,Katrineholm,34133,1196.02031974,2018,SE_0483,official,TRUE
SE_0484,16.508046583051303,59.37038235913969,SE,SE12,SE122,0484,Eskilstuna,104709,1258.92655311,2018,SE_0484,official,TRUE
SE_0486,17.051708398999402,59.35538727262402,SE,SE12,SE122,0486,Strängnäs,35045,982.37272328,2018,SE_0486,official,TRUE
