gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
BG_BGS01,27.254635862213874,42.70468574190053,BG,BG34,BG341,BGS01,Айтос,27849,402.80887103,2019,BG_BGS01,official,TRUE
BG_BGS04,27.443316132980126,42.51809380710714,BG,BG34,BG341,BGS04,Бургас,208915,560.02368221,2019,BG_BGS04,official,TRUE
BG_BGS06,27.182845202694175,42.34609839362563,BG,BG34,BG341,BGS06,Средец,14495,1150.14167443,2019,BG_BGS06,official,TRUE
BG_BGS08,27.27128563883353,42.551151336206594,BG,BG34,BG341,BGS08,Камено,9864,354.87663487,2019,BG_BGS08,official,TRUE
BG_BGS09,26.982591664219363,42.6466285260752,BG,BG34,BG341,BGS09,Карнобат,23380,834.3476655,2019,BG_BGS09,official,TRUE
BG_BGS12,27.524226198833606,41.994563106756395,BG,BG34,BG341,BGS12,Малко Търново,3208,783.36672038,2019,BG_BGS12,official,TRUE
BG_BGS13,27.853686434217405,42.16071466155779,BG,BG34,BG341,BGS13,Царево,9014,513.60879539,2019,BG_BGS13,official,TRUE
BG_BGS15,27.717338896958857,42.69573008991541,BG,BG34,BG341,BGS15,Несебър,27879,421.64241486,2019,BG_BGS15,official,TRUE
BG_BGS17,27.595364068751802,42.608626883178765,BG,BG34,BG341,BGS17,Поморие,27233,414.02332862,2019,BG_BGS17,official,TRUE
BG_BGS18,27.275296455405712,42.840379139237236,BG,BG34,BG341,BGS18,Руен,27846,689.78888024,2019,BG_BGS18,official,TRUE
BG_BGS21,27.586380863573623,42.3869217548142,BG,BG34,BG341,BGS21,Созопол,13005,480.29234979,2019,BG_BGS21,official,TRUE
BG_BGS23,26.804022517180123,42.785462818891475,BG,BG34,BG341,BGS23,Сунгурларе,11519,795.40739914,2019,BG_BGS23,official,TRUE
BG_BGS27,27.69792371041935,42.26998309832726,BG,BG34,BG341,BGS27,Приморско,6124,350.5017183,2019,BG_BGS27,official,TRUE
BG_BLG01,23.497244296707166,41.830576813187434,BG,BG41,BG413,BLG01,Банско,12827,475.93962672,2019,BG_BLG01,official,TRUE
BG_BLG02,23.588316465757753,41.93185226465405,BG,BG41,BG413,BLG02,Белица,9316,293.41042516,2019,BG_BLG02,official,TRUE
BG_BLG03,23.09587609609091,42.01312787435323,BG,BG41,BG413,BLG03,Благоевград,75329,620.07037103,2019,BG_BLG03,official,TRUE
BG_BLG11,23.723401100830635,41.58182982316329,BG,BG41,BG413,BLG11,Гоце Делчев,29859,330.93056658,2019,BG_BLG11,official,TRUE
BG_BLG13,23.80298569337948,41.63648848788951,BG,BG41,BG413,BLG13,Гърмен,14793,388.47089509,2019,BG_BLG13,official,TRUE
BG_BLG28,23.16456123013511,41.719888845068695,BG,BG41,BG413,BLG28,Кресна,5143,344.59098017,2019,BG_BLG28,official,TRUE
BG_BLG33,23.203023675417445,41.40170225188999,BG,BG41,BG413,BLG33,Петрич,49530,650.50115533,2019,BG_BLG33,official,TRUE
BG_BLG37,23.470079951612654,41.889382790948716,BG,BG41,BG413,BLG37,Разлог,19294,440.18538803,2019,BG_BLG37,official,TRUE
BG_BLG40,23.278778190074913,41.55950680207395,BG,BG41,BG413,BLG40,Сандански,37400,996.18080359,2019,BG_BLG40,official,TRUE
BG_BLG42,24.005025110316893,41.561477900770846,BG,BG41,BG413,BLG42,Сатовча,14263,332.32504159,2019,BG_BLG42,official,TRUE
BG_BLG44,23.123336709309996,41.8842962347465,BG,BG41,BG413,BLG44,Симитли,13249,552.97929453,2019,BG_BLG44,official,TRUE
BG_BLG49,23.1934994739935,41.627829571930256,BG,BG41,BG413,BLG49,Струмяни,5053,357.94233807,2019,BG_BLG49,official,TRUE
BG_BLG52,23.884454065305206,41.52152421110263,BG,BG41,BG413,BLG52,Хаджидимово,9178,327.68672601,2019,BG_BLG52,official,TRUE
