gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
ES_01001,-2.5108399244890096,42.84130393188558,ES,ES21,ES211,01001,Alegría-Dulantzi,2876,19.94546181,2019,ES_01001,official,TRUE
ES_01002,-3.002090984282569,43.05076986348651,ES,ES21,ES211,01002,Amurrio,10350,96.33036406,2019,ES_01002,official,TRUE
ES_01003,-2.567791775988401,43.049477777350134,ES,ES21,ES211,01003,Aramaio,1467,73.27197428,2019,ES_01003,official,TRUE
ES_01004,-3.1320446036099114,43.12388973001832,ES,ES21,ES211,01004,Artziniega,1821,27.3062746,2019,ES_01004,official,TRUE
ES_01006,-2.8627409096053715,42.72620648786527,ES,ES21,ES211,01006,Armiñón,227,12.93877576,2019,ES_01006,official,TRUE
ES_01008,-2.6215796461207352,42.88338799700611,ES,ES21,ES211,01008,Arratzua-Ubarrundia,980,57.40206104,2019,ES_01008,official,TRUE
ES_01009,-2.3113918079444855,42.88929119248391,ES,ES21,ES211,01009,Asparrena,1614,65.34921689,2019,ES_01009,official,TRUE
ES_01010,-3.008697416498367,43.09231036571336,ES,ES21,ES211,01010,Ayala / Aiara,2974,140.74912504,2019,ES_01010,official,TRUE
ES_01011,-2.6799091458603024,42.53338906865186,ES,ES21,ES211,01011,Baños de Ebro / Mañueta,291,9.45333043,2019,ES_01011,official,TRUE
ES_01013,-2.496388579002994,42.90721178926669,ES,ES21,ES211,01013,Barrundia,883,97.38054361,2019,ES_01013,official,TRUE
ES_01014,-2.8603855786019263,42.68436717779793,ES,ES21,ES211,01014,Berantevilla,453,35.69752924,2019,ES_01014,official,TRUE
ES_01016,-2.5170547909751866,42.646913989856834,ES,ES21,ES211,01016,Bernedo,494,130.44503121,2019,ES_01016,official,TRUE
ES_01017,-2.350787880616502,42.668259990416836,ES,ES21,ES211,01017,Campezo / Kanpezu,1040,85.39469653,2019,ES_01017,official,TRUE
ES_01018,-2.7279525201413524,42.94899376471279,ES,ES21,ES211,01018,Zigoitia,1747,102.06735815,2019,ES_01018,official,TRUE
ES_01019,-2.5193431366411896,42.59031571775127,ES,ES21,ES211,01019,Kripan,180,12.5279563,2019,ES_01019,official,TRUE
ES_01020,-2.9124969238295924,42.877790530873,ES,ES21,ES211,01020,Kuartango,376,84.09053207,2019,ES_01020,official,TRUE
ES_01021,-2.5476646006038535,42.86063984999561,ES,ES21,ES211,01021,Elburgo / Burgelu,599,32.10097358,2019,ES_01021,official,TRUE
