gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
IE_01310400,-6.919356017231551,52.83381606175844,IE,IE05,IE052,01310400,Carlow,22650,62.43730994,2019,IE_01310400,geo,TRUE
IE_01310401,-6.732165992289139,52.801530924785496,IE,IE05,IE052,01310401,Tullow,18652,415.21788017,2019,IE_01310401,geo,TRUE
IE_01310402,-6.9587980946400405,52.69894903876269,IE,IE05,IE052,01310402,Muinebeag,15630,418.80141557,2019,IE_01310402,geo,TRUE
IE_01320400,-7.378396960370055,54.00578892706363,IE,IE04,IE041,01320400,Cavan-Belturbet,25959,679.82840611,2019,IE_01320400,geo,TRUE
IE_01320401,-6.940950557688396,53.94962462604852,IE,IE04,IE041,01320401,Bailieborough-Cootehill,24415,646.16870123,2019,IE_01320401,geo,TRUE
IE_01320402,-7.153974065374463,53.85206228121885,IE,IE04,IE041,01320402,Ballyjamesduff,25802,605.6530872,2019,IE_01320402,geo,TRUE
IE_01330400,-9.257257890384015,52.94867568844004,IE,IE05,IE051,01330400,Ennistimon,16408,906.95247914,2019,IE_01330400,geo,TRUE
IE_01330401,-8.626604712919162,52.82684087430572,IE,IE05,IE051,01330401,Killaloe,20108,967.31372595,2019,IE_01330401,geo,TRUE
IE_01330402,-8.810891675720338,52.70835343433401,IE,IE05,IE051,01330402,Shannon,30397,213.16244744,2019,IE_01330402,geo,TRUE
IE_01330403,-8.983287266557271,52.84453091224713,IE,IE05,IE051,01330403,Ennis,30910,169.76516497,2019,IE_01330403,geo,TRUE
IE_01330404,-9.433741687824647,52.67216098870536,IE,IE05,IE051,01330404,Kilrush,20994,986.62409809,2019,IE_01330404,geo,TRUE
IE_01340400,-8.802821595648426,52.2754235026654,IE,IE05,IE053,01340400,Kanturk,24935,924.89319129,2019,IE_01340400,geo,TRUE
IE_01340401,-8.29220326672841,52.166927733285725,IE,IE05,IE053,01340401,Fermoy,36406,946.45165896,2019,IE_01340401,geo,TRUE
IE_01340402,-8.09590207123676,51.917150998384294,IE,IE05,IE053,01340402,Midleton,45441,552.89425133,2019,IE_01340402,geo,TRUE
IE_01340403,-8.397276221037734,51.82853718049138,IE,IE05,IE053,01340403,Carrigaline,35357,185.00065763999999,2019,IE_01340403,geo,TRUE
IE_01340404,-8.322786049729089,51.884405281634436,IE,IE05,IE053,01340404,Cobh,33901,299.74954467,2019,IE_01340404,geo,TRUE
IE_01340405,-8.664367806721081,51.73327879853687,IE,IE05,IE053,01340405,Bandon-Kinsale,37269,646.56969197,2019,IE_01340405,geo,TRUE
IE_01340406,-9.512907158455251,51.66382524288652,IE,IE05,IE053,01340406,Bantry-West Cork,22424,1238.82380357,2019,IE_01340406,geo,TRUE
IE_01340407,-9.008529421175071,51.61503953877816,IE,IE05,IE053,01340407,Skibbereen-West Cork,30281,759.03899294,2019,IE_01340407,geo,TRUE
IE_01340408,-8.645033970323727,51.89223829599172,IE,IE05,IE053,01340408,Macroom,36844,1217.04717362,2019,IE_01340408,geo,TRUE
IE_01340409,-8.648408823074625,52.13535492829929,IE,IE05,IE053,01340409,Mallow,29157,571.56784203,2019,IE_01340409,geo,TRUE
IE_01340410,-8.491405855925032,51.91006708821683,IE,IE05,IE053,01340410,Cork City North West,40186,49.69921095,2019,IE_01340410,geo,TRUE
IE_01340411,-8.44636484007861,51.90985018992536,IE,IE05,IE053,01340411,Cork City North East,42169,39.09782372,2019,IE_01340411,geo,TRUE
IE_01340412,-8.423242578362608,51.880732487760085,IE,IE05,IE053,01340412,Cork City South East,42782,41.78930458,2019,IE_01340412,geo,TRUE
IE_01340413,-8.4772328873022,51.890697690197804,IE,IE05,IE053,01340413,Cork City South Central,38667,7.23291589,2019,IE_01340413,geo,TRUE
IE_01340414,-8.492157927409481,51.87795867961269,IE,IE05,IE053,01340414,Cork City South West,47049,22.08356672,2019,IE_01340414,geo,TRUE
IE_01350400,-8.263246495807351,54.99019256109499,IE,IE04,IE041,01350400,Glenties,23919,1308.822701,2019,IE_01350400,geo,TRUE
IE_01350401,-7.6871755528112145,55.06875710355847,IE,IE04,IE041,01350401,Milford,13771,515.67948041,2019,IE_01350401,geo,TRUE
IE_01350402,-7.222846208441742,55.24352823101518,IE,IE04,IE041,01350402,Carndonagh,16964,474.13660325,2019,IE_01350402,geo,TRUE
IE_01350403,-7.423304655593847,55.10798945119972,IE,IE04,IE041,01350403,Buncrana,22366,414.18327512,2019,IE_01350403,geo,TRUE
