gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
IS_0000,-21.868458469361176,64.13062329828381,IS,IS00,IS001,0000,Reykjavíkurborg,128793,244.42257278,2019,IS_0000,official,TRUE
IS_1000,-21.871868655640835,64.10405043543301,IS,IS00,IS001,1000,Kópavogsbær,36975,109.87718701,2019,IS_1000,official,TRUE
IS_1100,-21.990355468513286,64.15289498198167,IS,IS00,IS001,1100,Seltjarnarnesbær,4664,2.08016522,2019,IS_1100,official,TRUE
IS_1300,-21.919647718208623,64.09088049743686,IS,IS00,IS001,1300,Garðabær,16299,45.58124424,2019,IS_1300,official,TRUE
IS_1400,-21.96016177610772,64.06094163830451,IS,IS00,IS001,1400,Hafnarfjarðarkaupstaður,29799,173.59742763,2019,IS_1400,official,TRUE
IS_1604,-21.70209179079745,64.16746984752677,IS,IS00,IS001,1604,Mosfellsbær,11463,186.06966374,2019,IS_1604,official,TRUE
IS_1606,-21.662785095592223,64.3130837212088,IS,IS00,IS001,1606,Kjósarhreppur,238,284.08244169,2019,IS_1606,official,TRUE
IS_2000,-22.562132007208106,63.994963500892894,IS,IS00,IS002,2000,Reykjanesbær,18920,144.40137319,2019,IS_2000,official,TRUE
IS_2300,-22.439496928001052,63.84356055200694,IS,IS00,IS002,2300,Grindavíkurbær,3427,423.64710156,2019,IS_2300,official,TRUE
IS_2506,-22.37825775552245,63.978420807913444,IS,IS00,IS002,2506,Sveitarfélagið Vogar,1286,164.67080429,2019,IS_2506,official,TRUE
IS_2510,-22.665546435655305,64.05948427335488,IS,IS00,IS002,2510,Suðurnesjabær,3480,82.3152905,2019,IS_2510,official,TRUE
IS_3000,-22.05899752630431,64.31971502978158,IS,IS00,IS002,3000,Akraneskaupstaður,7411,8.57410257,2019,IS_3000,official,TRUE
IS_3506,-21.620555069457957,64.53471306066244,IS,IS00,IS002,3506,Skorradalshreppur,58,215.87264604,2019,IS_3506,official,TRUE
IS_3511,-21.964960459944358,64.33392128575436,IS,IS00,IS002,3511,Hvalfjarðarsveit,638,480.77636547,2019,IS_3511,official,TRUE
IS_3609,-21.859694942939974,64.57470873286634,IS,IS00,IS002,3609,Borgarbyggð,3807,4923.49214304,2019,IS_3609,official,TRUE
IS_3709,-23.268521693962715,64.92285514498845,IS,IS00,IS002,3709,Grundarfjarðarbær,866,148.97445317,2019,IS_3709,official,TRUE
IS_3710,-22.73213180279359,65.01082747398857,IS,IS00,IS002,3710,Helgafellssveit,62,241.47739012,2019,IS_3710,official,TRUE
IS_3711,-22.731123238690284,65.07179997296865,IS,IS00,IS002,3711,Stykkishólmsbær,1201,9.13792646,2019,IS_3711,official,TRUE
IS_3713,-22.5853589113098,64.86879565853963,IS,IS00,IS002,3713,Eyja- og Miklaholtshreppur,117,383.39758813,2019,IS_3713,official,FALSE
IS_3714,-23.727087442172824,64.89324148718468,IS,IS00,IS002,3714,Snæfellsbær,1674,682.14228255,2019,IS_3714,official,TRUE
IS_3811,-21.725971711912138,65.05397229899195,IS,IS00,IS002,3811,Dalabyggð,673,2415.06159234,2019,IS_3811,official,TRUE
IS_4100,-23.260998208436995,66.15658028313509,IS,IS00,IS002,4100,Bolungarvíkurkaupstaður,953,108.04824253,2019,IS_4100,official,TRUE
IS_4200,-23.16248251819711,66.06834331065599,IS,IS00,IS002,4200,Ísafjarðarbær,3800,2381.62437771,2019,IS_4200,official,TRUE
IS_4502,-22.297785921072077,65.46976141774621,IS,IS00,IS002,4502,Reykhólahreppur,258,1082.5702573,2019,IS_4502,official,TRUE
IS_4604,-23.82087574369613,65.62595154504771,IS,IS00,IS002,4604,Tálknafjarðarhreppur,258,175.39975504,2019,IS_4604,official,TRUE
IS_4607,-23.97090615227926,65.59262010272633,IS,IS00,IS002,4607,Vesturbyggð,998,1335.17160596,2019,IS_4607,official,TRUE
IS_4803,-22.99679016782477,66.023712309566,IS,IS00,IS002,4803,Súðavíkurhreppur,204,750.25031851,2019,IS_4803,official,TRUE
IS_4901,-21.555142517370374,66.04749845165543,IS,IS00,IS002,4901,Árneshreppur,40,705.05220774,2019,IS_4901,official,TRUE
IS_4902,-21.4471789752324,65.68947212688572,IS,IS00,IS002,4902,Kaldrananeshreppur,103,458.09994611,2019,IS_4902,official,TRUE
IS_4911,-21.68789403757378,65.69970533573283,IS,IS00,IS002,4911,Strandabyggð,449,1835.16768544,2019,IS_4911,official,TRUE
IS_5200,-19.605217200172138,65.73412290891117,IS,IS00,IS002,5200,Sveitarfélagið Skagafjörður,3992,4177.46737611,2019,IS_5200,official,TRUE
IS_5508,-20.98135838910154,65.3587571689748,IS,IS00,IS002,5508,Húnaþing vestra,1181,3023.11210876,2019,IS_5508,official,TRUE
