gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
LI_LI00001001,9.518115377596027,47.14107438934773,LI,LI00,LI000,LI00001001,Vaduz,5624,16.84885439,2019,LI_LI00001001,official,TRUE
LI_LI00001002,9.52868190928239,47.10831604478103,LI,LI00,LI000,LI00001002,Triesen,5202,26.12345023,2019,LI_LI00001002,official,TRUE
LI_LI00001003,9.502311762329605,47.06601438450078,LI,LI00,LI000,LI00001003,Balzers,4594,19.39954641,2019,LI_LI00001003,official,TRUE
LI_LI00001004,9.545066260953947,47.117035564475515,LI,LI00,LI000,LI00001004,Triesenberg,2636,29.75689333,2019,LI_LI00001004,official,TRUE
LI_LI00001005,9.510762434558732,47.16688299352995,LI,LI00,LI000,LI00001005,Schaan,6014,27.31219876,2019,LI_LI00001005,official,TRUE
LI_LI00001006,9.545186038481539,47.183178378489615,LI,LI00,LI000,LI00001006,Planken,472,5.32292474,2019,LI_LI00001006,official,TRUE
LI_LI00002001,9.524900143144974,47.209667857487055,LI,LI00,LI000,LI00002001,Eschen,4416,10.31569232,2019,LI_LI00002001,official,TRUE
LI_LI00002002,9.545871766882223,47.21871299578122,LI,LI00,LI000,LI00002002,Mauren,4389,7.55579566,2019,LI_LI00002002,official,TRUE
LI_LI00002003,9.512017017192914,47.21986059236839,LI,LI00,LI000,LI00002003,Gamprin,1671,6.22374328,2019,LI_LI00002003,official,TRUE
LI_LI00002004,9.52795090644613,47.23828811437242,LI,LI00,LI000,LI00002004,Ruggell,2276,7.47226016,2019,LI_LI00002004,official,TRUE
LI_LI00002005,9.546212046342688,47.229022660320034,LI,LI00,LI000,LI00002005,Schellenberg,1084,3.59789427,2019,LI_LI00002005,official,TRUE
