gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
SI_001,13.907802097063653,45.88741463712608,SI,SI04,SI043,001,Ajdovščina,19249,245.22481222,2019,SI_001,official,TRUE
SI_002,16.229687738687485,46.608564193310194,SI,SI03,SI031,002,Beltinci,8104,62.2297581,2019,SI_002,official,TRUE
SI_003,14.114045640441601,46.367094161619086,SI,SI04,SI042,003,Bled,7835,72.2972893,2019,SI_003,official,TRUE
SI_004,13.944012068794617,46.2785717933233,SI,SI04,SI042,004,Bohinj,5105,333.76712746,2019,SI_004,official,TRUE
SI_005,14.361360035472714,45.92321991580968,SI,SI04,SI041,005,Borovnica,4483,42.32903883,2019,SI_005,official,TRUE
SI_006,13.545307931317428,46.333379476543456,SI,SI04,SI043,006,Bovec,3048,367.28340304,2019,SI_006,official,TRUE
SI_007,13.544628930694287,45.997064590203074,SI,SI04,SI043,007,Brda,5602,71.96947773,2019,SI_007,official,TRUE
SI_008,14.413446891537118,46.00075659727421,SI,SI04,SI041,008,Brezovica,12412,91.1813544,2019,SI_008,official,TRUE
SI_009,15.604177616688737,45.90565894799708,SI,SI03,SI036,009,Brežice,24084,267.89194746,2019,SI_009,official,TRUE
SI_010,16.08698803175522,46.65564745301185,SI,SI03,SI031,010,Tišina,3952,38.81076841,2019,SI_010,official,TRUE
SI_011,15.262233656100545,46.241306653849755,SI,SI03,SI034,011,Celje,49473,94.93270915,2019,SI_011,official,TRUE
SI_012,14.490690856417661,46.24880459219111,SI,SI04,SI042,012,Cerklje na Gorenjskem,7632,78.05325204,2019,SI_012,official,TRUE
SI_013,14.357033269506129,45.79821744691838,SI,SI03,SI038,013,Cerknica,11554,241.01221373,2019,SI_013,official,TRUE
SI_014,13.987765120498326,46.1279055538673,SI,SI04,SI043,014,Cerkno,4580,131.61291202,2019,SI_014,official,TRUE
SI_015,16.29049903326021,46.56322526650545,SI,SI03,SI031,015,Črenšovci,3949,33.69491965,2019,SI_015,official,TRUE
SI_016,14.849550706368934,46.4717418016737,SI,SI03,SI033,016,Črna na Koroškem,3303,155.95809752,2019,SI_016,official,TRUE
SI_017,15.191872239588957,45.57264783240889,SI,SI03,SI037,017,Črnomelj,14299,339.15346775,2019,SI_017,official,TRUE
SI_018,15.877179599479948,46.486411944057664,SI,SI03,SI032,018,Destrnik,2585,34.36104163,2019,SI_018,official,TRUE
SI_019,13.985658241033533,45.687179882121306,SI,SI04,SI044,019,Divača,4157,145.05529295,2019,SI_019,official,TRUE
SI_020,14.697807515340584,45.84330682654424,SI,SI04,SI041,020,Dobrepolje,3856,103.17690639,2019,SI_020,official,TRUE
SI_021,14.377937644421335,46.057925542165286,SI,SI04,SI041,021,Dobrova - Polhov Gradec,7664,117.48460332,2019,SI_021,official,TRUE
SI_022,14.658515959437523,46.09197845380009,SI,SI04,SI041,022,Dol pri Ljubljani,6218,33.2942927,2019,SI_022,official,TRUE
SI_023,14.600040586278523,46.14370088411744,SI,SI04,SI041,023,Domžale,36264,72.30082215,2019,SI_023,official,TRUE
SI_024,15.96083921398805,46.43535521852626,SI,SI03,SI032,024,Dornava,2892,28.40619796,2019,SI_024,official,TRUE
SI_025,15.025760512171006,46.58730411565311,SI,SI03,SI033,025,Dravograd,8783,105.05038801,2019,SI_025,official,TRUE
SI_026,15.749366485993773,46.50810968311499,SI,SI03,SI032,026,Duplek,6937,39.98731142,2019,SI_026,official,TRUE
SI_027,14.148848024682904,46.110113770013854,SI,SI04,SI042,027,Gorenja vas - Poljane,7539,153.2554597,2019,SI_027,official,TRUE
SI_028,16.009881855403766,46.40676819105903,SI,SI03,SI032,028,Gorišnica,4069,29.09858369,2019,SI_028,official,TRUE
SI_029,15.989779695262326,46.67078374399053,SI,SI03,SI031,029,Gornja Radgona,8392,74.60489901,2019,SI_029,official,TRUE
SI_030,14.811586945414035,46.2944790926268,SI,SI03,SI034,030,Gornji Grad,2511,90.11971365,2019,SI_030,official,TRUE
SI_031,16.205236750338837,46.81298860570764,SI,SI03,SI031,031,Gornji Petrovci,1985,66.86531207,2019,SI_031,official,TRUE
SI_032,14.654826535154308,45.9581574379807,SI,SI04,SI041,032,Grosuplje,21013,133.82727482,2019,SI_032,official,TRUE
SI_033,16.271328709148328,46.818355650049625,SI,SI03,SI031,033,Šalovci,1392,58.17312558,2019,SI_033,official,TRUE
SI_034,15.082693643612751,46.14436854956099,SI,SI03,SI035,034,Hrastnik,9154,58.58507831,2019,SI_034,official,TRUE
SI_035,13.948415697480016,45.6031954934095,SI,SI04,SI044,035,Hrpelje - Kozina,4467,194.88299926,2019,SI_035,official,TRUE
SI_036,14.023483956924707,46.002915658144964,SI,SI04,SI043,036,Idrija,11748,293.70360803,2019,SI_036,official,TRUE
SI_037,14.52493996987769,45.9535916149808,SI,SI04,SI041,037,Ig,7463,98.78020665,2019,SI_037,official,TRUE
SI_038,14.242307542964742,45.56658563079844,SI,SI03,SI038,038,Ilirska Bistrica,13340,479.904242,2019,SI_038,official,TRUE
SI_039,14.80540434041996,45.9378996201842,SI,SI04,SI041,039,Ivančna Gorica,16793,227.06097597,2019,SI_039,official,TRUE
SI_040,13.662374761873041,45.53336192573245,SI,SI04,SI044,040,Izola/Isola,16322,28.58846555,2019,SI_040,official,TRUE
SI_041,14.051432865419013,46.43798876846853,SI,SI04,SI042,041,Jesenice,20991,75.8583653,2019,SI_041,official,TRUE
SI_042,15.973854129024962,46.48546362671535,SI,SI03,SI032,042,Juršinci,2362,36.26658628,2019,SI_042,official,TRUE
SI_043,14.605545444993908,46.2174132277838,SI,SI04,SI041,043,Kamnik,29686,265.69003865,2019,SI_043,official,TRUE
SI_044,13.628032560547114,46.072749881992095,SI,SI04,SI043,044,Kanal,5301,146.52459495,2019,SI_044,official,TRUE
SI_045,15.776832515980693,46.39884857507661,SI,SI03,SI032,045,Kidričevo,6495,71.50742165,2019,SI_045,official,TRUE
SI_046,13.576371044981128,46.245444603384925,SI,SI04,SI043,046,Kobarid,4079,192.51581295,2019,SI_046,official,TRUE
SI_047,16.390206121229728,46.68719010736129,SI,SI03,SI031,047,Kobilje,542,19.73334901,2019,SI_047,official,TRUE
SI_048,14.860981017865754,45.64082015376383,SI,SI03,SI037,048,Kočevje,15686,555.22409311,2019,SI_048,official,TRUE
SI_049,13.76621172615908,45.81481892203731,SI,SI04,SI044,049,Komen,3534,102.68807226,2019,SI_049,official,TRUE
SI_050,13.72981053250689,45.538592201275456,SI,SI04,SI044,050,Koper/Capodistria,52234,303.21978246,2019,SI_050,official,TRUE
SI_051,15.553437525618225,46.07885485722103,SI,SI03,SI034,051,Kozje,3037,89.71002695,2019,SI_051,official,TRUE
