gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
UK_E06000001,-1.2284196778539764,54.68187982260317,UK,UKC1,UKC11,E06000001,Hartlepool,93019,94.42691869,2019,UK_E06000001,official,TRUE
UK_E06000002,-1.230548915304502,54.55553751368931,UK,UKC1,UKC12,E06000002,Middlesbrough,140639,54.08858873,2019,UK_E06000002,official,TRUE
UK_E06000003,-1.0756229641766613,54.573879246542234,UK,UKC1,UKC12,E06000003,Redcar and Cleveland,136005,245.16973418,2019,UK_E06000003,official,TRUE
UK_E06000004,-1.319729245371274,54.56706035731227,UK,UKC1,UKC11,E06000004,Stockton-on-Tees,196487,205.40682841,2019,UK_E06000004,official,TRUE
UK_E06000005,-1.5519190589367529,54.53111729350046,UK,UKC1,UKC13,E06000005,Darlington,106347,197.66420546,2019,UK_E06000005,official,TRUE
UK_E06000006,-2.700571719384099,53.32974305900741,UK,UKD7,UKD71,E06000006,Halton,127595,79.18242883,2019,UK_E06000006,official,TRUE
UK_E06000007,-2.5848212200916243,53.397308045577525,UK,UKD6,UKD61,E06000007,Warrington,209704,181.21056762,2019,UK_E06000007,official,TRUE
UK_E06000008,-2.480915152367434,53.738249810073825,UK,UKD4,UKD41,E06000008,Blackburn with Darwen,148772,137.16666136,2019,UK_E06000008,official,TRUE
UK_E06000009,-3.035640618273919,53.81563827234527,UK,UKD4,UKD42,E06000009,Blackpool,139870,34.95837545,2019,UK_E06000009,official,TRUE
UK_E06000010,-0.3436010566123566,53.763795632522935,UK,UKE1,UKE11,E06000010,"Kingston upon Hull, City of",260673,71.75847354,2019,UK_E06000010,official,TRUE
UK_E06000011,-0.45338407438913936,53.84483171481412,UK,UKE1,UKE12,E06000011,East Riding of Yorkshire,338061,2412.45728112,2019,UK_E06000011,official,TRUE
UK_E06000012,-0.08190727980716901,53.55904473407502,UK,UKE1,UKE13,E06000012,North East Lincolnshire,159826,192.03269078,2019,UK_E06000012,official,TRUE
UK_E06000013,-0.628686333962582,53.58405837519164,UK,UKE1,UKE13,E06000013,North Lincolnshire,171294,847.15392702,2019,UK_E06000013,official,TRUE
UK_E06000014,-1.0843020304841877,53.96230129481593,UK,UKE2,UKE21,E06000014,York,208163,272.22835509,2019,UK_E06000014,official,TRUE
UK_E06000015,-1.4741798127563799,52.91110793981893,UK,UKF1,UKF11,E06000015,Derby,257034,78.06495574,2019,UK_E06000015,official,TRUE
UK_E06000016,-1.1224558489005556,52.63531378818884,UK,UKF2,UKF21,E06000016,Leicester,353540,73.41343747,2019,UK_E06000016,official,TRUE
