gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
AT_10101,16.529104129145274,47.845680182082305,AT,AT11,AT112,10101,Eisenstadt,14816,42.46519302,2020,AT_10101,official,TRUE
AT_10201,16.674087748797792,47.80117517861076,AT,AT11,AT112,10201,Rust,1980,20.12168637,2020,AT_10201,official,TRUE
AT_10301,16.733160888278164,47.946173333368925,AT,AT11,AT112,10301,Breitenbrunn am Neusiedler See,1871,25.61635914,2020,AT_10301,official,TRUE
AT_10302,16.64285060034374,47.893895700505716,AT,AT11,AT112,10302,Donnerskirchen,1843,34.20501906,2020,AT_10302,official,TRUE
AT_10303,16.47738039628048,47.83642710375521,AT,AT11,AT112,10303,Großhöflein,2104,14.30640626,2020,AT_10303,official,TRUE
AT_10304,16.4420224277443,47.88036078286968,AT,AT11,AT112,10304,Hornstein,3129,37.0082832,2020,AT_10304,official,TRUE
AT_10305,16.539520592941553,47.75376056693866,AT,AT11,AT112,10305,Klingenbach,1147,4.80632436,2020,AT_10305,official,TRUE
AT_10306,16.481840283516362,47.93198059304692,AT,AT11,AT112,10306,Leithaprodersdorf,1208,18.8905907,2020,AT_10306,official,TRUE
AT_10307,16.667635884204458,47.754366010335616,AT,AT11,AT112,10307,Mörbisch am See,2203,28.10744065,2020,AT_10307,official,TRUE
AT_10308,16.462114641931407,47.84005242705838,AT,AT11,AT112,10308,Müllendorf,1383,12.74639932,2020,AT_10308,official,TRUE
AT_10309,16.375857983656662,47.86961549079341,AT,AT11,AT112,10309,Neufeld an der Leitha,3486,4.23712266,2020,AT_10309,official,TRUE
AT_10310,16.66553825138104,47.835559462195654,AT,AT11,AT112,10310,Oggau am Neusiedler See,1753,51.46298201,2020,AT_10310,official,TRUE
AT_10311,16.62436898634234,47.830213305457015,AT,AT11,AT112,10311,Oslip,1255,18.1014007,2020,AT_10311,official,TRUE
AT_10312,16.694910073701116,47.91396793338425,AT,AT11,AT112,10312,Purbach am Neusiedler See,2885,45.97247962,2020,AT_10312,official,TRUE
AT_10313,16.6084394538067,47.8035838694736,AT,AT11,AT112,10313,Sankt Margarethen im Burgenland,2669,26.48055572,2020,AT_10313,official,TRUE
AT_10314,16.62580487757287,47.8527675307328,AT,AT11,AT112,10314,Schützen am Gebirge,1421,21.3077268,2020,AT_10314,official,TRUE
AT_10315,16.538210523637975,47.78132506703919,AT,AT11,AT112,10315,Siegendorf,3066,23.17054892,2020,AT_10315,official,TRUE
AT_10316,16.406125093507626,47.8382521127726,AT,AT11,AT112,10316,Steinbrunn,2776,15.36079315,2020,AT_10316,official,TRUE
AT_10317,16.557105938830016,47.81548789634782,AT,AT11,AT112,10317,Trausdorf an der Wulka,2063,15.47464171,2020,AT_10317,official,TRUE
AT_10318,16.434050488316323,47.91583573146723,AT,AT11,AT112,10318,Wimpassing an der Leitha,1664,7.85928232,2020,AT_10318,official,TRUE
AT_10319,16.500863505928983,47.79696915400108,AT,AT11,AT112,10319,Wulkaprodersdorf,1980,12.04131788,2020,AT_10319,official,TRUE
AT_10320,16.5171061065642,47.91677718534626,AT,AT11,AT112,10320,Loretto,483,2.40047383,2020,AT_10320,official,TRUE
AT_10321,16.541020176164768,47.90739126431258,AT,AT11,AT112,10321,Stotzing,810,12.95909846,2020,AT_10321,official,TRUE
AT_10322,16.407583371095217,47.81429728267603,AT,AT11,AT112,10322,Zillingtal,961,13.168193,2020,AT_10322,official,TRUE
AT_10323,16.51989410231304,47.7612511234658,AT,AT11,AT112,10323,Zagersdorf,1076,7.40428669,2020,AT_10323,official,TRUE
AT_10401,16.17868576308749,47.14337823944075,AT,AT11,AT113,10401,Bocksdorf,807,9.95186186,2020,AT_10401,official,TRUE
AT_10402,16.119224595803356,47.16739029832171,AT,AT11,AT113,10402,Burgauberg-Neudauberg,1326,10.96109373,2020,AT_10402,official,TRUE
AT_10403,16.46241254767021,47.09832193107362,AT,AT11,AT113,10403,Eberau,936,30.61809473,2020,AT_10403,official,TRUE
AT_10404,16.255705198287387,47.071299537792704,AT,AT11,AT113,10404,Gerersdorf-Sulz,992,21.72137769,2020,AT_10404,official,TRUE
AT_10405,16.327835238751412,47.06069551045645,AT,AT11,AT113,10405,Güssing,3667,49.2660769,2020,AT_10405,official,TRUE
AT_10406,16.288350150461266,47.157136603573406,AT,AT11,AT113,10406,Güttenbach,880,15.73224094,2020,AT_10406,official,TRUE
AT_10407,16.427522000121666,47.02209097624275,AT,AT11,AT113,10407,Heiligenbrunn,753,33.50990398,2020,AT_10407,official,TRUE
AT_10408,16.184653064917548,47.07053923732883,AT,AT11,AT113,10408,Kukmirn,1983,40.86769069,2020,AT_10408,official,TRUE
AT_10409,16.255712133756756,47.17115716885258,AT,AT11,AT113,10409,Neuberg im Burgenland,968,17.5968766,2020,AT_10409,official,TRUE
AT_10410,16.261817733329533,47.02406095324585,AT,AT11,AT113,10410,Neustift bei Güssing,464,11.35185694,2020,AT_10410,official,TRUE
AT_10411,16.20715989891792,47.19417615293535,AT,AT11,AT113,10411,Olbendorf,1433,17.24492325,2020,AT_10411,official,TRUE
AT_10412,16.156797482723046,47.18509430606649,AT,AT11,AT113,10412,Ollersdorf im Burgenland,938,8.75381253,2020,AT_10412,official,TRUE
AT_10413,16.268979644182195,47.127193824951924,AT,AT11,AT113,10413,Sankt Michael im Burgenland,977,18.34601878,2020,AT_10413,official,TRUE
AT_10414,16.16332053273949,47.161118571082156,AT,AT11,AT113,10414,Stegersbach,2661,17.80117227,2020,AT_10414,official,TRUE
AT_10415,16.131774474605876,47.20156850493565,AT,AT11,AT113,10415,Stinatz,1195,9.32148474,2020,AT_10415,official,TRUE
AT_10416,16.416693308026062,47.05101489430312,AT,AT11,AT113,10416,Strem,871,23.77220277,2020,AT_10416,official,TRUE
AT_10417,16.30618580877928,47.10243740939451,AT,AT11,AT113,10417,Tobaj,1359,58.06097268,2020,AT_10417,official,TRUE
AT_10418,16.114411436758214,47.19295572727393,AT,AT11,AT113,10418,Hackerberg,368,3.94013213,2020,AT_10418,official,TRUE
AT_10419,16.096337865417773,47.22178560150736,AT,AT11,AT113,10419,Wörterberg,483,4.75257159,2020,AT_10419,official,TRUE
AT_10420,16.361098054403037,47.01525752262047,AT,AT11,AT113,10420,Großmürbisch,237,7.91875498,2020,AT_10420,official,TRUE
AT_10421,16.314521240309947,47.01459215489777,AT,AT11,AT113,10421,Inzenhof,315,5.95950284,2020,AT_10421,official,TRUE
AT_10422,16.323963242763877,47.02714047262679,AT,AT11,AT113,10422,Kleinmürbisch,230,4.29495361,2020,AT_10422,official,TRUE
AT_10423,16.310422045123392,47.00919335681993,AT,AT11,AT113,10423,Tschanigraben,65,1.72510816,2020,AT_10423,official,TRUE
AT_10424,16.191320823139908,47.11469074859363,AT,AT11,AT113,10424,Heugraben,232,6.5099047,2020,AT_10424,official,TRUE
AT_10425,16.163243480478858,47.116766722418745,AT,AT11,AT113,10425,Rohr im Burgenland,376,8.50365791,2020,AT_10425,official,TRUE
AT_10426,16.468717533331265,47.12924084012265,AT,AT11,AT113,10426,Bildein,347,15.96932949,2020,AT_10426,official,TRUE
AT_10427,16.230251239932226,47.131486377512125,AT,AT11,AT113,10427,Rauchwart,442,17.58203362,2020,AT_10427,official,TRUE
AT_10428,16.472829204495888,47.05513349213979,AT,AT11,AT113,10428,Moschendorf,394,13.18275175,2020,AT_10428,official,TRUE
AT_10501,16.115994894371916,47.095462746046955,AT,AT11,AT113,10501,Deutsch Kaltenbrunn,1734,23.97459905,2020,AT_10501,official,TRUE
AT_10502,16.20431868059689,47.00962569063157,AT,AT11,AT113,10502,Eltendorf,920,20.65962897,2020,AT_10502,official,TRUE
