gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
SK_500011,18.07214146293706,48.305037878799396,SK,SK02,SK023,500011,Nitra,76533,100.44211289,2020,SK_500011,official,TRUE
SK_500020,17.945566075709383,48.36568849836422,SK,SK02,SK023,500020,Alekšince,1669,15.06493456,2020,SK_500020,official,TRUE
SK_500046,17.867667271499467,48.30834237551615,SK,SK02,SK023,500046,Báb,1115,20.10065074,2020,SK_500046,official,TRUE
SK_500062,18.296509428854794,48.339522993935134,SK,SK02,SK023,500062,Beladice,1689,22.40642361,2020,SK_500062,official,TRUE
SK_500071,18.145223212925302,48.214715122089245,SK,SK02,SK023,500071,Branč,2221,13.79615304,2020,SK_500071,official,TRUE
SK_500101,18.03859349726881,48.36759161054892,SK,SK02,SK023,500101,Čakajovce,1161,5.77233719,2020,SK_500101,official,TRUE
SK_500127,18.506648999372484,48.3594166589371,SK,SK02,SK023,500127,Čaradice,490,17.83852348,2020,SK_500127,official,TRUE
SK_500135,18.23775408392772,48.32643438825497,SK,SK02,SK023,500135,Čeľadice,1034,10.4766072,2020,SK_500135,official,TRUE
SK_500151,18.41863539331157,48.34948694622718,SK,SK02,SK023,500151,Čierne Kľačany,1174,10.97352397,2020,SK_500151,official,TRUE
SK_500160,18.39501398864459,48.233067306146246,SK,SK02,SK023,500160,Čifáre,591,15.33686425,2020,SK_500160,official,TRUE
SK_500194,18.205838145599543,48.31068281522151,SK,SK02,SK023,500194,Dolné Obdokovce,1184,10.18034476,2020,SK_500194,official,TRUE
SK_500232,18.193152889854357,48.26676238191392,SK,SK02,SK023,500232,Golianovo,1850,10.69934521,2020,SK_500232,official,TRUE
SK_500241,17.870598220761476,48.25368948185548,SK,SK02,SK023,500241,Hájske,1319,14.06159254,2020,SK_500241,official,TRUE
SK_500267,17.138972660873296,48.470629453521475,SK,SK01,SK010,500267,Záhorie (vojenský obvod),153,277.55275965,2020,SK_500267,official,TRUE
SK_500283,18.43365616002089,48.453236033690324,SK,SK02,SK023,500283,Hostie,1205,28.17309814,2020,SK_500283,official,TRUE
SK_500305,18.359051476274605,48.416698244939205,SK,SK02,SK023,500305,Hosťovce,757,16.24058955,2020,SK_500305,official,TRUE
SK_500313,18.02369423696068,48.44506368503914,SK,SK02,SK023,500313,Hruboňovo,519,11.54933475,2020,SK_500313,official,TRUE
SK_500321,18.32180157181533,48.35619640002004,SK,SK02,SK023,500321,Choča,489,4.3934537,2020,SK_500321,official,TRUE
SK_500348,18.212203086813002,49.15086623089755,SK,SK02,SK022,500348,Zubák,836,25.64863062,2020,SK_500348,official,TRUE
SK_500356,17.9569591711172,48.27506614441857,SK,SK02,SK023,500356,Jarok,2036,22.10396203,2020,SK_500356,official,TRUE
SK_500364,18.494402851485454,48.470724756290714,SK,SK02,SK023,500364,Jedľové Kostoľany,896,27.28835268,2020,SK_500364,official,TRUE
SK_500372,18.22444950230767,48.379452764819625,SK,SK02,SK023,500372,Jelenec,2116,27.17442883,2020,SK_500372,official,TRUE
SK_500381,18.055862989490674,48.38467413857549,SK,SK02,SK023,500381,Jelšovce,994,10.44063675,2020,SK_500381,official,TRUE
SK_500399,17.970480461702895,48.4507987766643,SK,SK02,SK023,500399,Kapince,187,5.84164565,2020,SK_500399,official,TRUE
SK_500402,18.256328543372828,48.278600034159886,SK,SK02,SK023,500402,Klasov,1383,12.23183274,2020,SK_500402,official,TRUE
SK_500411,18.19657293205176,48.359380034127284,SK,SK02,SK023,500411,Kolíňany,1549,12.47884191,2020,SK_500411,official,TRUE
SK_500429,18.24112232454868,48.41632519862406,SK,SK02,SK023,500429,Kostoľany pod Tribečom,335,22.12058448,2020,SK_500429,official,TRUE
SK_500437,18.260624353169614,48.39690573874574,SK,SK02,SK023,500437,Ladice,738,11.64060621,2020,SK_500437,official,TRUE
SK_500453,17.989351644602635,48.3140423544936,SK,SK02,SK023,500453,Lehota,2212,11.00976904,2020,SK_500453,official,TRUE
SK_500461,18.363728217992495,48.44381670912746,SK,SK02,SK023,500461,Lovce,699,10.18504601,2020,SK_500461,official,TRUE
SK_500470,18.285088051120066,48.21360559539355,SK,SK02,SK023,500470,Lúčnica nad Žitavou,929,12.10432774,2020,SK_500470,official,TRUE
SK_500488,17.936032153071547,48.39399098803735,SK,SK02,SK023,500488,Lukáčovce,1155,16.83791495,2020,SK_500488,official,TRUE
SK_500500,18.430401775439492,48.41030478672032,SK,SK02,SK023,500500,Machulince,1108,9.4135796,2020,SK_500500,official,TRUE
SK_500518,18.28348167187462,48.28891144033913,SK,SK02,SK023,500518,Veľké Chyndice,325,5.0490343,2020,SK_500518,official,TRUE
SK_500534,17.981547674164947,48.43537380330163,SK,SK02,SK023,500534,Malé Zálužie,263,5.89943036,2020,SK_500534,official,TRUE
SK_500542,18.33072766177384,48.42760064133688,SK,SK02,SK023,500542,Mankovce,531,4.24062783,2020,SK_500542,official,TRUE
SK_500551,18.35591067335002,48.39739875811781,SK,SK02,SK023,500551,Martin nad Žitavou,535,4.33862457,2020,SK_500551,official,TRUE
SK_500569,18.328866490502186,48.20165480637196,SK,SK02,SK023,500569,Melek,482,6.19680656,2020,SK_500569,official,TRUE
SK_500577,18.06300001088026,48.20988137826353,SK,SK02,SK023,500577,Mojmírovce,2914,19.85600994,2020,SK_500577,official,TRUE
SK_500585,18.448964301466656,48.30905128652216,SK,SK02,SK023,500585,Nemčiňany,671,15.67712262,2020,SK_500585,official,TRUE
SK_500593,18.271952986961345,48.36883895169166,SK,SK02,SK023,500593,Neverice,720,5.95482431,2020,SK_500593,official,TRUE
SK_500607,18.378228781876185,48.28737245787507,SK,SK02,SK023,500607,Nevidzany,572,10.25228188,2020,SK_500607,official,TRUE
SK_500631,18.324681458161095,48.29170194055113,SK,SK02,SK023,500631,Nová Ves nad Žitavou,1358,10.16476783,2020,SK_500631,official,TRUE
SK_500640,17.977869799732243,48.414899700828514,SK,SK02,SK023,500640,Nové Sady,1280,17.47105698,2020,SK_500640,official,TRUE
SK_500658,18.45596199217432,48.42729493113337,SK,SK02,SK023,500658,Obyce,1501,31.27863443,2020,SK_500658,official,TRUE
SK_500666,18.22866290422091,48.2327812564178,SK,SK02,SK023,500666,Paňa,395,11.26577986,2020,SK_500666,official,TRUE
SK_500674,18.115010990465027,48.380604981500326,SK,SK02,SK023,500674,Podhorany,1063,17.70016816,2020,SK_500674,official,TRUE
SK_500682,18.181673985547775,48.33054154666037,SK,SK02,SK023,500682,Pohranice,1096,12.09313334,2020,SK_500682,official,TRUE
SK_500691,18.05961710824973,48.16069211458485,SK,SK02,SK023,500691,Poľný Kesov,666,10.22996513,2020,SK_500691,official,TRUE
SK_500704,17.89429878246537,48.369349428483545,SK,SK02,SK023,500704,Rišňovce,2062,18.77762173,2020,SK_500704,official,TRUE
SK_500712,17.869379930052123,48.328842602423876,SK,SK02,SK023,500712,Rumanová,820,11.65064003,2020,SK_500712,official,TRUE
SK_500721,18.42170991892281,48.50236707683514,SK,SK02,SK023,500721,Skýcov,971,25.19557333,2020,SK_500721,official,TRUE
SK_500739,17.928022678970706,48.22843380873753,SK,SK02,SK023,500739,Močenok,4281,46.38439911,2020,SK_500739,official,TRUE
SK_500747,18.326733910364027,48.38647431816367,SK,SK02,SK023,500747,Sľažany,1685,16.26155319,2020,SK_500747,official,TRUE
SK_500755,18.341215772933488,48.30963554119453,SK,SK02,SK023,500755,Slepčany,800,9.34777642,2020,SK_500755,official,TRUE
SK_500780,18.020265199579537,48.42257218648757,SK,SK02,SK023,500780,Šurianky,574,10.3926814,2020,SK_500780,official,TRUE
SK_500798,18.360693937562505,48.26347393839262,SK,SK02,SK023,500798,Tajná,281,8.48463655,2020,SK_500798,official,TRUE
