gisco_id,nuts_3,area,area_share
CH_0743,CH021,3311212.404480517,1
CH_0744,CH021,8156745.378852129,1
CH_0745,CH021,5654123.820235327,1
CH_0746,CH021,12136319.559806764,1
CH_0747,CH021,4879055.609391123,1
CH_0748,CH021,9032718.068811774,1
CH_0749,CH021,5784630.172116637,1
CH_0750,CH021,7649576.844553232,1
CH_0751,CH021,9440647.559674919,1
CH_0754,CH021,14838135.275848597,1
CH_0755,CH021,6020825.161090016,1
CH_2503,CH023,19426638.67462598,0.9808371383813769
CH_2503,CH033,379543.12094175816,0.01916286161862318
CH_2503,CH032,0,0
CH_2511,CH023,11355231.965447083,0.9935811041062511
CH_2511,CH021,73358.93520352244,0.00641889589374892
CH_2513,CH023,27162516.519879043,1
CH_2513,CH021,0,0
CH_2514,CH023,4628179.540114284,1
CH_2514,CH021,0,0
CH_2516,CH023,16070932.557421684,0.9988010560289006
CH_2516,CH021,19291.276859752834,0.0011989439710994767
CH_2517,CH023,12250695.244255066,1
CH_2518,CH023,7426987.828249812,1
CH_2519,CH023,4097619.596296072,0.9908910520403255
CH_2519,CH021,37668.12061159313,0.009108947959674507
CH_2520,CH023,4152875.72631076,1
CH_2523,CH023,5474183.540073253,1
CH_0931,CH021,13468095.41013217,1
CH_0932,CH021,43478043.84579694,1
CH_0934,CH021,5984939.074093819,1
CH_0935,CH021,19436531.0804314,1
CH_0936,CH021,21112648.34483075,1
CH_0937,CH021,3035478.3581817746,1
CH_0938,CH021,119099390.44217177,1
CH_0939,CH021,28844630.951325007,1
CH_0940,CH021,9694875.632050037,1
CH_0941,CH021,15818008.484219212,1
CH_1342,CH063,29162445.326048374,1
CH_1343,CH063,108343386.31400228,0.989991647307459
CH_1343,CH051,1095300.9806536138,0.010008352692540927
CH_1344,CH063,5780278.8735102415,1
CH_1345,CH063,24247027.84401858,0.9891321745690778
CH_1345,CH051,265792.5867898464,0.010842730954368747
CH_1345,CH055,615.1518344720826,2.50944765534069e-5
CH_1346,CH063,61153296.12429184,0.9980606266917995
CH_1346,CH051,106730.87930265069,0.0017419157271206518
CH_1346,CH055,12098.645718336105,1.9745758107988528e-4
CH_1347,CH063,30572896.721804142,0.9898991911003986
CH_1347,CH055,311962.0564099178,0.010100808899601426
CH_1348,CH063,59989344.548988104,1
CH_1349,CH063,17538096.00376895,1
CH_1361,CH063,48913758.08660555,1
CH_1362,CH063,92248750.25443515,0.9994230313033805
CH_1362,CH066,53240.97731131315,5.768127891951451e-4
CH_1362,CH061,14.39056795835495,1.5590742434394043e-7
