gisco_id,nuts_3,area,area_share
AL_AL344,AL034,1142748197.2778332,0.9990956856060427
AL_AL344,AL031,701624.1438177573,6.134244242740425e-4
AL_AL344,AL021,332714.8673055023,2.908899696834047e-4
AL_AL355,AL035,99559653.49480978,1
AL_AL345,AL034,1044502224.7856474,0.9990862503284685
AL_AL345,AL021,955286.4574986091,9.137496715315431e-4
AL_AL356,AL035,967664859.8495312,0.9994920166177282
AL_AL356,AL032,445013.21451538615,4.596500024468017e-4
AL_AL356,AL033,46794.28393304348,4.8333379825007654e-5
AL_AL357,AL035,1067131198.7685671,0.9989522400905816
AL_AL357,AL032,1119270.0144082229,0.0010477599094184087
AL_AL336,AL033,741694707.7538252,0.9991492971244835
AL_AL336,AL035,631499.0386896641,8.507028755165212e-4
AL_AL346,AL034,346792607.0117425,1
AL_AL337,AL033,643953669.0542191,0.9986690642462428
AL_AL337,AL031,603430.7544870446,9.358245101795384e-4
AL_AL337,AL032,254772.42071022792,3.9511124357769726e-4
AL_AL337,AL035,0,0
AL_AL351,AL035,312430204.73678815,0.9981221226968521
AL_AL351,AL033,587809.4242694718,0.0018778773031478799
AL_AL341,AL034,795704643.3599993,1
AL_AL352,AL035,977457465.200387,0.999596399533815
AL_AL352,AL033,394661.5742263049,4.03600466185079e-4
AL_AL342,AL034,1488653781.0538735,0.9989699113469321
AL_AL342,AL033,1535026.5816740543,0.0010300886530678283
AL_AL353,AL035,373531061.7523035,1
AL_AL343,AL034,1401387339.4005027,0.9998464014986915
AL_AL343,AL031,215284.06239383668,1.5359850130841006e-4
AL_AL343,AL033,0,0
AL_AL354,AL035,749270498.6651516,0.9986766054334162
AL_AL354,AL033,992894.4980188394,0.0013233945665837657
AL_AL212,AL021,333182289.9511113,0.999593775835026
AL_AL212,AL031,135401.70096242428,4.062241649739982e-4
AL_AL321,AL032,547976606.1284041,0.9986154143531177
AL_AL321,AL022,759772.5137901669,0.0013845856468823249
AL_AL113,AL011,637772495.7723651,0.9992907797450454
AL_AL113,AL022,452642.1950676786,7.092202549545705e-4
AL_AL213,AL021,1537892415.9017255,0.9994592485057088
AL_AL213,AL022,832067.5637363307,5.407514942911527e-4
AL_AL322,AL032,1079209596.024149,0.9992548228792827
AL_AL322,AL035,804802.0194673925,7.451771207173209e-4
AL_AL114,AL011,884306840.7545984,0.9980215705638024
AL_AL114,AL014,1478402.065613388,0.0016685126513204243
AL_AL114,AL012,274604.81918919086,3.099167848772068e-4
AL_AL114,AL022,0,0
AL_AL214,AL021,1291320208.1717358,0.9982346884242185
AL_AL214,AL031,1377092.3382946802,0.0010645394787054622
AL_AL214,AL034,906521.4631098688,7.007720970761722e-4
AL_AL323,AL032,651686183.7557285,0.9970475841905764
AL_AL323,AL021,1178891.7439147094,0.001803645979600752
AL_AL323,AL031,749610.2226080894,0.001146866513616472
AL_AL323,AL022,1244.03779188497,1.9033162064175574e-6
AL_AL121,AL012,604648721.6218002,0.999403442398264
AL_AL121,AL022,360923.1026840359,5.965576017360796e-4
AL_AL121,AL014,0,0
AL_AL215,AL021,1402329926.029117,0.9992739025115868
AL_AL215,AL011,808355.0055212136,5.760185573941652e-4
AL_AL215,AL022,210613.10187877715,1.5007893101905191e-4
AL_AL324,AL032,568258847.5559835,0.9956091724071786
AL_AL324,AL031,988100.546041118,0.0017311863618668267
AL_AL324,AL035,760437.4893401861,0.0013323128054856864
AL_AL324,AL033,757592.5797887519,0.0013273284254689765
AL_AL122,AL012,601980790.2288705,0.9951528058316036
AL_AL122,AL022,2124614.225453129,0.0035122645806780093
AL_AL122,AL011,495354.79900269024,8.188861274497785e-4
AL_AL122,AL014,312161.35671282,5.160434602686504e-4
AL_AL216,AL021,348193224.33073324,0.9958491272218641
AL_AL216,AL022,903820.8680377081,0.002584970527012104
AL_AL216,AL032,547509.1948180869,0.0015659022511237655
AL_AL325,AL032,205385511.84326106,0.9972134017040009
AL_AL325,AL031,573926.2191496545,0.002786598295999142
AL_AL123,AL012,162290503.68147117,0.9991969346731422
AL_AL123,AL022,130434.62390874326,8.030653268576938e-4
AL_AL217,AL021,568879419.4482436,0.9980483168702428
AL_AL217,AL034,1112443.503020842,0.0019516831297571669
AL_AL332,AL033,802987498.0280919,0.9993590377449362
AL_AL332,AL035,515014.7825606315,6.409622550639069e-4
AL_AL131,AL013,728269666.4795871,0.9999844391357308
AL_AL131,AL015,11332.681777877733,1.5560864269324094e-5
AL_AL221,AL022,65641871.66339275,0.9997248675925152
AL_AL221,AL012,18065.176498055458,2.75132407484745e-4
AL_AL334,AL033,423781012.4974885,1
AL_AL335,AL033,1035373564.3413956,0.9993617998328183
AL_AL335,AL034,497323.0084053986,4.8002540715286446e-4
AL_AL335,AL031,163874.54984504683,1.5817476002887276e-4
AL_AL132,AL013,1687969781.2964144,0.9988451267556516
AL_AL132,AL011,1044988.7026216853,6.183652602635597e-4
AL_AL132,AL015,581501.513225453,3.44099733965726e-4
AL_AL132,AL014,325154.8244802058,1.9240825011908802e-4
AL_AL222,AL022,351839770.96776485,0.9995203895478475
AL_AL222,AL012,168827.00283426046,4.796104521525393e-4
AL_AL331,AL033,766548202.1460793,0.999200546662721
AL_AL331,AL035,613309.8309820658,7.994533372790006e-4
AL_AL133,AL013,1934057138.0481346,0.9989304228318193
AL_AL133,AL015,2070838.278154456,0.0010695771681806766
AL_AL141,AL014,481705270.5366273,0.9978032854452834
AL_AL141,AL012,534520.7345160497,0.0011072051265799605
AL_AL141,AL011,525977.8570468128,0.0010895094281366672
AL_AL223,AL022,393049212.90701056,0.9973108107888364
AL_AL223,AL032,789066.8466101771,0.0020021535998993724
AL_AL223,AL021,270766.94980663597,6.870356112641888e-4
AL_AL333,AL033,524797176.83230305,0.9995802464566128
AL_AL333,AL031,220377.97897249646,4.19753543387162e-4
AL_AL142,AL014,917985120.6366462,0.9981155308327637
AL_AL142,AL015,1733180.7815656066,0.0018844691672363488
AL_AL224,AL022,1964071791.1100116,0.9979496658532414
AL_AL224,AL011,1470291.1461670443,7.470585162241639e-4
AL_AL224,AL021,1321984.0590875412,6.717033236774533e-4
AL_AL224,AL012,1243001.9212277434,6.315723068570274e-4
