gisco_id,nuts_3,area,area_share
ES_33006,ES120,61387383.22761798,1
ES_33007,ES120,228582256.6062765,1
ES_33008,ES120,448971599.87957436,0.9978530504873229
ES_33008,ES413,545049.3254466541,0.0012113887208208352
ES_33008,ES130,420943.97095761914,9.355607918562618e-4
ES_33009,ES120,71843516.50091413,1
ES_33010,ES120,136759825.82648516,1
ES_33011,ES120,1547203169.3870971,0.9997578344199083
ES_33011,ES413,374770.10945528594,2.4216558009169064e-4
ES_33012,ES120,404514092.3501898,0.9989706690300663
ES_33012,ES413,416807.9163274504,0.001029330969933675
ES_33013,ES120,24783562.624114037,1
ES_33014,ES120,127742140.95553853,1
ES_41094,ES618,19051140.51989034,1
ES_41095,ES618,1026528841.9021429,0.9998441163588895
ES_41095,ES612,160044.00182252272,1.5588364111062653e-4
ES_41096,ES618,40790568.62048775,1
ES_41097,ES618,89051295.32872596,0.9988292235317904
ES_41097,ES615,104381.36828417331,0.0011707764682097218
ES_41098,ES618,7301028.502453148,1
ES_41099,ES618,241049678.25974846,1
ES_41100,ES618,55126785.50072205,1
ES_41101,ES618,65307889.11418247,1
ES_41102,ES618,32070666.46068251,1
ES_41901,ES618,41485714.03784397,1
ES_41901,ES613,0,0
ES_41902,ES618,177875394.69955114,1
ES_41903,ES618,47535799.370601594,0.9999406577373311
ES_41903,ES612,2821.0492998769805,5.934226266894322e-5
ES_42001,ES417,41097462.642867446,1
ES_42003,ES417,120023422.43912229,1
ES_42004,ES417,297342034.0158614,0.9987134779408152
ES_42004,ES243,363923.9001345899,0.0012223488858955408
ES_42004,ES230,19105.96211679792,6.417317328923241e-5
ES_42006,ES417,94290603.00058627,1
ES_42007,ES417,108865411.70629668,0.9996477358095688
ES_42007,ES412,38362.89999659134,3.522641904312327e-4
ES_42008,ES417,151874952.65900248,1
ES_42009,ES417,82223956.37287149,1
ES_42010,ES417,11209280.031888083,1
ES_42011,ES417,21279732.73345223,1
ES_42012,ES417,16780470.44830596,1
ES_42013,ES417,49080074.02857226,1
ES_42014,ES417,67953597.40883505,1
ES_42015,ES417,61476556.07209426,1
ES_42016,ES417,31909404.898256242,1
ES_42017,ES417,17857662.333758205,1
ES_42018,ES417,282077270.97095454,1
ES_42019,ES417,181438099.54381898,1
ES_42020,ES417,298827298.6200962,1
ES_42021,ES417,121105071.93016034,1
ES_42022,ES417,190551281.60290775,1
ES_42023,ES417,95687708.01878166,0.9984525130402931
ES_42023,ES424,148304.98038651678,0.001547486959706932
ES_42024,ES417,140202512.93031928,1
ES_42025,ES417,781360903.0288805,0.9995355614436502
ES_42025,ES424,363062.75013039075,4.6443855634973154e-4
ES_42025,ES243,0,0
ES_42026,ES417,54321427.713617116,0.9998927835502862
ES_42026,ES424,5824.775134548545,1.072164497137887e-4
ES_42027,ES417,72627555.05861157,1
ES_42028,ES417,36210437.47876775,1
ES_42029,ES417,208033179.3599938,1
ES_42029,ES424,0,0
ES_42030,ES417,80474579.7452271,1
ES_42031,ES417,97826700.04051334,0.9966078706761939
ES_42031,ES424,332970.2961641848,0.0033921293238061124
ES_42032,ES417,77697818.56601192,1
ES_42033,ES417,36875526.414979935,1
ES_42034,ES417,74008303.80930291,0.9963755539535182
ES_42034,ES243,269214.8588793799,0.003624446046481915
ES_42035,ES417,395078296.3270374,1
ES_42035,ES424,0,0
ES_42036,ES417,31570547.205530733,1
ES_42037,ES417,29681987.13977605,1
ES_42038,ES417,41174391.432872035,1
ES_42039,ES417,111800582.15563422,0.9941811423447262
ES_42039,ES243,654359.2969447132,0.005818857655273865
ES_42041,ES417,33135839.604767382,1
ES_42042,ES417,9274045.609010717,1
ES_42043,ES417,518517337.09330165,1
ES_42044,ES417,31929121.893450707,1
ES_42045,ES417,224035820.91302365,1
ES_42046,ES417,116402184.51762545,1
ES_42048,ES417,150737802.72491467,1
ES_42049,ES417,80588361.52323106,1
ES_42050,ES417,40865825.44543808,1
ES_42051,ES417,28886322.07738912,1
ES_42051,ES243,0,0
ES_42052,ES417,31789132.2902378,1
ES_42053,ES417,42555705.91147843,1
ES_42054,ES417,23125062.144528553,1
ES_42055,ES417,51763230.83339034,1
ES_42055,ES412,0,0
ES_42056,ES417,22042631.536488798,1
ES_42057,ES417,70023749.8598857,1
ES_42058,ES417,93752929.75754702,0.9967624146043833
ES_42058,ES412,266409.9447376514,0.002832417295950641
ES_42058,ES416,38109.077781650514,4.0516809966598843e-4
ES_42059,ES417,35012477.10299182,1
ES_42060,ES417,32608922.760710046,1
ES_42061,ES417,125713310.86983454,1
ES_42062,ES417,38832565.922688,0.9999074437418835
ES_42062,ES230,3594.5296910852194,9.255625811652604e-5
ES_42063,ES417,60335374.73894557,0.9928338131695439
ES_42063,ES243,435495.4093319494,0.007166186830456187
ES_42064,ES417,82169268.88702098,0.9998202698521271
ES_42064,ES243,14770.949632630582,1.7973014787285772e-4
ES_42065,ES417,15803293.970393062,1
ES_42068,ES417,97910485.59755431,1
ES_42069,ES417,188901329.01451468,1
ES_42069,ES230,0,0
ES_42070,ES417,35587372.11621028,1
ES_42071,ES417,237667172.92147613,1
ES_42073,ES417,53495731.37191511,1
ES_42073,ES243,0,0
ES_42075,ES417,30050460.857434757,0.9967290944346565
ES_42075,ES230,98614.77929012576,0.0032709055653435074
ES_42076,ES417,210345633.48674643,0.9997632574593506
ES_42076,ES243,49809.551725977566,2.3674254064936904e-4
ES_42078,ES417,81512926.7417393,0.9989985842380299
ES_42078,ES412,72194.64356976142,8.84796431666219e-4
ES_42078,ES230,9515.511911332607,1.1661933030376366e-4
ES_42079,ES417,34570077.11898942,1
ES_42080,ES417,129500521.8887344,0.9971096788566947
ES_42080,ES412,375383.0741200596,0.0028903211433053896
ES_42081,ES417,38988860.7465188,0.9948680990066808
ES_42081,ES412,201119.09648446835,0.005131900993319212
ES_42082,ES417,18959344.197761297,1
ES_42083,ES417,45566996.41659604,1
ES_42084,ES417,29839072.752086625,1
ES_48070,ES213,48795484.345905006,1
ES_48071,ES213,39919047.26211031,0.9992804389186578
ES_48071,ES130,28744.876508496003,7.195610813421504e-4
ES_48072,ES213,22734745.36291942,0.9988285842076072
ES_48072,ES211,26663.07329928875,0.0011714157923927758
ES_48073,ES213,7543001.9857148975,1
ES_48073,ES212,0,0
ES_48074,ES213,61128400.56061837,0.9846836388737398
ES_48074,ES211,848538.6770071007,0.01366864083695254
ES_48074,ES412,102289.20424824208,0.001647720289307686
ES_48075,ES213,192180671.1736157,0.9992171538861191
ES_48075,ES211,150565.76141249947,7.828461138809314e-4
ES_01001,ES211,36013919.60303067,1
ES_01002,ES211,179164152.42026186,0.9974636142043095
ES_01002,ES213,430554.7066466146,0.0023970344960359386
ES_01002,ES412,25030.243846207857,1.393512996544623e-4
ES_01003,ES211,137050599.7633734,0.9894044377131578
ES_01003,ES213,880916.4135900848,0.006359568001637587
ES_01003,ES212,586762.6374542601,0.004235994285204666
ES_01004,ES211,50320655.23657626,0.9900556879892329
ES_01004,ES412,448456.85169214197,0.008823360004915506
ES_01004,ES213,56973.60270488262,0.001120952005851616
ES_01006,ES211,22976922.073567837,0.9873863014197657
ES_01006,ES412,293526.4231646508,0.012613698580234334
ES_01008,ES211,107787525.78470162,0.9998020269637596
ES_01008,ES212,21343.249136269093,1.9797303624036815e-4
ES_01009,ES211,121290140.71486266,0.9972870979967843
ES_01009,ES212,321763.129984349,0.0026456414037710177
ES_01009,ES220,8180.239760037512,6.726059944463441e-5
ES_01010,ES211,264969177.3621375,0.9976304586389936
ES_01010,ES412,386793.70404739096,0.0014563096893345049
ES_01010,ES213,242552.98411205923,9.132316716719648e-4
ES_01011,ES211,17164725.366785288,0.9856506440953636
ES_01011,ES230,249888.49220445752,0.014349355904636409
ES_01013,ES211,181694782.416273,0.998213993529254
ES_01013,ES212,325088.6675600633,0.001786006470745916
ES_01014,ES211,65754973.24625336,0.9917207401203862
ES_01014,ES412,548947.3899846962,0.008279259879613693
ES_01016,ES211,242016292.4054824,0.995122724417037
ES_01016,ES412,1002232.4828433825,0.0041209800749917
ES_01016,ES220,183932.9263728559,7.562955079713811e-4
ES_01017,ES211,158078334.12194103,0.9994579931808266
