gisco_id,nuts_3,area,area_share
FI_145,FI194,2748745112.9666214,1
FI_145,FI195,0,0
FI_146,FI1D3,15152102781.860954,1
FI_148,FI1D7,133521226427.85985,1
FI_149,FI1B1,1319866562.9979515,1
FI_151,FI194,2948795532.2669067,0.9998361582101883
FI_151,FI195,463223.75966241304,1.5706340408637914e-4
FI_151,FI196,19991.348961234093,6.778385725331579e-6
FI_152,FI195,1720150549.8320122,0.9988820529624309
FI_152,FI194,1925189.471223534,0.001117947037569021
FI_153,FI1C5,817719721.5785427,1
FI_165,FI1C2,2456386823.4727087,1
FI_167,FI1D3,12958008255.03028,1
FI_169,FI1C2,763644712.9846029,1
FI_169,FI1C1,0,0
FI_170,FI200,557461980.0844214,1
FI_171,FI1D1,3250055655.582747,0.9997160896099658
FI_171,FI1D2,922986.614298922,2.839103900341707e-4
FI_172,FI193,4761349097.064287,0.9990530719780771
FI_172,FI1C3,2877470.3781036697,6.037670337054002e-4
FI_172,FI1D1,1635457.9223320708,3.431609882174279e-4
FI_176,FI1D3,9050704563.144526,0.9997197465543298
FI_176,FI1D2,2537202.1992230415,2.8025344567021016e-4
FI_177,FI197,1228679345.7266502,1
FI_177,FI193,0,0
FI_178,FI1D1,6019321057.086193,1
FI_179,FI193,6685883650.995449,1
FI_181,FI196,997195346.3238916,0.996271978612331
FI_181,FI197,3731476.603364408,0.003728021387669015
FI_182,FI193,8187414159.887949,0.9975990603590031
FI_182,FI197,19704797.24255134,0.0024009396409968493
FI_186,FI1B1,162533215.7740574,1
FI_202,FI1C1,598028211.1285999,1
FI_204,FI1D2,3805618251.858032,0.9993685185861427
FI_204,FI1D3,2404695.7149344916,6.314814138573188e-4
FI_205,FI1D8,11825603956.220057,0.9993045845742037
FI_205,FI1D2,4434771.886598468,3.7475361886169466e-4
FI_205,FI1D9,3794658.396679934,3.2066180693466576e-4
FI_208,FI1D9,4835269257.972406,0.9988311943715119
FI_208,FI1D5,5658103.1467777975,0.0011688056284880277
FI_211,FI197,3807014877.788727,0.9998513965679892
FI_211,FI193,565819.5592842102,1.4860343201085794e-4
FI_211,FI1C3,0,0
FI_213,FI1D1,6001952775.429962,0.9983530406729209
FI_213,FI193,9901279.108160406,0.00164695932707919
FI_214,FI196,3151799427.3622904,0.999694791782967
FI_214,FI197,962248.7699020803,3.0520821703293693e-4
FI_216,FI193,2650479315.6761656,1
FI_217,FI1D5,2425378838.7541447,0.9977028613598552
FI_217,FI1D9,5584259.265226215,0.0022971386401447204
FI_218,FI194,858722541.6998739,0.9972329679600305
FI_218,FI195,2382705.8096447447,0.0027670320399695468
FI_224,FI1B1,1051482085.7626574,0.9986531113227513
FI_224,FI1C2,1418139.3915327212,0.0013468886772486388
FI_226,FI193,4619862932.676092,0.9994382720240419
FI_226,FI194,2596564.8174752593,5.617279759580787e-4
FI_230,FI196,2364808719.8431726,0.9984558352505792
FI_230,FI197,3215835.312003783,0.0013577713518782948
FI_230,FI194,441466.42872685194,1.8639339754244092e-4
FI_231,FI195,41722992.29871628,1
FI_232,FI194,6078321259.708441,0.9996879930560115
FI_232,FI196,1897070.3399407864,3.120069439884227e-4
FI_233,FI194,6475820056.34587,0.9977398241059934
FI_233,FI195,14669648.370898858,0.0022601758940066
FI_235,FI1B1,24637447.320822477,1
FI_236,FI1D5,1805237611.9535391,0.9897644036839843
FI_236,FI195,18668769.43813026,0.01023559631601579
FI_239,FI1D2,2832589974.3271766,0.999684817385897
FI_239,FI193,893064.5912228823,3.1518261410302424e-4
FI_240,FI1D7,573232471.0078659,1
FI_241,FI1D7,3861987767.767954,1
FI_244,FI1D9,612436115.6849198,1
FI_245,FI1B1,127060264.18811035,1
FI_249,FI193,6591677543.563055,0.9989965003482212
FI_249,FI194,4756975.419050738,7.209396643673581e-4
FI_249,FI197,1864415.2637968445,2.825599874113497e-4
FI_250,FI197,1787673366.2468224,1
FI_250,FI194,0,0
FI_256,FI193,2449740322.741066,0.9999998447213515
FI_256,FI1D5,380.3924255371094,1.5527864849146894e-7
FI_256,FI1D9,0,0
FI_257,FI1B1,1518505341.7316058,1
FI_260,FI1D3,7802669429.168454,0.9995181725159721
FI_260,FI1D1,3758456.1984422207,4.814564175825464e-4
FI_260,FI1C5,2896.704521179199,3.7106644535065816e-7
FI_261,FI1D7,57669036604.407654,1
FI_263,FI1D2,7207246074.496523,0.9995123919324308
FI_263,FI1D9,3516025.773413241,4.8760806756911556e-4
FI_265,FI193,2934506395.8180585,1
FI_265,FI1D5,0,0
FI_271,FI196,2294807675.7958565,0.9995289281133793
FI_271,FI197,1081528.8591087982,4.7107188662065004e-4
FI_272,FI1D5,7477626961.919071,0.9986264256548373
FI_272,FI195,10285076.392783716,0.0013735572967224611
FI_272,FI1D9,127.65722274780273,1.7048440195115654e-8
FI_273,FI1D7,17419656765.90856,1
FI_275,FI193,3207517735.9225125,0.9992313366425517
FI_275,FI1D2,2467397.9503616095,7.686633574482237e-4
