gisco_id,nuts_3,area,area_share
HU_08624,HU212,36009966.30103248,0.9990606390339446
HU_08624,HU221,33858.16176771,9.393609660554765e-4
HU_08633,HU311,29012174.389031872,0.9927730665795313
HU_08633,HU321,211195.34740698338,0.007226933420468694
HU_08642,HU313,82173726.70736676,0.9984691108330165
HU_08642,HU120,125991.74742823839,0.0015308891669835083
HU_08651,HU231,29818718.253993034,1
HU_08660,HU312,57308068.85181141,1
HU_08679,HU331,90154388.8051027,1
HU_08688,HU212,77284298.91089518,1
HU_08697,HU331,30720444.599868514,1
HU_08703,HU232,36175605.504918575,1
HU_08712,HU313,39782346.84863877,0.9961470006877207
HU_08712,HU312,153874.2323601246,0.003852999312279344
HU_08721,HU221,14148318.1985569,1
HU_08730,HU211,81040398.69733143,0.9978158794746436
HU_08730,HU213,177389.43809062988,0.002184120525356487
HU_08730,HU212,0,0
HU_08749,HU213,15582720.960769773,1
HU_08758,HU212,27256235.84587723,1
HU_08767,HU223,20445743.607447773,1
HU_08776,HU323,55252274.20302056,1
HU_08785,HU331,70235207.86781886,1
HU_08794,HU323,37454694.509109974,1
HU_08800,HU231,18615240.697015166,1
HU_08819,HU231,40207700.43254411,0.9829094000358028
HU_08819,HU232,699122.1404005885,0.017090599964197165
HU_08828,HU223,10512833.906018972,1
HU_08837,HU232,88140289.81523156,1
HU_08846,HU311,67155514.32474029,1
HU_08855,HU313,71033826.38491154,1
HU_08864,HU233,133018576.34625936,0.9995159478824396
HU_08864,HU231,64419.10575982928,4.840521175603873e-4
HU_08873,HU222,27379685.647778034,1
HU_08882,HU222,22950222.43723713,0.9956834989461306
HU_08882,HU221,99494.12583589554,0.0043165010538693946
HU_08891,HU120,95564815.47385335,0.9955772925773513
HU_08891,HU211,424532.80311977863,0.004422707422648683
HU_08907,HU321,79824884.80392188,1
HU_08916,HU223,18154569.1676172,0.9963859575654084
HU_08916,HU222,65849.3657556288,0.0036140424345916075
HU_08925,HU211,131642086.74549067,1
HU_08925,HU120,0,0
HU_08934,HU323,29178531.97066629,1
HU_08943,HU321,99630029.42791891,0.9984298392034219
HU_08943,HU332,156681.18101763725,0.0015701607965781111
HU_08952,HU323,55320237.111959904,1
HU_08961,HU233,149922421.53920895,0.9990899432380654
