gisco_id,nuts_3,area,area_share
MT_MT01101,MT001,1219774.8929886222,1
MT_MT01103,MT001,717396.8454815149,1
MT_MT01104,MT001,173854.5812665224,1
MT_MT01105,MT001,1496744.2609797716,1
MT_MT01108,MT001,8141772.926577926,1
MT_MT01117,MT001,1673645.0431410074,1
MT_MT01118,MT001,1400337.2481538653,1
MT_MT01129,MT001,2431162.252174139,1
MT_MT01133,MT001,10387178.099657446,1
MT_MT01134,MT001,4552075.13742882,1
MT_MT01145,MT001,3674967.574333966,1
MT_MT01157,MT001,1114654.4070803225,1
MT_MT01162,MT001,1278384.0375480652,1
MT_MT01165,MT001,1153084.8021862507,1
MT_MT01206,MT001,7154312.805112362,1
MT_MT01214,MT001,4391392.844901681,1
MT_MT01221,MT001,1445629.1103038192,1
MT_MT01227,MT001,1662780.99521029,1
MT_MT01241,MT001,2628000.78964895,1
MT_MT01246,MT001,3489479.9439312816,1
MT_MT01247,MT001,632474.2202885151,1
MT_MT01252,MT001,2494334.6760252714,1
MT_MT01253,MT001,4067314.4802739024,1
MT_MT01258,MT001,1305230.084433347,1
MT_MT01259,MT001,1572235.0302191973,1
MT_MT01260,MT001,4644730.072544813,1
MT_MT01261,MT001,390304.58788470924,1
MT_MT01310,MT001,8389661.555494905,1
MT_MT01315,MT001,13797057.998766303,1
MT_MT01320,MT001,3427532.7007697523,1
MT_MT01326,MT001,5790580.653072834,1
MT_MT01331,MT001,1788388.9682614803,1
MT_MT01335,MT001,7712532.371894956,1
MT_MT01336,MT001,7422946.215899527,1
MT_MT01340,MT001,3892461.0755776316,1
MT_MT01349,MT001,7623796.5089223385,1
MT_MT01351,MT001,3222531.7111296654,1
MT_MT01367,MT001,13108167.26279056,1
MT_MT01402,MT001,1145573.5366722345,1
MT_MT01407,MT001,13331068.596319608,1
MT_MT01409,MT001,30528219.47223997,1
MT_MT01412,MT001,10176497.569635928,1
MT_MT01413,MT001,852153.8459089994,1
MT_MT01416,MT001,8559794.911974669,1
MT_MT01428,MT001,2625329.279235244,1
MT_MT01432,MT001,1567089.7117558867,1
MT_MT01450,MT001,40679858.52548981,1
MT_MT01468,MT001,974337.8934320807,1
MT_MT01524,MT001,2994853.510432422,1
MT_MT01537,MT001,33935210.19645548,1
MT_MT01538,MT001,24505126.333691835,1
MT_MT01539,MT001,10309815.59770587,1
MT_MT01544,MT001,17691079.04492557,1
MT_MT01555,MT001,22101772.514466166,1
MT_MT02611,MT002,4611190.998668224,1
MT_MT02619,MT002,730267.7235873342,1
MT_MT02622,MT002,10768797.804751117,1
MT_MT02623,MT002,6718214.126266897,1
MT_MT02625,MT002,7814561.971359193,1
MT_MT02630,MT002,8298088.15523684,1
MT_MT02642,MT002,4404033.793971166,1
MT_MT02643,MT002,10770185.407809943,1
MT_MT02648,MT002,8493988.626869798,1
MT_MT02654,MT002,5577931.743793547,1
MT_MT02656,MT002,5747866.486227006,1
MT_MT02663,MT002,11533637.334385037,1
MT_MT02664,MT002,6710558.887352943,1
MT_MT02666,MT002,11426235.481312156,1
