gisco_id,nuts_3,area,area_share
RS_71331,RS225,19701282.254605994,1
RS_71340,RS222,201627844.38403106,1
RS_71340,RS122,0,0
RS_71358,RS228,476402982.5565529,1
RS_71366,RS211,37570584.02561295,1
RS_80012,RS124,465339936.3930383,0.9977882000882538
RS_80012,RS125,570098.3891099095,0.001222412694582772
RS_80012,RS126,461252.93138211966,9.890247885375378e-4
RS_80012,RS123,169.02636623382568,3.6242862591844813e-7
RS_80039,RS122,1198067321.6186106,1
RS_80039,RS126,0,0
RS_80047,RS121,674047781.634775,1
RS_80055,RS123,736590400.0714798,0.9972317681953236
RS_80055,RS121,2044713.212643817,0.002768231804676333
RS_80063,RS123,1169148851.1535425,0.9995581919001193
RS_80063,RS127,516759.67742197216,4.418012029017168e-4
RS_80063,RS121,8.067159175872803,6.896978970342327e-9
RS_80071,RS125,1223163367.5609121,0.9982849715047065
RS_80071,RS121,1798171.6717894077,0.0014675780878824153
RS_80071,RS124,303166.52411592007,2.4742940551902257e-4
RS_80071,RS123,25.732877731323242,2.100189213806622e-8
RS_80080,RS123,321985120.9266939,1
RS_80098,RS122,694669328.496197,1
RS_80098,RS222,0,0
RS_80101,RS123,369953610.39337134,0.9986681064604225
RS_80101,RS127,493395.9745372557,0.0013318935395775357
RS_80110,RS123,994986763.3467811,0.9977055189803319
RS_80110,RS126,2288088.922902316,0.002294341020797851
RS_80110,RS124,78.24154744297266,7.845533887791879e-8
RS_80110,RS125,61.37582468986511,6.154353131198953e-8
RS_80128,RS122,1605765698.2751021,1
RS_80136,RS123,807525172.6383642,0.996121101908778
RS_80136,RS126,3144505.0654568663,0.003878898091221952
RS_80144,RS126,1069253935.2101688,1
RS_80144,RS124,0,0
RS_80152,RS126,2676129295.465562,0.9962627431298827
RS_80152,RS123,7821788.320514709,0.0029118758580091715
RS_80152,RS122,1662790.6566383392,6.190195606916888e-4
RS_80152,RS110,554313.9774935246,2.063586257617131e-4
RS_80152,RS127,7.590183615684509,2.825654635833215e-9
RS_80152,RS124,0,0
RS_80179,RS127,774050420.3504434,0.9991213307863915
RS_80179,RS123,680732.4127564039,8.786692136084438e-4
RS_80179,RS126,0,0
RS_80187,RS127,461479382.7427596,0.9985092412531983
RS_80187,RS123,688981.5315369475,0.001490758746801712
RS_80195,RS124,827583977.1680813,0.999882003193003
RS_80195,RS125,97663.79084312916,1.1799680699692595e-4
RS_80209,RS124,1607558103.3173606,0.9995905289328622
RS_80209,RS126,658518.1761917025,4.0947106713779387e-4
RS_80217,RS122,842848887.1704454,0.9989444594168019
RS_80217,RS126,890601.2716975397,0.0010555405831981636
RS_80225,RS122,1466807782.736875,0.9999999977296241
RS_80225,RS222,3.3302048444747925,2.2703757616422247e-9
RS_80225,RS227,0,0
RS_80225,RS110,0,0
RS_80233,RS121,983751485.0404301,0.9988938894041713
RS_80233,RS125,953928.1709614843,9.686115196713155e-4
RS_80233,RS123,135414.70400041505,1.3749907615735908e-4
RS_80241,RS125,370862280.16492844,0.9999996842679373
RS_80241,RS123,117.09314966201782,3.157320626942243e-7
RS_80241,RS121,0,0
RS_80250,RS126,558708865.9997256,1
RS_80250,RS124,0,0
RS_80268,RS126,1240165000.0736408,0.9966401181076162
RS_80268,RS123,2298247.283963803,0.0018469521752300555
RS_80268,RS124,1882607.8227194026,0.001512929717153745
RS_80276,RS124,633087007.6699555,1
