gisco_id,nuts_3,area,area_share
AT_41004,AT312,8718396.10129995,1
AT_41005,AT312,33345744.81930096,0.9988065885003647
AT_41005,AT121,36298.49135785011,0.0010872503378559792
AT_41005,AT313,3544.252762414955,1.0616116177922836e-4
AT_41006,AT312,18318245.65825832,0.9951576348860129
AT_41006,AT314,89135.25919454492,0.004842365113987062
AT_41207,AT311,13809340.46271024,1
AT_41208,AT311,16040487.63662337,1
AT_41209,AT311,22050388.034687385,1
AT_41210,AT311,13482950.91693634,1
AT_41007,AT312,20043324.440729782,1
AT_41008,AT312,13745642.756969322,0.9913415184638175
AT_41008,AT314,120055.8957710224,0.008658481536182469
AT_41009,AT312,20998968.242127065,0.999073565670185
AT_41009,AT314,19472.204789194453,9.264343298149571e-4
AT_41211,AT311,9962267.378252463,1
AT_41212,AT311,24189435.00218235,1
AT_10310,AT112,51949392.82887571,1
AT_10727,AT112,5503414.5726307295,0.9514013596038339
AT_10727,AT127,281120.5418895676,0.04859864039616613
AT_41213,AT311,39156375.83605344,0.999479587730698
AT_41213,AT315,20388.068607529338,5.20412269301899e-4
AT_41010,AT312,16103449.35354973,1
AT_10722,AT112,32258950.032846287,1
AT_41011,AT312,20603176.005932547,0.9972328303203339
AT_41011,AT121,48012.72618644508,0.0023239070914366383
AT_41011,AT314,9157.958747908477,4.4326258822930775e-4
AT_41012,AT312,23863195.905067,1
AT_41214,AT311,22258891.744266342,1
AT_41215,AT311,29202594.649345376,1
AT_41013,AT312,43975674.531410135,1
AT_41014,AT312,18004624.718374737,1
AT_41015,AT312,20039266.54471519,1
AT_41016,AT312,13248021.657476606,1
AT_41216,AT311,10700596.295379637,1
AT_41217,AT311,10925119.100261828,1
AT_41218,AT311,15616201.033963457,1
AT_41219,AT311,2536005.327892473,1
AT_40826,AT311,5548340.192253387,0.9995311172914375
AT_40826,AT312,2602.74115769382,4.6888270856252945e-4
AT_41017,AT312,12215029.776894845,1
AT_41018,AT312,17836297.13388832,0.9878919183514315
AT_41018,AT314,218610.29328556798,0.01210808164856854
AT_41019,AT312,19310574.179411188,1
AT_10101,AT112,42160429.819982104,1
AT_10201,AT112,19672328.450875808,1
AT_10309,AT112,3866962.720462759,0.9430540729014357
AT_10309,AT122,233504.93200759793,0.056945927098564275
AT_10717,AT112,58758936.143354475,0.9931805354151273
AT_10717,AT127,403455.8368654727,0.006819464584872804
AT_40818,AT311,2157290.425222688,1
AT_40820,AT311,7244401.884573431,1
AT_40821,AT311,11140243.401710901,0.9986839768868421
AT_40821,AT312,14680.137202719687,0.001316023113157922
AT_40827,AT311,20300361.432484455,0.9907228480731797
AT_40827,AT312,190093.05937053807,0.00927715192682039
AT_40828,AT311,13360625.932727888,1
