gisco_id,nuts_3,area,area_share
DK_185,DK011,65702324.69961711,1
DK_187,DK012,9019200.575337956,1
DK_190,DK013,56223129.82803076,0.9932784083856249
DK_190,DK012,380466.2567871854,0.006721591614375062
DK_201,DK013,67604430.72453809,1
DK_210,DK013,112156734.9351079,1
DK_217,DK013,122776914.42680953,1
DK_219,DK013,211319982.77311957,1
DK_223,DK013,31438248.02907691,1
DK_230,DK013,72626264.67150962,0.9972152563706526
DK_230,DK012,202810.3025653231,0.0027847436293474514
DK_240,DK013,123988587.09277579,0.991638045077554
DK_240,DK012,608633.3784865258,0.004867738456925211
DK_240,DK021,436896.26946729847,0.0034942164655207292
DK_250,DK013,247450124.21586025,0.999516976958847
DK_250,DK021,119581.87233207708,4.8302304115301634e-4
DK_253,DK021,60126636.975351974,0.9932541235566223
DK_253,DK012,408361.6210312414,0.006745876443377662
DK_259,DK021,254369007.30611923,0.9964933331094437
DK_259,DK022,895126.2856126623,0.0035066668905562835
DK_260,DK013,121903166.79119973,1
DK_265,DK021,209312358.56384903,0.9968528895655538
DK_265,DK013,421393.6379593732,0.002006892801392823
DK_265,DK012,239415.1078344948,0.0011402176330532485
DK_269,DK021,40576559.74635215,1
DK_270,DK013,279358191.0547641,1
DK_306,DK022,354269835.96791446,1
DK_316,DK022,575242633.5207658,0.9997725509543662
DK_316,DK021,130868.15383886186,2.2744904563379203e-4
DK_320,DK022,402958039.05280054,0.9990821168263176
DK_320,DK021,370208.21163483453,9.178831736823872e-4
DK_326,DK022,602101289.0689029,1
DK_329,DK022,293007996.89870316,0.9984165473748045
DK_329,DK021,464700.11250559037,0.00158345262519546
DK_330,DK022,569332325.4266162,1
DK_336,DK022,250038806.91006324,0.9990880027137387
DK_336,DK021,228242.87024028055,9.119972862613882e-4
DK_340,DK022,306484371.9696667,1
DK_350,DK021,238750021.34948078,0.9970412554255162
DK_350,DK022,514301.7027208123,0.0021477695057360233
DK_350,DK013,194194.88804883414,8.109750687477718e-4
DK_360,DK022,890633693.6710174,1
DK_370,DK022,682390684.5975566,1
DK_376,DK022,901828572.6844425,1
DK_390,DK022,617830313.7077985,1
DK_400,DK014,587150058.3086002,1
DK_410,DK031,297571719.8657052,1
DK_411,DK014,365937.923011608,1
DK_101,DK011,89232174.85504459,0.9933623689712475
DK_101,DK012,596247.92631747,0.0066376310287525365
DK_147,DK011,8638469.058891105,1
DK_151,DK012,33334045.10536787,0.9842479778623658
DK_151,DK013,533482.0372982011,0.01575202213763414
DK_153,DK012,21053924.43274307,1
DK_155,DK011,18573141.282676198,1
DK_157,DK012,25215638.41889319,0.9921524454172527
DK_157,DK011,199446.26427631764,0.007847554582747303
DK_159,DK012,24371887.543892723,0.9967331540523243
DK_159,DK013,73082.25640492103,0.002988833253089224
DK_159,DK011,6797.901826269115,2.7801269458643845e-4
DK_161,DK012,13546816.99658335,1
DK_163,DK012,12177260.336698325,0.9988622253426696
DK_163,DK013,13870.760006022869,0.0011377746573304078
DK_163,DK011,0,0
DK_165,DK012,23336251.96282972,0.996107797445416
DK_165,DK013,91184.32737609229,0.0038922025545839707
DK_167,DK012,22586054.663698334,0.9965760279556195
DK_167,DK011,77599.71902996344,0.0034239720443805066
DK_169,DK012,77591249.18920323,0.9958426558413884
DK_169,DK021,292066.4361731844,0.0037485182739048517
DK_169,DK013,31853.738047083712,4.088258847068249e-4
