gisco_id,nuts_3,area,area_share
FR_01123,FRK21,10058124.75019727,1
FR_01123,FRC13,0,0
FR_01124,FRK21,19561109.329775196,0.9998000623794032
FR_01124,FRC13,3911.7837683661805,1.9993762059670423e-4
FR_01125,FRK21,22668317.129339803,0.999245781743718
FR_01125,FRC22,17109.763113836776,7.542182562818942e-4
FR_01127,FRK21,14636023.548198983,0.9958440076245102
FR_01127,FRC22,61081.0546713044,0.004155992375489762
FR_01128,FRK21,9000759.262580954,1
FR_01129,FRK21,13197625.207630046,1
FR_01130,FRK21,26237115.961939037,1
FR_01133,FRK21,8028263.215612692,0.992482662595814
FR_01133,FRK27,60808.27971697708,0.007517337404186072
FR_01134,FRK21,12052044.050094036,1
FR_01135,FRK21,27242696.432580676,1
FR_01136,FRK21,11529775.04281629,1
FR_01138,FRK21,19215522.30714276,0.999999447184942
FR_01138,FRK27,10.622635951150944,5.528150580038728e-7
FR_01139,FRK21,23646449.34702411,0.9956446237115605
FR_01139,FRC13,103439.70362426493,0.004355376288439588
FR_01140,FRK21,12866430.22220231,1
FR_01141,FRK21,4883432.179407576,1
FR_01142,FRK21,6787164.35169908,1
FR_01143,FRK21,33617251.756369665,1
FR_01143,FRC22,0,0
FR_01145,FRK21,28647553.249411367,1
FR_01146,FRK21,4606114.486556168,1
FR_01147,FRK21,15220384.600519624,0.9842852473849909
FR_01147,FRC13,128011.1948884785,0.00827834078677307
FR_01147,FRC22,114992.12080472677,0.007436411828236004
FR_01148,FRK21,18755886.935225494,0.9925487014457267
FR_01148,FRC22,140804.89249645188,0.007451298554273261
FR_01149,FRK21,5039739.818327856,1
FR_01150,FRK21,7699614.055308316,1
FR_01151,FRK21,21027051.792478032,1
FR_01152,FRK21,27849426.31002215,1
FR_01152,FRC22,0,0
FR_01153,FRK21,16888300.521665644,1
FR_01155,FRK21,12069972.916666815,1
FR_01156,FRK21,11310726.941193366,1
FR_01157,FRK21,8194867.847082665,1
FR_01157,FRK26,0,0
FR_02210,FRE21,3753551.408101328,1
FR_02211,FRE21,5920406.969444941,1
FR_02211,FRF23,0,0
FR_02212,FRE21,5562034.435233091,1
FR_02213,FRE21,5274026.431411518,1
FR_02214,FRE21,3364618.880225807,1
FR_02215,FRE21,15003095.584293207,1
FR_02216,FRE21,7130156.342339586,1
FR_02217,FRE21,11079084.368698658,1
FR_02218,FRE21,6162842.952600119,1
FR_02219,FRE21,6295142.607071827,1
FR_02220,FRE21,28716771.60468154,0.9998659225682801
FR_02220,FRF23,3850.7872877118107,1.3407743171988336e-4
FR_02221,FRE21,7823422.737790698,1
FR_02222,FRE21,3058350.1239957362,1
FR_02223,FRE21,14173046.741174081,1
FR_02224,FRE21,9082400.337846246,1
FR_02225,FRE21,2726971.4354548613,1
