gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
BE_11001,BE,BE21,BE211,11001,Aartselaar,14268,11.00006788,2016,BE_11001
BE_11002,BE,BE21,BE211,11002,Antwerpen / Anvers,516684,204.0080418,2016,BE_11002
BE_11004,BE,BE21,BE211,11004,Boechout,12849,20.72341667,2016,BE_11004
BE_11005,BE,BE21,BE211,11005,Boom,17737,7.31016915,2016,BE_11005
BE_11007,BE,BE21,BE211,11007,Borsbeek,10534,3.88991034,2016,BE_11007
BE_11008,BE,BE21,BE211,11008,Brasschaat,37668,38.62568802,2016,BE_11008
BE_11009,BE,BE21,BE211,11009,Brecht,28566,91.37736513,2016,BE_11009
BE_11013,BE,BE21,BE211,11013,Edegem,21599,8.69904531,2016,BE_11013
BE_11016,BE,BE21,BE211,11016,Essen,18604,47.57059566,2016,BE_11016
BE_11018,BE,BE21,BE211,11018,Hemiksem,11157,5.514894,2016,BE_11018
BE_11021,BE,BE21,BE211,11021,Hove,8147,6.0049001,2016,BE_11021
BE_11022,BE,BE21,BE211,11022,Kalmthout,18342,59.57155311,2016,BE_11022
BE_11023,BE,BE21,BE211,11023,Kapellen,27167,37.23061532,2016,BE_11023
BE_11024,BE,BE21,BE211,11024,Kontich,20881,23.87285045,2016,BE_11024
BE_11025,BE,BE21,BE211,11025,Lint,8949,5.60879585,2016,BE_11025
BE_11029,BE,BE21,BE211,11029,Mortsel,25581,7.79559264,2016,BE_11029
BE_11030,BE,BE21,BE211,11030,Niel,10147,5.31730949,2016,BE_11030
BE_11035,BE,BE21,BE211,11035,Ranst,19250,43.68644962,2016,BE_11035
BE_11037,BE,BE21,BE211,11037,Rumst,15161,20.18019793,2016,BE_11037
BE_11038,BE,BE21,BE211,11038,Schelle,8258,7.74604874,2016,BE_11038
BE_11039,BE,BE21,BE211,11039,Schilde,19430,36.05027022,2016,BE_11039
BE_11040,BE,BE21,BE211,11040,Schoten,34070,29.52843307,2016,BE_11040
BE_11044,BE,BE21,BE211,11044,Stabroek,18512,21.16758533,2016,BE_11044
BE_11050,BE,BE21,BE211,11050,Wijnegem,9365,7.87517977,2016,BE_11050
BE_11052,BE,BE21,BE211,11052,Wommelgem,12594,12.983877529999999,2016,BE_11052
BE_11053,BE,BE21,BE211,11053,Wuustwezel,20221,89.42218095,2016,BE_11053
BE_11054,BE,BE21,BE211,11054,Zandhoven,12770,40.08431177,2016,BE_11054
BE_11055,BE,BE21,BE211,11055,Zoersel,21782,38.64285326,2016,BE_11055
BE_11056,BE,BE21,BE211,11056,Zwijndrecht,18960,20.10635678,2016,BE_11056
BE_11057,BE,BE21,BE211,11057,Malle,15164,51.90562564,2016,BE_11057
