gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
DK_7002,DK,DK01,DK011,7002,Helligånds Sogn,4793,0.89970857,2016,DK_7002
DK_7003,DK,DK01,DK011,7003,Trinitatis Sogn,3600,0.60827123,2016,DK_7003
DK_7011,DK,DK01,DK011,7011,Bethlehem Sogn,2948,0.12230096,2016,DK_7011
DK_7024,DK,DK01,DK011,7024,Valby Sogn,9191,0.86186351,2016,DK_7024
DK_7026,DK,DK01,DK011,7026,Timotheus Sogn,11237,1.24885036,2016,DK_7026
DK_7027,DK,DK01,DK011,7027,Vigerslev Sogn,8579,1.33776385,2016,DK_7027
DK_7028,DK,DK01,DK011,7028,Aalholm Sogn,7953,1.26619223,2016,DK_7028
DK_7036,DK,DK01,DK011,7036,Holmens Sogn,2868,0.56154767,2016,DK_7036
DK_7037,DK,DK01,DK011,7037,Garnisons Sogn,3120,0.55385598,2016,DK_7037
DK_7038,DK,DK01,DK011,7038,Frederiks Sogn,3297,0.15594733,2016,DK_7038
DK_7039,DK,DK01,DK011,7039,Sankt Pauls Sogn,4050,0.30404553,2016,DK_7039
DK_7040,DK,DK01,DK011,7040,Østervold Sogn,6890,0.72350264,2016,DK_7040
DK_7041,DK,DK01,DK011,7041,Kastels Sogn,6773,1.21118858,2016,DK_7041
DK_7043,DK,DK01,DK011,7043,Rosenvænget Sogn,15515,0.53421862,2016,DK_7043
DK_7044,DK,DK01,DK011,7044,Sankt Jakobs Sogn,13456,0.82150379,2016,DK_7044
DK_7046,DK,DK01,DK011,7046,Hans Egedes Sogn,7236,2.78651018,2016,DK_7046
DK_7050,DK,DK01,DK011,7050,Anna Sogn,7505,0.21988177,2016,DK_7050
DK_7051,DK,DK01,DK011,7051,Sankt Stefans Sogn,12721,0.56471453,2016,DK_7051
DK_7053,DK,DK01,DK011,7053,Kingo-Samuel Sogn,21790,1.05733648,2016,DK_7053
DK_7054,DK,DK01,DK011,7054,Aldersro Sogn,8077,0.90572268,2016,DK_7054
DK_7055,DK,DK01,DK011,7055,Kildevælds Sogn,10646,0.56355082,2016,DK_7055
DK_7056,DK,DK01,DK011,7056,Sions Sogn,9954,2.61862592,2016,DK_7056
DK_7057,DK,DK01,DK011,7057,Hyltebjerg Sogn,10515,1.91366426,2016,DK_7057
DK_7058,DK,DK01,DK011,7058,Vanløse Sogn,11801,2.09269821,2016,DK_7058
DK_7059,DK,DK01,DK011,7059,Advents Sogn,7641,1.10033966,2016,DK_7059
DK_7060,DK,DK01,DK011,7060,Grøndals Sogn,8984,1.1327359,2016,DK_7060
DK_7061,DK,DK01,DK011,7061,Ansgarkirkens Sogn,10377,0.62073642,2016,DK_7061
DK_7062,DK,DK01,DK011,7062,Kapernaums Sogn,9854,0.61304385,2016,DK_7062
DK_7063,DK,DK01,DK011,7063,Tagensbo Sogn,7902,0.43858191,2016,DK_7063
DK_7064,DK,DK01,DK011,7064,Bispebjerg Sogn,11331,1.7649931,2016,DK_7064
DK_7065,DK,DK01,DK011,7065,Emdrup Sogn,4974,1.3560696,2016,DK_7065
DK_7066,DK,DK01,DK011,7066,Lundehus Sogn,6977,1.39456396,2016,DK_7066
DK_7067,DK,DK01,DK011,7067,Husum Sogn,10554,2.07117439,2016,DK_7067
DK_7068,DK,DK01,DK011,7068,Brønshøj Sogn,9098,1.77079246,2016,DK_7068
DK_7070,DK,DK01,DK011,7070,Husumvold Sogn,9139,2.36645141,2016,DK_7070
DK_7080,DK,DK01,DK011,7080,Islands Brygges Sogn,15826,3.57328479,2016,DK_7080
DK_7081,DK,DK01,DK011,7081,Christians Sogn,7408,0.55085527,2016,DK_7081
DK_7082,DK,DK01,DK011,7082,Vor Frelsers Sogn,14638,6.73099445,2016,DK_7082
DK_7083,DK,DK01,DK011,7083,Nathanaels Sogn,8019,0.26342248,2016,DK_7083
DK_7084,DK,DK01,DK011,7084,Sundby Sogn,17062,1.37640033,2016,DK_7084
DK_7085,DK,DK01,DK011,7085,Allehelgens Sogn,10401,1.17610045,2016,DK_7085
DK_7086,DK,DK01,DK011,7086,Filips Sogn,11712,0.67969442,2016,DK_7086
DK_7087,DK,DK01,DK011,7087,Sundkirkens Sogn,7820,1.08303637,2016,DK_7087
DK_7088,DK,DK01,DK011,7088,Højdevangs Sogn,12740,1.85627052,2016,DK_7088
DK_7089,DK,DK01,DK011,7089,Simon Peters Sogn,9995,2.37021112,2016,DK_7089
DK_7090,DK,DK01,DK011,7090,Solvang Sogn,20089,12.80089964,2016,DK_7090
DK_7102,DK,DK01,DK011,7102,Sankt Lukas Sogn,7146,0.28186964,2016,DK_7102
DK_7103,DK,DK01,DK011,7103,Solbjerg Sogn,9744,0.8319472,2016,DK_7103
DK_7104,DK,DK01,DK011,7104,Lindevang Sogn,14034,1.04412704,2016,DK_7104
DK_7105,DK,DK01,DK011,7105,Flintholm Sogn,10173,1.08847603,2016,DK_7105
DK_7106,DK,DK01,DK011,7106,Sankt Thomas Sogn,9271,0.54758526,2016,DK_7106
DK_7107,DK,DK01,DK011,7107,Mariendals Sogn,14299,0.94969811,2016,DK_7107
DK_7108,DK,DK01,DK011,7108,Godthaabs Sogn,11395,1.1631905,2016,DK_7108
DK_7109,DK,DK01,DK011,7109,Sankt Markus Sogn,11400,0.68111015,2016,DK_7109
DK_7110,DK,DK01,DK012,7110,Helleruplund Sogn,6620,2.1129126,2016,DK_7110
DK_7111,DK,DK01,DK012,7111,Gentofte Sogn,5776,2.13493502,2016,DK_7111
DK_7112,DK,DK01,DK012,7112,Jægersborg Sogn,7762,4.19054018,2016,DK_7112
DK_7113,DK,DK01,DK012,7113,Vangede Sogn,10706,4.40941397,2016,DK_7113
DK_7114,DK,DK01,DK012,7114,Dyssegård Sogn,9764,2.41490287,2016,DK_7114
DK_7115,DK,DK01,DK012,7115,Ordrup Sogn,12650,4.34345876,2016,DK_7115
DK_7116,DK,DK01,DK012,7116,Skovshoved Sogn,7582,2.9341586,2016,DK_7116
DK_7117,DK,DK01,DK012,7117,Hellerup Sogn,7480,1.59495888,2016,DK_7117
DK_7118,DK,DK01,DK012,7118,Maglegårds Sogn,6289,1.63890382,2016,DK_7118
DK_7119,DK,DK01,DK012,7119,Kongens Lyngby Sogn,13287,6.91460896,2016,DK_7119
DK_7120,DK,DK01,DK012,7120,Christians Sogn,9352,2.0560971,2016,DK_7120
DK_7121,DK,DK01,DK012,7121,Virum Sogn,11321,6.31275702,2016,DK_7121
DK_7122,DK,DK01,DK012,7122,Sorgenfri Sogn,6158,6.0085027,2016,DK_7122
DK_7123,DK,DK01,DK012,7123,Lundtofte Sogn,13109,6.50257563,2016,DK_7123
DK_7124,DK,DK01,DK012,7124,Taarbæk Sogn,1565,11.19879148,2016,DK_7124
DK_7125,DK,DK01,DK013,7125,Søllerød Sogn,8041,8.65950274,2016,DK_7125
DK_7126,DK,DK01,DK013,7126,Vedbæk Sogn,6995,12.32731084,2016,DK_7126
DK_7127,DK,DK01,DK013,7127,Ny Holte Sogn,6502,9.52427646,2016,DK_7127
DK_7128,DK,DK01,DK013,7128,Gammel Holte Sogn,5405,5.3980599,2016,DK_7128
DK_7129,DK,DK01,DK013,7129,Nærum Sogn,5591,4.18487377,2016,DK_7129
DK_7130,DK,DK01,DK012,7130,Gladsaxe Sogn,10492,5.10611106,2016,DK_7130
