gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
HR_00019,HR,HR04,HR04C,00019,Andrijaševci,4122,39.61994361,2016,HR_00019
HR_00027,HR,HR04,HR04B,00027,Antunovac,3704,56.73944139,2016,HR_00027
HR_00035,HR,HR04,HR04C,00035,Babina Greda,3585,79.46410242,2016,HR_00035
HR_00043,HR,HR03,HR031,00043,Bakar,1470,125.43823485,2016,HR_00043
HR_00051,HR,HR03,HR036,00051,Bale - Valle,1129,82.01719498,2016,HR_00051
HR_00060,HR,HR03,HR036,00060,Barban,2715,90.40928281,2016,HR_00060
HR_00078,HR,HR04,HR04D,00078,Barilović,2938,175.62305216,2016,HR_00078
HR_00086,HR,HR03,HR031,00086,Baška,1668,98.91160971,2016,HR_00086
HR_00094,HR,HR03,HR035,00094,Baška Voda,2728,25.66424261,2016,HR_00094
HR_00108,HR,HR04,HR04A,00108,Bebrina,3244,101.16175142,2016,HR_00108
HR_00116,HR,HR04,HR043,00116,Bedekovčina,8079,51.43401848,2016,HR_00116
HR_00124,HR,HR04,HR044,00124,Bednja,3977,76.15746515,2016,HR_00124
HR_00132,HR,HR04,HR04B,00132,Beli Manastir,8034,62.31365203,2016,HR_00132
HR_00159,HR,HR04,HR046,00159,Belica,3189,27.70930261,2016,HR_00159
HR_00167,HR,HR04,HR04B,00167,Belišće,6493,70.1461535,2016,HR_00167
HR_00175,HR,HR03,HR033,00175,Benkovac,2863,514.48504958,2016,HR_00175
HR_00183,HR,HR04,HR047,00183,Berek,1448,110.97697,2016,HR_00183
HR_00191,HR,HR04,HR044,00191,Beretinec,2179,12.34316771,2016,HR_00191
HR_00205,HR,HR03,HR033,00205,Bibinje,4019,13.03493488,2016,HR_00205
HR_00213,HR,HR04,HR04B,00213,Bilje,5657,242.0887221,2016,HR_00213
HR_00221,HR,HR03,HR033,00221,Biograd Na Moru,5495,37.14984956,2016,HR_00221
HR_00230,HR,HR04,HR04B,00230,Bizovac,4502,100.55404582,2016,HR_00230
HR_00248,HR,HR04,HR047,00248,Bjelovar,40443,187.88187517,2016,HR_00248
HR_00256,HR,HR03,HR037,00256,Blato,3583,66.36271389,2016,HR_00256
HR_00264,HR,HR04,HR04C,00264,Bogdanovci,1957,51.58544173,2016,HR_00264
HR_00272,HR,HR03,HR035,00272,Bol,1645,23.33087445,2016,HR_00272
HR_00299,HR,HR04,HR04C,00299,Borovo,5133,28.18432698,2016,HR_00299
HR_00302,HR,HR04,HR04D,00302,Bosiljevo,1289,111.4113245,2016,HR_00302
HR_00329,HR,HR04,HR04C,00329,Bošnjaci,3869,94.94854142,2016,HR_00329
HR_00337,HR,HR04,HR042,00337,Brckovljani,6857,69.84659766,2016,HR_00337
HR_00345,HR,HR04,HR042,00345,Brdovec,11143,36.89951698,2016,HR_00345
HR_00353,HR,HR04,HR049,00353,Brestovac,3752,279.5029419,2016,HR_00353
HR_00361,HR,HR04,HR044,00361,Breznica,2200,33.52226794,2016,HR_00361
HR_00370,HR,HR03,HR032,00370,Brinje,3261,328.63230786,2016,HR_00370
HR_00388,HR,HR03,HR031,00388,Brod Moravice,865,61.91122433,2016,HR_00388
HR_00396,HR,HR04,HR04A,00396,Brodski Stupnik,3033,57.88326893,2016,HR_00396
HR_00400,HR,HR03,HR036,00400,Brtonigla - Verteneglio,1607,32.8937565,2016,HR_00400
HR_00418,HR,HR04,HR043,00418,Budinščina,2520,55.04546148,2016,HR_00418
HR_00426,HR,HR03,HR036,00426,Buje - Buie,2624,97.70535258,2016,HR_00426
HR_00434,HR,HR03,HR036,00434,Buzet,1666,168.92886264,2016,HR_00434
HR_00442,HR,HR04,HR04C,00442,Cerna,4616,69.50219186,2016,HR_00442
HR_00469,HR,HR04,HR04A,00469,Cernik,3621,127.89506541,2016,HR_00469
HR_00477,HR,HR03,HR036,00477,Cerovlje,1671,105.57574501,2016,HR_00477
HR_00485,HR,HR04,HR044,00485,Cestica,5811,46.09560546,2016,HR_00485
HR_00493,HR,HR04,HR04D,00493,Cetingrad,2027,136.84103167,2016,HR_00493
HR_00507,HR,HR03,HR035,00507,Cista Provo,2377,108.10955712,2016,HR_00507
HR_00515,HR,HR03,HR034,00515,Civljane,240,82.91676716,2016,HR_00515
HR_00523,HR,HR03,HR031,00523,Cres,2281,291.31084572,2016,HR_00523
HR_00531,HR,HR03,HR031,00531,Crikvenica,6880,28.50046505,2016,HR_00531
HR_00540,HR,HR04,HR048,00540,Crnac,1467,79.40045033,2016,HR_00540
HR_00558,HR,HR03,HR031,00558,Čabar,414,278.83966491,2016,HR_00558
HR_00566,HR,HR04,HR048,00566,Čačinci,2775,144.8742954,2016,HR_00566
HR_00574,HR,HR04,HR048,00574,Čađavica,1997,91.22735525,2016,HR_00574
HR_00582,HR,HR04,HR049,00582,Čaglin,2691,178.17487207,2016,HR_00582
HR_00604,HR,HR04,HR046,00604,Čakovec,15185,76.96111906,2016,HR_00604
HR_00612,HR,HR03,HR031,00612,Čavle,7215,84.66952078,2016,HR_00612
HR_00639,HR,HR04,HR047,00639,Čazma,8095,239.96886076,2016,HR_00639
HR_00647,HR,HR04,HR04B,00647,Čeminac,2903,61.40415684,2016,HR_00647
HR_00655,HR,HR04,HR04B,00655,Čepin,11571,120.63457722,2016,HR_00655
HR_00663,HR,HR04,HR04B,00663,Darda,6934,94.0826724,2016,HR_00663
HR_00671,HR,HR04,HR047,00671,Daruvar,11612,64.68562343,2016,HR_00671
HR_00680,HR,HR04,HR04A,00680,Davor,3004,42.70831916,2016,HR_00680
HR_00698,HR,HR03,HR031,00698,Delnice,4351,230.87065619,2016,HR_00698
HR_00701,HR,HR04,HR043,00701,Desinić,2915,44.97493715,2016,HR_00701
HR_00710,HR,HR04,HR047,00710,Dežanovac,2671,102.67518775,2016,HR_00710
HR_00728,HR,HR03,HR035,00728,Dicmo,2820,69.06918653,2016,HR_00728
HR_00744,HR,HR03,HR031,00744,Dobrinj,2023,55.07354206,2016,HR_00744
HR_00752,HR,HR04,HR046,00752,Domašinec,2264,35.37186515,2016,HR_00752
HR_00779,HR,HR03,HR035,00779,Brela,1643,26.80344562,2016,HR_00779
HR_00787,HR,HR04,HR046,00787,Donja Dubrava,1932,19.01480413,2016,HR_00787
HR_00795,HR,HR04,HR043,00795,Donja Stubica,2202,43.55147363,2016,HR_00795
HR_00809,HR,HR04,HR044,00809,Donja Voća,2455,35.98492217,2016,HR_00809
HR_00817,HR,HR04,HR04A,00817,Donji Andrijevci,3684,56.97373781,2016,HR_00817
HR_00825,HR,HR04,HR046,00825,Donji Kraljevec,4671,36.29405384,2016,HR_00825
HR_00833,HR,HR04,HR04E,00833,Donji Kukuruzari,1645,113.92142761,2016,HR_00833
HR_00841,HR,HR03,HR032,00841,Donji Lapac,2200,350.78198731,2016,HR_00841
HR_00850,HR,HR04,HR044,00850,Martijanec,3834,49.05522194,2016,HR_00850
HR_00868,HR,HR04,HR04B,00868,Donji Miholjac,6226,134.38476672,2016,HR_00868
HR_00876,HR,HR03,HR035,00876,Muć,3835,222.57427516,2016,HR_00876
HR_00884,HR,HR03,HR035,00884,Proložac,3796,54.71242952,2016,HR_00884
HR_00892,HR,HR04,HR046,00892,Donji Vidovec,1403,13.81131867,2016,HR_00892
