gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
IE_01001,IE,IE05,IE052,01001,Carlow Urban,4076,1.84483559,2017,IE_01001
IE_01002,IE,IE05,IE052,01002,Graigue Urban,1275,0.520745,2017,IE_01002
IE_01003,IE,IE05,IE052,01003,Clonmore,555,28.1170053,2017,IE_01003
IE_01004,IE,IE05,IE052,01004,Hacketstown,1107,22.0676482,2017,IE_01004
IE_01005,IE,IE05,IE052,01005,Haroldstown,276,11.53556811,2017,IE_01005
IE_01006,IE,IE05,IE052,01006,Kineagh,352,18.02426693,2017,IE_01006
IE_01007,IE,IE05,IE052,01007,Rahill,675,16.42503128,2017,IE_01007
IE_01008,IE,IE05,IE052,01008,Rathvilly,856,12.71623164,2017,IE_01008
IE_01009,IE,IE05,IE052,01009,Tiknock,344,10.75398342,2017,IE_01009
IE_01010,IE,IE05,IE052,01010,Williamstown,298,15.53161957,2017,IE_01010
IE_01011,IE,IE05,IE052,01011,Agha,386,12.32346013,2017,IE_01011
IE_01012,IE,IE05,IE052,01012,Ballinacarrig,1020,16.25968478,2017,IE_01012
IE_01013,IE,IE05,IE052,01013,Ballintemple,568,28.335179,2017,IE_01013
IE_01014,IE,IE05,IE052,01014,Ballon,715,9.79060534,2017,IE_01014
IE_01015,IE,IE05,IE052,01015,Ballyellin,437,15.79425652,2017,IE_01015
IE_01016,IE,IE05,IE052,01016,Ballymoon,329,14.08393062,2017,IE_01016
IE_01017,IE,IE05,IE052,01017,Borris,1028,16.04862234,2017,IE_01017
IE_01018,IE,IE05,IE052,01018,Burton Hall,476,6.10719969,2017,IE_01018
IE_01019,IE,IE05,IE052,01019,Carlow Rural,13850,22.10948951,2017,IE_01019
IE_01020,IE,IE05,IE052,01020,Clogrenan,1014,17.78431788,2017,IE_01020
IE_01021,IE,IE05,IE052,01021,Clonegall,977,23.36216397,2017,IE_01021
IE_01022,IE,IE05,IE052,01022,Corries,532,17.63847422,2017,IE_01022
IE_01023,IE,IE05,IE052,01023,Cranemore,1080,36.54760053,2017,IE_01023
IE_01024,IE,IE05,IE052,01024,Fennagh,747,18.9585959,2017,IE_01024
IE_01025,IE,IE05,IE052,01025,Garryhill,600,23.85151786,2017,IE_01025
IE_01026,IE,IE05,IE052,01026,Grangeford,416,14.17350029,2017,IE_01026
