gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SE_0114,SE,SE11,SE110,0114,Upplands Väsby,42661,83.96948149,2016,SE_0114
SE_0115,SE,SE11,SE110,0115,Vallentuna,32380,370.81626013,2016,SE_0115
SE_0117,SE,SE11,SE110,0117,Österåker,42130,318.60541395,2016,SE_0117
SE_0120,SE,SE11,SE110,0120,Värmdö,41107,427.40934579,2016,SE_0120
SE_0123,SE,SE11,SE110,0123,Järfälla,72429,63.38871307,2016,SE_0123
SE_0125,SE,SE11,SE110,0125,Ekerö,26984,385.29319655,2016,SE_0125
SE_0126,SE,SE11,SE110,0126,Huddinge,105311,140.41155874,2016,SE_0126
SE_0127,SE,SE11,SE110,0127,Botkyrka,89425,210.32031223,2016,SE_0127
SE_0128,SE,SE11,SE110,0128,Salem,16426,72.03588206,2016,SE_0128
SE_0136,SE,SE11,SE110,0136,Haninge,83866,449.17218427,2016,SE_0136
SE_0138,SE,SE11,SE110,0138,Tyresö,46177,72.62276261,2016,SE_0138
SE_0139,SE,SE11,SE110,0139,Upplands-Bro,25789,328.03703371,2016,SE_0139
SE_0140,SE,SE11,SE110,0140,Nykvarn,10192,177.4838479,2016,SE_0140
SE_0160,SE,SE11,SE110,0160,Täby,68281,66.68733979,2016,SE_0160
SE_0162,SE,SE11,SE110,0162,Danderyd,32421,26.70320616,2016,SE_0162
SE_0163,SE,SE11,SE110,0163,Sollentuna,70251,57.9470044,2016,SE_0163
SE_0180,SE,SE11,SE110,0180,Stockholm,923516,209.97542229,2016,SE_0180
SE_0181,SE,SE11,SE110,0181,Södertälje,93202,609.47622105,2016,SE_0181
SE_0182,SE,SE11,SE110,0182,Nacka,97986,100.3052918,2016,SE_0182
SE_0183,SE,SE11,SE110,0183,Sundbyberg,46110,7.64294357,2016,SE_0183
SE_0184,SE,SE11,SE110,0184,Solna,76158,20.97233166,2016,SE_0184
SE_0186,SE,SE11,SE110,0186,Lidingö,46302,31.79891317,2016,SE_0186
SE_0187,SE,SE11,SE110,0187,Vaxholm,11380,58.39530328,2016,SE_0187
SE_0188,SE,SE11,SE110,0188,Norrtälje,58669,2093.44835157,2016,SE_0188
SE_0191,SE,SE11,SE110,0191,Sigtuna,44786,350.40436686,2016,SE_0191
SE_0192,SE,SE11,SE110,0192,Nynäshamn,27500,359.7992664,2016,SE_0192
SE_0305,SE,SE12,SE121,0305,Håbo,20279,188.51440897,2016,SE_0305
SE_0319,SE,SE12,SE121,0319,Älvkarleby,9293,231.83244872,2016,SE_0319
SE_0330,SE,SE12,SE121,0330,Knivsta,16869,297.68231718,2016,SE_0330
SE_0331,SE,SE12,SE121,0331,Heby,13594,1231.38455365,2016,SE_0331
SE_0360,SE,SE12,SE121,0360,Tierp,20547,1605.30899156,2016,SE_0360
SE_0380,SE,SE12,SE121,0380,Uppsala,210126,2248.04811365,2016,SE_0380
SE_0381,SE,SE12,SE121,0381,Enköping,41893,1329.47695293,2016,SE_0381
SE_0382,SE,SE12,SE121,0382,Östhammar,21563,1488.49864193,2016,SE_0382
SE_0428,SE,SE12,SE122,0428,Vingåker,8953,443.22564359,2016,SE_0428
SE_0461,SE,SE12,SE122,0461,Gnesta,10649,539.83297592,2016,SE_0461
SE_0480,SE,SE12,SE122,0480,Nyköping,54262,1553.08623162,2016,SE_0480
SE_0481,SE,SE12,SE122,0481,Oxelösund,11701,32.85342393,2016,SE_0481
SE_0482,SE,SE12,SE122,0482,Flen,16440,830.6708698,2016,SE_0482
SE_0483,SE,SE12,SE122,0483,Katrineholm,33462,1196.02031969,2016,SE_0483
SE_0484,SE,SE12,SE122,0484,Eskilstuna,102065,1258.926553,2016,SE_0484
SE_0486,SE,SE12,SE122,0486,Strängnäs,34102,982.37272316,2016,SE_0486
SE_0488,SE,SE12,SE122,0488,Trosa,12078,212.66017166,2016,SE_0488
SE_0509,SE,SE12,SE123,0509,Ödeshög,5236,672.91389209,2016,SE_0509
