gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SK_500011,SK,SK02,SK023,500011,Nitra,77670,100.44211288,2016,SK_500011
SK_500020,SK,SK02,SK023,500020,Alekšince,1678,15.06493455,2016,SK_500020
SK_500046,SK,SK02,SK023,500046,Báb,1085,20.10065078,2016,SK_500046
SK_500062,SK,SK02,SK023,500062,Beladice,1610,22.40642362,2016,SK_500062
SK_500071,SK,SK02,SK023,500071,Branč,2206,13.79615306,2016,SK_500071
SK_500101,SK,SK02,SK023,500101,Čakajovce,1153,5.77233719,2016,SK_500101
SK_500127,SK,SK02,SK023,500127,Čaradice,497,17.83852353,2016,SK_500127
SK_500135,SK,SK02,SK023,500135,Čeľadice,953,10.47660714,2016,SK_500135
SK_500151,SK,SK02,SK023,500151,Čierne Kľačany,1128,10.97352394,2016,SK_500151
SK_500160,SK,SK02,SK023,500160,Čifáre,606,15.33686422,2016,SK_500160
SK_500194,SK,SK02,SK023,500194,Dolné Obdokovce,1171,10.18034475,2016,SK_500194
SK_500232,SK,SK02,SK023,500232,Golianovo,1609,10.69934518,2016,SK_500232
SK_500241,SK,SK02,SK023,500241,Hájske,1309,14.06159246,2016,SK_500241
SK_500267,SK,SK01,SK010,500267,Záhorie (vojenský obvod),153,277.55275938,2016,SK_500267
SK_500283,SK,SK02,SK023,500283,Hostie,1243,28.17309824,2016,SK_500283
SK_500305,SK,SK02,SK023,500305,Hosťovce,763,16.24058956,2016,SK_500305
SK_500313,SK,SK02,SK023,500313,Hruboňovo,510,11.54933479,2016,SK_500313
SK_500321,SK,SK02,SK023,500321,Choča,508,4.39345364,2016,SK_500321
SK_500348,SK,SK02,SK022,500348,Zubák,843,25.6486307,2016,SK_500348
SK_500356,SK,SK02,SK023,500356,Jarok,1978,22.10396192,2016,SK_500356
SK_500364,SK,SK02,SK023,500364,Jedľové Kostoľany,911,27.28835271,2016,SK_500364
SK_500372,SK,SK02,SK023,500372,Jelenec,2100,27.17442869,2016,SK_500372
SK_500381,SK,SK02,SK023,500381,Jelšovce,1009,10.44063671,2016,SK_500381
SK_500399,SK,SK02,SK023,500399,Kapince,177,5.84164564,2016,SK_500399
SK_500402,SK,SK02,SK023,500402,Klasov,1343,12.23183273,2016,SK_500402
SK_500411,SK,SK02,SK023,500411,Kolíňany,1600,12.47884196,2016,SK_500411
SK_500429,SK,SK02,SK023,500429,Kostoľany pod Tribečom,346,22.12058454,2016,SK_500429
SK_500437,SK,SK02,SK023,500437,Ladice,745,11.64060618,2016,SK_500437
SK_500453,SK,SK02,SK023,500453,Lehota,2235,11.00976906,2016,SK_500453
SK_500461,SK,SK02,SK023,500461,Lovce,658,10.185046,2016,SK_500461
SK_500470,SK,SK02,SK023,500470,Lúčnica nad Žitavou,914,12.1043278,2016,SK_500470
SK_500488,SK,SK02,SK023,500488,Lukáčovce,1135,16.83791493,2016,SK_500488
SK_500500,SK,SK02,SK023,500500,Machulince,1111,9.4135796,2016,SK_500500
SK_500518,SK,SK02,SK023,500518,Veľké Chyndice,310,5.04903429,2016,SK_500518
SK_500534,SK,SK02,SK023,500534,Malé Zálužie,275,5.89943033,2016,SK_500534
SK_500542,SK,SK02,SK023,500542,Mankovce,533,4.24062786,2016,SK_500542
SK_500551,SK,SK02,SK023,500551,Martin nad Žitavou,531,4.33862462,2016,SK_500551
SK_500569,SK,SK02,SK023,500569,Melek,452,6.19680656,2016,SK_500569
SK_500577,SK,SK02,SK023,500577,Mojmírovce,2884,19.8560098,2016,SK_500577
SK_500585,SK,SK02,SK023,500585,Nemčiňany,665,15.67712262,2016,SK_500585
SK_500593,SK,SK02,SK023,500593,Neverice,684,5.95482429,2016,SK_500593
SK_500607,SK,SK02,SK023,500607,Nevidzany,306,10.25228198,2016,SK_500607
SK_500631,SK,SK02,SK023,500631,Nová Ves nad Žitavou,1350,10.16476782,2016,SK_500631
SK_500640,SK,SK02,SK023,500640,Nové Sady,1288,17.47105704,2016,SK_500640
SK_500658,SK,SK02,SK023,500658,Obyce,1522,31.27863435,2016,SK_500658
SK_500666,SK,SK02,SK023,500666,Paňa,373,11.2657798,2016,SK_500666
SK_500674,SK,SK02,SK023,500674,Podhorany,1087,17.70016806,2016,SK_500674
SK_500682,SK,SK02,SK023,500682,Pohranice,1075,12.09313333,2016,SK_500682
SK_500691,SK,SK02,SK023,500691,Poľný Kesov,642,10.22996517,2016,SK_500691
SK_500704,SK,SK02,SK023,500704,Rišňovce,2064,18.77762172,2016,SK_500704
SK_500712,SK,SK02,SK023,500712,Rumanová,820,11.65064003,2016,SK_500712
SK_500721,SK,SK02,SK023,500721,Skýcov,981,25.1955733,2016,SK_500721
SK_500739,SK,SK02,SK023,500739,Močenok,4289,46.38439896,2016,SK_500739
SK_500747,SK,SK02,SK023,500747,Sľažany,1702,16.26155319,2016,SK_500747
SK_500755,SK,SK02,SK023,500755,Slepčany,806,9.34777645,2016,SK_500755
SK_500780,SK,SK02,SK023,500780,Šurianky,603,10.39268135,2016,SK_500780
SK_500798,SK,SK02,SK023,500798,Tajná,285,8.48463653,2016,SK_500798
SK_500810,SK,SK02,SK023,500810,Tesárske Mlyňany,1783,18.0092606,2016,SK_500810
SK_500828,SK,SK02,SK023,500828,Topoľčianky,2665,26.30477444,2016,SK_500828
SK_500836,SK,SK02,SK023,500836,Velčice,832,34.70274318,2016,SK_500836
SK_500844,SK,SK02,SK023,500844,Veľká Dolina,664,11.67307413,2016,SK_500844
