gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
CZ_500011,CZ,CZ07,CZ072,500011,Želechovice nad Dřevnicí,1885,16.19828554,2016,CZ_500011
CZ_500020,CZ,CZ07,CZ071,500020,Petrov nad Desnou,1201,12.08997284,2016,CZ_500020
CZ_500046,CZ,CZ08,CZ080,500046,Libhošť,1648,8.18856294,2016,CZ_500046
CZ_500062,CZ,CZ07,CZ072,500062,Krhová,1976,8.08359012,2016,CZ_500062
CZ_500071,CZ,CZ07,CZ072,500071,Poličná,1722,11.07649767,2016,CZ_500071
CZ_500101,CZ,CZ04,CZ041,500101,Bražec,219,12.63557413,2016,CZ_500101
CZ_500127,CZ,CZ04,CZ041,500127,Doupovské Hradiště,151,20.80028955,2016,CZ_500127
CZ_500135,CZ,CZ07,CZ071,500135,Kozlov,273,45.5627775,2016,CZ_500135
CZ_500151,CZ,CZ07,CZ071,500151,Luboměř pod Strážnou,104,9.55713113,2016,CZ_500151
CZ_500160,CZ,CZ07,CZ071,500160,Město Libavá,552,29.35711254,2016,CZ_500160
CZ_500194,CZ,CZ03,CZ031,500194,Polná na Šumavě,183,19.04504989,2016,CZ_500194
CZ_500259,CZ,CZ08,CZ080,500259,Veřovice,1970,16.61749336,2016,CZ_500259
CZ_500291,CZ,CZ08,CZ080,500291,Vřesina,2896,8.65080846,2016,CZ_500291
CZ_500496,CZ,CZ07,CZ071,500496,Olomouc,100154,103.21362049,2016,CZ_500496
CZ_500526,CZ,CZ07,CZ071,500526,Bělkovice-Lašťany,2240,15.23034551,2016,CZ_500526
CZ_500623,CZ,CZ07,CZ071,500623,Bílá Lhota,1130,18.11728068,2016,CZ_500623
CZ_500801,CZ,CZ07,CZ071,500801,Blatec,636,6.61186298,2016,CZ_500801
CZ_500852,CZ,CZ07,CZ071,500852,Bohuňovice,2535,12.51277564,2016,CZ_500852
CZ_500861,CZ,CZ07,CZ071,500861,Bouzov,1538,42.280837,2016,CZ_500861
CZ_500879,CZ,CZ07,CZ071,500879,Bystročice,786,7.96774235,2016,CZ_500879
CZ_501476,CZ,CZ07,CZ071,501476,Dlouhá Loučka,1934,26.65888495,2016,CZ_501476
CZ_501646,CZ,CZ07,CZ071,501646,Dolany,2709,23.80769903,2016,CZ_501646
CZ_501751,CZ,CZ07,CZ071,501751,Drahanovice,1688,13.48114266,2016,CZ_501751
CZ_501794,CZ,CZ07,CZ071,501794,Dub nad Moravou,1588,15.21943338,2016,CZ_501794
CZ_501841,CZ,CZ07,CZ071,501841,Grygov,1487,12.69477995,2016,CZ_501841
CZ_502146,CZ,CZ07,CZ071,502146,Hlubočky,4268,23.85627106,2016,CZ_502146
CZ_502235,CZ,CZ07,CZ071,502235,Hněvotín,1778,11.72043394,2016,CZ_502235
CZ_502405,CZ,CZ07,CZ071,502405,Hnojice,638,9.62830307,2016,CZ_502405
