gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LI_LI00001001,LI,LI00,LI000,LI00001001,Vaduz,5407,16.84885439,2017,LI_LI00001001
LI_LI00001002,LI,LI00,LI000,LI00001002,Triesen,5096,26.12345023,2017,LI_LI00001002
LI_LI00001003,LI,LI00,LI000,LI00001003,Balzers,4622,19.39954641,2017,LI_LI00001003
LI_LI00001004,LI,LI00,LI000,LI00001004,Triesenberg,2624,29.75689333,2017,LI_LI00001004
LI_LI00001005,LI,LI00,LI000,LI00001005,Schaan,5992,27.31219876,2017,LI_LI00001005
LI_LI00001006,LI,LI00,LI000,LI00001006,Planken,450,5.32292474,2017,LI_LI00001006
LI_LI00002001,LI,LI00,LI000,LI00002001,Eschen,4390,10.31569232,2017,LI_LI00002001
LI_LI00002002,LI,LI00,LI000,LI00002002,Mauren,4268,7.55579566,2017,LI_LI00002002
LI_LI00002003,LI,LI00,LI000,LI00002003,Gamprin,1657,6.22374328,2017,LI_LI00002003
LI_LI00002004,LI,LI00,LI000,LI00002004,Ruggell,2224,7.47226016,2017,LI_LI00002004
LI_LI00002005,LI,LI00,LI000,LI00002005,Schellenberg,1080,3.59789427,2017,LI_LI00002005
