gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
HU_01508,HU,HU31,HU313,01508,Ipolyszög,596,6.06885774,2017,HU_01508
HU_01526,HU,HU31,HU313,01526,Somoskőújfalu,2104,10.15519362,2017,HU_01526
HU_02015,HU,HU21,HU211,02015,Ráckeresztúr,3280,35.3158163,2017,HU_02015
HU_02024,HU,HU31,HU311,02024,Martonyi,382,17.55695339,2017,HU_02024
HU_02033,HU,HU23,HU233,02033,Kakasd,1656,20.80007266,2017,HU_02033
HU_02042,HU,HU22,HU222,02042,Narda,459,10.34649657,2017,HU_02042
HU_02051,HU,HU23,HU232,02051,Sávoly,486,26.84527075,2017,HU_02051
HU_02060,HU,HU22,HU221,02060,Gönyű,3038,21.71383712,2017,HU_02060
HU_02079,HU,HU22,HU221,02079,Dunaremete,258,4.36321756,2017,HU_02079
HU_02088,HU,HU32,HU323,02088,Mánd,288,5.17503634,2017,HU_02088
HU_02097,HU,HU22,HU223,02097,Gutorfölde,918,24.8496599,2017,HU_02097
HU_02103,HU,HU22,HU223,02103,Maróc,69,5.16568855,2017,HU_02103
HU_02121,HU,HU33,HU333,02121,Csanádalberti,425,15.30855115,2017,HU_02121
HU_02130,HU,HU22,HU223,02130,Mihályfa,343,12.08238516,2017,HU_02130
HU_02149,HU,HU33,HU331,02149,Foktő,1547,31.45823689,2017,HU_02149
HU_02158,HU,HU31,HU311,02158,Muhi,443,9.62586705,2017,HU_02158
HU_02167,HU,HU32,HU321,02167,Komádi,5228,144.56574257,2017,HU_02167
HU_02185,HU,HU21,HU213,02185,Csopak,1752,24.00386762,2017,HU_02185
HU_02194,HU,HU21,HU213,02194,Nemesvámos,2706,40.77627218,2017,HU_02194
HU_02200,HU,HU21,HU211,02200,Isztimér,973,53.90801617,2017,HU_02200
HU_02219,HU,HU21,HU213,02219,Balatonfűzfő,4262,9.2596198,2017,HU_02219
