gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
IT_001001,IT,ITC1,ITC11,001001,Agliè,2647,13.14729136,2017,IT_001001
IT_001002,IT,ITC1,ITC11,001002,Airasca,3765,15.75195279,2017,IT_001002
IT_001003,IT,ITC1,ITC11,001003,Ala di Stura,465,46.35483471,2017,IT_001003
IT_001004,IT,ITC1,ITC11,001004,Albiano d'Ivrea,1695,11.78782195,2017,IT_001004
IT_001005,IT,ITC1,ITC11,001005,Alice Superiore,712,7.37883897,2017,IT_001005
IT_001006,IT,ITC1,ITC11,001006,Almese,6423,17.88423341,2017,IT_001006
IT_001007,IT,ITC1,ITC11,001007,Alpette,255,5.63188164,2017,IT_001007
IT_001008,IT,ITC1,ITC11,001008,Alpignano,17038,11.92205466,2017,IT_001008
IT_001009,IT,ITC1,ITC11,001009,Andezeno,2006,7.4935089,2017,IT_001009
IT_001010,IT,ITC1,ITC11,001010,Andrate,501,9.31308248,2017,IT_001010
IT_001011,IT,ITC1,ITC11,001011,Angrogna,886,38.8845579,2017,IT_001011
IT_001012,IT,ITC1,ITC11,001012,Arignano,1067,8.17253035,2017,IT_001012
IT_001013,IT,ITC1,ITC11,001013,Avigliana,12480,23.22709954,2017,IT_001013
IT_001014,IT,ITC1,ITC11,001014,Azeglio,1308,9.91330546,2017,IT_001014
IT_001015,IT,ITC1,ITC11,001015,Bairo,800,7.08782936,2017,IT_001015
IT_001016,IT,ITC1,ITC11,001016,Balangero,3177,13.01415101,2017,IT_001016
IT_001017,IT,ITC1,ITC11,001017,Baldissero Canavese,546,4.5116951,2017,IT_001017
IT_001018,IT,ITC1,ITC11,001018,Baldissero Torinese,3760,15.40668414,2017,IT_001018
IT_001019,IT,ITC1,ITC11,001019,Balme,108,62.61268827,2017,IT_001019
IT_001020,IT,ITC1,ITC11,001020,Banchette,3246,2.01888667,2017,IT_001020
IT_001021,IT,ITC1,ITC11,001021,Barbania,1603,12.80930851,2017,IT_001021
IT_001022,IT,ITC1,ITC11,001022,Bardonecchia,3173,132.14840552,2017,IT_001022
IT_001023,IT,ITC1,ITC11,001023,Barone Canavese,581,3.99369287,2017,IT_001023
IT_001024,IT,ITC1,ITC11,001024,Beinasco,18117,6.74293796,2017,IT_001024
IT_001025,IT,ITC1,ITC11,001025,Bibiana,3467,18.59856094,2017,IT_001025
IT_001026,IT,ITC1,ITC11,001026,Bobbio Pellice,568,94.14021797,2017,IT_001026
IT_001027,IT,ITC1,ITC11,001027,Bollengo,2141,14.22693803,2017,IT_001027
IT_001028,IT,ITC1,ITC11,001028,Borgaro Torinese,13538,14.3369936,2017,IT_001028
IT_001029,IT,ITC1,ITC11,001029,Borgiallo,593,6.96124599,2017,IT_001029
IT_001030,IT,ITC1,ITC11,001030,Borgofranco d'Ivrea,3740,13.41879033,2017,IT_001030
IT_001031,IT,ITC1,ITC11,001031,Borgomasino,795,12.38282102,2017,IT_001031
IT_001032,IT,ITC1,ITC11,001032,Borgone Susa,2207,4.96855165,2017,IT_001032
IT_001033,IT,ITC1,ITC11,001033,Bosconero,3156,10.92395077,2017,IT_001033
IT_001034,IT,ITC1,ITC11,001034,Brandizzo,8707,6.29217471,2017,IT_001034
IT_001035,IT,ITC1,ITC11,001035,Bricherasio,4630,22.76298574,2017,IT_001035
IT_001036,IT,ITC1,ITC11,001036,Brosso,409,11.14194958,2017,IT_001036
IT_001037,IT,ITC1,ITC11,001037,Brozolo,463,8.95192973,2017,IT_001037
IT_001038,IT,ITC1,ITC11,001038,Bruino,8635,5.56233859,2017,IT_001038
IT_001039,IT,ITC1,ITC11,001039,Brusasco,1639,14.3763018,2017,IT_001039
IT_001040,IT,ITC1,ITC11,001040,Bruzolo,1525,12.57323321,2017,IT_001040
IT_001041,IT,ITC1,ITC11,001041,Buriasco,1395,14.69196097,2017,IT_001041
IT_001042,IT,ITC1,ITC11,001042,Burolo,1188,5.48014412,2017,IT_001042
IT_001043,IT,ITC1,ITC11,001043,Busano,1658,5.06062332,2017,IT_001043
