gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LV_0010000,LV,LV00,LV006,0010000,Rīga,641423,304.15523171,2017,LV_0010000
LV_0050000,LV,LV00,LV005,0050000,Daugavpils,84592,72.38305634,2017,LV_0050000
LV_0090000,LV,LV00,LV009,0090000,Jelgava,56743,60.55100496,2017,LV_0090000
LV_0110000,LV,LV00,LV009,0110000,Jēkabpils,22412,25.4789761,2017,LV_0110000
LV_0130000,LV,LV00,LV007,0130000,Jūrmala,48606,100.40074938,2017,LV_0130000
LV_0170000,LV,LV00,LV003,0170000,Liepāja,69443,60.99230996,2017,LV_0170000
LV_0210000,LV,LV00,LV005,0210000,Rēzekne,28174,17.48618161,2017,LV_0210000
LV_0250000,LV,LV00,LV008,0250000,Valmiera,22961,19.373717160000002,2017,LV_0250000
LV_0270000,LV,LV00,LV003,0270000,Ventspils,35362,57.97216119,2017,LV_0270000
LV_0320200,LV,LV00,LV009,0320200,Aizkraukles novads,8256,102.24102684,2017,LV_0320200
LV_0321000,LV,LV00,LV009,0321000,Jaunjelgavas novads,5334,684.70711464,2017,LV_0321000
LV_0321400,LV,LV00,LV009,0321400,Pļaviņu novads,5165,375.96773003,2017,LV_0321400
LV_0326100,LV,LV00,LV009,0326100,Kokneses novads,5099,360.78599036,2017,LV_0326100
LV_0327100,LV,LV00,LV009,0327100,Neretas novads,3507,645.03388217,2017,LV_0327100
LV_0328200,LV,LV00,LV009,0328200,Skrīveru novads,3413,105.42405672,2017,LV_0328200
LV_0360200,LV,LV00,LV008,0360200,Alūksnes novads,14896,1698.22390664,2017,LV_0360200
LV_0360800,LV,LV00,LV008,0360800,Apes novads,3415,545.12867269,2017,LV_0360800
LV_0380200,LV,LV00,LV005,0380200,Balvu novads,12342,1044.96870164,2017,LV_0380200
LV_0381600,LV,LV00,LV005,0381600,Viļakas novads,4873,640.54468731,2017,LV_0381600
LV_0384400,LV,LV00,LV005,0384400,Baltinavas novads,1036,186.51887503,2017,LV_0384400
LV_0387500,LV,LV00,LV005,0387500,Rugāju novads,2212,514.88978002,2017,LV_0387500
LV_0400200,LV,LV00,LV009,0400200,Bauskas novads,23387,786.58491286,2017,LV_0400200
LV_0406400,LV,LV00,LV009,0406400,Iecavas novads,8455,312.09312046,2017,LV_0406400
LV_0407700,LV,LV00,LV009,0407700,Rundāles novads,3421,231.42290615,2017,LV_0407700
LV_0409500,LV,LV00,LV009,0409500,Vecumnieku novads,7999,845.04180652,2017,LV_0409500
LV_0420200,LV,LV00,LV008,0420200,Cēsu novads,16628,172.9346285,2017,LV_0420200
LV_0421200,LV,LV00,LV008,0421200,Līgatnes novads,3314,167.62625827,2017,LV_0421200
LV_0424701,LV,LV00,LV008,0424701,Amatas novads,5163,745.87919355,2017,LV_0424701
LV_0425700,LV,LV00,LV008,0425700,Jaunpiebalgas novads,2139,251.28765907,2017,LV_0425700
LV_0427300,LV,LV00,LV008,0427300,Priekuļu novads,7870,301.67354827,2017,LV_0427300
LV_0427500,LV,LV00,LV008,0427500,Pārgaujas novads,3728,486.55298893,2017,LV_0427500
LV_0427700,LV,LV00,LV008,0427700,Raunas novads,3125,308.99669714,2017,LV_0427700
LV_0429300,LV,LV00,LV008,0429300,Vecpiebalgas novads,3696,542.19494501,2017,LV_0429300
LV_0440200,LV,LV00,LV005,0440200,Daugavpils novads,21301,1876.16466448,2017,LV_0440200
LV_0440801,LV,LV00,LV005,0440801,Ilūkstes novads,7022,647.40527451,2017,LV_0440801
LV_0460200,LV,LV00,LV009,0460200,Dobeles novads,20080,888.56094255,2017,LV_0460200
