gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SI_001,SI,SI04,SI043,001,Ajdovščina,19130,245.22481222,2017,SI_001
SI_002,SI,SI03,SI031,002,Beltinci,8183,62.2297581,2017,SI_002
SI_003,SI,SI04,SI042,003,Bled,7873,72.2972893,2017,SI_003
SI_004,SI,SI04,SI042,004,Bohinj,5125,333.76712746,2017,SI_004
SI_005,SI,SI04,SI041,005,Borovnica,4412,42.32903883,2017,SI_005
SI_006,SI,SI04,SI043,006,Bovec,3049,367.28340304,2017,SI_006
SI_007,SI,SI04,SI043,007,Brda,5623,71.96947773,2017,SI_007
SI_008,SI,SI04,SI041,008,Brezovica,12186,91.1813544,2017,SI_008
SI_009,SI,SI03,SI036,009,Brežice,24086,267.9192996,2017,SI_009
SI_010,SI,SI03,SI031,010,Tišina,3976,38.81076841,2017,SI_010
SI_011,SI,SI03,SI034,011,Celje,49377,94.93270915,2017,SI_011
SI_012,SI,SI04,SI042,012,Cerklje na Gorenjskem,7619,78.05325204,2017,SI_012
SI_013,SI,SI03,SI038,013,Cerknica,11491,241.01221373,2017,SI_013
SI_014,SI,SI04,SI043,014,Cerkno,4588,131.61291202,2017,SI_014
SI_015,SI,SI03,SI031,015,Črenšovci,3926,33.69406968,2017,SI_015
SI_016,SI,SI03,SI033,016,Črna na Koroškem,3314,155.95809752,2017,SI_016
SI_017,SI,SI03,SI037,017,Črnomelj,14313,339.15346544,2017,SI_017
SI_018,SI,SI03,SI032,018,Destrnik,2554,34.36104163,2017,SI_018
SI_019,SI,SI04,SI044,019,Divača,4085,145.05529295,2017,SI_019
SI_020,SI,SI04,SI041,020,Dobrepolje,3881,103.17690639,2017,SI_020
SI_021,SI,SI04,SI041,021,Dobrova - Polhov Gradec,7661,117.48460332,2017,SI_021
SI_022,SI,SI04,SI041,022,Dol pri Ljubljani,6008,33.2942927,2017,SI_022
SI_023,SI,SI04,SI041,023,Domžale,35675,72.30082215,2017,SI_023
SI_024,SI,SI03,SI032,024,Dornava,2885,28.40619796,2017,SI_024
SI_025,SI,SI03,SI033,025,Dravograd,8799,105.05038801,2017,SI_025
SI_026,SI,SI03,SI032,026,Duplek,6890,39.98731142,2017,SI_026
SI_027,SI,SI04,SI042,027,Gorenja vas - Poljane,7541,153.2554597,2017,SI_027
SI_028,SI,SI03,SI032,028,Gorišnica,4025,29.09858369,2017,SI_028
SI_029,SI,SI03,SI031,029,Gornja Radgona,8403,74.60489901,2017,SI_029
SI_030,SI,SI03,SI034,030,Gornji Grad,2543,90.11971365,2017,SI_030
SI_031,SI,SI03,SI031,031,Gornji Petrovci,2013,66.86531207,2017,SI_031
SI_032,SI,SI04,SI041,032,Grosuplje,20672,133.82727482,2017,SI_032
SI_033,SI,SI03,SI031,033,Šalovci,1411,58.17312558,2017,SI_033
SI_034,SI,SI03,SI035,034,Hrastnik,9188,58.58507831,2017,SI_034
SI_035,SI,SI04,SI044,035,Hrpelje - Kozina,4402,194.88299926,2017,SI_035
SI_036,SI,SI04,SI043,036,Idrija,11757,293.70360803,2017,SI_036
SI_037,SI,SI04,SI041,037,Ig,7366,98.78020665,2017,SI_037
SI_038,SI,SI03,SI038,038,Ilirska Bistrica,13329,479.90209922,2017,SI_038
SI_039,SI,SI04,SI041,039,Ivančna Gorica,16544,227.06097597,2017,SI_039
SI_040,SI,SI04,SI044,040,Izola/Isola,16015,28.58846555,2017,SI_040
SI_041,SI,SI04,SI042,041,Jesenice,20759,75.8583653,2017,SI_041
