gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
AT_10101,AT,AT11,AT112,10101,Eisenstadt,14339,42.46519302,2017,AT_10101
AT_10201,AT,AT11,AT112,10201,Rust,1900,20.12168637,2017,AT_10201
AT_10301,AT,AT11,AT112,10301,Breitenbrunn am Neusiedler See,1938,25.61635912,2017,AT_10301
AT_10302,AT,AT11,AT112,10302,Donnerskirchen,1800,34.20501912,2017,AT_10302
AT_10303,AT,AT11,AT112,10303,Großhöflein,2082,14.30640624,2017,AT_10303
AT_10304,AT,AT11,AT112,10304,Hornstein,2964,37.00828323,2017,AT_10304
AT_10305,AT,AT11,AT112,10305,Klingenbach,1223,4.80632447,2017,AT_10305
AT_10306,AT,AT11,AT112,10306,Leithaprodersdorf,1174,18.89509963,2017,AT_10306
AT_10307,AT,AT11,AT112,10307,Mörbisch am See,2251,28.10744059,2017,AT_10307
AT_10308,AT,AT11,AT112,10308,Müllendorf,1404,12.74639927,2017,AT_10308
AT_10309,AT,AT11,AT112,10309,Neufeld an der Leitha,3339,4.23712259,2017,AT_10309
AT_10310,AT,AT11,AT112,10310,Oggau am Neusiedler See,1779,51.462982,2017,AT_10310
AT_10311,AT,AT11,AT112,10311,Oslip,1252,18.10140064,2017,AT_10311
AT_10312,AT,AT11,AT112,10312,Purbach am Neusiedler See,2877,45.97247973,2017,AT_10312
AT_10313,AT,AT11,AT112,10313,Sankt Margarethen im Burgenland,2661,26.48055582,2017,AT_10313
AT_10314,AT,AT11,AT112,10314,Schützen am Gebirge,1375,21.30772672,2017,AT_10314
AT_10315,AT,AT11,AT112,10315,Siegendorf,2919,23.17054872,2017,AT_10315
AT_10316,AT,AT11,AT112,10316,Steinbrunn,2578,15.36079324,2017,AT_10316
AT_10317,AT,AT11,AT112,10317,Trausdorf an der Wulka,2036,15.47464171,2017,AT_10317
AT_10318,AT,AT11,AT112,10318,Wimpassing an der Leitha,1488,7.85928238,2017,AT_10318
AT_10319,AT,AT11,AT112,10319,Wulkaprodersdorf,1944,12.04131789,2017,AT_10319
AT_10320,AT,AT11,AT112,10320,Loretto,457,2.40047386,2017,AT_10320
AT_10321,AT,AT11,AT112,10321,Stotzing,833,12.95458952,2017,AT_10321
AT_10322,AT,AT11,AT112,10322,Zillingtal,918,13.16819305,2017,AT_10322
AT_10323,AT,AT11,AT112,10323,Zagersdorf,1017,7.40428661,2017,AT_10323
AT_10401,AT,AT11,AT113,10401,Bocksdorf,804,9.95186188,2017,AT_10401
AT_10402,AT,AT11,AT113,10402,Burgauberg-Neudauberg,1362,10.96109378,2017,AT_10402
AT_10403,AT,AT11,AT113,10403,Eberau,927,30.61809475,2017,AT_10403
AT_10404,AT,AT11,AT113,10404,Gerersdorf-Sulz,1006,21.72137766,2017,AT_10404
AT_10405,AT,AT11,AT113,10405,Güssing,3662,49.26607692,2017,AT_10405
AT_10406,AT,AT11,AT113,10406,Güttenbach,878,15.73224081,2017,AT_10406
AT_10407,AT,AT11,AT113,10407,Heiligenbrunn,769,33.5099041,2017,AT_10407
AT_10408,AT,AT11,AT113,10408,Kukmirn,2025,40.86769062,2017,AT_10408
