gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
MK_MK00101,MK,MK00,MK001,MK00101,Veles,54384,427.1601423,2017,MK_MK00101
MK_MK00102,MK,MK00,MK001,MK00102,Gradsko,3552,235.89401885,2017,MK_MK00102
MK_MK00103,MK,MK00,MK001,MK00103,Demir Kapija,4039,310.75239994,2017,MK_MK00103
MK_MK00104,MK,MK00,MK001,MK00104,Kavadarci,38875,1004.26019259,2017,MK_MK00104
MK_MK00105,MK,MK00,MK001,MK00105,Lozovo,2572,166.13640625,2017,MK_MK00105
MK_MK00106,MK,MK00,MK001,MK00106,Negotino,19327,480.27580497,2017,MK_MK00106
MK_MK00107,MK,MK00,MK001,MK00107,Rosoman,4064,132.79784746,2017,MK_MK00107
MK_MK00108,MK,MK00,MK001,MK00108,Sveti Nikole,17683,482.77412628,2017,MK_MK00108
MK_MK00109,MK,MK00,MK001,MK00109,Čaška,8075,819.56635237,2017,MK_MK00109
MK_MK00201,MK,MK00,MK002,MK00201,Berovo,12813,597.78854873,2017,MK_MK00201
MK_MK00202,MK,MK00,MK002,MK00202,Vinica,19391,432.53477433,2017,MK_MK00202
MK_MK00203,MK,MK00,MK002,MK00203,Delčevo,16170,422.25893678,2017,MK_MK00203
MK_MK00204,MK,MK00,MK002,MK00204,Zrnovci,3041,55.81104175,2017,MK_MK00204
MK_MK00205,MK,MK00,MK002,MK00205,Karbinci,3958,229.66114557,2017,MK_MK00205
MK_MK00206,MK,MK00,MK002,MK00206,Kočani,37758,360.33028159,2017,MK_MK00206
MK_MK00207,MK,MK00,MK002,MK00207,Makedonska Kamenica,7524,190.32147565,2017,MK_MK00207
MK_MK00208,MK,MK00,MK002,MK00208,Pehčevo,4881,208.06148542,2017,MK_MK00208
MK_MK00209,MK,MK00,MK002,MK00209,Probištip,15085,325.41077281,2017,MK_MK00209
MK_MK00210,MK,MK00,MK002,MK00210,Češinovo - Obleševo,6906,131.9417438,2017,MK_MK00210
MK_MK00211,MK,MK00,MK002,MK00211,Štip,48735,582.872033,2017,MK_MK00211
MK_MK00301,MK,MK00,MK003,MK00301,Vevčani,2437,22.79121832,2017,MK_MK00301
MK_MK00303,MK,MK00,MK003,MK00303,Debar,20863,150.18064087,2017,MK_MK00303
MK_MK00304,MK,MK00,MK003,MK00304,Debarca,3880,422.02684671,2017,MK_MK00304
MK_MK00307,MK,MK00,MK003,MK00307,Kičevo,56937,823.85827054,2017,MK_MK00307
MK_MK00308,MK,MK00,MK003,MK00308,Makedonski Brod,6166,889.11540903,2017,MK_MK00308
MK_MK00310,MK,MK00,MK003,MK00310,Ohrid,51591,393.44970567,2017,MK_MK00310
MK_MK00311,MK,MK00,MK003,MK00311,Plasnica,4960,54.45630779,2017,MK_MK00311
MK_MK00312,MK,MK00,MK003,MK00312,Struga,65801,485.73091705,2017,MK_MK00312
MK_MK00313,MK,MK00,MK003,MK00313,Centar Župa,7105,103.1694894,2017,MK_MK00313
