gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
MT_MT01101,MT,MT00,MT001,MT01101,Valletta,5656,0.83947772,2017,MT_MT01101
MT_MT01103,MT,MT00,MT001,MT01103,Birgu,2451,0.51242858,2017,MT_MT01103
MT_MT01104,MT,MT00,MT001,MT01104,L-Isla,2691,0.15776553,2017,MT_MT01104
MT_MT01105,MT,MT00,MT001,MT01105,Bormla,5147,0.93722224,2017,MT_MT01105
MT_MT01108,MT,MT00,MT001,MT01108,Ħaż-Żabbar,14901,5.3400006,2017,MT_MT01108
MT_MT01117,MT,MT00,MT001,MT01117,Fgura,11714,1.10859684,2017,MT_MT01117
MT_MT01118,MT,MT00,MT001,MT01118,Floriana,1966,0.95941364,2017,MT_MT01118
MT_MT01129,MT,MT00,MT001,MT01129,Kalkara,3006,1.75101359,2017,MT_MT01129
MT_MT01133,MT,MT00,MT001,MT01133,Luqa,5793,6.77874241,2017,MT_MT01133
MT_MT01134,MT,MT00,MT001,MT01134,Marsa,5328,2.736221,2017,MT_MT01134
MT_MT01145,MT,MT00,MT001,MT01145,Paola,8241,2.49432832,2017,MT_MT01145
MT_MT01157,MT,MT00,MT001,MT01157,Santa Luċija,2929,0.72557478,2017,MT_MT01157
MT_MT01162,MT,MT00,MT001,MT01162,Tarxien,8674,0.86903528,2017,MT_MT01162
MT_MT01165,MT,MT00,MT001,MT01165,Xgħajra,1673,0.97317151,2017,MT_MT01165
MT_MT01206,MT,MT00,MT001,MT01206,Ħal Qormi,16268,5.04487305,2017,MT_MT01206
MT_MT01214,MT,MT00,MT001,MT01214,Birkirkara,22314,2.7450885,2017,MT_MT01214
MT_MT01221,MT,MT00,MT001,MT01221,Gżira,8048,0.98159867,2017,MT_MT01221
MT_MT01227,MT,MT00,MT001,MT01227,Ħamrun,9044,1.04565395,2017,MT_MT01227
MT_MT01241,MT,MT00,MT001,MT01241,Msida,9027,1.68779014,2017,MT_MT01241
MT_MT01246,MT,MT00,MT001,MT01246,Pembroke,3686,2.29223197,2017,MT_MT01246
MT_MT01247,MT,MT00,MT001,MT01247,Pieta',4157,0.46311719,2017,MT_MT01247
MT_MT01252,MT,MT00,MT001,MT01252,San Ġiljan,9669,1.58856096,2017,MT_MT01252
MT_MT01253,MT,MT00,MT001,MT01253,San Ġwann,12734,2.63103114,2017,MT_MT01253
MT_MT01258,MT,MT00,MT001,MT01258,Santa Venera,7102,0.91363807,2017,MT_MT01258
MT_MT01259,MT,MT00,MT001,MT01259,Sliema,16140,1.30295286,2017,MT_MT01259
MT_MT01260,MT,MT00,MT001,MT01260,Swieqi,11210,3.06614211,2017,MT_MT01260
MT_MT01261,MT,MT00,MT001,MT01261,Ta' Xbiex,1657,0.28076832,2017,MT_MT01261
MT_MT01310,MT,MT00,MT001,MT01310,Iż-Żejtun,11166,5.37163562,2017,MT_MT01310
MT_MT01315,MT,MT00,MT001,MT01315,Birżebbuġa,12174,9.2990515,2017,MT_MT01315
MT_MT01320,MT,MT00,MT001,MT01320,Gudja,3103,2.25225106,2017,MT_MT01320
MT_MT01326,MT,MT00,MT001,MT01326,Għaxaq,4720,3.83697924,2017,MT_MT01326
MT_MT01331,MT,MT00,MT001,MT01331,Kirkop,2352,1.12522561,2017,MT_MT01331
MT_MT01335,MT,MT00,MT001,MT01335,Marsaskala,12281,5.40721607,2017,MT_MT01335
MT_MT01336,MT,MT00,MT001,MT01336,Marsaxlokk,3471,4.7287322,2017,MT_MT01336
MT_MT01340,MT,MT00,MT001,MT01340,Mqabba,3302,2.60521456,2017,MT_MT01340
MT_MT01349,MT,MT00,MT001,MT01349,Qrendi,2735,4.92468289,2017,MT_MT01349
MT_MT01351,MT,MT00,MT001,MT01351,Safi,2168,2.30970316,2017,MT_MT01351
MT_MT01367,MT,MT00,MT001,MT01367,Żurrieq,10572,8.40643024,2017,MT_MT01367
MT_MT01402,MT,MT00,MT001,MT01402,L-Imdina,229,0.85489543,2017,MT_MT01402
MT_MT01407,MT,MT00,MT001,MT01407,Ħaż-Żebbuġ,11759,8.6643927,2017,MT_MT01407
MT_MT01409,MT,MT00,MT001,MT01409,Is-Siġġiewi,8459,19.93342414,2017,MT_MT01409
MT_MT01412,MT,MT00,MT001,MT01412,Attard,10930,6.61520908,2017,MT_MT01412
MT_MT01413,MT,MT00,MT001,MT01413,Balzan,4626,0.59891601,2017,MT_MT01413
MT_MT01416,MT,MT00,MT001,MT01416,Dingli,3655,5.71080504,2017,MT_MT01416
MT_MT01428,MT,MT00,MT001,MT01428,Iklin,3247,1.69334609,2017,MT_MT01428
MT_MT01432,MT,MT00,MT001,MT01432,Lija,3091,1.10706279,2017,MT_MT01432
MT_MT01450,MT,MT00,MT001,MT01450,Rabat (Malta),11240,26.59151234,2017,MT_MT01450
MT_MT01468,MT,MT00,MT001,MT01468,Mtarfa,2581,0.72889022,2017,MT_MT01468
MT_MT01524,MT,MT00,MT001,MT01524,Għargħur,2743,2.02298909,2017,MT_MT01524
MT_MT01537,MT,MT00,MT001,MT01537,Mellieħa,9381,22.60657338,2017,MT_MT01537
MT_MT01538,MT,MT00,MT001,MT01538,Mġarr,3612,16.17438531,2017,MT_MT01538
MT_MT01539,MT,MT00,MT001,MT01539,Mosta,20009,6.80794305,2017,MT_MT01539
