gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
PL_1001121200101,PL,PL21,PL214,1001121200101,Bochnia,29992,29.88896219,2017,PL_1001121200101
PL_1001121200102,PL,PL21,PL214,1001121200102,Bochnia,19744,130.8292349,2017,PL_1001121200102
PL_1001121200103,PL,PL21,PL214,1001121200103,Drwinia,6505,108.53563235,2017,PL_1001121200103
PL_1001121200104,PL,PL21,PL214,1001121200104,Lipnica Murowana,5648,60.32733711,2017,PL_1001121200104
PL_1001121200105,PL,PL21,PL214,1001121200105,Łapanów,8049,71.70620991,2017,PL_1001121200105
PL_1001121200106,PL,PL21,PL214,1001121200106,Nowy Wiśnicz,13880,82.16196436,2017,PL_1001121200106
PL_1001121200107,PL,PL21,PL214,1001121200107,Rzezawa,11239,86.36414208,2017,PL_1001121200107
PL_1001121200108,PL,PL21,PL214,1001121200108,Trzciana,5529,44.09496971,2017,PL_1001121200108
PL_1001121200109,PL,PL21,PL214,1001121200109,Żegocina,5510,34.881868,2017,PL_1001121200109
PL_1001121200601,PL,PL21,PL214,1001121200601,Czernichów,14535,84.2158212,2017,PL_1001121200601
PL_1001121200602,PL,PL21,PL214,1001121200602,Igołomia-Wawrzeńczyce,7702,62.78851837,2017,PL_1001121200602
PL_1001121200603,PL,PL21,PL214,1001121200603,Iwanowice,9098,71.09474396,2017,PL_1001121200603
PL_1001121200604,PL,PL21,PL214,1001121200604,Jerzmanowice-Przeginia,10917,68.14572232,2017,PL_1001121200604
PL_1001121200605,PL,PL21,PL214,1001121200605,Kocmyrzów-Luborzyca,15260,82.92742921,2017,PL_1001121200605
PL_1001121200606,PL,PL21,PL214,1001121200606,Krzeszowice,32296,139.02488093,2017,PL_1001121200606
PL_1001121200607,PL,PL21,PL214,1001121200607,Liszki,17110,72.05835762,2017,PL_1001121200607
PL_1001121200608,PL,PL21,PL214,1001121200608,Michałowice,10380,51.11903517,2017,PL_1001121200608
PL_1001121200609,PL,PL21,PL214,1001121200609,Mogilany,13819,43.71397118,2017,PL_1001121200609
PL_1001121200610,PL,PL21,PL214,1001121200610,Skała,10520,74.82748154,2017,PL_1001121200610
PL_1001121200611,PL,PL21,PL214,1001121200611,Skawina,43369,99.8114348,2017,PL_1001121200611
PL_1001121200612,PL,PL21,PL214,1001121200612,Słomniki,13677,110.82279452,2017,PL_1001121200612
PL_1001121200613,PL,PL21,PL214,1001121200613,Sułoszowa,5819,53.37317533,2017,PL_1001121200613
PL_1001121200614,PL,PL21,PL214,1001121200614,Świątniki Górne,9957,20.34732309,2017,PL_1001121200614
PL_1001121200615,PL,PL21,PL214,1001121200615,Wielka Wieś,11956,48.26949125,2017,PL_1001121200615
PL_1001121200616,PL,PL21,PL214,1001121200616,Zabierzów,26206,99.42172274,2017,PL_1001121200616
PL_1001121200617,PL,PL21,PL214,1001121200617,Zielonki,22222,48.58451539,2017,PL_1001121200617
PL_1001121200801,PL,PL21,PL214,1001121200801,Charsznica,7479,78.47232896,2017,PL_1001121200801
PL_1001121200802,PL,PL21,PL214,1001121200802,Gołcza,6122,90.01919037,2017,PL_1001121200802
PL_1001121200803,PL,PL21,PL214,1001121200803,Kozłów,4671,85.76094632,2017,PL_1001121200803
PL_1001121200804,PL,PL21,PL214,1001121200804,Książ Wielki,5152,137.83341686,2017,PL_1001121200804
PL_1001121200805,PL,PL21,PL214,1001121200805,Miechów,19780,148.34462376,2017,PL_1001121200805
PL_1001121200806,PL,PL21,PL214,1001121200806,Racławice,2496,59.09963018,2017,PL_1001121200806
PL_1001121200807,PL,PL21,PL214,1001121200807,Słaboszów,3615,76.78229561,2017,PL_1001121200807
PL_1001121200901,PL,PL21,PL214,1001121200901,Dobczyce,15227,66.38820024,2017,PL_1001121200901
PL_1001121200902,PL,PL21,PL214,1001121200902,Lubień,10027,75.09009069,2017,PL_1001121200902
PL_1001121200903,PL,PL21,PL214,1001121200903,Myślenice,44021,153.42230609,2017,PL_1001121200903
PL_1001121200904,PL,PL21,PL214,1001121200904,Pcim,10999,88.96403929,2017,PL_1001121200904
PL_1001121200905,PL,PL21,PL214,1001121200905,Raciechowice,6321,61.14877665,2017,PL_1001121200905
PL_1001121200906,PL,PL21,PL214,1001121200906,Siepraw,8852,31.84257192,2017,PL_1001121200906
PL_1001121200907,PL,PL21,PL214,1001121200907,Sułkowice,14826,60.37725829,2017,PL_1001121200907
PL_1001121200908,PL,PL21,PL214,1001121200908,Tokarnia,8730,68.6200218,2017,PL_1001121200908
PL_1001121200909,PL,PL21,PL214,1001121200909,Wiśniowa,7336,67.09518745,2017,PL_1001121200909
PL_1001121201401,PL,PL21,PL214,1001121201401,Koniusza,9006,88.51505879,2017,PL_1001121201401
PL_1001121201402,PL,PL21,PL214,1001121201402,Koszyce,5531,66.05532659,2017,PL_1001121201402
PL_1001121201403,PL,PL21,PL214,1001121201403,Nowe Brzesko,5750,54.41208067,2017,PL_1001121201403
PL_1001121201404,PL,PL21,PL214,1001121201404,Pałecznica,3602,47.86568907,2017,PL_1001121201404
PL_1001121201405,PL,PL21,PL214,1001121201405,Proszowice,16324,100.03494654000001,2017,PL_1001121201405
PL_1001121201406,PL,PL21,PL214,1001121201406,Radziemice,3445,57.98466653,2017,PL_1001121201406
PL_1001121201901,PL,PL21,PL214,1001121201901,Biskupice,10185,41.13340228,2017,PL_1001121201901
PL_1001121201902,PL,PL21,PL214,1001121201902,Gdów,18024,108.71809134,2017,PL_1001121201902
PL_1001121201903,PL,PL21,PL214,1001121201903,Kłaj,10674,64.78284524,2017,PL_1001121201903
PL_1001121201904,PL,PL21,PL214,1001121201904,Niepołomice,27914,96.29326737,2017,PL_1001121201904
PL_1001121201905,PL,PL21,PL214,1001121201905,Wieliczka,58400,99.67405577,2017,PL_1001121201905
PL_1001121216101,PL,PL21,PL213,1001121216101,Kraków,767348,326.84517241,2017,PL_1001121216101
PL_1001121220501,PL,PL21,PL218,1001121220501,Gorlice,27781,23.53815868,2017,PL_1001121220501
PL_1001121220502,PL,PL21,PL218,1001121220502,Biecz,16916,98.22937313,2017,PL_1001121220502
PL_1001121220503,PL,PL21,PL218,1001121220503,Bobowa,9744,49.79849865,2017,PL_1001121220503
PL_1001121220504,PL,PL21,PL218,1001121220504,Gorlice,17183,102.86706015,2017,PL_1001121220504
PL_1001121220505,PL,PL21,PL218,1001121220505,Lipinki,6802,66.46552599,2017,PL_1001121220505
PL_1001121220506,PL,PL21,PL218,1001121220506,Łużna,8465,56.29856327,2017,PL_1001121220506
PL_1001121220507,PL,PL21,PL218,1001121220507,Moszczenica,4921,37.61700637,2017,PL_1001121220507
PL_1001121220508,PL,PL21,PL218,1001121220508,Ropa,5440,49.09860982,2017,PL_1001121220508
PL_1001121220509,PL,PL21,PL218,1001121220509,Sękowa,4981,194.8294558,2017,PL_1001121220509
PL_1001121220510,PL,PL21,PL218,1001121220510,Uście Gorlickie,6843,287.58406305,2017,PL_1001121220510
PL_1001121220701,PL,PL21,PL218,1001121220701,Limanowa,15103,18.69967823,2017,PL_1001121220701
PL_1001121220702,PL,PL21,PL218,1001121220702,Mszana Dolna,7982,27.09923382,2017,PL_1001121220702
PL_1001121220703,PL,PL21,PL218,1001121220703,Dobra,9967,109.79913781,2017,PL_1001121220703
PL_1001121220704,PL,PL21,PL218,1001121220704,Jodłownik,8614,72.19300799,2017,PL_1001121220704
PL_1001121220705,PL,PL21,PL218,1001121220705,Kamienica,7820,95.2414049,2017,PL_1001121220705
PL_1001121220706,PL,PL21,PL218,1001121220706,Laskowa,8100,72.48691979,2017,PL_1001121220706
PL_1001121220707,PL,PL21,PL218,1001121220707,Limanowa,25215,152.23894798,2017,PL_1001121220707
PL_1001121220708,PL,PL21,PL218,1001121220708,Łukowica,9995,69.63590288,2017,PL_1001121220708
