gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
UK_E06000001,UK,UKC1,UKC11,E06000001,Hartlepool,92028,94.42691869,2017,UK_E06000001
UK_E06000002,UK,UKC1,UKC12,E06000002,Middlesbrough,138412,54.08858873,2017,UK_E06000002
UK_E06000003,UK,UKC1,UKC12,E06000003,Redcar and Cleveland,135177,245.16973332,2017,UK_E06000003
UK_E06000004,UK,UKC1,UKC11,E06000004,Stockton-on-Tees,191610,205.40682841,2017,UK_E06000004
UK_E06000005,UK,UKC1,UKC13,E06000005,Darlington,105564,197.66420546,2017,UK_E06000005
UK_E06000006,UK,UKD7,UKD71,E06000006,Halton,125746,79.18242726,2017,UK_E06000006
UK_E06000007,UK,UKD6,UKD61,E06000007,Warrington,202228,181.21051524,2017,UK_E06000007
UK_E06000008,UK,UKD4,UKD41,E06000008,Blackburn with Darwen,147489,137.16666136,2017,UK_E06000008
UK_E06000009,UK,UKD4,UKD42,E06000009,Blackpool,142065,34.95837545,2017,UK_E06000009
UK_E06000010,UK,UKE1,UKE11,E06000010,"Kingston upon Hull, City of",256406,71.76164874,2017,UK_E06000010
UK_E06000011,UK,UKE1,UKE12,E06000011,East Riding of Yorkshire,334179,2412.4572768,2017,UK_E06000011
UK_E06000012,UK,UKE1,UKE13,E06000012,North East Lincolnshire,159616,192.03269078,2017,UK_E06000012
UK_E06000013,UK,UKE1,UKE13,E06000013,North Lincolnshire,167446,847.15392702,2017,UK_E06000013
UK_E06000014,UK,UKE2,UKE21,E06000014,York,198051,272.22835509,2017,UK_E06000014
UK_E06000015,UK,UKF1,UKF11,E06000015,Derby,248752,78.06685955,2017,UK_E06000015
UK_E06000016,UK,UKF2,UKF21,E06000016,Leicester,329839,73.41343747,2017,UK_E06000016
UK_E06000017,UK,UKF2,UKF22,E06000017,Rutland,37369,393.99765191,2017,UK_E06000017
UK_E06000018,UK,UKF1,UKF14,E06000018,Nottingham,305680,74.68700902,2017,UK_E06000018
UK_E06000019,UK,UKG1,UKG11,E06000019,"Herefordshire, County of",183477,2181.25469078,2017,UK_E06000019
UK_E06000020,UK,UKG2,UKG21,E06000020,Telford and Wrekin,166641,290.45696393,2017,UK_E06000020
UK_E06000021,UK,UKG2,UKG23,E06000021,Stoke-on-Trent,249008,93.45490418,2017,UK_E06000021
UK_E06000022,UK,UKK1,UKK12,E06000022,Bath and North East Somerset,176016,351.3371696,2017,UK_E06000022
UK_E06000023,UK,UKK1,UKK11,E06000023,"Bristol, City of",428234,110.73522767,2017,UK_E06000023
UK_E06000024,UK,UKK1,UKK12,E06000024,North Somerset,202566,375.43800511,2017,UK_E06000024
UK_E06000025,UK,UKK1,UKK12,E06000025,South Gloucestershire,262767,497.41627908,2017,UK_E06000025
UK_E06000026,UK,UKK4,UKK41,E06000026,Plymouth,256384,80.74755768,2017,UK_E06000026
UK_E06000027,UK,UKK4,UKK42,E06000027,Torbay,130959,63.20541757,2017,UK_E06000027
UK_E06000028,UK,UKK2,UKK24,E06000028,Bournemouth,183491,47.27518178,2017,UK_E06000028
UK_E06000029,UK,UKK2,UKK24,E06000029,Poole,147645,67.75761725,2017,UK_E06000029
UK_E06000030,UK,UKK1,UKK14,E06000030,Swindon,209156,230.20270556,2017,UK_E06000030
UK_E06000031,UK,UKH1,UKH11,E06000031,Peterborough,183631,343.57731134,2017,UK_E06000031
UK_E06000032,UK,UKH2,UKH21,E06000032,Luton,203201,43.40299156,2017,UK_E06000032
UK_E06000033,UK,UKH3,UKH31,E06000033,Southend-on-Sea,173658,41.81921422,2017,UK_E06000033
UK_E06000034,UK,UKH3,UKH32,E06000034,Thurrock,157705,163.65065768,2017,UK_E06000034
UK_E06000035,UK,UKJ4,UKJ41,E06000035,Medway,263925,192.60888701,2017,UK_E06000035
UK_E06000036,UK,UKJ1,UKJ11,E06000036,Bracknell Forest,113205,109.38746502,2017,UK_E06000036
UK_E06000037,UK,UKJ1,UKJ11,E06000037,West Berkshire,153822,704.7287372,2017,UK_E06000037
UK_E06000038,UK,UKJ1,UKJ11,E06000038,Reading,155698,40.43012803,2017,UK_E06000038
UK_E06000039,UK,UKJ1,UKJ11,E06000039,Slough,140205,32.60089023,2017,UK_E06000039
UK_E06000040,UK,UKJ1,UKJ11,E06000040,Windsor and Maidenhead,144560,198.50910626,2017,UK_E06000040
UK_E06000041,UK,UKJ1,UKJ11,E06000041,Wokingham,154380,179.12358077,2017,UK_E06000041
UK_E06000042,UK,UKJ1,UKJ12,E06000042,Milton Keynes,248821,308.85033399,2017,UK_E06000042
UK_E06000043,UK,UKJ2,UKJ21,E06000043,Brighton and Hove,273369,82.96346128,2017,UK_E06000043
UK_E06000044,UK,UKJ3,UKJ31,E06000044,Portsmouth,205056,40.67401965,2017,UK_E06000044
UK_E06000045,UK,UKJ3,UKJ32,E06000045,Southampton,236882,50.20582287,2017,UK_E06000045
UK_E06000046,UK,UKJ3,UKJ34,E06000046,Isle of Wight,138265,382.86924969,2017,UK_E06000046
UK_E06000047,UK,UKC1,UKC14,E06000047,County Durham,513242,2233.57649529,2017,UK_E06000047
UK_E06000049,UK,UKD6,UKD62,E06000049,Cheshire East,370127,1167.14070424,2017,UK_E06000049
UK_E06000050,UK,UKD6,UKD63,E06000050,Cheshire West and Chester,329608,918.19338199,2017,UK_E06000050
UK_E06000051,UK,UKG2,UKG22,E06000051,Shropshire,306129,3199.82903263,2017,UK_E06000051
UK_E06000052,UK,UKK3,UKK30,E06000052,Cornwall,532273,3562.06974388,2017,UK_E06000052
UK_E06000053,UK,UKK3,UKK30,E06000053,Isles of Scilly,2203,17.70785993,2017,UK_E06000053
UK_E06000054,UK,UKK1,UKK15,E06000054,Wiltshire,470981,3257.78823943,2017,UK_E06000054
UK_E06000055,UK,UKH2,UKH24,E06000055,Bedford,157479,476.6119492,2017,UK_E06000055
UK_E06000056,UK,UKH2,UKH25,E06000056,Central Bedfordshire,254381,716.04268239,2017,UK_E06000056
UK_E06000057,UK,UKC2,UKC21,E06000057,Northumberland,316028,5031.96659258,2017,UK_E06000057
UK_E07000004,UK,UKJ1,UKJ13,E07000004,Aylesbury Vale,174137,903.36939732,2017,UK_E07000004
UK_E07000005,UK,UKJ1,UKJ13,E07000005,Chiltern,92635,196.53371529,2017,UK_E07000005
UK_E07000006,UK,UKJ1,UKJ13,E07000006,South Bucks,66867,141.2729801,2017,UK_E07000006
UK_E07000007,UK,UKJ1,UKJ13,E07000007,Wycombe,171644,324.78313713,2017,UK_E07000007
UK_E07000008,UK,UKH1,UKH12,E07000008,Cambridge,123867,40.69690559,2017,UK_E07000008
UK_E07000009,UK,UKH1,UKH12,E07000009,East Cambridgeshire,83818,651.88623494,2017,UK_E07000009
UK_E07000010,UK,UKH1,UKH12,E07000010,Fenland,95262,547.64856254,2017,UK_E07000010
UK_E07000011,UK,UKH1,UKH12,E07000011,Huntingdonshire,169508,912.82875509,2017,UK_E07000011
UK_E07000012,UK,UKH1,UKH12,E07000012,South Cambridgeshire,148755,902.00179604,2017,UK_E07000012
UK_E07000026,UK,UKD1,UKD11,E07000026,Allerdale,96422,1260.10350558,2017,UK_E07000026
UK_E07000027,UK,UKD1,UKD11,E07000027,Barrow-in-Furness,69087,78.26141139,2017,UK_E07000027
UK_E07000028,UK,UKD1,UKD12,E07000028,Carlisle,107524,1041.36791312,2017,UK_E07000028
UK_E07000029,UK,UKD1,UKD11,E07000029,Copeland,70603,739.09281048,2017,UK_E07000029
UK_E07000030,UK,UKD1,UKD12,E07000030,Eden,52564,2158.0707614,2017,UK_E07000030
UK_E07000031,UK,UKD1,UKD12,E07000031,South Lakeland,103658,1555.27459462,2017,UK_E07000031
UK_E07000032,UK,UKF1,UKF13,E07000032,Amber Valley,122309,265.59719156,2017,UK_E07000032
UK_E07000033,UK,UKF1,UKF12,E07000033,Bolsover,75866,160.40609596,2017,UK_E07000033
UK_E07000034,UK,UKF1,UKF12,E07000034,Chesterfield,103788,66.0674793,2017,UK_E07000034
UK_E07000035,UK,UKF1,UKF13,E07000035,Derbyshire Dales,71116,795.93023911,2017,UK_E07000035
UK_E07000036,UK,UKF1,UKF13,E07000036,Erewash,112081,109.64742304,2017,UK_E07000036
UK_E07000037,UK,UKF1,UKF13,E07000037,High Peak,90892,540.58389498,2017,UK_E07000037
UK_E07000038,UK,UKF1,UKF12,E07000038,North East Derbyshire,99023,275.84172738,2017,UK_E07000038
UK_E07000039,UK,UKF1,UKF13,E07000039,South Derbyshire,94611,338.40190948,2017,UK_E07000039
UK_E07000040,UK,UKK4,UKK43,E07000040,East Devon,132457,815.84334841,2017,UK_E07000040
UK_E07000041,UK,UKK4,UKK43,E07000041,Exeter,117773,47.24621697,2017,UK_E07000041
UK_E07000042,UK,UKK4,UKK43,E07000042,Mid Devon,77750,913.27393709,2017,UK_E07000042
UK_E07000043,UK,UKK4,UKK43,E07000043,North Devon,93667,1087.56706471,2017,UK_E07000043
UK_E07000044,UK,UKK4,UKK43,E07000044,South Hams,83140,893.04442253,2017,UK_E07000044
UK_E07000045,UK,UKK4,UKK43,E07000045,Teignbridge,124220,674.45667083,2017,UK_E07000045
UK_E07000046,UK,UKK4,UKK43,E07000046,Torridge,63839,986.07038543,2017,UK_E07000046
UK_E07000047,UK,UKK4,UKK43,E07000047,West Devon,53553,1161.8526151,2017,UK_E07000047
UK_E07000048,UK,UKK2,UKK24,E07000048,Christchurch,47752,51.75811394,2017,UK_E07000048
UK_E07000049,UK,UKK2,UKK25,E07000049,East Dorset,87166,354.7065573,2017,UK_E07000049
UK_E07000050,UK,UKK2,UKK25,E07000050,North Dorset,68583,609.66706291,2017,UK_E07000050
UK_E07000051,UK,UKK2,UKK25,E07000051,Purbeck,44973,406.29683166,2017,UK_E07000051
UK_E07000052,UK,UKK2,UKK25,E07000052,West Dorset,99264,1087.57632503,2017,UK_E07000052
UK_E07000053,UK,UKK2,UKK25,E07000053,Weymouth and Portland,65167,42.76552559,2017,UK_E07000053
UK_E07000061,UK,UKJ2,UKJ22,E07000061,Eastbourne,99412,44.18093323,2017,UK_E07000061
UK_E07000062,UK,UKJ2,UKJ22,E07000062,Hastings,90254,29.74695065,2017,UK_E07000062
UK_E07000063,UK,UKJ2,UKJ22,E07000063,Lewes,97502,293.02866901,2017,UK_E07000063
UK_E07000064,UK,UKJ2,UKJ22,E07000064,Rother,90588,512.20723373,2017,UK_E07000064
UK_E07000065,UK,UKJ2,UKJ22,E07000065,Wealden,148915,835.26817233,2017,UK_E07000065
UK_E07000066,UK,UKH3,UKH37,E07000066,Basildon,174497,110.44399936,2017,UK_E07000066
UK_E07000067,UK,UKH3,UKH34,E07000067,Braintree,147084,611.70043755,2017,UK_E07000067
UK_E07000068,UK,UKH3,UKH36,E07000068,Brentwood,73601,153.0410164,2017,UK_E07000068
UK_E07000069,UK,UKH3,UKH37,E07000069,Castle Point,88011,45.5974302,2017,UK_E07000069
UK_E07000070,UK,UKH3,UKH36,E07000070,Chelmsford,168310,342.58783697,2017,UK_E07000070
UK_E07000071,UK,UKH3,UKH34,E07000071,Colchester,173074,334.02275477,2017,UK_E07000071
UK_E07000072,UK,UKH3,UKH35,E07000072,Epping Forest,124659,339.07609969,2017,UK_E07000072
UK_E07000073,UK,UKH3,UKH35,E07000073,Harlow,81944,30.52524028,2017,UK_E07000073
UK_E07000074,UK,UKH3,UKH36,E07000074,Maldon,61629,361.16895155,2017,UK_E07000074
UK_E07000075,UK,UKH3,UKH37,E07000075,Rochford,83287,171.25264829,2017,UK_E07000075
UK_E07000076,UK,UKH3,UKH34,E07000076,Tendring,138048,341.00749183,2017,UK_E07000076
UK_E07000077,UK,UKH3,UKH35,E07000077,Uttlesford,79443,641.262836,2017,UK_E07000077
UK_E07000078,UK,UKK1,UKK13,E07000078,Cheltenham,115732,46.63880055,2017,UK_E07000078
UK_E07000079,UK,UKK1,UKK13,E07000079,Cotswold,82881,1165.67961814,2017,UK_E07000079
UK_E07000080,UK,UKK1,UKK13,E07000080,Forest of Dean,81961,527.90155507,2017,UK_E07000080
UK_E07000081,UK,UKK1,UKK13,E07000081,Gloucester,121688,40.85383447,2017,UK_E07000081
UK_E07000082,UK,UKK1,UKK13,E07000082,Stroud,112779,460.90722633,2017,UK_E07000082
UK_E07000083,UK,UKK1,UKK13,E07000083,Tewkesbury,81943,415.09760808,2017,UK_E07000083
UK_E07000084,UK,UKJ3,UKJ37,E07000084,Basingstoke and Deane,167799,634.18413871,2017,UK_E07000084
UK_E07000085,UK,UKJ3,UKJ36,E07000085,East Hampshire,115608,514.82632291,2017,UK_E07000085
UK_E07000086,UK,UKJ3,UKJ35,E07000086,Eastleigh,125199,80.17863146,2017,UK_E07000086
UK_E07000087,UK,UKJ3,UKJ35,E07000087,Fareham,111581,74.61763941,2017,UK_E07000087
UK_E07000088,UK,UKJ3,UKJ35,E07000088,Gosport,82622,25.48133063,2017,UK_E07000088
UK_E07000089,UK,UKJ3,UKJ37,E07000089,Hart,91033,215.40619858,2017,UK_E07000089
UK_E07000090,UK,UKJ3,UKJ35,E07000090,Havant,120684,55.63545568,2017,UK_E07000090
UK_E07000091,UK,UKJ3,UKJ36,E07000091,New Forest,176462,755.43272257,2017,UK_E07000091
UK_E07000092,UK,UKJ3,UKJ37,E07000092,Rushmoor,93807,39.05743762,2017,UK_E07000092
UK_E07000093,UK,UKJ3,UKJ36,E07000093,Test Valley,116398,628.1130354,2017,UK_E07000093
UK_E07000094,UK,UKJ3,UKJ36,E07000094,Winchester,113595,661.50938614,2017,UK_E07000094
UK_E07000095,UK,UKH2,UKH23,E07000095,Broxbourne,93609,51.43314719,2017,UK_E07000095
UK_E07000096,UK,UKH2,UKH23,E07000096,Dacorum,144847,212.59324558,2017,UK_E07000096
UK_E07000098,UK,UKH2,UKH23,E07000098,Hertsmere,100031,101.13625819,2017,UK_E07000098
