gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
AL_AL111,AL,AL01,AL011,AL111,BULQIZË,31210,678.96568337,2018,AL_AL111
AL_AL112,AL,AL01,AL011,AL112,DIBËR,61619,938.72629944,2018,AL_AL112
AL_AL113,AL,AL01,AL011,AL113,KLOS,16618,357.72307083,2018,AL_AL113
AL_AL114,AL,AL01,AL011,AL114,MAT,27600,493.81308121,2018,AL_AL114
AL_AL121,AL,AL01,AL012,AL121,DURRËS,175110,338.46683401,2018,AL_AL121
AL_AL122,AL,AL01,AL012,AL122,KRUJË,59814,339.20365759,2018,AL_AL122
AL_AL123,AL,AL01,AL012,AL123,SHIJAK,27861,92.21624313,2018,AL_AL123
AL_AL131,AL,AL01,AL013,AL131,HAS,16790,399.79961121,2018,AL_AL131
AL_AL132,AL,AL01,AL013,AL132,KUKËS,47985,934.42760991,2018,AL_AL132
AL_AL133,AL,AL01,AL013,AL133,TROPOJË,20517,1057.78154777,2018,AL_AL133
AL_AL141,AL,AL01,AL014,AL141,KURBIN,46291,269.17877904,2018,AL_AL141
AL_AL142,AL,AL01,AL014,AL142,LEZHË,65633,509.34284869,2018,AL_AL142
AL_AL143,AL,AL01,AL014,AL143,MIRDITË,22103,870.24955288,2018,AL_AL143
AL_AL151,AL,AL01,AL015,AL151,FUSHË ARRËS,7405,540.79777779,2018,AL_AL151
AL_AL152,AL,AL01,AL015,AL152,MALËSI E MADHE,30823,951.44162809,2018,AL_AL152
AL_AL153,AL,AL01,AL015,AL153,PUKË,11069,505.8344198,2018,AL_AL153
AL_AL154,AL,AL01,AL015,AL154,SHKODËR,135612,873.12041578,2018,AL_AL154
AL_AL155,AL,AL01,AL015,AL155,VAU I DEJËS,30438,499.31148463,2018,AL_AL155
AL_AL211,AL,AL02,AL021,AL211,BELSH,19503,196.56019513,2018,AL_AL211
AL_AL212,AL,AL02,AL021,AL212,CËRRIK,27445,189.76448507,2018,AL_AL212
AL_AL213,AL,AL02,AL021,AL213,ELBASAN,141714,872.60553475,2018,AL_AL213
AL_AL214,AL,AL02,AL021,AL214,GRAMSH,24231,739.73026029,2018,AL_AL214
AL_AL215,AL,AL02,AL021,AL215,LIBRAZHD,31892,793.94010319,2018,AL_AL215
AL_AL216,AL,AL02,AL021,AL216,PEQIN,26136,197.885997,2018,AL_AL216
AL_AL217,AL,AL02,AL021,AL217,PRRENJAS,24906,323.18965759,2018,AL_AL217
AL_AL221,AL,AL02,AL022,AL221,KAMËZ,104190,37.18983642,2018,AL_AL221
AL_AL222,AL,AL02,AL022,AL222,KAVAJË,40094,198.8912625,2018,AL_AL222
AL_AL223,AL,AL02,AL022,AL223,RROGOZHINË,22148,223.62647092,2018,AL_AL223
