gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
NL_GM0003,NL,NL11,NL112,GM0003,Appingedam,11801,24.58520076,2018,NL_GM0003
NL_GM0005,NL,NL11,NL113,GM0005,Bedum,10475,44.98900171,2018,NL_GM0005
NL_GM0009,NL,NL11,NL113,GM0009,Ten Boer,7292,45.73290501,2018,NL_GM0009
NL_GM0010,NL,NL11,NL112,GM0010,Delfzijl,24863,136.44923463,2018,NL_GM0010
NL_GM0014,NL,NL11,NL113,GM0014,Groningen,202810,101.42979813,2018,NL_GM0014
NL_GM0015,NL,NL11,NL113,GM0015,Grootegast,12143,87.76991294,2018,NL_GM0015
NL_GM0017,NL,NL11,NL113,GM0017,Haren,19860,50.69931618,2018,NL_GM0017
NL_GM0022,NL,NL11,NL113,GM0022,Leek,19669,64.2609863,2018,NL_GM0022
NL_GM0024,NL,NL11,NL112,GM0024,Loppersum,9732,112.0113883,2018,NL_GM0024
NL_GM0025,NL,NL11,NL113,GM0025,Marum,10488,64.88592047,2018,NL_GM0025
NL_GM0034,NL,NL23,NL230,GM0034,Almere,203990,248.85918848,2018,NL_GM0034
NL_GM0037,NL,NL11,NL111,GM0037,Stadskanaal,32258,119.9682423,2018,NL_GM0037
NL_GM0047,NL,NL11,NL111,GM0047,Veendam,27508,78.7090614,2018,NL_GM0047
NL_GM0050,NL,NL23,NL230,GM0050,Zeewolde,22407,269.06740635,2018,NL_GM0050
NL_GM0053,NL,NL11,NL113,GM0053,Winsum,13560,102.48887461,2018,NL_GM0053
NL_GM0056,NL,NL11,NL113,GM0056,Zuidhorn,18917,128.33248264,2018,NL_GM0056
NL_GM0058,NL,NL12,NL124,GM0058,Dongeradeel,23789,176.03694832,2018,NL_GM0058
NL_GM0059,NL,NL12,NL124,GM0059,Achtkarspelen,27935,103.99513684,2018,NL_GM0059
NL_GM0060,NL,NL12,NL124,GM0060,Ameland,3654,60.37125692,2018,NL_GM0060
NL_GM0072,NL,NL12,NL124,GM0072,Harlingen,15783,26.03290496,2018,NL_GM0072
NL_GM0074,NL,NL12,NL126,GM0074,Heerenveen,50192,198.31010944,2018,NL_GM0074
NL_GM0079,NL,NL12,NL124,GM0079,Kollumerland en Nieuwkruisland,12827,116.29535261,2018,NL_GM0079
NL_GM0080,NL,NL12,NL124,GM0080,Leeuwarden,122415,255.6306984,2018,NL_GM0080
NL_GM0085,NL,NL12,NL126,GM0085,Ooststellingwerf,25459,226.1154927,2018,NL_GM0085
NL_GM0086,NL,NL12,NL126,GM0086,Opsterland,29753,227.60280873,2018,NL_GM0086
NL_GM0088,NL,NL12,NL124,GM0088,Schiermonnikoog,932,40.8710089,2018,NL_GM0088
NL_GM0090,NL,NL12,NL126,GM0090,Smallingerland,55889,126.19458008,2018,NL_GM0090
NL_GM0093,NL,NL12,NL124,GM0093,Terschelling,4906,85.837569920000007,2018,NL_GM0093
NL_GM0096,NL,NL12,NL124,GM0096,Vlieland,1132,37.36172299,2018,NL_GM0096
NL_GM0098,NL,NL12,NL126,GM0098,Weststellingwerf,25720,228.26451261,2018,NL_GM0098
NL_GM0106,NL,NL13,NL131,GM0106,Assen,67708,83.43806243,2018,NL_GM0106
NL_GM0109,NL,NL13,NL132,GM0109,Coevorden,35299,299.60145972,2018,NL_GM0109
NL_GM0114,NL,NL13,NL132,GM0114,Emmen,107192,346.19515514,2018,NL_GM0114
NL_GM0118,NL,NL13,NL133,GM0118,Hoogeveen,55677,129.20471687,2018,NL_GM0118
NL_GM0119,NL,NL13,NL133,GM0119,Meppel,33410,56.99075175,2018,NL_GM0119
NL_GM0141,NL,NL21,NL213,GM0141,Almelo,72629,69.41635718,2018,NL_GM0141
NL_GM0147,NL,NL21,NL213,GM0147,Borne,23124,26.15793406,2018,NL_GM0147
NL_GM0148,NL,NL21,NL211,GM0148,Dalfsen,28242,166.55223623,2018,NL_GM0148
NL_GM0150,NL,NL21,NL212,GM0150,Deventer,99653,134.42352279,2018,NL_GM0150
NL_GM0153,NL,NL21,NL213,GM0153,Enschede,158261,142.76612626,2018,NL_GM0153
NL_GM0158,NL,NL21,NL213,GM0158,Haaksbergen,24291,105.53169069,2018,NL_GM0158
NL_GM0160,NL,NL21,NL211,GM0160,Hardenberg,60539,317.11506469,2018,NL_GM0160
NL_GM0163,NL,NL21,NL213,GM0163,Hellendoorn,35796,138.95342614,2018,NL_GM0163
NL_GM0164,NL,NL21,NL213,GM0164,Hengelo,80593,61.76663011,2018,NL_GM0164
NL_GM0166,NL,NL21,NL211,GM0166,Kampen,53259,161.9044386,2018,NL_GM0166
NL_GM0168,NL,NL21,NL213,GM0168,Losser,22547,99.72421536,2018,NL_GM0168
NL_GM0171,NL,NL23,NL230,GM0171,Noordoostpolder,46625,595.59837461,2018,NL_GM0171
NL_GM0173,NL,NL21,NL213,GM0173,Oldenzaal,31915,21.99802452,2018,NL_GM0173
NL_GM0175,NL,NL21,NL211,GM0175,Ommen,17630,181.99172663,2018,NL_GM0175
NL_GM0177,NL,NL21,NL212,GM0177,Raalte,37158,172.34731118,2018,NL_GM0177
NL_GM0180,NL,NL21,NL211,GM0180,Staphorst,16797,135.71398152,2018,NL_GM0180
NL_GM0183,NL,NL21,NL213,GM0183,Tubbergen,21213,147.41661104,2018,NL_GM0183
NL_GM0184,NL,NL23,NL230,GM0184,Urk,20524,109.92240834,2018,NL_GM0184
