gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
PT_010103,PT,PT16,PT16D,010103,AGUADA DE CIMA,4013,28.38933411,2019,PT_010103
PT_010109,PT,PT16,PT16D,010109,FERMENTELOS,3258,8.58238334,2019,PT_010109
PT_010112,PT,PT16,PT16D,010112,MACINHATA DO VOUGA,3406,31.9540456,2019,PT_010112
PT_010119,PT,PT16,PT16D,010119,VALONGO DO VOUGA,4877,43.20397703,2019,PT_010119
PT_010121,PT,PT16,PT16D,010121,UNIÃO DAS FREGUESIAS DE ÁGUEDA E BORRALHA,13576,36.02647188,2019,PT_010121
PT_010122,PT,PT16,PT16D,010122,UNIÃO DAS FREGUESIAS DE BARRÔ E AGUADA DE BAIXO,3209,10.19175258,2019,PT_010122
PT_010123,PT,PT16,PT16D,010123,"UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",1611,88.09253722,2019,PT_010123
PT_010124,PT,PT16,PT16D,010124,UNIÃO DAS FREGUESIAS DE RECARDÃES E ESPINHEL,6036,19.91695318,2019,PT_010124
PT_010125,PT,PT16,PT16D,010125,UNIÃO DAS FREGUESIAS DE TRAVASSÔ E ÓIS DA RIBEIRA,2305,11.12450914,2019,PT_010125
PT_010126,PT,PT16,PT16D,010126,"UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA",4630,16.07071374,2019,PT_010126
PT_010127,PT,PT16,PT16D,010127,UNIÃO DAS FREGUESIAS DO PRÉSTIMO E MACIEIRA DE ALCOBA,808,41.72603085,2019,PT_010127
PT_010202,PT,PT16,PT16D,010202,ALQUERUBIM,2381,15.35577227,2019,PT_010202
PT_010203,PT,PT16,PT16D,010203,ANGEJA,2073,20.39212066,2019,PT_010203
PT_010204,PT,PT16,PT16D,010204,BRANCA,5621,30.28657514,2019,PT_010204
PT_010206,PT,PT16,PT16D,010206,RIBEIRA DE FRÁGUAS,1713,26.74389961,2019,PT_010206
PT_010209,PT,PT16,PT16D,010209,ALBERGARIA-A-VELHA E VALMAIOR,10568,46.99821823,2019,PT_010209
PT_010210,PT,PT16,PT16D,010210,SÃO JOÃO DE LOURE E FROSSOS,2896,18.18100817,2019,PT_010210
PT_010304,PT,PT16,PT16D,010304,AVELÃS DE CAMINHO,1252,6.45092313,2019,PT_010304
PT_010305,PT,PT16,PT16D,010305,AVELÃS DE CIMA,2185,40.57743557,2019,PT_010305
PT_010307,PT,PT16,PT16D,010307,MOITA,2484,34.17225541,2019,PT_010307
PT_010309,PT,PT16,PT16D,010309,SANGALHOS,4068,16.9043114,2019,PT_010309
PT_010310,PT,PT16,PT16D,010310,SÃO LOURENÇO DO BAIRRO,2414,15.38507226,2019,PT_010310
PT_010312,PT,PT16,PT16D,010312,VILA NOVA DE MONSARROS,1713,23.72117432,2019,PT_010312
PT_010313,PT,PT16,PT16D,010313,VILARINHO DO BAIRRO,2764,25.55762842,2019,PT_010313
PT_010316,PT,PT16,PT16D,010316,"UNIÃO DAS FREGUESIAS DE AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS",2675,22.06385638,2019,PT_010316
PT_010317,PT,PT16,PT16D,010317,UNIÃO DAS FREGUESIAS DE ARCOS E MOGOFORES,6331,14.38890916,2019,PT_010317
PT_010318,PT,PT16,PT16D,010318,"UNIÃO DAS FREGUESIAS DE TAMENGOS, AGUIM E ÓIS DO BAIRRO",3264,17.40313262,2019,PT_010318
PT_010402,PT,PT11,PT11A,010402,ALVARENGA,1223,38.76866192,2019,PT_010402
PT_010407,PT,PT11,PT11A,010407,CHAVE,1253,10.90468477,2019,PT_010407
PT_010409,PT,PT11,PT11A,010409,ESCARIZ,2222,17.98380098,2019,PT_010409
PT_010411,PT,PT11,PT11A,010411,FERMEDO,1340,11.10572978,2019,PT_010411
PT_010413,PT,PT11,PT11A,010413,MANSORES,1081,14.07381226,2019,PT_010413
PT_010414,PT,PT11,PT11A,010414,MOLDES,1257,28.00650504,2019,PT_010414
PT_010415,PT,PT11,PT11A,010415,ROSSAS,1599,11.11585479,2019,PT_010415
PT_010416,PT,PT11,PT11A,010416,SANTA EULÁLIA,2253,23.05064583,2019,PT_010416
PT_010417,PT,PT11,PT11A,010417,SÃO MIGUEL DO MATO,598,17.10553291,2019,PT_010417
PT_010418,PT,PT11,PT11A,010418,TROPEÇO,1150,17.83890858,2019,PT_010418
PT_010419,PT,PT11,PT11A,010419,URRÔ,1029,10.7860393,2019,PT_010419
PT_010420,PT,PT11,PT11A,010420,VÁRZEA,540,1.78988093,2019,PT_010420
PT_010421,PT,PT11,PT11A,010421,UNIÃO DAS FREGUESIAS DE AROUCA E BURGO,5178,15.24359273,2019,PT_010421
PT_010422,PT,PT11,PT11A,010422,UNIÃO DAS FREGUESIAS DE CABREIROS E ALBERGARIA DA SERRA,231,31.22441453,2019,PT_010422
PT_010423,PT,PT11,PT11A,010423,UNIÃO DAS FREGUESIAS DE CANELAS E ESPIUNCA,1183,35.72714713,2019,PT_010423
PT_010424,PT,PT11,PT11A,010424,UNIÃO DAS FREGUESIAS DE COVELO DE PAIVÓ E JANARDE,222,44.37860182,2019,PT_010424
PT_010501,PT,PT16,PT16D,010501,ARADAS,9157,8.92653233,2019,PT_010501
PT_010502,PT,PT16,PT16D,010502,CACIA,7354,33.48064845,2019,PT_010502
PT_010505,PT,PT16,PT16D,010505,ESGUEIRA,13431,17.06997662,2019,PT_010505
PT_010508,PT,PT16,PT16D,010508,OLIVEIRINHA,4817,12.06976831,2019,PT_010508
PT_010510,PT,PT16,PT16D,010510,SÃO BERNARDO,4960,3.93722554,2019,PT_010510
PT_010511,PT,PT16,PT16D,010511,SÃO JACINTO,993,11.37298929,2019,PT_010511
PT_010513,PT,PT16,PT16D,010513,SANTA JOANA,8094,5.84547078,2019,PT_010513
PT_010515,PT,PT16,PT16D,010515,EIXO E EIROL,6324,22.41494709,2019,PT_010515
PT_010516,PT,PT16,PT16D,010516,"REQUEIXO, NOSSA SENHORA DE FÁTIMA E NARIZ",4564,32.31664762,2019,PT_010516
PT_010517,PT,PT16,PT16D,010517,UNIÃO DAS FREGUESIAS DE GLÓRIA E VERA CRUZ,18756,36.03588315,2019,PT_010517
PT_010602,PT,PT11,PT11C,010602,FORNOS,1439,4.11014977,2019,PT_010602
PT_010606,PT,PT11,PT11C,010606,REAL,1300,33.10593981,2019,PT_010606
PT_010607,PT,PT11,PT11C,010607,SANTA MARIA DE SARDOURA,2538,10.06323796,2019,PT_010607
PT_010608,PT,PT11,PT11C,010608,SÃO MARTINHO DE SARDOURA,1931,4.31418674,2019,PT_010608
PT_010610,PT,PT11,PT11C,010610,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",4694,49.36973116,2019,PT_010610
PT_010611,PT,PT11,PT11C,010611,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,4831,14.03704036,2019,PT_010611
PT_010702,PT,PT11,PT11A,010702,ESPINHO,9832,1.76578114,2019,PT_010702
PT_010704,PT,PT11,PT11A,010704,PARAMOS,3515,5.87251902,2019,PT_010704
PT_010705,PT,PT11,PT11A,010705,SILVALDE,6673,5.45414472,2019,PT_010705
PT_010706,PT,PT11,PT11A,010706,UNIÃO DAS FREGUESIAS DE ANTA E GUETIM,11766,7.96577607,2019,PT_010706
PT_010801,PT,PT16,PT16D,010801,AVANCA,6189,21.06286834,2019,PT_010801
PT_010805,PT,PT16,PT16D,010805,PARDILHÓ,4176,14.11395916,2019,PT_010805
PT_010806,PT,PT16,PT16D,010806,SALREU,3815,16.5406635,2019,PT_010806
PT_010808,PT,PT16,PT16D,010808,UNIÃO DAS FREGUESIAS DE BEDUÍDO E VEIROS,10047,31.60779327,2019,PT_010808
PT_010809,PT,PT16,PT16D,010809,UNIÃO DAS FREGUESIAS DE CANELAS E FERMELÃ,2770,23.0228598,2019,PT_010809
PT_010901,PT,PT11,PT11A,010901,ARGONCILHE,8420,8.21110361,2019,PT_010901
PT_010902,PT,PT11,PT11A,010902,ARRIFANA,6551,5.2941967,2019,PT_010902
PT_010904,PT,PT11,PT11A,010904,ESCAPÃES,3309,4.30204994,2019,PT_010904
PT_010907,PT,PT11,PT11A,010907,FIÃES,7991,6.37770947,2019,PT_010907
PT_010908,PT,PT11,PT11A,010908,FORNOS,3397,3.13535608,2019,PT_010908
PT_010913,PT,PT11,PT11A,010913,LOUROSA,8636,5.77656474,2019,PT_010913
PT_010914,PT,PT11,PT11A,010914,MILHEIRÓS DE POIARES,3791,7.86339142,2019,PT_010914
PT_010916,PT,PT11,PT11A,010916,MOZELOS,7142,5.80474365,2019,PT_010916
PT_010917,PT,PT11,PT11A,010917,NOGUEIRA DA REGEDOURA,5790,5.10210766,2019,PT_010917
PT_010918,PT,PT11,PT11A,010918,SÃO PAIO DE OLEIROS,4069,3.90593838,2019,PT_010918
PT_010919,PT,PT11,PT11A,010919,PAÇOS DE BRANDÃO,4867,3.5560507,2019,PT_010919
PT_010921,PT,PT11,PT11A,010921,RIO MEÃO,4931,6.67860044,2019,PT_010921
PT_010922,PT,PT11,PT11A,010922,ROMARIZ,3023,11.07815843,2019,PT_010922
PT_010924,PT,PT11,PT11A,010924,SANGUEDO,3600,4.56711189,2019,PT_010924
PT_010925,PT,PT11,PT11A,010925,SANTA MARIA DE LAMAS,5073,3.75486394,2019,PT_010925
PT_010926,PT,PT11,PT11A,010926,SÃO JOÃO DE VER,10579,15.37494174,2019,PT_010926
PT_010932,PT,PT11,PT11A,010932,UNIÃO DAS FREGUESIAS DE CALDAS DE SÃO JORGE E PIGEIROS,3897,10.64216787,2019,PT_010932
PT_010933,PT,PT11,PT11A,010933,"UNIÃO DAS FREGUESIAS DE CANEDO, VALE E VILA MAIOR",9455,43.70113124,2019,PT_010933
PT_010934,PT,PT11,PT11A,010934,"UNIÃO DAS FREGUESIAS DE LOBÃO, GIÃO, LOUREDO E GUISANDE",9860,23.57997908,2019,PT_010934
PT_010935,PT,PT11,PT11A,010935,"UNIÃO DAS FREGUESIAS DE SANTA MARIA DA FEIRA, TRAVANCA, SANFINS E ESPARGO",18194,23.36530054,2019,PT_010935
PT_010936,PT,PT11,PT11A,010936,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO SOUTO E MOSTEIRÔ,6734,13.80324455,2019,PT_010936
PT_011005,PT,PT16,PT16D,011005,GAFANHA DA ENCARNAÇÃO,5362,7.96585149,2019,PT_011005
PT_011006,PT,PT16,PT16D,011006,GAFANHA DA NAZARÉ,15240,12.79373096,2019,PT_011006
PT_011007,PT,PT16,PT16D,011007,GAFANHA DO CARMO,1526,5.94456816,2019,PT_011007
PT_011008,PT,PT16,PT16D,011008,ÍLHAVO (SÃO SALVADOR),16470,37.8533478,2019,PT_011008
PT_011102,PT,PT16,PT16E,011102,BARCOUÇO,2152,21.30582366,2019,PT_011102
