gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
EE_0130,EE,EE00,EE007,0130,Alutaguse vald,4714,1458.1628126,2019,EE_0130
EE_0141,EE,EE00,EE001,0141,Anija vald,6159,532.46167939,2019,EE_0141
EE_0142,EE,EE00,EE008,0142,Antsla vald,4478,410.40621317,2019,EE_0142
EE_0171,EE,EE00,EE008,0171,Elva vald,14494,731.86946969,2019,EE_0171
EE_0184,EE,EE00,EE004,0184,Haapsalu linn,13077,270.64654946,2019,EE_0184
EE_0191,EE,EE00,EE006,0191,Haljala vald,4321,548.94259144,2019,EE_0191
EE_0198,EE,EE00,EE001,0198,Harku vald,14704,159.23475123,2019,EE_0198
EE_0205,EE,EE00,EE004,0205,Hiiumaa vald,9387,1029.65628319,2019,EE_0205
EE_0214,EE,EE00,EE004,0214,Häädemeeste vald,4821,494.23995482,2019,EE_0214
EE_0245,EE,EE00,EE001,0245,Jõelähtme vald,6516,211.16709044,2019,EE_0245
EE_0247,EE,EE00,EE008,0247,Jõgeva vald,13513,1039.79789737,2019,EE_0247
EE_0251,EE,EE00,EE007,0251,Jõhvi vald,12056,123.95941236,2019,EE_0251
EE_0255,EE,EE00,EE006,0255,Järva vald,8910,1222.82556116,2019,EE_0255
EE_0272,EE,EE00,EE006,0272,Kadrina vald,4858,353.83902541,2019,EE_0272
EE_0283,EE,EE00,EE008,0283,Kambja vald,11012,275.02518501,2019,EE_0283
EE_0284,EE,EE00,EE008,0284,Kanepi vald,4780,524.80095462,2019,EE_0284
EE_0291,EE,EE00,EE008,0291,Kastre vald,5184,493.31343153,2019,EE_0291
EE_0293,EE,EE00,EE006,0293,Kehtna vald,5469,511.97437246,2019,EE_0293
EE_0296,EE,EE00,EE001,0296,Keila linn,9910,11.14840282,2019,EE_0296
EE_0303,EE,EE00,EE004,0303,Kihnu vald,687,17.24887907,2019,EE_0303
EE_0304,EE,EE00,EE001,0304,Kiili vald,5403,100.39776648,2019,EE_0304
EE_0317,EE,EE00,EE006,0317,Kohila vald,7114,230.1621941,2019,EE_0317
EE_0321,EE,EE00,EE007,0321,Kohtla-Järve linn,33743,39.33757402,2019,EE_0321
EE_0338,EE,EE00,EE001,0338,Kose vald,7138,532.88176583,2019,EE_0338
EE_0353,EE,EE00,EE001,0353,Kuusalu vald,6446,709.8590974,2019,EE_0353
EE_0424,EE,EE00,EE001,0424,Loksa linn,2576,3.82016351,2019,EE_0424
EE_0430,EE,EE00,EE004,0430,Lääneranna vald,5343,1361.13814787,2019,EE_0430
EE_0431,EE,EE00,EE001,0431,Lääne-Harju vald,12507,645.96734422,2019,EE_0431
EE_0432,EE,EE00,EE008,0432,Luunja vald,4754,131.75328373,2019,EE_0432
EE_0441,EE,EE00,EE004,0441,Lääne-Nigula vald,7041,1436.73970737,2019,EE_0441
EE_0442,EE,EE00,EE007,0442,Lüganuse vald,8552,598.6012702,2019,EE_0442
EE_0446,EE,EE00,EE001,0446,Maardu linn,15332,23.39132651,2019,EE_0446
EE_0478,EE,EE00,EE004,0478,Muhu vald,1876,210.9173831,2019,EE_0478
EE_0480,EE,EE00,EE008,0480,Mulgi vald,7436,880.77952988,2019,EE_0480
EE_0486,EE,EE00,EE008,0486,Mustvee vald,5469,615.81845899,2019,EE_0486
EE_0503,EE,EE00,EE006,0503,Märjamaa vald,7535,1163.74385569,2019,EE_0503
EE_0511,EE,EE00,EE007,0511,Narva linn,55249,68.31884286,2019,EE_0511
EE_0514,EE,EE00,EE007,0514,Narva-Jõesuu linn,4472,404.37299709,2019,EE_0514
EE_0528,EE,EE00,EE008,0528,Nõo vald,4291,169.20367081,2019,EE_0528
EE_0557,EE,EE00,EE008,0557,Otepää vald,6456,520.21752516,2019,EE_0557
EE_0567,EE,EE00,EE006,0567,Paide linn,10590,442.96618403,2019,EE_0567
EE_0586,EE,EE00,EE008,0586,Peipsiääre vald,5458,652.03927599,2019,EE_0586
EE_0615,EE,EE00,EE008,0615,Põhja-Sakala vald,7959,1153.09569701,2019,EE_0615
EE_0618,EE,EE00,EE008,0618,Põltsamaa vald,9752,889.86174921,2019,EE_0618
EE_0622,EE,EE00,EE008,0622,Põlva vald,13907,705.75943437,2019,EE_0622
EE_0624,EE,EE00,EE004,0624,Pärnu linn,50643,857.79909206,2019,EE_0624
EE_0638,EE,EE00,EE004,0638,Põhja-Pärnumaa vald,8235,1010.81290535,2019,EE_0638
EE_0651,EE,EE00,EE001,0651,Raasiku vald,5006,158.87439206,2019,EE_0651
EE_0653,EE,EE00,EE001,0653,Rae vald,19677,206.75523428,2019,EE_0653
EE_0661,EE,EE00,EE006,0661,Rakvere vald,5570,294.6358963,2019,EE_0661
EE_0663,EE,EE00,EE006,0663,Rakvere linn,15189,10.72112115,2019,EE_0663
EE_0668,EE,EE00,EE006,0668,Rapla vald,13193,859.48605473,2019,EE_0668
EE_0689,EE,EE00,EE004,0689,Ruhnu vald,141,11.89318177,2019,EE_0689
EE_0698,EE,EE00,EE008,0698,Rõuge vald,5427,932.99239015,2019,EE_0698
EE_0708,EE,EE00,EE008,0708,Räpina vald,6319,592.72818991,2019,EE_0708
EE_0712,EE,EE00,EE004,0712,Saarde vald,4546,1064.80137287,2019,EE_0712
EE_0714,EE,EE00,EE004,0714,Saaremaa vald,NA,2710.40345317,2019,EE_0714
EE_0718,EE,EE00,EE001,0718,Saku vald,NA,170.59462062,2019,EE_0718
EE_0726,EE,EE00,EE001,0726,Saue vald,22050,638.94625618,2019,EE_0726
EE_0732,EE,EE00,EE008,0732,Setomaa vald,NA,463.0590263,2019,EE_0732
EE_0735,EE,EE00,EE007,0735,Sillamäe linn,12719,11.91317653,2019,EE_0735
EE_0784,EE,EE00,EE001,0784,Tallinn,434562,159.30611905,2019,EE_0784
EE_0792,EE,EE00,EE006,0792,Tapa vald,NA,479.86318576,2019,EE_0792
EE_0793,EE,EE00,EE008,0793,Tartu linn,96974,153.64745762,2019,EE_0793
EE_0796,EE,EE00,EE008,0796,Tartu vald,NA,742.63088003,2019,EE_0796
EE_0803,EE,EE00,EE007,0803,Toila vald,NA,265.78174675,2019,EE_0803
EE_0809,EE,EE00,EE004,0809,Tori vald,NA,611.24075384,2019,EE_0809
EE_0824,EE,EE00,EE008,0824,Tõrva vald,NA,647.05409816,2019,EE_0824
EE_0834,EE,EE00,EE006,0834,Türi vald,10786,1008.51785994,2019,EE_0834
EE_0855,EE,EE00,EE008,0855,Valga vald,15785,749.80222352,2019,EE_0855
EE_0890,EE,EE00,EE001,0890,Viimsi vald,19978,73.08862244,2019,EE_0890
EE_0897,EE,EE00,EE008,0897,Viljandi linn,17407,14.65230671,2019,EE_0897
EE_0899,EE,EE00,EE008,0899,Viljandi vald,NA,1371.99061285,2019,EE_0899
EE_0901,EE,EE00,EE006,0901,Vinni vald,NA,1013.06888082,2019,EE_0901
EE_0903,EE,EE00,EE006,0903,Viru-Nigula vald,NA,312.45167535,2019,EE_0903
EE_0907,EE,EE00,EE004,0907,Vormsi vald,NA,94.61521055,2019,EE_0907
EE_0917,EE,EE00,EE008,0917,Võru vald,NA,952.36409974,2019,EE_0917
EE_0919,EE,EE00,EE008,0919,Võru linn,11859,13.99282981,2019,EE_0919
EE_0928,EE,EE00,EE006,0928,Väike-Maarja vald,NA,682.48493081,2019,EE_0928
