gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
FI_005,FI,FI19,FI194,005,Alajärvi,9700,1056.57355028,2019,FI_005
FI_009,FI,FI1D,FI1D9,009,Alavieska,2573,254.16438894,2019,FI_009
FI_010,FI,FI19,FI194,010,Alavus,11544,1151.97672366,2019,FI_010
FI_016,FI,FI1C,FI1C3,016,Asikkala,8149,755.18990773,2019,FI_016
FI_018,FI,FI1B,FI1B1,018,Askola,4958,218.11008827,2019,FI_018
FI_019,FI,FI1C,FI1C1,019,Aura,3984,95.49901167,2019,FI_019
FI_020,FI,FI19,FI197,020,Akaa,16611,314.20956477,2019,FI_020
FI_035,FI,FI20,FI200,035,Brändö,449,69.65780914,2019,FI_035
FI_043,FI,FI20,FI200,043,Eckerö,961,104.94317383,2019,FI_043
FI_046,FI,FI1D,FI1D1,046,Enonkoski,1405,419.29997958,2019,FI_046
FI_047,FI,FI1D,FI1D7,047,Enontekiö / Enontekis,1852,8391.27120295,2019,FI_047
FI_049,FI,FI1B,FI1B1,049,Espoo / Esbo,283632,324.26504374,2019,FI_049
FI_050,FI,FI19,FI196,050,Eura,11748,630.44210071,2019,FI_050
FI_051,FI,FI19,FI196,051,Eurajoki / Euraåminne,9454,512.3444773,2019,FI_051
FI_052,FI,FI19,FI194,052,Evijärvi,2473,388.6997058,2019,FI_052
FI_060,FI,FI20,FI200,060,Finström,2588,128.18544362,2019,FI_060
FI_061,FI,FI1C,FI1C2,061,Forssa,17028,253.34583935,2019,FI_061
FI_062,FI,FI20,FI200,062,Föglö,534,107.04122105,2019,FI_062
FI_065,FI,FI20,FI200,065,Geta,514,84.13546736,2019,FI_065
FI_069,FI,FI1D,FI1D9,069,Haapajärvi,7147,789.86544071,2019,FI_069
FI_071,FI,FI1D,FI1D9,071,Haapavesi,6854,1085.47773782,2019,FI_071
FI_072,FI,FI1D,FI1D9,072,Hailuoto / Karlö,974,201.65464121,2019,FI_072
FI_074,FI,FI1D,FI1D5,074,Halsua,1165,428.68238813,2019,FI_074
FI_075,FI,FI1C,FI1C4,075,Hamina / Fredrikshamn,20286,624.41924469,2019,FI_075
FI_076,FI,FI20,FI200,076,Hammarland,1577,132.51651856,2019,FI_076
FI_077,FI,FI19,FI193,077,Hankasalmi,4939,687.55889806,2019,FI_077
FI_078,FI,FI1B,FI1B1,078,Hanko / Hangö,8379,108.90655379,2019,FI_078
FI_079,FI,FI19,FI196,079,Harjavalta,7018,127.74683107,2019,FI_079
FI_081,FI,FI1C,FI1C3,081,Hartola,2780,675.50143345,2019,FI_081
FI_082,FI,FI1C,FI1C2,082,Hattula,9475,425.68484027,2019,FI_082
FI_086,FI,FI1C,FI1C2,086,Hausjärvi,8417,398.73683803,2019,FI_086
FI_090,FI,FI1D,FI1D1,090,Heinävesi,3329,1318.99571755,2019,FI_090
FI_091,FI,FI1B,FI1B1,091,Helsinki / Helsingfors,648042,208.41141035,2019,FI_091
FI_092,FI,FI1B,FI1B1,092,Vantaa / Vanda,228166,240.40281962,2019,FI_092
FI_097,FI,FI1D,FI1D1,097,Hirvensalmi,2152,746.66655977,2019,FI_097
FI_098,FI,FI1C,FI1C3,098,Hollola,23602,727.98637532,2019,FI_098
FI_099,FI,FI19,FI196,099,Honkajoki,1666,334.49054268,2019,FI_099
FI_102,FI,FI19,FI196,102,Huittinen,10091,538.97432284,2019,FI_102
FI_103,FI,FI1C,FI1C2,103,Humppila,2235,148.55286183,2019,FI_103
FI_105,FI,FI1D,FI1D8,105,Hyrynsalmi,2287,1522.14591297,2019,FI_105
FI_106,FI,FI1B,FI1B1,106,Hyvinkää / Hyvinge,46504,336.72786499,2019,FI_106
FI_108,FI,FI19,FI197,108,Hämeenkyrö / Tavastkyro,10510,504.66373045,2019,FI_108
FI_109,FI,FI1C,FI1C2,109,Hämeenlinna / Tavastehus,67532,2034.29105957,2019,FI_109
FI_111,FI,FI1C,FI1C3,111,Heinola,18889,839.75144817,2019,FI_111
FI_139,FI,FI1D,FI1D9,139,Ii,9862,1660.51089206,2019,FI_139
FI_140,FI,FI1D,FI1D2,140,Iisalmi / Idensalmi,21472,872.66724581,2019,FI_140
FI_142,FI,FI1C,FI1C4,142,Iitti,6765,686.86999603,2019,FI_142
FI_143,FI,FI19,FI197,143,Ikaalinen / Ikalis,7003,843.68196974,2019,FI_143
FI_145,FI,FI19,FI194,145,Ilmajoki,12187,579.40207188,2019,FI_145
FI_146,FI,FI1D,FI1D3,146,Ilomantsi / Ilomants,4973,3172.55561945,2019,FI_146
FI_148,FI,FI1D,FI1D7,148,Inari / Enare,6930,17331.39749705,2019,FI_148
FI_149,FI,FI1B,FI1B1,149,Inkoo / Ingå,5403,337.64638889,2019,FI_149
FI_151,FI,FI19,FI194,151,Isojoki / Storå,1976,647.6022531,2019,FI_151
FI_152,FI,FI19,FI195,152,Isokyrö / Storkyro,4601,356.94491919,2019,FI_152
FI_153,FI,FI1C,FI1C5,153,Imatra,26932,191.19467327,2019,FI_153
FI_165,FI,FI1C,FI1C2,165,Janakkala,16447,585.68561032,2019,FI_165
FI_167,FI,FI1D,FI1D3,167,Joensuu,76551,2752.27166008,2019,FI_167
FI_169,FI,FI1C,FI1C2,169,Jokioinen / Jockis,5195,181.86981009,2019,FI_169
FI_170,FI,FI20,FI200,170,Jomala,5032,140.34410798,2019,FI_170
FI_171,FI,FI1D,FI1D1,171,Joroinen / Jorois,4812,711.897743,2019,FI_171
FI_172,FI,FI19,FI193,172,Joutsa,4467,1065.74027236,2019,FI_172
FI_176,FI,FI1D,FI1D3,176,Juuka,4709,1847.14960428,2019,FI_176
FI_177,FI,FI19,FI197,177,Juupajoki,1884,274.95940637,2019,FI_177
FI_178,FI,FI1D,FI1D1,178,Juva,6225,1345.50680518,2019,FI_178
FI_179,FI,FI19,FI193,179,Jyväskylä,141305,1465.43450482,2019,FI_179
FI_181,FI,FI19,FI196,181,Jämijärvi,1809,224.49847396,2019,FI_181
FI_182,FI,FI19,FI193,182,Jämsä,20607,1823.35946291,2019,FI_182
FI_186,FI,FI1B,FI1B1,186,Järvenpää / Träskända,43410,40.13338123,2019,FI_186
FI_202,FI,FI1C,FI1C1,202,Kaarina / S:t Karins,33458,150.70873649,2019,FI_202
FI_204,FI,FI1D,FI1D2,204,Kaavi,2990,789.33588934,2019,FI_204
FI_205,FI,FI1D,FI1D8,205,Kajaani / Kajana,36973,2263.35546979,2019,FI_205
FI_208,FI,FI1D,FI1D9,208,Kalajoki,12387,923.61800839,2019,FI_208
FI_211,FI,FI19,FI197,211,Kangasala,31676,870.95520251,2019,FI_211
FI_213,FI,FI1D,FI1D1,213,Kangasniemi,5452,1326.898727,2019,FI_213
FI_214,FI,FI19,FI196,214,Kankaanpää,11471,704.46946773,2019,FI_214
FI_216,FI,FI19,FI193,216,Kannonkoski,1353,550.09494437,2019,FI_216
FI_217,FI,FI1D,FI1D5,217,Kannus,5502,470.45078951,2019,FI_217
