gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
IS_0000,IS,IS00,IS001,0000,Reykjavíkurborg,128793,244.42257278,2019,IS_0000
IS_1000,IS,IS00,IS001,1000,Kópavogsbær,36975,109.87718701,2019,IS_1000
IS_1100,IS,IS00,IS001,1100,Seltjarnarnesbær,4664,2.08016522,2019,IS_1100
IS_1300,IS,IS00,IS001,1300,Garðabær,16299,45.58124424,2019,IS_1300
IS_1400,IS,IS00,IS001,1400,Hafnarfjarðarkaupstaður,29799,173.59742763,2019,IS_1400
IS_1604,IS,IS00,IS001,1604,Mosfellsbær,11463,186.06966374,2019,IS_1604
IS_1606,IS,IS00,IS001,1606,Kjósarhreppur,238,284.08244169,2019,IS_1606
IS_2000,IS,IS00,IS002,2000,Reykjanesbær,18920,144.40137319,2019,IS_2000
IS_2300,IS,IS00,IS002,2300,Grindavíkurbær,3427,423.64710156,2019,IS_2300
IS_2506,IS,IS00,IS002,2506,Sveitarfélagið Vogar,1286,164.67080429,2019,IS_2506
IS_2510,IS,IS00,IS002,2510,Suðurnesjabær,3480,82.3152905,2019,IS_2510
IS_3000,IS,IS00,IS002,3000,Akraneskaupstaður,7411,8.57410257,2019,IS_3000
IS_3506,IS,IS00,IS002,3506,Skorradalshreppur,58,215.87264604,2019,IS_3506
IS_3511,IS,IS00,IS002,3511,Hvalfjarðarsveit,638,480.77636547,2019,IS_3511
IS_3609,IS,IS00,IS002,3609,Borgarbyggð,3807,4923.49214304,2019,IS_3609
IS_3709,IS,IS00,IS002,3709,Grundarfjarðarbær,866,148.97445317,2019,IS_3709
IS_3710,IS,IS00,IS002,3710,Helgafellssveit,62,241.47739012,2019,IS_3710
IS_3711,IS,IS00,IS002,3711,Stykkishólmsbær,1201,9.13792646,2019,IS_3711
IS_3713,IS,IS00,IS002,3713,Eyja- og Miklaholtshreppur,117,383.39758813,2019,IS_3713
IS_3714,IS,IS00,IS002,3714,Snæfellsbær,1674,682.14228255,2019,IS_3714
IS_3811,IS,IS00,IS002,3811,Dalabyggð,673,2415.06159234,2019,IS_3811
IS_4100,IS,IS00,IS002,4100,Bolungarvíkurkaupstaður,953,108.04824253,2019,IS_4100
