gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
ES_01001,ES,ES21,ES211,01001,Alegría-Dulantzi,2876,19.94546181,2019,ES_01001
ES_01002,ES,ES21,ES211,01002,Amurrio,10350,96.33036406,2019,ES_01002
ES_01003,ES,ES21,ES211,01003,Aramaio,1467,73.27197428,2019,ES_01003
ES_01004,ES,ES21,ES211,01004,Artziniega,1821,27.3062746,2019,ES_01004
ES_01006,ES,ES21,ES211,01006,Armiñón,227,12.93877576,2019,ES_01006
ES_01008,ES,ES21,ES211,01008,Arratzua-Ubarrundia,980,57.40206104,2019,ES_01008
ES_01009,ES,ES21,ES211,01009,Asparrena,1614,65.34921689,2019,ES_01009
ES_01010,ES,ES21,ES211,01010,Ayala / Aiara,2974,140.74912504,2019,ES_01010
ES_01011,ES,ES21,ES211,01011,Baños de Ebro / Mañueta,291,9.45333043,2019,ES_01011
ES_01013,ES,ES21,ES211,01013,Barrundia,883,97.38054361,2019,ES_01013
ES_01014,ES,ES21,ES211,01014,Berantevilla,453,35.69752924,2019,ES_01014
ES_01016,ES,ES21,ES211,01016,Bernedo,494,130.44503121,2019,ES_01016
ES_01017,ES,ES21,ES211,01017,Campezo / Kanpezu,1040,85.39469653,2019,ES_01017
ES_01018,ES,ES21,ES211,01018,Zigoitia,1747,102.06735815,2019,ES_01018
ES_01019,ES,ES21,ES211,01019,Kripan,180,12.5279563,2019,ES_01019
ES_01020,ES,ES21,ES211,01020,Kuartango,376,84.09053207,2019,ES_01020
ES_01021,ES,ES21,ES211,01021,Elburgo / Burgelu,599,32.10097358,2019,ES_01021
ES_01022,ES,ES21,ES211,01022,Elciego,1005,16.32074416,2019,ES_01022
ES_01023,ES,ES21,ES211,01023,Elvillar / Bilar,333,17.5094811,2019,ES_01023
ES_01027,ES,ES21,ES211,01027,Iruraiz-Gauna,517,47.1545244,2019,ES_01027
ES_01028,ES,ES21,ES211,01028,Labastida / Bastida,1452,38.20961461,2019,ES_01028
ES_01030,ES,ES21,ES211,01030,Lagrán,157,45.60557762,2019,ES_01030
ES_01031,ES,ES21,ES211,01031,Laguardia,1494,81.0148869,2019,ES_01031
ES_01032,ES,ES21,ES211,01032,Lanciego / Lantziego,691,24.18833685,2019,ES_01032
ES_01033,ES,ES21,ES211,01033,Lapuebla de Labarca,865,5.99835085,2019,ES_01033
ES_01034,ES,ES21,ES211,01034,Leza,203,9.93131726,2019,ES_01034
ES_01036,ES,ES21,ES211,01036,Laudio / Llodio,18102,37.55367425,2019,ES_01036
ES_01037,ES,ES21,ES211,01037,Arraia-Maeztu,726,123.06559838,2019,ES_01037
ES_01039,ES,ES21,ES211,01039,Moreda de Álava / Moreda Araba,221,8.65117287,2019,ES_01039
ES_01041,ES,ES21,ES211,01041,Navaridas,200,8.91428124,2019,ES_01041
ES_01042,ES,ES21,ES211,01042,Okondo,1188,29.87712386,2019,ES_01042
ES_01043,ES,ES21,ES211,01043,Oyón-Oion,3386,45.19420655,2019,ES_01043
ES_01044,ES,ES21,ES211,01044,Peñacerrada-Urizaharra,261,62.14103512,2019,ES_01044
ES_01046,ES,ES21,ES211,01046,Erriberagoitia / Ribera Alta,785,119.79977094,2019,ES_01046
ES_01047,ES,ES21,ES211,01047,Ribera Baja / Erribera Beitia,1350,25.38871898,2019,ES_01047
ES_01049,ES,ES21,ES211,01049,Añana,156,21.9287099,2019,ES_01049
ES_01051,ES,ES21,ES211,01051,Agurain / Salvatierra,5062,37.77444719,2019,ES_01051
ES_01052,ES,ES21,ES211,01052,Samaniego,316,10.64732344,2019,ES_01052
ES_01053,ES,ES21,ES211,01053,San Millán / Donemiliaga,715,85.39521745,2019,ES_01053
ES_01054,ES,ES21,ES211,01054,Urkabustaiz,1371,60.79466289,2019,ES_01054
ES_01055,ES,ES21,ES211,01055,Valdegovía / Gaubea,996,238.31486312,2019,ES_01055
ES_01056,ES,ES21,ES211,01056,Harana / Valle de Arana,221,39.12729677,2019,ES_01056
ES_01057,ES,ES21,ES211,01057,Villabuena de Álava / Eskuernaga,296,8.47437755,2019,ES_01057
ES_01058,ES,ES21,ES211,01058,Legutio,1885,45.84910404,2019,ES_01058
ES_01059,ES,ES21,ES211,01059,Vitoria-Gasteiz,251774,276.80328881,2019,ES_01059
ES_01060,ES,ES21,ES211,01060,Yécora / Iekora,268,18.81663967,2019,ES_01060
ES_01061,ES,ES21,ES211,01061,Zalduondo,183,11.88056981,2019,ES_01061
ES_01062,ES,ES21,ES211,01062,Zambrana,410,39.55094116,2019,ES_01062
ES_01063,ES,ES21,ES211,01063,Zuia,2302,122.50984229,2019,ES_01063
ES_01901,ES,ES21,ES211,01901,Iruña Oka / Iruña de Oca,3411,53.24723366,2019,ES_01901
ES_01902,ES,ES21,ES211,01902,Lantarón,875,67.46265927,2019,ES_01902
ES_02001,ES,ES42,ES421,02001,Abengibre,790,30.79913476,2019,ES_02001
ES_02002,ES,ES42,ES421,02002,Alatoz,519,63.83683045,2019,ES_02002
ES_02003,ES,ES42,ES421,02003,Albacete,173329,1125.99642961,2019,ES_02003
ES_02004,ES,ES42,ES421,02004,Albatana,692,30.53234924,2019,ES_02004
ES_02005,ES,ES42,ES421,02005,Alborea,658,72.07522701,2019,ES_02005
ES_02006,ES,ES42,ES421,02006,Alcadozo,654,99.60421547,2019,ES_02006
ES_02007,ES,ES42,ES421,02007,Alcalá del Júcar,1170,146.78546688,2019,ES_02007
ES_02008,ES,ES42,ES421,02008,Alcaraz,1351,370.58294019,2019,ES_02008
ES_02009,ES,ES42,ES421,02009,Almansa,24419,531.90956759,2019,ES_02009
ES_02010,ES,ES42,ES421,02010,Alpera,2265,178.47420604,2019,ES_02010
ES_02011,ES,ES42,ES421,02011,Ayna,616,146.64514726,2019,ES_02011
ES_02012,ES,ES42,ES421,02012,Balazote,2334,65.13628578,2019,ES_02012
ES_02013,ES,ES42,ES421,02013,Balsa de Ves,158,76.35582641,2019,ES_02013
ES_02014,ES,ES42,ES421,02014,"Ballestero, El",405,138.70147527,2019,ES_02014
ES_02015,ES,ES42,ES421,02015,Barrax,1833,189.89523359,2019,ES_02015
ES_02016,ES,ES42,ES421,02016,Bienservida,603,90.74218633,2019,ES_02016
ES_02017,ES,ES42,ES421,02017,Bogarra,842,166.04749235,2019,ES_02017
ES_02018,ES,ES42,ES421,02018,Bonete,1049,125.01393928,2019,ES_02018
ES_02019,ES,ES42,ES421,02019,"Bonillo, El",2779,502.69931692,2019,ES_02019
ES_02020,ES,ES42,ES421,02020,Carcelén,501,75.39820814,2019,ES_02020
ES_02021,ES,ES42,ES421,02021,Casas de Juan Núñez,1307,88.97613253,2019,ES_02021
ES_02022,ES,ES42,ES421,02022,Casas de Lázaro,363,112.31535274,2019,ES_02022
ES_02023,ES,ES42,ES421,02023,Casas de Ves,572,125.11209525,2019,ES_02023
ES_02024,ES,ES42,ES421,02024,Casas-Ibáñez,4538,103.19385753,2019,ES_02024
ES_02025,ES,ES42,ES421,02025,Caudete,9963,141.59971484,2019,ES_02025
ES_02026,ES,ES42,ES421,02026,Cenizate,1181,63.26219955,2019,ES_02026
ES_02027,ES,ES42,ES421,02027,Corral-Rubio,324,94.78743766,2019,ES_02027
ES_02028,ES,ES42,ES421,02028,Cotillas,123,14.44710007,2019,ES_02028
ES_02029,ES,ES42,ES421,02029,Chinchilla de Monte-Aragón,4206,679.98620089,2019,ES_02029
ES_02030,ES,ES42,ES421,02030,Elche de la Sierra,3585,239.45223661,2019,ES_02030
ES_02031,ES,ES42,ES421,02031,Férez,643,126.14497689,2019,ES_02031
ES_02032,ES,ES42,ES421,02032,Fuensanta,297,23.94321416,2019,ES_02032
ES_02033,ES,ES42,ES421,02033,Fuente-Álamo,2489,133.34050809,2019,ES_02033
ES_02034,ES,ES42,ES421,02034,Fuentealbilla,1792,108.30900761,2019,ES_02034
ES_02035,ES,ES42,ES421,02035,"Gineta, La",2512,136.70313635,2019,ES_02035
ES_02036,ES,ES42,ES421,02036,Golosalvo,104,28.17949781,2019,ES_02036
ES_02037,ES,ES42,ES421,02037,Hellín,30306,781.32759383,2019,ES_02037
ES_02038,ES,ES42,ES421,02038,"Herrera, La",326,63.45589798,2019,ES_02038
ES_02039,ES,ES42,ES421,02039,Higueruela,1158,205.48746196,2019,ES_02039
ES_02040,ES,ES42,ES421,02040,Hoya-Gonzalo,647,114.58395893,2019,ES_02040
ES_02041,ES,ES42,ES421,02041,Jorquera,355,67.95373874,2019,ES_02041
ES_02042,ES,ES42,ES421,02042,Letur,919,263.64600834,2019,ES_02042
ES_02043,ES,ES42,ES421,02043,Lezuza,1358,360.88412059,2019,ES_02043
ES_02044,ES,ES42,ES421,02044,Liétor,1175,311.6796147,2019,ES_02044
ES_02045,ES,ES42,ES421,02045,Madrigueras,4652,73.37800905,2019,ES_02045
ES_02046,ES,ES42,ES421,02046,Mahora,1383,108.15158272,2019,ES_02046
ES_02047,ES,ES42,ES421,02047,Masegoso,110,103.88345706,2019,ES_02047
ES_02048,ES,ES42,ES421,02048,Minaya,1501,69.85164988,2019,ES_02048
ES_02049,ES,ES42,ES421,02049,Molinicos,852,143.57106035,2019,ES_02049
ES_02050,ES,ES42,ES421,02050,Montalvos,97,24.76177611,2019,ES_02050
ES_02051,ES,ES42,ES421,02051,Montealegre del Castillo,2051,177.86368534,2019,ES_02051
ES_02052,ES,ES42,ES421,02052,Motilleja,571,23.79264392,2019,ES_02052
ES_02053,ES,ES42,ES421,02053,Munera,3435,229.40793318,2019,ES_02053
ES_02054,ES,ES42,ES421,02054,Navas de Jorquera,517,42.2686013,2019,ES_02054
ES_02055,ES,ES42,ES421,02055,Nerpio,1191,435.7895376,2019,ES_02055
ES_02056,ES,ES42,ES421,02056,Ontur,1987,54.38679226,2019,ES_02056
ES_02057,ES,ES42,ES421,02057,Ossa de Montiel,2307,243.57668222,2019,ES_02057
ES_02058,ES,ES42,ES421,02058,Paterna del Madera,348,112.35583246,2019,ES_02058
ES_02059,ES,ES42,ES421,02059,Peñascosa,334,189.25754307,2019,ES_02059
ES_02060,ES,ES42,ES421,02060,Peñas de San Pedro,1399,158.73562448,2019,ES_02060
