gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
BG_BGS01,BG,BG34,BG341,BGS01,Айтос,27849,402.80887105,2020,BG_BGS01
BG_BGS04,BG,BG34,BG341,BGS04,Бургас,208915,560.02368208,2020,BG_BGS04
BG_BGS06,BG,BG34,BG341,BGS06,Средец,14495,1150.14167464,2020,BG_BGS06
BG_BGS08,BG,BG34,BG341,BGS08,Камено,9864,354.87663482,2020,BG_BGS08
BG_BGS09,BG,BG34,BG341,BGS09,Карнобат,23380,834.34766541,2020,BG_BGS09
BG_BGS12,BG,BG34,BG341,BGS12,Малко Търново,3208,783.36672076,2020,BG_BGS12
BG_BGS13,BG,BG34,BG341,BGS13,Царево,9014,513.60879549,2020,BG_BGS13
BG_BGS15,BG,BG34,BG341,BGS15,Несебър,27879,421.64241484,2020,BG_BGS15
BG_BGS17,BG,BG34,BG341,BGS17,Поморие,27233,414.02332859,2020,BG_BGS17
BG_BGS18,BG,BG34,BG341,BGS18,Руен,27846,689.7888801,2020,BG_BGS18
BG_BGS21,BG,BG34,BG341,BGS21,Созопол,13005,480.29234976,2020,BG_BGS21
BG_BGS23,BG,BG34,BG341,BGS23,Сунгурларе,11519,795.40739905,2020,BG_BGS23
BG_BGS27,BG,BG34,BG341,BGS27,Приморско,6124,350.50171856,2020,BG_BGS27
BG_BLG01,BG,BG41,BG413,BLG01,Банско,12827,475.93962703,2020,BG_BLG01
BG_BLG02,BG,BG41,BG413,BLG02,Белица,9316,293.41042538,2020,BG_BLG02
BG_BLG03,BG,BG41,BG413,BLG03,Благоевград,75329,620.07037096,2020,BG_BLG03
BG_BLG11,BG,BG41,BG413,BLG11,Гоце Делчев,29859,330.93056649,2020,BG_BLG11
BG_BLG13,BG,BG41,BG413,BLG13,Гърмен,14793,388.47089515,2020,BG_BLG13
BG_BLG28,BG,BG41,BG413,BLG28,Кресна,5143,344.59098027,2020,BG_BLG28
BG_BLG33,BG,BG41,BG413,BLG33,Петрич,49530,650.50115536,2020,BG_BLG33
BG_BLG37,BG,BG41,BG413,BLG37,Разлог,19294,440.18538751,2020,BG_BLG37
BG_BLG40,BG,BG41,BG413,BLG40,Сандански,37400,996.18080345,2020,BG_BLG40
BG_BLG42,BG,BG41,BG413,BLG42,Сатовча,14263,332.32504158,2020,BG_BLG42
BG_BLG44,BG,BG41,BG413,BLG44,Симитли,13249,552.97929437,2020,BG_BLG44
BG_BLG49,BG,BG41,BG413,BLG49,Струмяни,5053,357.94233801,2020,BG_BLG49
BG_BLG52,BG,BG41,BG413,BLG52,Хаджидимово,9178,327.68672602,2020,BG_BLG52
BG_BLG53,BG,BG41,BG413,BLG53,Якоруда,9889,339.31485624,2020,BG_BLG53
BG_DOB03,BG,BG33,BG332,DOB03,Балчик,19331,524.6038724,2020,BG_DOB03
BG_DOB12,BG,BG33,BG332,DOB12,Генерал Тошево,13063,981.79521468,2020,BG_DOB12
BG_DOB15,BG,BG33,BG332,DOB15,Добрич-селска,20345,1294.91682043,2020,BG_DOB15
BG_DOB17,BG,BG33,BG332,DOB17,Каварна,14020,481.73214916,2020,BG_DOB17
BG_DOB20,BG,BG33,BG332,DOB20,Крушари,3893,417.4750377,2020,BG_DOB20
BG_DOB27,BG,BG33,BG332,DOB27,Тервел,15228,579.80243283,2020,BG_DOB27
BG_DOB28,BG,BG33,BG332,DOB28,Добрич,83584,109.02202876,2020,BG_DOB28
BG_DOB29,BG,BG33,BG332,DOB29,Шабла,4367,330.56068035,2020,BG_DOB29
BG_GAB05,BG,BG32,BG322,GAB05,Габрово,57625,555.34464786,2020,BG_GAB05
BG_GAB12,BG,BG32,BG322,GAB12,Дряново,8529,248.45020492,2020,BG_GAB12
BG_GAB29,BG,BG32,BG322,GAB29,Севлиево,32155,964.10686295,2020,BG_GAB29
BG_GAB35,BG,BG32,BG322,GAB35,Трявна,10095,254.84536867,2020,BG_GAB35
BG_HKV09,BG,BG42,BG422,HKV09,Димитровград,47287,567.52738975,2020,BG_HKV09
BG_HKV11,BG,BG42,BG422,HKV11,Ивайловград,5692,813.74718277,2020,BG_HKV11
BG_HKV17,BG,BG42,BG422,HKV17,Любимец,9217,344.15303015,2020,BG_HKV17
BG_HKV18,BG,BG42,BG422,HKV18,Маджарово,2025,247.19014846,2020,BG_HKV18
BG_HKV19,BG,BG42,BG422,HKV19,Минерални бани,6092,214.64768445,2020,BG_HKV19
BG_HKV28,BG,BG42,BG422,HKV28,Свиленград,21613,700.32442912,2020,BG_HKV28
BG_HKV29,BG,BG42,BG422,HKV29,Симеоновград,8795,223.06741578,2020,BG_HKV29
BG_HKV30,BG,BG42,BG422,HKV30,Стамболово,5755,276.69861502,2020,BG_HKV30
BG_HKV32,BG,BG42,BG422,HKV32,Тополовград,9801,710.68389999,2020,BG_HKV32
BG_HKV33,BG,BG42,BG422,HKV33,Харманли,25253,694.64008502,2020,BG_HKV33
BG_HKV34,BG,BG42,BG422,HKV34,Хасково,86611,739.67448605,2020,BG_HKV34
BG_JAM03,BG,BG34,BG343,JAM03,Болярово,3562,667.94740822000006,2020,BG_JAM03
BG_JAM07,BG,BG34,BG343,JAM07,Елхово,14234,702.17272538,2020,BG_JAM07
BG_JAM22,BG,BG34,BG343,JAM22,Стралджа,11592,676.27963016,2020,BG_JAM22
BG_JAM25,BG,BG34,BG343,JAM25,Тунджа,21435,1218.9003093,2020,BG_JAM25
BG_JAM26,BG,BG34,BG343,JAM26,Ямбол,68074,90.67466015,2020,BG_JAM26
BG_KNL04,BG,BG41,BG415,KNL04,Бобов дол,7498,206.31528273,2020,BG_KNL04
BG_KNL05,BG,BG41,BG415,KNL05,Бобошево,2597,135.22435753,2020,BG_KNL05
BG_KNL27,BG,BG41,BG415,KNL27,Кочериново,4365,182.06726948,2020,BG_KNL27
BG_KNL29,BG,BG41,BG415,KNL29,Кюстендил,53273,960.18571979,2020,BG_KNL29
BG_KNL31,BG,BG41,BG415,KNL31,Невестино,2018,439.56866844,2020,BG_KNL31
BG_KNL38,BG,BG41,BG415,KNL38,Рила,2458,362.26450763,2020,BG_KNL38
BG_KNL41,BG,BG41,BG415,KNL41,Сапарева баня,6660,180.70521436,2020,BG_KNL41
BG_KNL48,BG,BG41,BG415,KNL48,Дупница,39414,329.11365128,2020,BG_KNL48
