gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LT_11,LT,LT02,LT021,11,Alytaus miesto savivaldybė,49895,39.47808077,2020,LT_11
LT_12,LT,LT02,LT022,12,Birštono savivaldybė,4066,121.75734943,2020,LT_12
LT_13,LT,LT01,LT011,13,Vilniaus miesto savivaldybė,561836,400.54144788,2020,LT_13
LT_15,LT,LT02,LT021,15,Druskininkų savivaldybė,19122,453.3542671,2020,LT_15
LT_18,LT,LT02,LT024,18,Marijampolės savivaldybė,53772,755.1208708,2020,LT_18
LT_19,LT,LT02,LT022,19,Kauno miesto savivaldybė,289364,156.93881151,2020,LT_19
LT_21,LT,LT02,LT023,21,Klaipėdos miesto savivaldybė,149116,88.28280593,2020,LT_21
LT_23,LT,LT02,LT023,23,Neringos savivaldybė,3530,89.41296782,2020,LT_23
LT_25,LT,LT02,LT023,25,Palangos miesto savivaldybė,16038,78.87774561,2020,LT_25
LT_27,LT,LT02,LT025,27,Panevėžio miesto savivaldybė,85885,50.16938928,2020,LT_27
LT_29,LT,LT02,LT026,29,Šiaulių miesto savivaldybė,101511,81.1181071,2020,LT_29
LT_30,LT,LT02,LT029,30,Visagino savivaldybė,18243,58.0510019,2020,LT_30
LT_32,LT,LT02,LT026,32,Akmenės rajono savivaldybė,18772,843.98692575,2020,LT_32
LT_33,LT,LT02,LT021,33,Alytaus rajono savivaldybė,25885,1403.93912154,2020,LT_33
LT_34,LT,LT02,LT029,34,Anykščių rajono savivaldybė,23038,1764.6227019,2020,LT_34
LT_36,LT,LT02,LT025,36,Biržų rajono savivaldybė,22719,1476.05101938,2020,LT_36
LT_38,LT,LT02,LT021,38,Varėnos rajono savivaldybė,20844,2216.86431442,2020,LT_38
LT_39,LT,LT02,LT024,39,Vilkaviškio rajono savivaldybė,34666,1263.23265733,2020,LT_39
LT_41,LT,LT01,LT011,41,Vilniaus rajono savivaldybė,100146,2129.45171201,2020,LT_41
LT_42,LT,LT01,LT011,42,Elektrėnų savivaldybė,23984,508.87011784,2020,LT_42
LT_43,LT,LT02,LT029,43,Zarasų rajono savivaldybė,14915,1331.12862931,2020,LT_43
LT_45,LT,LT02,LT029,45,Ignalinos rajono savivaldybė,14430,1440.63097438,2020,LT_45
LT_46,LT,LT02,LT022,46,Jonavos rajono savivaldybė,41151,943.92719573,2020,LT_46
LT_47,LT,LT02,LT026,47,Joniškio rajono savivaldybė,20730,1152.08360368,2020,LT_47
LT_48,LT,LT02,LT024,48,Kalvarijos savivaldybė,10187,440.32819547,2020,LT_48
LT_49,LT,LT02,LT022,49,Kaišiadorių rajono savivaldybė,29526,1087.05599323,2020,LT_49
LT_52,LT,LT02,LT022,52,Kauno rajono savivaldybė,96423,1496.04597199,2020,LT_52
LT_53,LT,LT02,LT022,53,Kėdainių rajono savivaldybė,45275,1677.24858035,2020,LT_53
LT_54,LT,LT02,LT026,54,Kelmės rajono savivaldybė,25383,1705.13154102,2020,LT_54
LT_55,LT,LT02,LT023,55,Klaipėdos rajono savivaldybė,60124,1237.53890415,2020,LT_55
LT_56,LT,LT02,LT023,56,Kretingos rajono savivaldybė,37425,989.04459943,2020,LT_56
LT_57,LT,LT02,LT025,57,Kupiškio rajono savivaldybė,16356,1080.39750535,2020,LT_57
LT_58,LT,LT02,LT024,58,Kazlų Rūdos savivaldybė,11339,554.73877054,2020,LT_58
LT_59,LT,LT02,LT021,59,Lazdijų rajono savivaldybė,18324,1306.82734964,2020,LT_59
LT_61,LT,LT02,LT028,61,Mažeikių rajono savivaldybė,51056,1219.49164134,2020,LT_61
LT_62,LT,LT02,LT029,62,Molėtų rajono savivaldybė,17153,1367.0850067,2020,LT_62
LT_63,LT,LT02,LT027,63,Pagėgių savivaldybė,7285,535.08541737,2020,LT_63
LT_65,LT,LT02,LT026,65,Pakruojo rajono savivaldybė,18607,1315.6506449,2020,LT_65
LT_66,LT,LT02,LT025,66,Panevėžio rajono savivaldybė,35328,2177.98433277,2020,LT_66
LT_67,LT,LT02,LT025,67,Pasvalio rajono savivaldybė,22829,1289.3784879,2020,LT_67
LT_68,LT,LT02,LT028,68,Plungės rajono savivaldybė,32991,1105.43169006,2020,LT_68
LT_69,LT,LT02,LT022,69,Prienų rajono savivaldybė,25806,1032.98894195,2020,LT_69
LT_71,LT,LT02,LT026,71,Radviliškio rajono savivaldybė,35002,1634.68630973,2020,LT_71
LT_72,LT,LT02,LT022,72,Raseinių rajono savivaldybė,31230,1573.36548665,2020,LT_72
LT_73,LT,LT02,LT025,73,Rokiškio rajono savivaldybė,28072,1806.67819131,2020,LT_73
LT_74,LT,LT02,LT028,74,Rietavo savivaldybė,7260,585.62268256,2020,LT_74
LT_75,LT,LT02,LT023,75,Skuodo rajono savivaldybė,16084,911.04110225,2020,LT_75
LT_77,LT,LT02,LT027,77,Tauragės rajono savivaldybė,37803,1178.7977663,2020,LT_77
LT_78,LT,LT02,LT028,78,Telšių rajono savivaldybė,39306,1438.77971698,2020,LT_78
LT_79,LT,LT01,LT011,79,Trakų rajono savivaldybė,32541,1207.72945584,2020,LT_79
LT_81,LT,LT01,LT011,81,Ukmergės rajono savivaldybė,33482,1395.2627257,2020,LT_81
LT_82,LT,LT02,LT029,82,Utenos rajono savivaldybė,37184,1230.33815246,2020,LT_82
LT_84,LT,LT02,LT024,84,Šakių rajono savivaldybė,26707,1454.17821659,2020,LT_84
LT_85,LT,LT01,LT011,85,Šalčininkų rajono savivaldybė,30521,1493.14447727,2020,LT_85
LT_86,LT,LT01,LT011,86,Švenčionių rajono savivaldybė,22929,1691.232262,2020,LT_86
LT_87,LT,LT02,LT027,87,Šilalės rajono savivaldybė,21899,1188.17978483,2020,LT_87
LT_88,LT,LT02,LT023,88,Šilutės rajono savivaldybė,37641,1425.46251875,2020,LT_88
LT_89,LT,LT01,LT011,89,Širvintų rajono savivaldybė,15072,905.72885754,2020,LT_89
LT_91,LT,LT02,LT026,91,Šiaulių rajono savivaldybė,41447,1807.39341259,2020,LT_91
LT_94,LT,LT02,LT027,94,Jurbarko rajono savivaldybė,24835,1506.43853602,2020,LT_94
