gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
EL_01010101,EL,EL51,EL513,01010101,Κοινότητα Κομοτηνής,54272,66.8747393,2020,EL_01010101
EL_01010102,EL,EL51,EL513,01010102,Κοινότητα Ανθοχωρίου,82,15.23479287,2020,EL_01010102
EL_01010103,EL,EL51,EL513,01010103,Κοινότητα Γρατίνης,365,13.86760743,2020,EL_01010103
EL_01010104,EL,EL51,EL513,01010104,Κοινότητα Θρυλορίου,1910,26.7530084,2020,EL_01010104
EL_01010105,EL,EL51,EL513,01010105,Κοινότητα Ιτέας,77,4.55994612,2020,EL_01010105
EL_01010106,EL,EL51,EL513,01010106,Κοινότητα Κάλχαντος,1160,114.42740954,2020,EL_01010106
EL_01010107,EL,EL51,EL513,01010107,Κοινότητα Καρυδιάς,357,9.68401249,2020,EL_01010107
EL_01010108,EL,EL51,EL513,01010108,Κοινότητα Κηκιδίου,610,3.01900856,2020,EL_01010108
EL_01010109,EL,EL51,EL513,01010109,Κοινότητα Κοσμίου,922,23.04750739,2020,EL_01010109
EL_01010110,EL,EL51,EL513,01010110,Κοινότητα Πανδρόσου,394,86.67777791,2020,EL_01010110
EL_01010111,EL,EL51,EL513,01010111,Κοινότητα Σιδηράδων,199,14.58934898,2020,EL_01010111
EL_01010112,EL,EL51,EL513,01010112,Κοινότητα Στυλάριου,300,6.333623,2020,EL_01010112
EL_01010201,EL,EL51,EL513,01010201,Κοινότητα Αιγείρου,1207,29.39178531,2020,EL_01010201
EL_01010202,EL,EL51,EL513,01010202,Κοινότητα Αρωγής,9,3.96088164,2020,EL_01010202
EL_01010203,EL,EL51,EL513,01010203,Κοινότητα Γλυφάδας,136,21.77630367,2020,EL_01010203
EL_01010204,EL,EL51,EL513,01010204,Κοινότητα Καλλίστης,122,4.28550745,2020,EL_01010204
EL_01010205,EL,EL51,EL513,01010205,Κοινότητα Μελέτης,497,4.78624892,2020,EL_01010205
EL_01010206,EL,EL51,EL513,01010206,Κοινότητα Μέσης,183,11.60732968,2020,EL_01010206
EL_01010207,EL,EL51,EL513,01010207,Κοινότητα Νέας Καλλίστης,391,15.87468945,2020,EL_01010207
EL_01010208,EL,EL51,EL513,01010208,Κοινότητα Παραλίας Μέσης,6,7.61601484,2020,EL_01010208
EL_01010209,EL,EL51,EL513,01010209,Κοινότητα Πόρπης,452,25.33692457,2020,EL_01010209
EL_01010210,EL,EL51,EL513,01010210,Κοινότητα Φαναρίου,490,13.67537237,2020,EL_01010210
EL_01010301,EL,EL51,EL513,01010301,Κοινότητα Νέου Σιδηροχωρίου,1327,48.14298554,2020,EL_01010301
EL_01010302,EL,EL51,EL513,01010302,Κοινότητα Αγίων Θεοδώρων,491,12.42671538,2020,EL_01010302
EL_01010303,EL,EL51,EL513,01010303,Κοινότητα Μεγάλου Δουκάτου,418,14.08623375,2020,EL_01010303
EL_01010304,EL,EL51,EL513,01010304,Κοινότητα Παγουρίων,542,47.49051098,2020,EL_01010304
EL_01020101,EL,EL51,EL513,01020101,Κοινότητα Φιλλύρας,909,9.30346398,2020,EL_01020101
EL_01020102,EL,EL51,EL513,01020102,Κοινότητα Άγρας,197,6.61279781,2020,EL_01020102
EL_01020103,EL,EL51,EL513,01020103,Κοινότητα Άνω Δροσίνης,106,9.43444574,2020,EL_01020103
EL_01020104,EL,EL51,EL513,01020104,Κοινότητα Αράτου,1158,4.22318712,2020,EL_01020104
EL_01020105,EL,EL51,EL513,01020105,Κοινότητα Αρδείας,27,7.18733858,2020,EL_01020105
EL_01020106,EL,EL51,EL513,01020106,Κοινότητα Αρχοντικών,365,4.52817262,2020,EL_01020106
EL_01020107,EL,EL51,EL513,01020107,Κοινότητα Βραγιάς,521,5.00932709,2020,EL_01020107
EL_01020108,EL,EL51,EL513,01020108,Κοινότητα Δοκού,970,16.58763812,2020,EL_01020108
EL_01020109,EL,EL51,EL513,01020109,Κοινότητα Δροσιάς,223,14.40148134,2020,EL_01020109
EL_01020110,EL,EL51,EL513,01020110,Κοινότητα Δρύμης,302,24.94833016,2020,EL_01020110
EL_01020111,EL,EL51,EL513,01020111,Κοινότητα Εσοχής,323,28.13250539,2020,EL_01020111
EL_01020112,EL,EL51,EL513,01020112,Κοινότητα Κάτω Δροσινής,66,4.7567155,2020,EL_01020112
EL_01020113,EL,EL51,EL513,01020113,Κοινότητα Λαμπρού,492,5.67571271,2020,EL_01020113
EL_01020114,EL,EL51,EL513,01020114,Κοινότητα Νέου Καλλυντήριου,241,10.32421775,2020,EL_01020114
EL_01020115,EL,EL51,EL513,01020115,Κοινότητα Νεύρων,158,8.48046566,2020,EL_01020115
EL_01020116,EL,EL51,EL513,01020116,Κοινότητα Ομηρικού,313,4.61024292,2020,EL_01020116
EL_01020117,EL,EL51,EL513,01020117,Κοινότητα Πάσσου,747,14.33583483,2020,EL_01020117
EL_01020118,EL,EL51,EL513,01020118,Κοινότητα Πατερμών,109,12.167446,2020,EL_01020118
EL_01020119,EL,EL51,EL513,01020119,Κοινότητα Ραγάδας,270,36.99077148,2020,EL_01020119
EL_01020120,EL,EL51,EL513,01020120,Κοινότητα Σκιάδας,86,8.20385478,2020,EL_01020120
EL_01020201,EL,EL51,EL513,01020201,Κοινότητα Αρριανών,1147,13.39543521,2020,EL_01020201
EL_01020202,EL,EL51,EL513,01020202,Κοινότητα Αγιοχωρίου,226,17.86962166,2020,EL_01020202
EL_01020203,EL,EL51,EL513,01020203,Κοινότητα Δαρμένης,314,5.28793327,2020,EL_01020203
EL_01020204,EL,EL51,EL513,01020204,Κοινότητα Δειλινών,307,4.0796596,2020,EL_01020204
EL_01020205,EL,EL51,EL513,01020205,Κοινότητα Ηπίου,265,10.10541404,2020,EL_01020205
EL_01020206,EL,EL51,EL513,01020206,Κοινότητα Κινύρων,171,6.82913914,2020,EL_01020206
EL_01020207,EL,EL51,EL513,01020207,Κοινότητα Λυκείου,1016,10.7317485,2020,EL_01020207
EL_01020208,EL,EL51,EL513,01020208,Κοινότητα Μικρού Πιστού,433,3.78142231,2020,EL_01020208
EL_01020209,EL,EL51,EL513,01020209,Κοινότητα Μύστακα,419,4.67533052,2020,EL_01020209
EL_01020210,EL,EL51,EL513,01020210,Κοινότητα Νέδας,246,16.58667949,2020,EL_01020210
EL_01020211,EL,EL51,EL513,01020211,Κοινότητα Νικητών,94,4.48583207,2020,EL_01020211
EL_01020212,EL,EL51,EL513,01020212,Κοινότητα Πλαγιάς,294,41.14905567,2020,EL_01020212
EL_01020213,EL,EL51,EL513,01020213,Κοινότητα Σκαλώματος,318,4.97275647,2020,EL_01020213
EL_01020214,EL,EL51,EL513,01020214,Κοινότητα Στροφής,339,34.25933192,2020,EL_01020214
EL_01020301,EL,EL51,EL513,01020301,Κοινότητα Κέχρου,1222,141.7562782,2020,EL_01020301
EL_01020401,EL,EL51,EL513,01020401,Κοινότητα Οργάνης,2183,216.6165094,2020,EL_01020401
