gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
NO_0301,NO,NO08,NO081,0301,Oslo kommune,693494,453.97681928,2020,NO_0301
NO_1101,NO,NO0A,NO0A1,1101,Eigersund,14811,431.53898234,2020,NO_1101
NO_1103,NO,NO0A,NO0A1,1103,Stavanger,143574,259.86412844,2020,NO_1103
NO_1106,NO,NO0A,NO0A1,1106,Haugesund,37357,71.80391797,2020,NO_1106
NO_1108,NO,NO0A,NO0A1,1108,Sandnes,79537,1040.55183762,2020,NO_1108
NO_1111,NO,NO0A,NO0A1,1111,Sokndal,3280,294.68866427,2020,NO_1111
NO_1112,NO,NO0A,NO0A1,1112,Lund,3202,408.40070457,2020,NO_1112
NO_1114,NO,NO0A,NO0A1,1114,Bjerkreim,2787,650.56815234,2020,NO_1114
NO_1119,NO,NO0A,NO0A1,1119,Hå,18991,258.02083227,2020,NO_1119
NO_1120,NO,NO0A,NO0A1,1120,Klepp,19588,113.87592204,2020,NO_1120
NO_1121,NO,NO0A,NO0A1,1121,Time,18916,183.19096699,2020,NO_1121
NO_1122,NO,NO0A,NO0A1,1122,Gjesdal,12002,617.99140642,2020,NO_1122
NO_1124,NO,NO0A,NO0A1,1124,Sola,27153,68.97269182,2020,NO_1124
NO_1127,NO,NO0A,NO0A1,1127,Randaberg,11221,24.58777088,2020,NO_1127
NO_1130,NO,NO0A,NO0A1,1130,Strand,12968,261.38390325,2020,NO_1130
NO_1133,NO,NO0A,NO0A1,1133,Hjelmeland,2574,1067.57324277,2020,NO_1133
NO_1134,NO,NO0A,NO0A1,1134,Suldal,3804,1736.87679849,2020,NO_1134
NO_1135,NO,NO0A,NO0A1,1135,Sauda,4595,546.35444204,2020,NO_1135
NO_1144,NO,NO0A,NO0A1,1144,Kvitsøy,517,4.79960014,2020,NO_1144
NO_1145,NO,NO0A,NO0A1,1145,Bokn,852,46.29193435,2020,NO_1145
NO_1146,NO,NO0A,NO0A1,1146,Tysvær,11065,424.00404901,2020,NO_1146
NO_1149,NO,NO0A,NO0A1,1149,Karmøy,42186,225.42656137,2020,NO_1149
NO_1151,NO,NO0A,NO0A1,1151,Utsira,198,6.11129163,2020,NO_1151
NO_1160,NO,NO0A,NO0A1,1160,Vindafjord,8714,620.00327191,2020,NO_1160
NO_1505,NO,NO0A,NO0A3,1505,Kristiansund,24179,86.42141176,2020,NO_1505
NO_1506,NO,NO0A,NO0A3,1506,Molde,31967,1503.42275415,2020,NO_1506
NO_1507,NO,NO0A,NO0A3,1507,Ålesund,66258,628.11077237,2020,NO_1507
NO_1511,NO,NO0A,NO0A3,1511,Vanylven,3117,385.07268577,2020,NO_1511
NO_1514,NO,NO0A,NO0A3,1514,Sande (M. og R.),2461,92.62595573,2020,NO_1514
NO_1515,NO,NO0A,NO0A3,1515,Herøy (M. og R.),8900,118.74943496,2020,NO_1515
NO_1516,NO,NO0A,NO0A3,1516,Ulstein,8571,96.72463239,2020,NO_1516
NO_1517,NO,NO0A,NO0A3,1517,Hareid,5175,82.47748203,2020,NO_1517
NO_1520,NO,NO0A,NO0A3,1520,Ørsta,10825,661.84364005,2020,NO_1520
NO_1525,NO,NO0A,NO0A3,1525,Stranda,4523,866.10857071,2020,NO_1525
NO_1528,NO,NO0A,NO0A3,1528,Sykkylven,7625,337.70566574,2020,NO_1528
NO_1531,NO,NO0A,NO0A3,1531,Sula,9310,58.48079519,2020,NO_1531
NO_1532,NO,NO0A,NO0A3,1532,Giske,8462,39.7844408,2020,NO_1532
NO_1535,NO,NO0A,NO0A3,1535,Vestnes,6532,351.70183426,2020,NO_1535
NO_1539,NO,NO0A,NO0A3,1539,Rauma,7468,1502.12402116,2020,NO_1539
NO_1547,NO,NO0A,NO0A3,1547,Aukra,3509,58.20913791,2020,NO_1547
NO_1554,NO,NO0A,NO0A3,1554,Averøy,5788,174.12330787,2020,NO_1554
NO_1557,NO,NO0A,NO0A3,1557,Gjemnes,2629,381.76850524,2020,NO_1557
NO_1560,NO,NO0A,NO0A3,1560,Tingvoll,3025,336.44301716,2020,NO_1560
NO_1563,NO,NO0A,NO0A3,1563,Sunndal,7036,1713.44128706,2020,NO_1563
NO_1566,NO,NO0A,NO0A3,1566,Surnadal,5920,1366.13473843,2020,NO_1566
NO_1573,NO,NO0A,NO0A3,1573,Smøla,2150,263.89328563,2020,NO_1573
NO_1576,NO,NO0A,NO0A3,1576,Aure,3507,641.33020934,2020,NO_1576
NO_1577,NO,NO0A,NO0A3,1577,Volda,10473,876.85418999,2020,NO_1577
NO_1578,NO,NO0A,NO0A3,1578,Fjord,2549,1190.57622679,2020,NO_1578
NO_1579,NO,NO0A,NO0A3,1579,Hustadvika,13279,518.47051969,2020,NO_1579
